sequence	statement_id	record_id	page	statement_ordinal	entry_boundary	exit_boundary	visible_owner_pre	visible_owner_operation	visible_owner_post	owner_break_inside_statement	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	memory_slots_filled_pre	memory_slots_filled_post	visible_card_cues	surface_sequence	atom_sequence	macro_program	literal_card_reading_de	expanded_workshop_reading_de	scribe_memory_instruction_de
52	B2-S012	B2	f82r	12	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	IM_SATZ_UMSCHALTEN	B2_LOWER_GREEN_MULTI_FIGURE_POOL	YES	B2:I003	CARRY	B2:I003	B2:T009	CARRY	B2:T009	B2:I001	RESUME	B2:I001	4	4	AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	SINGLE_LEAD_OUT[B2-S012-U01] | M12[B2-S012-U02+B2-S012-U03] | SINGLE_LEAD_OUT[B2-S012-U04] | SINGLE_SET[B2-S012-U05]	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	Besitzer im satz umschalten: B2_LOWER_GREEN_MULTI_FIGURE_POOL; Posten carry: B2:I003; Ziel carry: B2:T009; Voriges resume: B2:I001.
53	B2-S013	B2	f82r	13	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MITFÜHREN	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	B2:I003	CARRY	B2:I003	B2:T009	RESUME	B2:T009	B2:I001	CARRY	B2:I001	4	4	ZELLE_SCHLIESSEN	lchedy	L+CHD+CLOSE	SINGLE_LEAD_OUT[B2-S013-U01]	abführen; Schluss	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Besitzer mitführen: B2_LOWER_GREEN_MULTI_FIGURE_POOL; Posten carry: B2:I003; Ziel resume: B2:T009; Voriges carry: B2:I001.
54	B2-S014	B2	f82r	14	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MITFÜHREN	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	B2:I003	CARRY	B2:I003	B2:T009	INTRODUCE	B2:T010	B2:I001	CARRY	B2:I001	4	4	QUELLE_SICHTBAR	lar	L+AR	SINGLE_LEAD_OUT[B2-S014-U01]	von dort abfuehren	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	Besitzer mitführen: B2_LOWER_GREEN_MULTI_FIGURE_POOL; Posten carry: B2:I003; Ziel introduce: B2:T010; Voriges carry: B2:I001.
55	B2-S015	B2	f82r	15	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_GREEN_MULTI_FIGURE_POOL	VOR_SATZ_UMSCHALTEN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I003	INTRODUCE	B2:I004	B2:T010	RESET	LEER	B2:I001	INTRODUCE	B2:I003	4	3	ZELLE_SCHLIESSEN	tshey qokeedy	CHEEY | OK+EE+CLOSE	SINGLE_SET[B2-S015-U01]	Klarlauf zugeben; länger ansetzen; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Besitzer vor satz umschalten: B2_LOWER_POOL_EDGE_STATIONS; Posten introduce: B2:I004; Ziel reset: LEER; Voriges introduce: B2:I003.
56	B2-S016	B2	f82r	16	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	LEER	INTRODUCE	B2:T011	B2:I003	CARRY	B2:I003	3	4	NÄCHSTER_POSTEN|QUELLE_SICHTBAR|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	SINGLE_LEAD_OUT[B2-S016-U01] | SINGLE_DIVIDE[B2-S016-U02] | M19[B2-S016-U03+B2-S016-U04] | SINGLE_LEAD_IN[B2-S016-U05]	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel introduce: B2:T011; Voriges carry: B2:I003.
57	B2-S017	B2	f82r	17	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	B2:T011	INTRODUCE	B2:T012	B2:I003	CARRY	B2:I003	4	4	ZIEL_SICHTBAR|ZELLE_SCHLIESSEN	rsheal daldy	SH+E+AL | AL+CLOSE	SINGLE_HOLD[B2-S017-U01]	kurz am Ziel ruhen; Nebenoeffnung; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel introduce: B2:T012; Voriges carry: B2:I003.
58	B2-S018	B2	f82r	18	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	4	4	ZELLE_SCHLIESSEN	qokeedy	OK+EE+CLOSE	SINGLE_SET[B2-S018-U01]	länger ansetzen; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel carry: B2:T012; Voriges carry: B2:I003.
59	B2-S019	B2	f82r	19	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	4	4	ZELLE_SCHLIESSEN	rshedy	WASH+CLOSE	SINGLE_WASH[B2-S019-U01]	Waschgang abschließen	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel carry: B2:T012; Voriges carry: B2:I003.
60	B2-S020	B2	f82r	20	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	4	4	NÄCHSTER_POSTEN|ZELLE_SCHLIESSEN	qoteedy	OT+EE+CLOSE	SINGLE_OWNER_ACTION[B2-S020-U01]	lange Folge; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel carry: B2:T012; Voriges carry: B2:I003.
61	B2-S021	B2	f82r	21	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	4	4	ZELLE_SCHLIESSEN	qokeedy	OK+EE+CLOSE	SINGLE_SET[B2-S021-U01]	länger ansetzen; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel carry: B2:T012; Voriges carry: B2:I003.
62	B2-S022	B2	f82r	22	WITHIN_LOCUS_FIELD_BOUNDARY	RECORD_END	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	NO	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	4	4	ZELLE_SCHLIESSEN	lochedy	L+CHD+CLOSE	SINGLE_LEAD_OUT[B2-S022-U01]	Rest abfuehren; Schluss	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	Besitzer mitführen: B2_LOWER_POOL_EDGE_STATIONS; Posten carry: B2:I004; Ziel carry: B2:T012; Voriges carry: B2:I003.
63	B3-S001	B3	f83r	1	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	LEER	AUS_BILD_SETZEN	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	LEER	INTRODUCE	B3:I001	LEER	RESET	LEER	LEER	RESET	LEER	0	2	ZELLE_SCHLIESSEN	olkeedy	SOLK+EE+CLOSE	SINGLE_COLLECT[B3-S001-U01]	länger sammeln; Schluss	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	Besitzer aus bild setzen: B3_UPPER_MARGIN_OPEN_FAN_STATION; Posten introduce: B3:I001; Ziel reset: LEER; Voriges reset: LEER.
64	B3-S002	B3	f83r	2	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_UPPER_MARGIN_OPEN_FAN_STATION	MITFÜHREN	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	B3:I001	CARRY	B3:I001	LEER	INTRODUCE	B3:T001	LEER	CARRY	LEER	2	3	NÄCHSTER_POSTEN|ZIEL_SICHTBAR|ZELLE_SCHLIESSEN	qotal chkeedy	OT+AL | CHK+EE+CLOSE	SINGLE_WARM[B3-S002-U01]	danach dorthin; länger wärmen; Schluss	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	Besitzer mitführen: B3_UPPER_MARGIN_OPEN_FAN_STATION; Posten carry: B3:I001; Ziel introduce: B3:T001; Voriges carry: LEER.
65	B3-S003	B3	f83r	3	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_UPPER_MARGIN_OPEN_FAN_STATION	MITFÜHREN	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	B3:I001	CARRY	B3:I001	B3:T001	RESUME	B3:T001	LEER	CARRY	LEER	3	3	AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	SINGLE_LEAD_OUT[B3-S003-U01]	dieser Posten; Sollmaß; dieser Posten; abführen; Schluss	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Besitzer mitführen: B3_UPPER_MARGIN_OPEN_FAN_STATION; Posten carry: B3:I001; Ziel resume: B3:T001; Voriges carry: LEER.
66	B3-S004	B3	f83r	4	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	B3_UPPER_MARGIN_OPEN_FAN_STATION	MITFÜHREN	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	B3:I001	CARRY	B3:I001	B3:T001	INTRODUCE	B3:T002	LEER	CARRY	LEER	3	3	NÄCHSTER_POSTEN|QUELLE_SICHTBAR|ZIEL_SICHTBAR|SOLLWERT	qokaiin qotal dar	OK+AIIN | OT+AL | AR	SINGLE_SET[B3-S004-U01]	auf Sollmaß einstellen; danach dorthin; aus dem Ansatz	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Zum unteren Ablauf hin. Daraus, aus demselben Ansatz.	Besitzer mitführen: B3_UPPER_MARGIN_OPEN_FAN_STATION; Posten carry: B3:I001; Ziel introduce: B3:T002; Voriges carry: LEER.
67	B3-S005	B3	f83r	5	RESUME_ACTIVE_ITEM	WITHIN_LOCUS_FIELD_BOUNDARY	B3_UPPER_MARGIN_OPEN_FAN_STATION	VOR_SATZ_UMSCHALTEN	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	B3:I001	RESUME	B3:I001	B3:T002	INTRODUCE	B3:T003	LEER	CARRY	LEER	3	3	ZELLE_SCHLIESSEN	schedy	CHD+CLOSE	SINGLE_TRANSFER[B3-S005-U01]	Posten überführen; Schluss	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Besitzer vor satz umschalten: B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION; Posten resume: B3:I001; Ziel introduce: B3:T003; Voriges carry: LEER.
68	B3-S006	B3	f83r	6	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	MITFÜHREN	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T003	INTRODUCE	B3:T004	LEER	INTRODUCE	B3:I002	3	4	FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	M13[B3-S006-U01+B3-S006-U02] | SINGLE_CONTINUE[B3-S006-U03]	diesen Posten überführen; dort ansetzen; weiterüberführen; Schluss	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Gieße das erwärmte Wasser ein. Den aktiven Posten an der örtlich bezeichneten Station führen. Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	Besitzer mitführen: B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION; Posten carry: B3:I001; Ziel introduce: B3:T004; Voriges introduce: B3:I002.
69	B3-S007	B3	f83r	7	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	MITFÜHREN	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T004	CARRY	B3:T004	B3:I002	CARRY	B3:I002	4	4	AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	M14[B3-S007-U01+B3-S007-U02] | SINGLE_SET[B3-S007-U03]	auf Sollmaß einstellen; laufenden Posten umsetzen; länger ansetzen; Schluss	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Rühre, bis alles gleichmäßig vermischt ist. Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	Besitzer mitführen: B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION; Posten carry: B3:I001; Ziel carry: B3:T004; Voriges carry: B3:I002.
70	B3-S008	B3	f83r	8	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	MITFÜHREN	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T004	RESUME	B3:T004	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	lchedy	L+CHD+CLOSE	SINGLE_LEAD_OUT[B3-S008-U01]	abführen; Schluss	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Besitzer mitführen: B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION; Posten carry: B3:I001; Ziel resume: B3:T004; Voriges carry: B3:I002.
71	B3-S009	B3	f83r	9	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	MITFÜHREN	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T004	RESUME	B3:T004	B3:I002	CARRY	B3:I002	4	4	AKTUELLER_POSTEN	qoky	OK+Y	SINGLE_SET[B3-S009-U01]	aktuellen Posten ansetzen	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen.	Besitzer mitführen: B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION; Posten carry: B3:I001; Ziel resume: B3:T004; Voriges carry: B3:I002.
72	B3-S010	B3	f83r	10	RESUME_ACTIVE_ITEM	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VOR_SATZ_UMSCHALTEN	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	B3:I001	RESUME	B3:I001	B3:T004	CARRY	B3:T004	B3:I002	CARRY	B3:I002	4	4	NÄCHSTER_POSTEN|ZIEL_SICHTBAR|ZELLE_SCHLIESSEN	pchedal otedy	P+CHD+AL | OT+E+CLOSE	SINGLE_LEAD_IN[B3-S010-U01]	Einlass; kurze Folge; Schluss	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Fülle danach das Gefäß. Lasse es bis zur Klarheit ziehen und beende den Schritt.	Besitzer vor satz umschalten: B3_LOWER_MARGIN_BASKET_VESSEL_STATION; Posten resume: B3:I001; Ziel carry: B3:T004; Voriges carry: B3:I002.
73	B3-S011	B3	f83r	11	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	MITFÜHREN	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T004	INTRODUCE	B3:T005	B3:I002	CARRY	B3:I002	4	4	QUELLE_SICHTBAR|AKTUELLER_POSTEN	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	M12[B3-S011-U01+B3-S011-U02] | SINGLE_TRANSFER[B3-S011-U03]	bereiten Posten umsetzen; aktuellen Posten ansetzen; laufenden Posten umsetzen; aus diesem Posten	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Wende es an der markierten Stelle an. Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Rühre, bis alles gleichmäßig vermischt ist. Und lasse es abkühlen.	Besitzer mitführen: B3_LOWER_MARGIN_BASKET_VESSEL_STATION; Posten carry: B3:I001; Ziel introduce: B3:T005; Voriges carry: B3:I002.
74	B3-S012	B3	f83r	12	RESUME_ACTIVE_ITEM	WITHIN_LOCUS_FIELD_BOUNDARY	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	MITFÜHREN	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	B3:I001	RESUME	B3:I001	B3:T005	CARRY	B3:T005	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	sor shedy	OR | SHED+E+CLOSE	SINGLE_SETTLE[B3-S012-U01]	Ansatz; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B3_LOWER_MARGIN_BASKET_VESSEL_STATION; Posten resume: B3:I001; Ziel carry: B3:T005; Voriges carry: B3:I002.
75	B3-S013	B3	f83r	13	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	MITFÜHREN	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T005	INTRODUCE	B3:T006	B3:I002	RESUME	B3:I002	4	4	AKTUELLER_POSTEN|SOLLWERT|PORTION|ZELLE_SCHLIESSEN	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	M09[B3-S013-U01+B3-S013-U02] | SINGLE_SET[B3-S013-U03]	auf Sollmaß einstellen; eine Portion; kurz bereithalten; kurz ansetzen; Schluss	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ein abgemessener Anteil. Unter derselben Einstellung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B3_LOWER_MARGIN_BASKET_VESSEL_STATION; Posten carry: B3:I001; Ziel introduce: B3:T006; Voriges resume: B3:I002.
76	B3-S014	B3	f83r	14	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	MITFÜHREN	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T006	INTRODUCE	B3:T007	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	okair sheedy	OK+AIR | SHED+EE+CLOSE	M10[B3-S014-U01+B3-S014-U02]	Wasser einlassen; länger absetzen; Schluss	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Öffne danach den oberen Lauf. Wasche einmal und beende den Schritt.	Besitzer mitführen: B3_LOWER_MARGIN_BASKET_VESSEL_STATION; Posten carry: B3:I001; Ziel introduce: B3:T007; Voriges carry: B3:I002.
77	B3-S015	B3	f83r	15	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	MITFÜHREN	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	B3:I001	CARRY	B3:I001	B3:T007	RESUME	B3:T007	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	lchedy	L+CHD+CLOSE	SINGLE_LEAD_OUT[B3-S015-U01]	abführen; Schluss	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Besitzer mitführen: B3_LOWER_MARGIN_BASKET_VESSEL_STATION; Posten carry: B3:I001; Ziel resume: B3:T007; Voriges carry: B3:I002.
78	B3-S016	B3	f83r	16	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	IM_SATZ_UMSCHALTEN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	YES	B3:I001	CARRY	B3:I001	B3:T007	INTRODUCE	B3:T008	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	lo qokchedy	L | OK+CHD+CLOSE	SINGLE_LEAD_OUT[B3-S016-U01] | SINGLE_SET[B3-S016-U02]	abfuehren; angesetzten Inhalt überführen; Schluss	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Schließe den unteren Ablauf. [[STATIONSWECHSEL: untere korbartige Gefäß-Randstation -> ungelöster Zwischenposten zwischen Randstapel und Hauptpaar; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse es abkühlen und beende den Schritt.	Besitzer im satz umschalten: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel introduce: B3:T008; Voriges carry: B3:I002.
79	B3-S017	B3	f83r	17	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T008	CARRY	B3:T008	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	qokeedy	OK+EE+CLOSE	SINGLE_SET[B3-S017-U01]	länger ansetzen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel carry: B3:T008; Voriges carry: B3:I002.
80	B3-S018	B3	f83r	18	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T008	CARRY	B3:T008	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	shedy	SHED+E+CLOSE	SINGLE_SETTLE[B3-S018-U01]	kurz absetzen lassen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel carry: B3:T008; Voriges carry: B3:I002.
