component_recipe	first_action	second_action	ordered_pair	ordered_reading_de	grade_atoms	argument_atoms	dy_count	clean_pair_slot_recipe	canonical_pair_skeleton	event_count	register_count	registers	page_count	surfaces	portable_reading_de
P+CH+OR	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	OR	0	YES	P+CH|NONE|OR|OPEN	1	1	BIOLOGICAL	1	pchor	EINSETZEN · NEHMEN · EINHEIT
P+CHD+AL	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	0	YES	P+CHD|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	pchedal	EINSETZEN · BEARBEITEN · ZIELORT
P+CHD+AR	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	0	YES	P+CHD|NONE|NONE|OPEN	2	1	BIOLOGICAL	2	pchedar	EINSETZEN · BEARBEITEN · AUSGANG
P+CHD+DY	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	1	YES	P+CHD|NONE|NONE|CLOSE	10	1	BIOLOGICAL	6	pchedy	EINSETZEN · BEARBEITEN · SCHLUSS
P+CHD+Y	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	Y	0	YES	P+CHD|NONE|Y|OPEN	1	1	BIOLOGICAL	1	pchdy	EINSETZEN · BEARBEITEN · POSTEN
P+DA+L+SH+D_ADDR+Y	P	SH	P+SH	EINSETZEN → HALTEN	NONE	Y	0	YES	P+SH|NONE|Y|OPEN	1	1	BIOLOGICAL	1	pdalshdy	EINSETZEN · ZWEITE STUFE · VERBINDUNG · HALTEN · HIER · POSTEN
P+D_ADDR+AL+SH+OR	P	SH	P+SH	EINSETZEN → HALTEN	NONE	OR	0	YES	P+SH|NONE|OR|OPEN	1	1	BIOLOGICAL	1	pdalshor	EINSETZEN · HIER · ZIELORT · HALTEN · EINHEIT
P+D_ADDR+R+AIR+DY	P	R	P+R	EINSETZEN → MARKIEREN	NONE	NONE	1	YES	P+R|NONE|NONE|CLOSE	1	1	HERBAL	1	pdrairdy	EINSETZEN · HIER · MARKIEREN · BAHN · SCHLUSS
P+OL+AL+CHD+DY	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	1	YES	P+CHD|NONE|NONE|CLOSE	1	1	BIOLOGICAL	1	polalchdy	EINSETZEN · FORTSETZEN · ZIELORT · BEARBEITEN · SCHLUSS
P+OL+CH+O+Y	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	Y	0	YES	P+CH|NONE|Y|OPEN	1	1	BIOLOGICAL	1	polchoy	EINSETZEN · FORTSETZEN · NEHMEN · AUSFÜHRUNG · POSTEN
P+OL+CHD	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	0	YES	P+CHD|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	polched	EINSETZEN · FORTSETZEN · BEARBEITEN
P+OL+CHD+DY	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	NONE	1	YES	P+CHD|NONE|NONE|CLOSE	1	1	BIOLOGICAL	1	polchdy	EINSETZEN · FORTSETZEN · BEARBEITEN · SCHLUSS
P+OL+D_ADDR+AR+A_ADDR+IIN+S	P	S	P+S	EINSETZEN → WÄHLEN	NONE	NONE	0	YES	P+S|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	poldarais	EINSETZEN · FORTSETZEN · HIER · AUSGANG · HIER · STUFE · WÄHLEN
P+OL+SH+Y	P	SH	P+SH	EINSETZEN → HALTEN	NONE	Y	0	YES	P+SH|NONE|Y|OPEN	2	1	BIOLOGICAL	2	polshy	EINSETZEN · FORTSETZEN · HALTEN · POSTEN
P+SH+AR	P	SH	P+SH	EINSETZEN → HALTEN	NONE	NONE	0	YES	P+SH|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	pshar	EINSETZEN · HALTEN · AUSGANG
P+SH+E+DY	P	SH	P+SH	EINSETZEN → HALTEN	E	NONE	1	YES	P+SH|E|NONE|CLOSE	1	1	BIOLOGICAL	1	pshedy	EINSETZEN · HALTEN · GRAD I · SCHLUSS
P+SH+E+D_ADDR+AR	P	SH	P+SH	EINSETZEN → HALTEN	E	NONE	0	YES	P+SH|E|NONE|OPEN	1	1	HERBAL	1	pshedar	EINSETZEN · HALTEN · GRAD I · HIER · AUSGANG
P+SH+OL	P	SH	P+SH	EINSETZEN → HALTEN	NONE	NONE	0	YES	P+SH|NONE|NONE|OPEN	2	2	SOURCE_SECTION_T|PHARMA	2	pshol	EINSETZEN · HALTEN · FORTSETZEN
P+Y+K+EE+OR	P	K	P+K	EINSETZEN → GEBEN	EE	Y|OR	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	pcheykeeor	EINSETZEN · POSTEN · GEBEN · GRAD II · EINHEIT
R+AL+CH+E+Y	R	CH	R+CH	MARKIEREN → NEHMEN	E	Y	0	YES	R+CH|E|Y|OPEN	1	1	BIOLOGICAL	1	ralchey	MARKIEREN · ZIELORT · NEHMEN · GRAD I · POSTEN
R+A_ADDR+S+Y	R	S	R+S	MARKIEREN → WÄHLEN	NONE	Y	0	YES	R+S|NONE|Y|OPEN	1	1	BIOLOGICAL	1	rasy	MARKIEREN · HIER · WÄHLEN · POSTEN
R+CH+E+Y	R	CH	R+CH	MARKIEREN → NEHMEN	E	Y	0	YES	R+CH|E|Y|OPEN	1	1	BIOLOGICAL	1	rchey	MARKIEREN · NEHMEN · GRAD I · POSTEN
R+CHD+Y	R	CHD	R+CHD	MARKIEREN → BEARBEITEN	NONE	Y	0	YES	R+CHD|NONE|Y|OPEN	2	1	BIOLOGICAL	2	rchedy	MARKIEREN · BEARBEITEN · POSTEN
R+SH+D_ADDR+Y	R	SH	R+SH	MARKIEREN → HALTEN	NONE	Y	0	YES	R+SH|NONE|Y|OPEN	1	1	BIOLOGICAL	1	rshdy	MARKIEREN · HALTEN · HIER · POSTEN
R+SH+E+AL	R	SH	R+SH	MARKIEREN → HALTEN	E	NONE	0	YES	R+SH|E|NONE|OPEN	1	1	BIOLOGICAL	1	rsheal	MARKIEREN · HALTEN · GRAD I · ZIELORT
R+SH+E+DY	R	SH	R+SH	MARKIEREN → HALTEN	E	NONE	1	YES	R+SH|E|NONE|CLOSE	2	1	BIOLOGICAL	2	rshedy	MARKIEREN · HALTEN · GRAD I · SCHLUSS
R+SH+EE+D_ADDR+Y	R	SH	R+SH	MARKIEREN → HALTEN	EE	Y	0	YES	R+SH|EE|Y|OPEN	2	1	BIOLOGICAL	2	rsheedy	MARKIEREN · HALTEN · GRAD II · HIER · POSTEN
R+T+AIN	R	T	R+T	MARKIEREN → EINSTELLEN	NONE	AIN	0	YES	R+T|NONE|AIN|OPEN	1	1	BIOLOGICAL	1	rtain	MARKIEREN · EINSTELLEN · ANTEIL
S+AL+CH+E+O+L	S	CH	S+CH	WÄHLEN → NEHMEN	E	NONE	0	YES	S+CH|E|NONE|OPEN	1	1	BIOLOGICAL	1	salcheol	WÄHLEN · ZIELORT · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
S+AL+CHD+Y	S	CHD	S+CHD	WÄHLEN → BEARBEITEN	NONE	Y	0	YES	S+CHD|NONE|Y|OPEN	1	1	BIOLOGICAL	1	salchedy	WÄHLEN · ZIELORT · BEARBEITEN · POSTEN
S+AL+S+AIN	S	S	S+S	WÄHLEN → WÄHLEN	NONE	AIN	0	YES	S+S|NONE|AIN|OPEN	1	1	CELESTIAL	1	salsain	WÄHLEN · ZIELORT · WÄHLEN · ANTEIL
S+AL+S+AL+Y	S	S	S+S	WÄHLEN → WÄHLEN	NONE	Y	0	YES	S+S|NONE|Y|OPEN	1	1	PHARMA	1	salsaly	WÄHLEN · ZIELORT · WÄHLEN · ZIELORT · POSTEN
S+A_ADDR+IIN+S+OL	S	S	S+S	WÄHLEN → WÄHLEN	NONE	NONE	0	YES	S+S|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	saiisol	WÄHLEN · HIER · STUFE · WÄHLEN · FORTSETZEN
S+A_ADDR+L+SH+E+Y	S	SH	S+SH	WÄHLEN → HALTEN	E	Y	0	YES	S+SH|E|Y|OPEN	2	2	BIOLOGICAL|CELESTIAL	2	okalshey|salshey	WÄHLEN · HIER · VERBINDUNG · HALTEN · GRAD I · POSTEN
S+CH+E+Y	S	CH	S+CH	WÄHLEN → NEHMEN	E	Y	0	YES	S+CH|E|Y|OPEN	1	1	HERBAL	1	schey	WÄHLEN · NEHMEN · GRAD I · POSTEN
S+K+AL	S	K	S+K	WÄHLEN → GEBEN	NONE	NONE	0	YES	S+K|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	skal	WÄHLEN · GEBEN · ZIELORT
S+O+DA+R	S	R	S+R	WÄHLEN → MARKIEREN	NONE	NONE	0	YES	S+R|NONE|NONE|OPEN	2	2	BIOLOGICAL|CELESTIAL	2	sodar	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN
S+O+SH+O	S	SH	S+SH	WÄHLEN → HALTEN	NONE	NONE	0	YES	S+SH|NONE|NONE|OPEN	1	1	CELESTIAL	1	sosho	WÄHLEN · AUSFÜHRUNG · HALTEN · AUSFÜHRUNG
S+OK+E+O+D_ADDR+AIIN	S	OK	S+OK	WÄHLEN → SETZEN	E	AIIN	0	YES	S+OK|E|AIIN|OPEN	1	1	PHARMA	1	sqokeodaiin	WÄHLEN · SETZEN · GRAD I · AUSFÜHRUNG · HIER · WERT
S+OK+EE+DY	S	OK	S+OK	WÄHLEN → SETZEN	EE	NONE	1	YES	S+OK|EE|NONE|CLOSE	1	1	BIOLOGICAL	1	sokeedy	WÄHLEN · SETZEN · GRAD II · SCHLUSS
S+OL+CHD+Y	S	CHD	S+CHD	WÄHLEN → BEARBEITEN	NONE	Y	0	YES	S+CHD|NONE|Y|OPEN	3	1	BIOLOGICAL	3	solchedy	WÄHLEN · FORTSETZEN · BEARBEITEN · POSTEN
S+OL+SH+E	S	SH	S+SH	WÄHLEN → HALTEN	E	NONE	0	YES	S+SH|E|NONE|OPEN	1	1	BIOLOGICAL	1	solshed	WÄHLEN · FORTSETZEN · HALTEN · GRAD I
S+OR+AIIN+R	S	R	S+R	WÄHLEN → MARKIEREN	NONE	OR|AIIN	0	NO	NONCANONICAL_MULTISLOT	1	1	CELESTIAL	1	soraiir	WÄHLEN · EINHEIT · WERT · MARKIEREN
S+OR+SH+Y	S	SH	S+SH	WÄHLEN → HALTEN	NONE	OR|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	PHARMA	1	sorshy	WÄHLEN · EINHEIT · HALTEN · POSTEN
S+SH+E+DY	S	SH	S+SH	WÄHLEN → HALTEN	E	NONE	1	YES	S+SH|E|NONE|CLOSE	2	1	BIOLOGICAL	2	sshedy	WÄHLEN · HALTEN · GRAD I · SCHLUSS
S+SH+E+OL	S	SH	S+SH	WÄHLEN → HALTEN	E	NONE	0	YES	S+SH|E|NONE|OPEN	1	1	BIOLOGICAL	1	ssheol	WÄHLEN · HALTEN · GRAD I · FORTSETZEN
S+SH+E+Y	S	SH	S+SH	WÄHLEN → HALTEN	E	Y	0	YES	S+SH|E|Y|OPEN	2	2	BIOLOGICAL|CELESTIAL	2	sshey	WÄHLEN · HALTEN · GRAD I · POSTEN
S+Y+IIN+R	S	R	S+R	WÄHLEN → MARKIEREN	NONE	Y	0	YES	S+R|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	syaiir	WÄHLEN · POSTEN · STUFE · MARKIEREN
SH+E+AL+S	SH	S	SH+S	HALTEN → WÄHLEN	E	NONE	0	YES	SH+S|E|NONE|OPEN	1	1	BIOLOGICAL	1	sheals	HALTEN · GRAD I · ZIELORT · WÄHLEN
SH+E+CH+Y	SH	CH	SH+CH	HALTEN → NEHMEN	E	Y	0	YES	SH+CH|E|Y|OPEN	1	1	BIOLOGICAL	1	shechy	HALTEN · GRAD I · NEHMEN · POSTEN
SH+E+K	SH	K	SH+K	HALTEN → GEBEN	E	NONE	0	YES	SH+K|E|NONE|OPEN	2	1	BIOLOGICAL	1	shek	HALTEN · GRAD I · GEBEN
SH+E+K+AIIN	SH	K	SH+K	HALTEN → GEBEN	E	AIIN	0	YES	SH+K|E|AIIN|OPEN	1	1	HERBAL	1	shekaiin	HALTEN · GRAD I · GEBEN · WERT
SH+E+K+AL	SH	K	SH+K	HALTEN → GEBEN	E	NONE	0	YES	SH+K|E|NONE|OPEN	1	1	BIOLOGICAL	1	shekal	HALTEN · GRAD I · GEBEN · ZIELORT
SH+E+K+E+D_ADDR+Y	SH	K	SH+K	HALTEN → GEBEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	shedkedy	HALTEN · GRAD I · GEBEN · GRAD I · HIER · POSTEN
SH+E+K+O+IIN	SH	K	SH+K	HALTEN → GEBEN	E	NONE	0	YES	SH+K|E|NONE|OPEN	1	1	HERBAL	1	shekoiin	HALTEN · GRAD I · GEBEN · AUSFÜHRUNG · STUFE
SH+E+K+OR	SH	K	SH+K	HALTEN → GEBEN	E	OR	0	YES	SH+K|E|OR|OPEN	1	1	PHARMA	1	shekor	HALTEN · GRAD I · GEBEN · EINHEIT
SH+E+K+Y	SH	K	SH+K	HALTEN → GEBEN	E	Y	0	YES	SH+K|E|Y|OPEN	3	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	3	sheky	HALTEN · GRAD I · GEBEN · POSTEN
SH+E+K+Y+DY	SH	K	SH+K	HALTEN → GEBEN	E	Y	1	YES	SH+K|E|Y|CLOSE	1	1	HERBAL	1	shekydy	HALTEN · GRAD I · GEBEN · POSTEN · SCHLUSS
SH+E+O+S	SH	S	SH+S	HALTEN → WÄHLEN	E	NONE	0	YES	SH+S|E|NONE|OPEN	1	1	HERBAL	1	sheos	HALTEN · GRAD I · AUSFÜHRUNG · WÄHLEN
SH+E+OK+E+Y	SH	OK	SH+OK	HALTEN → SETZEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	sheokey	HALTEN · GRAD I · SETZEN · GRAD I · POSTEN
SH+E+OK+Y	SH	OK	SH+OK	HALTEN → SETZEN	E	Y	0	YES	SH+OK|E|Y|OPEN	2	2	BIOLOGICAL|PHARMA	2	sheoky	HALTEN · GRAD I · SETZEN · POSTEN
SH+E+OL+T+E+Y	SH	T	SH+T	HALTEN → EINSTELLEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	CELESTIAL	1	sheoltey	HALTEN · GRAD I · FORTSETZEN · EINSTELLEN · GRAD I · POSTEN
SH+E+P+Y	SH	P	SH+P	HALTEN → EINSETZEN	E	Y	0	YES	SH+P|E|Y|OPEN	1	1	BIOLOGICAL	1	shepchy	HALTEN · GRAD I · EINSETZEN · POSTEN
SH+E+S	SH	S	SH+S	HALTEN → WÄHLEN	E	NONE	0	YES	SH+S|E|NONE|OPEN	1	1	CELESTIAL	1	shes	HALTEN · GRAD I · WÄHLEN
SH+E+T+AR	SH	T	SH+T	HALTEN → EINSTELLEN	E	NONE	0	YES	SH+T|E|NONE|OPEN	1	1	BIOLOGICAL	1	shetar	HALTEN · GRAD I · EINSTELLEN · AUSGANG
SH+E+T+E+Y	SH	T	SH+T	HALTEN → EINSTELLEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	CELESTIAL	1	shetey	HALTEN · GRAD I · EINSTELLEN · GRAD I · POSTEN
SH+E+Y+K	SH	K	SH+K	HALTEN → GEBEN	E	Y	0	YES	SH+K|E|Y|OPEN	1	1	HERBAL	1	sheyk	HALTEN · GRAD I · POSTEN · GEBEN
SH+E+Y+R	SH	R	SH+R	HALTEN → MARKIEREN	E	Y	0	YES	SH+R|E|Y|OPEN	1	1	PHARMA	1	sheyr	HALTEN · GRAD I · POSTEN · MARKIEREN
SH+EE+K+Y	SH	K	SH+K	HALTEN → GEBEN	EE	Y	0	YES	SH+K|EE|Y|OPEN	3	1	BIOLOGICAL	3	sheeky	HALTEN · GRAD II · GEBEN · POSTEN
SH+EE+O+S	SH	S	SH+S	HALTEN → WÄHLEN	EE	NONE	0	YES	SH+S|EE|NONE|OPEN	1	1	PHARMA	1	sheeos	HALTEN · GRAD II · AUSFÜHRUNG · WÄHLEN
SH+EE+S	SH	S	SH+S	HALTEN → WÄHLEN	EE	NONE	0	YES	SH+S|EE|NONE|OPEN	2	1	CELESTIAL	2	shees	HALTEN · GRAD II · WÄHLEN
SH+EE+T+Y	SH	T	SH+T	HALTEN → EINSTELLEN	EE	Y	0	YES	SH+T|EE|Y|OPEN	4	1	BIOLOGICAL	2	sheety	HALTEN · GRAD II · EINSTELLEN · POSTEN
SH+K+Y	SH	K	SH+K	HALTEN → GEBEN	NONE	Y	0	YES	SH+K|NONE|Y|OPEN	3	2	HERBAL|BIOLOGICAL	3	shkchy|shky	HALTEN · GEBEN · POSTEN
SH+O+E+T+Y	SH	T	SH+T	HALTEN → EINSTELLEN	E	Y	0	YES	SH+T|E|Y|OPEN	1	1	PHARMA	1	shoety	HALTEN · AUSFÜHRUNG · GRAD I · EINSTELLEN · POSTEN
SH+O+S	SH	S	SH+S	HALTEN → WÄHLEN	NONE	NONE	0	YES	SH+S|NONE|NONE|OPEN	2	2	SOURCE_SECTION_T|HERBAL	2	shos	HALTEN · AUSFÜHRUNG · WÄHLEN
SH+O+SH+Y	SH	SH	SH+SH	HALTEN → HALTEN	NONE	Y	0	YES	SH+SH|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	shoshy	HALTEN · AUSFÜHRUNG · HALTEN · POSTEN
SH+O+Y+T+Y	SH	T	SH+T	HALTEN → EINSTELLEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	shoyty	HALTEN · AUSFÜHRUNG · POSTEN · EINSTELLEN · POSTEN
SH+OK	SH	OK	SH+OK	HALTEN → SETZEN	NONE	NONE	0	YES	SH+OK|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	shok	HALTEN · SETZEN
SH+OK+AIIN	SH	OK	SH+OK	HALTEN → SETZEN	NONE	AIIN	0	YES	SH+OK|NONE|AIIN|OPEN	1	1	HERBAL	1	shokaiin	HALTEN · SETZEN · WERT
SH+OK+AIN	SH	OK	SH+OK	HALTEN → SETZEN	NONE	AIN	0	YES	SH+OK|NONE|AIN|OPEN	1	1	BIOLOGICAL	1	shokain	HALTEN · SETZEN · ANTEIL
SH+OK+AL	SH	OK	SH+OK	HALTEN → SETZEN	NONE	NONE	0	YES	SH+OK|NONE|NONE|OPEN	1	1	CELESTIAL	1	shokal	HALTEN · SETZEN · ZIELORT
SH+OL+LOCAL_CHAR_F+CH+OR	SH	CH	SH+CH	HALTEN → NEHMEN	NONE	OR	0	YES	SH+CH|NONE|OR|OPEN	1	1	PHARMA	1	sholfchor	HALTEN · FORTSETZEN · HIER · NEHMEN · EINHEIT
SH+OT+SH+E+Y	SH	SH	SH+SH	HALTEN → HALTEN	E	Y	0	YES	SH+SH|E|Y|OPEN	1	1	HERBAL	1	shotshey	HALTEN · DANACH · HALTEN · GRAD I · POSTEN
SH+T+OL	SH	T	SH+T	HALTEN → EINSTELLEN	NONE	NONE	0	YES	SH+T|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	shtol	HALTEN · EINSTELLEN · FORTSETZEN
T+CH+AR	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	NONE	0	YES	T+CH|NONE|NONE|OPEN	1	1	HERBAL	1	tchar	EINSTELLEN · NEHMEN · AUSGANG
T+CH+E+O+L	T	CH	T+CH	EINSTELLEN → NEHMEN	E	NONE	0	YES	T+CH|E|NONE|OPEN	2	2	BIOLOGICAL|PHARMA	2	tcheol	EINSTELLEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
T+CH+E+Y	T	CH	T+CH	EINSTELLEN → NEHMEN	E	Y	0	YES	T+CH|E|Y|OPEN	1	1	SOURCE_SECTION_T	1	tchey	EINSTELLEN · NEHMEN · GRAD I · POSTEN
T+CH+O	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	NONE	0	YES	T+CH|NONE|NONE|OPEN	2	1	HERBAL	2	tcho	EINSTELLEN · NEHMEN · AUSFÜHRUNG
T+CH+O+DY	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	NONE	1	YES	T+CH|NONE|NONE|CLOSE	3	1	HERBAL	2	tchody	EINSTELLEN · NEHMEN · AUSFÜHRUNG · SCHLUSS
T+CH+O+D_ADDR+AR	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	NONE	0	YES	T+CH|NONE|NONE|OPEN	1	1	HERBAL	1	tchodar	EINSTELLEN · NEHMEN · AUSFÜHRUNG · HIER · AUSGANG
T+CH+O+D_ADDR+OL	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	NONE	0	YES	T+CH|NONE|NONE|OPEN	1	1	PHARMA	1	tchodol	EINSTELLEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN
T+CH+OR	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	OR	0	YES	T+CH|NONE|OR|OPEN	2	1	HERBAL	2	tchor	EINSTELLEN · NEHMEN · EINHEIT
T+CHD	T	CHD	T+CHD	EINSTELLEN → BEARBEITEN	NONE	NONE	0	YES	T+CHD|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	tchd	EINSTELLEN · BEARBEITEN
T+CHD+AIIN	T	CHD	T+CHD	EINSTELLEN → BEARBEITEN	NONE	AIIN	0	YES	T+CHD|NONE|AIIN|OPEN	1	1	HERBAL	1	tchdaiin	EINSTELLEN · BEARBEITEN · WERT
T+CHD+Y	T	CHD	T+CHD	EINSTELLEN → BEARBEITEN	NONE	Y	0	YES	T+CHD|NONE|Y|OPEN	5	2	HERBAL|BIOLOGICAL	3	tchedy	EINSTELLEN · BEARBEITEN · POSTEN
T+E+CHD+Y	T	CHD	T+CHD	EINSTELLEN → BEARBEITEN	E	Y	0	YES	T+CHD|E|Y|OPEN	1	1	BIOLOGICAL	1	techedy	EINSTELLEN · GRAD I · BEARBEITEN · POSTEN
T+O+CH+OL	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	NONE	0	YES	T+CH|NONE|NONE|OPEN	1	1	HERBAL	1	tochol	EINSTELLEN · AUSFÜHRUNG · NEHMEN · FORTSETZEN
T+O+S	T	S	T+S	EINSTELLEN → WÄHLEN	NONE	NONE	0	YES	T+S|NONE|NONE|OPEN	2	1	PHARMA	2	tos	EINSTELLEN · AUSFÜHRUNG · WÄHLEN
T+OK+Y	T	OK	T+OK	EINSTELLEN → SETZEN	NONE	Y	0	YES	T+OK|NONE|Y|OPEN	1	1	HERBAL	1	tchoky	EINSTELLEN · SETZEN · POSTEN
T+OL+CHD	T	CHD	T+CHD	EINSTELLEN → BEARBEITEN	NONE	NONE	0	YES	T+CHD|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	tolchd	EINSTELLEN · FORTSETZEN · BEARBEITEN
T+OR+SH+OR	T	SH	T+SH	EINSTELLEN → HALTEN	NONE	OR|OR	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	torshor	EINSTELLEN · EINHEIT · HALTEN · EINHEIT
T+SH+D_ADDR+AL	T	SH	T+SH	EINSTELLEN → HALTEN	NONE	NONE	0	YES	T+SH|NONE|NONE|OPEN	1	1	HERBAL	1	tshdal	EINSTELLEN · HALTEN · HIER · ZIELORT
T+SH+O	T	SH	T+SH	EINSTELLEN → HALTEN	NONE	NONE	0	YES	T+SH|NONE|NONE|OPEN	1	1	HERBAL	1	tsho	EINSTELLEN · HALTEN · AUSFÜHRUNG
T+SH+OL	T	SH	T+SH	EINSTELLEN → HALTEN	NONE	NONE	0	YES	T+SH|NONE|NONE|OPEN	1	1	HERBAL	1	tshol	EINSTELLEN · HALTEN · FORTSETZEN
T+SH+OR	T	SH	T+SH	EINSTELLEN → HALTEN	NONE	OR	0	YES	T+SH|NONE|OR|OPEN	1	1	HERBAL	1	tshor	EINSTELLEN · HALTEN · EINHEIT
Y+CH+E+O+R	CH	R	CH+R	NEHMEN → MARKIEREN	E	Y	0	YES	CH+R|E|Y|OPEN	1	1	HERBAL	1	ycheor	POSTEN · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
Y+CH+K	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	1	1	HERBAL	1	ychekch	POSTEN · NEHMEN · GEBEN
Y+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	ychekchy	POSTEN · NEHMEN · GEBEN · POSTEN
Y+D_ADDR+CH+O+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	Y	0	YES	CH+S|NONE|Y|OPEN	1	1	CELESTIAL	1	ydchos	POSTEN · HIER · NEHMEN · AUSFÜHRUNG · WÄHLEN
Y+E+K+EE+S	K	S	K+S	GEBEN → WÄHLEN	E|EE	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	CELESTIAL	1	yekees	POSTEN · GRAD I · GEBEN · GRAD II · WÄHLEN
Y+K+A_ADDR+K+Y	K	K	K+K	GEBEN → GEBEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	ykaky	POSTEN · GEBEN · HIER · GEBEN · POSTEN
Y+K+CH+E+Y	K	CH	K+CH	GEBEN → NEHMEN	E	Y|Y	0	NO	NONCANONICAL_MULTISLOT	3	2	CELESTIAL|PHARMA	2	ykchey	POSTEN · GEBEN · NEHMEN · GRAD I · POSTEN
Y+K+CH+O	K	CH	K+CH	GEBEN → NEHMEN	NONE	Y	0	YES	K+CH|NONE|Y|OPEN	1	1	HERBAL	1	ykcho	POSTEN · GEBEN · NEHMEN · AUSFÜHRUNG
Y+K+CH+OR	K	CH	K+CH	GEBEN → NEHMEN	NONE	Y|OR	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	ykchor	POSTEN · GEBEN · NEHMEN · EINHEIT
Y+K+CH+Y	K	CH	K+CH	GEBEN → NEHMEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	chykchy	POSTEN · GEBEN · NEHMEN · POSTEN
Y+K+CHD+Y	K	CHD	K+CHD	GEBEN → BEARBEITEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	PHARMA	1	ykchdy	POSTEN · GEBEN · BEARBEITEN · POSTEN
Y+K+E+SH+E+Y	K	SH	K+SH	GEBEN → HALTEN	E|E	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	ykeshey	POSTEN · GEBEN · GRAD I · HALTEN · GRAD I · POSTEN
Y+K+EE+S+AN	K	S	K+S	GEBEN → WÄHLEN	EE	Y	0	YES	K+S|EE|Y|OPEN	1	1	HERBAL	1	ykeesan	POSTEN · GEBEN · GRAD II · WÄHLEN · KLASSE
Y+K+Y+CH+Y	K	CH	K+CH	GEBEN → NEHMEN	NONE	Y|Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	ykychy	POSTEN · GEBEN · POSTEN · NEHMEN · POSTEN
Y+P+CH	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	Y	0	YES	P+CH|NONE|Y|OPEN	1	1	HERBAL	1	ypch	POSTEN · EINSETZEN · NEHMEN
Y+P+CH+Y	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	ypchy	POSTEN · EINSETZEN · NEHMEN · POSTEN
