surface	events	pages	kinds	primary_transfer_class	component_recipe	portable_default_de	source_surface	edit_distance	owner_bound_label_use	confidence
soteol	1	f88v	P	NEAR_REGISTERED_ALLOGRAPH	OT+E+OL	DANACH · KURZ · FORTSETZEN	oteol	1	NO	MEDIUM
soy	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	Y	POSTEN	shy	1	NO	MEDIUM
sqokeodaiin	1	f88v	P	VISIBLE_NEW_COMPOSITION	S+OK+E+O+D_ADDR+AIIN	AUSWÄHLEN · SETZEN · KURZ · AUSFÜHREN · TEIL · MASS	oteodaiin	3	NO	WORKING
sshedy	1	f77r	P	EXACT_REGISTERED_SURFACE	S+SH+E+DY	AUSWÄHLEN · HALTEN · KURZ · SCHLUSS	sshedy	0	NO	HIGH
tain	1	f77r	P	VISIBLE_NEW_COMPOSITION	T+AIN	STELLEN · PORTION	ain	1	NO	MEDIUM_HIGH
tal	2	f71v|f77r	C|P	EXACT_REGISTERED_SURFACE	T+AL	STELLEN · ZIEL	tal	0	NO	HIGH
tcho	1	f17r	P	EXACT_REGISTERED_SURFACE	T+CH+O	STELLEN · NEHMEN · AUSFÜHREN	tcho	0	NO	HIGH
tedy	1	f77r	P	EXACT_REGISTERED_SURFACE	T+E+DY	STELLEN · KURZ · SCHLUSS	tedy	0	NO	HIGH
teeey	1	f71v	C	VISIBLE_NEW_COMPOSITION	T+EEE+Y	STELLEN · VOLL · POSTEN	teey	1	NO	MEDIUM_HIGH
teeolain	1	f77r	P	VISIBLE_NEW_COMPOSITION	T+EE+OL+AIN	STELLEN · LÄNGER · FORTSETZEN · PORTION	teodaiin	3	NO	WORKING
teey	1	f71v	C	EXACT_REGISTERED_SURFACE	T+EE+Y	STELLEN · LÄNGER · POSTEN	teey	0	NO	HIGH
teodal	1	f88v	P	VISIBLE_NEW_COMPOSITION	T+E+O+D_ADDR+AL	STELLEN · KURZ · AUSFÜHREN · TEIL · ZIEL	odal	2	NO	MEDIUM_HIGH
toairy	1	f88v	P	TENTATIVE_ROOTED_VARIANT	D_ADDR+O+AIR	TEIL · AUSFÜHREN · LAUF	doair	2	NO	WORKING
tol	1	f88v	P	EXACT_REGISTERED_SURFACE	T+OL	STELLEN · FORTSETZEN	tol	0	NO	HIGH
tolchd	1	f77r	P	VISIBLE_NEW_COMPOSITION	T+OL+CHD	STELLEN · FORTSETZEN · UMSETZEN	kolchdy	2	NO	MEDIUM_HIGH
tos	1	f88v	P	VISIBLE_NEW_COMPOSITION	T+O+S	STELLEN · AUSFÜHREN · AUSWÄHLEN	os	1	NO	MEDIUM_HIGH
tsho	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	SH+O	HALTEN · AUSFÜHREN	sho	1	NO	MEDIUM
y	4	f17r|f77r|f88v	P	EXACT_REGISTERED_SURFACE	Y	POSTEN	y	0	NO	HIGH
ychekchy	1	f17r	P	VISIBLE_NEW_COMPOSITION	Y+CHK+Y	POSTEN · BEHANDELN · POSTEN	chedchy	2	NO	MEDIUM_HIGH
ychod	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	CH+O+D_ADDR	NEHMEN · AUSFÜHREN · TEIL	chod	1	NO	MEDIUM
ydair	1	f17r	P	VISIBLE_NEW_COMPOSITION	Y+D_ADDR+AIR	POSTEN · TEIL · LAUF	dair	1	NO	MEDIUM_HIGH
ydar	1	f17r	P	VISIBLE_NEW_COMPOSITION	Y+D_ADDR+AR	POSTEN · TEIL · QUELLE	dar	1	NO	MEDIUM_HIGH
yfolaiin	1	f88v	P	NEAR_REGISTERED_ALLOGRAPH	Y+K+OL+AIIN	POSTEN · GEBEN · FORTSETZEN · MASS	ykolaiin	1	NO	MEDIUM
ykchey	1	f88v	P	EXACT_REGISTERED_SURFACE	Y+K+CH+E+Y	POSTEN · GEBEN · NEHMEN · KURZ · POSTEN	ykchey	0	NO	HIGH
ykchy	1	f17r	P	EXACT_REGISTERED_SURFACE	Y+K+Y	POSTEN · GEBEN · POSTEN	ykchy	0	NO	HIGH
ykeeor	1	f88v	P	VISIBLE_NEW_COMPOSITION	Y+K+EE+OR	POSTEN · GEBEN · LÄNGER · ANSATZ	okeeor	1	NO	MEDIUM_HIGH
ykeey	1	f88v	P	EXACT_REGISTERED_SURFACE	Y+K+EE+Y	POSTEN · GEBEN · LÄNGER · POSTEN	ykeey	0	NO	HIGH
ykeodain	1	f88v	P	VISIBLE_NEW_COMPOSITION	Y+K+E+O+D_ADDR+AIN	POSTEN · GEBEN · KURZ · AUSFÜHREN · TEIL · PORTION	chedain	3	NO	WORKING
ypaim	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	Y+P+AIR	POSTEN · EINSETZEN · LAUF	ypair	1	NO	MEDIUM
ypchy	1	f17r	P	VISIBLE_NEW_COMPOSITION	Y+P+CH+Y	POSTEN · EINSETZEN · NEHMEN · POSTEN	dpchy	1	NO	MEDIUM_HIGH
ypod	1	f17r	P	VISIBLE_NEW_COMPOSITION	Y+P+O+D_ADDR	POSTEN · EINSETZEN · AUSFÜHREN · TEIL	chod	2	NO	MEDIUM_HIGH
ysheey	1	f77r	P	VISIBLE_NEW_COMPOSITION	Y+SH+EE+Y	POSTEN · HALTEN · LÄNGER · POSTEN	sheey	1	NO	MEDIUM_HIGH
ysheod	1	f88v	P	NEAR_REGISTERED_ALLOGRAPH	Y+SH+E+OR	POSTEN · HALTEN · KURZ · ANSATZ	ysheor	1	NO	MEDIUM
zepchy	1	f17r	P	TENTATIVE_ROOTED_VARIANT	O+P+Y	AUSFÜHREN · EINSETZEN · POSTEN	qopchy	2	NO	WORKING
