identity	surface	component_recipe	slot_signature	root_reading_de	dictionary_value_de	local_fluent_expansions_de	primary_pattern	marks	orders	renderer_rule
PROC134	pchedal	P+CHD+AL	OPERATION>OPERATION>ADDRESS	EINBRINGEN · UMSETZEN · ZIELSTELLE	EINBRINGEN · UMSETZEN · ZIELSTELLE	AN DER ZIELSTELLE EINBRINGEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC135	otedy	OT+E+DY	ORDER>GRADE>ENDPOINT	DANACH · KURZ · SCHLIESSEN	DANACH · KURZ · SCHLIESSEN	KURZEN FOLGESCHRITT SCHLIESSEN	CLOSING_INSTRUCTION	2	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC136	shecthedchy	SH+E+CTH+CHD+Y	STATE>GRADE>STATE>OPERATION>REFERENT	HALTEN · KURZ · BEREIT · UMSETZEN · POSTEN	HALTEN · KURZ · BEREIT · UMSETZEN · POSTEN	KURZ BEREITHALTEN UND UMSETZEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC137	chary	AR+Y	ADDRESS>REFERENT	QUELLE · POSTEN	QUELLE · POSTEN	AUS DER QUELLE NEHMEN	ARGUMENT_OR_ADDRESS	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC138	okair	OK+AIR	OPERATION>PATH	ANSETZEN · LAUF	ANSETZEN · LAUF	WASSER ANSETZEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC139	sheedy	SH+EE+DY	STATE>GRADE>ENDPOINT	HALTEN · LANG · SCHLIESSEN	HALTEN · LANG · SCHLIESSEN	LAENGER HALTEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC140	lo	L+O	PATH>PROCESS	LEITEN · ARBEITSGANG	LEITEN · ARBEITSGANG	IM ARBEITSGANG LEITEN	TRANSFER_OR_PATH	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC141	qokshedy	OK+SH+E+DY	OPERATION>STATE>GRADE>ENDPOINT	ANSETZEN · HALTEN · KURZ · SCHLIESSEN	ANSETZEN · HALTEN · KURZ · SCHLIESSEN	KURZ ANSETZEN UND HALTEN	CLOSING_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC142	shedal	SHED+AL	STATE>ADDRESS	RUHEN · ZIELSTELLE	STEHENLASSEN · ZIELSTELLE	STEHENLASSEN · ZIELSTELLE	STATE_OR_GRADE	2	WH03,WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC143	shecthy	SH+E+CTH+Y	STATE>GRADE>STATE>REFERENT	HALTEN · KURZ · BEREIT · POSTEN	HALTEN · KURZ · BEREIT · POSTEN	KURZ BEREITHALTEN	STATE_OR_GRADE	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC144	dalchdy	AL+CHD+DY	ADDRESS>OPERATION>ENDPOINT	ZIELSTELLE · UMSETZEN · SCHLIESSEN	ZIELSTELLE · UMSETZEN · SCHLIESSEN	AN DER ZIELSTELLE UMSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC145	qotchedy	OT+CHD+DY	ORDER>OPERATION>ENDPOINT	DANACH · UMSETZEN · SCHLIESSEN	DANACH · UMSETZEN · SCHLIESSEN	DANACH UMSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	2	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC146	cheedar	EE+AR	GRADE>ADDRESS	LANG · QUELLE	LANG · QUELLE	LAENGER AUS DER QUELLE ARBEITEN	STATE_OR_GRADE	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC147	chldaiin	L+AIIN	PATH>ARGUMENT	LEITEN · MASS	LEITEN · MASS	NACH SOLLMASS LEITEN	TRANSFER_OR_PATH	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC148	chealror	AL+R+OR	ADDRESS>STATE>MATERIAL	ZIELSTELLE · KUEHL · ANSATZ	ZIELSTELLE · KUEHL · ANSATZ	ZIELANSATZ KUEHLEN	STATE_OR_GRADE	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC149	cheeety	EEE+T+Y	GRADE>OPERATION>REFERENT	VOLLSTAENDIG · BEARBEITEN · POSTEN	VOLLSTAENDIG · BEARBEITEN · POSTEN	VOLLSTAENDIG DURCHARBEITEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC150	schedair	CHD+AIR	OPERATION>PATH	UMSETZEN · LAUF	UMSETZEN · LAUF	WASSER UMSETZEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC151	chedain	CHD+AIN	OPERATION>ARGUMENT	UMSETZEN · PORTION	UMSETZEN · PORTION	EINE PORTION UMSETZEN	OPERATION_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC152	qotedaiin	OT+E+AIIN	ORDER>GRADE>ARGUMENT	DANACH · KURZ · MASS	DANACH · KURZ · MASS	DANACH KURZ NACH SOLLMASS	ORDERED_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC153	olsaly	OL+AL+Y	ORDER>ADDRESS>REFERENT	FORTSETZEN · ZIELSTELLE · POSTEN	FORTSETZEN · ZIELSTELLE · POSTEN	AN DER ZIELSTELLE WEITERFUEHREN	ORDERED_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC154	qolchey	OL+Y	ORDER>REFERENT	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	POSTEN WEITERFUEHREN	ORDERED_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC155	qokylddy	OK+Y+LD+DY	OPERATION>REFERENT>OPERATION>ENDPOINT	ANSETZEN · POSTEN · FESTBINDEN · SCHLIESSEN	ANSETZEN · POSTEN · FESTBINDEN · SCHLIESSEN	ANSETZEN UND FESTBINDEN	CLOSING_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC156	dain	AIN	ARGUMENT	PORTION	EIN ABGEGRENZTER TEIL	EIN ABGEGRENZTER TEIL	ARGUMENT_OR_ADDRESS	2	WH04,WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC157	sheey	SH+EE+Y	STATE>GRADE>REFERENT	HALTEN · LANG · POSTEN	LANG HALTEN	LANG HALTEN	WHOLE_LEXICON	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC158	okeeol	OK+EE+OL	OPERATION>GRADE>ORDER	ANSETZEN · LANG · FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	LAENGER WEITERANSETZEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC159	lkedy	L+K+E+DY	PATH>OPERATION>GRADE>ENDPOINT	LEITEN · ZUGEBEN · KURZ · SCHLIESSEN	LEITEN · ZUGEBEN · KURZ · SCHLIESSEN	KURZ WEITERLEITEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC160	qokol	OK+OL	OPERATION>ORDER	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	WEITERANSETZEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC161	qockhey	O+CKH+E+Y	PROCESS>PATH>GRADE>REFERENT	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	KURZ DURCH DEN DURCHLASS FUEHREN	TRANSFER_OR_PATH	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC162	dairydy	AIR+Y+DY	PATH>REFERENT>ENDPOINT	LAUF · POSTEN · SCHLIESSEN	LAUF · POSTEN · SCHLIESSEN	WASSERPOSTEN SCHLIESSEN	CLOSING_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC163	chckhal	CH+CKH+AL	OPERATION>PATH>ADDRESS	ENTNEHMEN · DURCHLASS · ZIELSTELLE	ENTNEHMEN · DURCHLASS · ZIELSTELLE	AM ZIELDURCHLASS ENTNEHMEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC164	solkey	SOLK+E+Y	OPERATION>GRADE>REFERENT	SAMMELN · KURZ · POSTEN	SAMMELN · KURZ · POSTEN	KURZ SAMMELN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC165	skar	K+AR	OPERATION>ADDRESS	ZUGEBEN · QUELLE	ZUGEBEN · QUELLE	AUS DER QUELLE ZUGEBEN	OPERATION_INSTRUCTION	1	WH04	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC166	otchdy	OT+CHD+DY	ORDER>OPERATION>ENDPOINT	DANACH · UMSETZEN · SCHLIESSEN	DANACH · UMSETZEN · SCHLIESSEN	DANACH UMSETZEN UND SCHLIESSEN	CLOSING_INSTRUCTION	1	WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC167	lol	L+OL	PATH>ORDER	LEITEN · FORTSETZEN	LEITEN · FORTSETZEN	VON DORT WEITERLEITEN	TRANSFER_OR_PATH	1	WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC168	chdal	CHD+AL	OPERATION>ADDRESS	UMSETZEN · ZIELSTELLE	UMSETZEN · ZIELSTELLE	AN DER ZIELSTELLE UMSETZEN	OPERATION_INSTRUCTION	1	WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC169	daiiin	DA+IIN	GRADE>STATE	ZWEITE · STUFE	ZWEITE · STUFE	BIS ZUR ZWEITEN STUFE	STATE_OR_GRADE	1	WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC170	solkeey	SOLK+EE+Y	OPERATION>GRADE>REFERENT	SAMMELN · LANG · POSTEN	SAMMELN · LANG · POSTEN	LANG SAMMELN	OPERATION_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC171	qekey	E+K+E+Y	GRADE>OPERATION>GRADE>REFERENT	KURZ · ZUGEBEN · KURZ · POSTEN	KURZ · ZUGEBEN · KURZ · POSTEN	KURZ ZUGEBEN	OPERATION_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC172	raly	R+AL+Y	STATE>ADDRESS>REFERENT	KUEHL · ZIELSTELLE · POSTEN	KUEHL · ZIELSTELLE · POSTEN	AN DER ZIELSTELLE KUEHLEN	STATE_OR_GRADE	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
PROC173	ldalor	L+AL+OR	PATH>ADDRESS>MATERIAL	LEITEN · ZIELSTELLE · ANSATZ	LEITEN · ZIELSTELLE · ANSATZ	ANSATZ ZUR ZIELSTELLE LEITEN	TRANSFER_OR_PATH	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
