changed_modifier_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	modifier_atoms	modifier_type_sequence	changed_fragment_atoms	within_class_transition_count	current_modifier_phrase_de	modifier_voice_phrase_de	gdt569_context_voice_clause_de	modifier_voice_working_clause_de	guard
109	G407-E3853	G407-S650	f88r	PHARMA	qoekol	CARRIER_Q+O+E+K+OL	CARRIER_Q+O+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE	CARRIER_Q|O	2	am Beginn; zur Ausführung; auf Grad I	als neuen Einsatz, als Ausführung und auf Grad I	Weiter: gib denselben Mengenwert zu; am Beginn; zur Ausführung; auf Grad I.	Weiter: gib denselben Mengenwert zu; als neuen Einsatz, als Ausführung und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
110	G407-E3854	G407-S650	f88r	PHARMA	qoekol	CARRIER_Q+O+E+K+OL	CARRIER_Q+O+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE	CARRIER_Q|O	2	am Beginn; zur Ausführung; auf Grad I	als neuen Einsatz, als Ausführung und auf Grad I	Weiter: gib denselben Mengenwert zu; am Beginn; zur Ausführung; auf Grad I.	Weiter: gib denselben Mengenwert zu; als neuen Einsatz, als Ausführung und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
111	G407-E3855	G407-S650	f88r	PHARMA	qockhol	CARRIER_Q+O+CH+K+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: nimm denselben Mengenwert und gib denselben Mengenwert zu; am Beginn; zur Ausführung.	Weiter: nimm denselben Mengenwert und gib denselben Mengenwert zu; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
112	G407-E3875	G407-S650	f88r	PHARMA	sheoldg	SH+E+OL+D_ADDR+LOCAL_CHAR_G	E+D_ADDR+LOCAL_CHAR_G	GRADE+LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	LOCAL_CHAR_G	1	auf Grad I; an der bezeichneten Stelle; als Variante	auf Grad I; an der bezeichneten Stelle und mit der lokalen Variante	Weiter: halte denselben Drogenposten; auf Grad I; an der bezeichneten Stelle; als Variante.	Weiter: halte denselben Drogenposten; auf Grad I; an der bezeichneten Stelle und mit der lokalen Variante.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
113	G407-E3949	G407-S653	f88v	PHARMA	olcheody	OL+CH+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Weiter: nimm denselben Drogenposten; auf Grad I; zur Ausführung; schließe den Schritt.	Weiter: nimm denselben Drogenposten; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
114	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	O+E+E	FORMAL_CONTROL+GRADE+GRADE	O	2	zur Ausführung; auf Grad I; auf Grad I	als Ausführung, auf Grad I und auf Grad I	Weiter: gib denselben Drogenposten zu; zur Ausführung; auf Grad I; auf Grad I.	Weiter: gib denselben Drogenposten zu; als Ausführung, auf Grad I und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
115	G407-E3966	G407-S654	f88v	PHARMA	cheorol	CH+E+O+R+OL	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Weiter: nimm denselben Drogenposten und markiere denselben Drogenposten; auf Grad I; zur Ausführung.	Weiter: nimm denselben Drogenposten und markiere denselben Drogenposten; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
116	G407-E3969	G407-S655	f88v	PHARMA	kosholdy	K+O+SH+OL+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter: gib zu und halte; zur Ausführung; schließe den Schritt.	Weiter: gib zu und halte; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
117	G407-E3970	G407-S656	f88v	PHARMA	qotody	OT+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: halte; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: halte; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
118	G407-E3973	G407-S657	f88v	PHARMA	qoteody	OT+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: gib denselben Mengenwert zu; auf Grad I; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: gib denselben Mengenwert zu; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
119	G407-E3988	G407-S658	f88v	PHARMA	oteody	OT+E+O+Y	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: nimm den Drogenposten; auf Grad I; zur Ausführung.	Danach im laufenden Gang: nimm den Drogenposten; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
120	G407-E3989	G407-S658	f88v	PHARMA	qockhol	CARRIER_Q+O+CH+K+OL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: nimm denselben Drogenposten und gib denselben Drogenposten zu; am Beginn; zur Ausführung.	Weiter: nimm denselben Drogenposten und gib denselben Drogenposten zu; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
121	G407-E3992	G407-S658	f88v	PHARMA	qokody	OK+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze denselben Drogenposten als Ansatz an; zur Ausführung; schließe den Schritt.	Setze denselben Drogenposten als Ansatz an; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
122	G407-E3998	G407-S659	f88v	PHARMA	qotody	OT+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: nimm denselben Drogenposten; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: nimm denselben Drogenposten; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
123	G407-E4008	G407-S660	f88v	PHARMA	oteody	OT+E+O+Y	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: stelle den Drogenposten ein; auf Grad I; zur Ausführung.	Danach im laufenden Gang: stelle den Drogenposten ein; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
124	G407-E4016	G407-S660	f88v	PHARMA	oteeody	OT+EE+O+DY	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Danach im laufenden Gang: stelle denselben Drogenposten ein; auf Grad II; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: stelle denselben Drogenposten ein; auf Grad II und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
125	G407-E4017	G407-S661	f88v	PHARMA	cpheody	CH+P+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Nimm denselben Drogenposten und setze denselben Drogenposten ein; auf Grad I; zur Ausführung; schließe den Schritt.	Nimm denselben Drogenposten und setze denselben Drogenposten ein; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
126	G407-E4027	G407-S663	f88v	PHARMA	qoteo	OT+E+O	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: halte denselben Drogenanteil; auf Grad I; zur Ausführung.	Danach im laufenden Gang: halte denselben Drogenanteil; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
127	G407-E4063	G407-S666	f89r	PHARMA	qopcholy	CARRIER_Q+O+CH+T+OL+Y	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: nimm den Drogenposten und stelle den Drogenposten ein; am Beginn; zur Ausführung.	Weiter: nimm den Drogenposten und stelle den Drogenposten ein; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
128	G407-E4071	G407-S667	f89r	PHARMA	dshody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte denselben Drogenanteil; zur Ausführung; schließe den Schritt.	Halte denselben Drogenanteil; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
129	G407-E4182	G407-S672	f89r	PHARMA	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: nimm denselben Drogenanteil; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: nimm denselben Drogenanteil; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
130	G407-E4212	G407-S675	f89r	PHARMA	tchodol	T+CH+O+D_ADDR+OL	O+D_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Weiter: stelle denselben Drogenposten ein und nimm denselben Drogenposten; zur Ausführung; an der bezeichneten Stelle.	Weiter: stelle denselben Drogenposten ein und nimm denselben Drogenposten; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
131	G407-E4224	G407-S675	f89r	PHARMA	qody	CARRIER_Q+O+DY	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Im laufenden Gang: Nimm denselben Drogenposten; am Beginn; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Nimm denselben Drogenposten; als neuen Einsatz und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
132	G407-E4231	G407-S677	f89r	PHARMA	porachol	P+O+R+A_ADDR+CH+OL	O+A_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Weiter: setze ein und markiere und nimm; zur Ausführung; an der bezeichneten Stelle.	Weiter: setze ein und markiere und nimm; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
133	G407-E4232	G407-S677	f89r	PHARMA	yody	Y+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Im laufenden Gang: Nimm den Drogenposten; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Nimm den Drogenposten; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
134	G407-E4244	G407-S678	f89r	PHARMA	lkeopol	L+K+E+O+P+OL	L+E+O	RELATION+GRADE+FORMAL_CONTROL	O	1	über die Gefäßverbindung; auf Grad I; zur Ausführung	über die Gefäßverbindung; auf Grad I und als Ausführung	Weiter: gib denselben Drogenposten zu und setze denselben Drogenposten ein; über die Gefäßverbindung; auf Grad I; zur Ausführung.	Weiter: gib denselben Drogenposten zu und setze denselben Drogenposten ein; über die Gefäßverbindung; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
135	G407-E4261	G407-S679	f89r	PHARMA	olcheol	OL+CH+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Weiter: nimm denselben Mengenwert; auf Grad I; zur Ausführung; schließe den Schritt.	Weiter: nimm denselben Mengenwert; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
136	G407-E4298	G407-S681	f89r	PHARMA	opcheol	O+P+CH+E+OL	O+E	FORMAL_CONTROL+GRADE	O	1	zur Ausführung; auf Grad I	als Ausführung und auf Grad I	Weiter: setze dieselbe Ansatzeinheit ein und nimm dieselbe Ansatzeinheit; zur Ausführung; auf Grad I.	Weiter: setze dieselbe Ansatzeinheit ein und nimm dieselbe Ansatzeinheit; als Ausführung und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
137	G407-E4299	G407-S681	f89r	PHARMA	shody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte dieselbe Ansatzeinheit; zur Ausführung; schließe den Schritt.	Halte dieselbe Ansatzeinheit; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
138	G407-E4316	G407-S684	f89r	PHARMA	ykeody	Y+K+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Gib den Drogenposten zu; auf Grad I; zur Ausführung; schließe den Schritt.	Gib den Drogenposten zu; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
139	G407-E4336	G407-S685	f89r	PHARMA	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: wähle denselben Mengenwert; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: wähle denselben Mengenwert; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
140	G407-E4399	G407-S686	f95v	HERBAL	tchody	T+CH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Stelle ein und nimm; zur Ausführung; schließe den Schritt.	Stelle ein und nimm; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
141	G407-E4401	G407-S687	f95v	HERBAL	shody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte; zur Ausführung; schließe den Schritt.	Halte; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
142	G407-E4427	G407-S690	f95v	HERBAL	okalody	OK+AL+O+DY	AL+O	RELATION+FORMAL_CONTROL	O	0	zur Zielstelle; zur Ausführung	zur Zielstelle; als Ausführung	Setze denselben Materialanteil im Arbeitsgang an; zur Zielstelle; zur Ausführung; schließe den Schritt.	Setze denselben Materialanteil im Arbeitsgang an; zur Zielstelle; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
143	G407-E4479	G407-S696	f95v	HERBAL	tchody	T+CH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Ausführung; schließe den Schritt.	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
144	G407-E4525	G407-S706	f95v	HERBAL	dchody	D_ADDR+CH+O+DY	D_ADDR+O	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	O	0	an der bezeichneten Stelle; zur Ausführung	an der bezeichneten Stelle; als Ausführung	Nimm denselben Materialanteil; an der bezeichneten Stelle; zur Ausführung; schließe den Schritt.	Nimm denselben Materialanteil; an der bezeichneten Stelle; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
145	G407-E4565	G407-S713	f95v	HERBAL	ody	O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Im laufenden Gang: Wähle denselben Arbeitswert; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Wähle denselben Arbeitswert; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
146	G407-E4575	G407-S714	f95v	HERBAL	otody	OT+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang: setze denselben Arbeitswert im Arbeitsgang an; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
147	G515-E0057	G515-S005	f4r	HERBAL	qotchoiin	OT+CH+O+IIN	O+IIN	FORMAL_CONTROL+FORMAL_CONTROL	O|IIN	1	zur Ausführung; auf der Stufe	als Ausführung und auf der bezeichneten Stufe	Danach: nimm denselben Arbeitswert; zur Ausführung; auf der Stufe.	Danach: nimm denselben Arbeitswert; als Ausführung und auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
148	G515-E0073	G515-S006	f20v	HERBAL	opydy	O+P+Y+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze den Pflanzenposten ein; zur Ausführung; schließe den Schritt.	Setze den Pflanzenposten ein; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
149	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	CARRIER_Q+O+E+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	CARRIER_Q|O	3	am Beginn; zur Ausführung; auf Grad I; auf Grad I	als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I	Gib dieselbe Arbeitseinheit zu; am Beginn; zur Ausführung; auf Grad I; auf Grad I; schließe den Schritt.	Gib dieselbe Arbeitseinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
150	G515-E0302	G515-S029	f66r	SOURCE_SECTION_T	opchedy	O+P+CHD+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Setze ein und bearbeite; zur Ausführung; schließe den Schritt.	Setze ein und bearbeite; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
151	G515-E0347	G515-S039	f66r	SOURCE_SECTION_T	ykeeody	Y+K+EE+O+DY	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Ordne den laufenden Eintrag zu; auf Grad II; zur Ausführung; schließe den Schritt.	Ordne den laufenden Eintrag zu; auf Grad II und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
152	G515-E0350	G515-S040	f66r	SOURCE_SECTION_T	chekeody	CH+K+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; auf Grad I; zur Ausführung; schließe den Schritt.	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
153	G515-E0366	G515-S042	f66r	SOURCE_SECTION_T	dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	D_ADDR+DA+IIN	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+FORMAL_CONTROL	IIN	1	an der bezeichneten Stelle; auf der zweiten Stufe; auf der Stufe	an der bezeichneten Stelle; auf der zweiten Stufe und auf der bezeichneten Stufe	Weiter: halte denselben laufenden Eintrag fest und kennzeichne denselben laufenden Eintrag; an der bezeichneten Stelle; auf der zweiten Stufe; auf der Stufe.	Weiter: halte denselben laufenden Eintrag fest und kennzeichne denselben laufenden Eintrag; an der bezeichneten Stelle; auf der zweiten Stufe und auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
154	G515-E0379	G515-S042	f66r	SOURCE_SECTION_T	dalalshedy	AL+AL+SH+E+DY	AL+AL+E	RELATION+RELATION+GRADE	NONE	1	zur Zielspalte; zur Zielspalte; auf Grad I	zur Zielspalte und zur Zielspalte; auf Grad I	Halte denselben laufenden Eintrag fest; zur Zielspalte; zur Zielspalte; auf Grad I; schließe den Schritt.	Halte denselben laufenden Eintrag fest; zur Zielspalte und zur Zielspalte; auf Grad I; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
155	G515-E0415	G515-S047	f66r	SOURCE_SECTION_T	sholfordaiin	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	LOCAL_CHAR_F+D_ADDR	LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	NONE	1	an der bezeichneten Stelle; an der bezeichneten Stelle	an der bezeichneten Stelle und an der bezeichneten Stelle	Weiter: halte die Eintragseinheit und den Kennwert fest; an der bezeichneten Stelle; an der bezeichneten Stelle.	Weiter: halte die Eintragseinheit und den Kennwert fest; an der bezeichneten Stelle und an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
156	G515-E0425	G515-S047	f66r	SOURCE_SECTION_T	dairody	D_ADDR+AIR+O+DY	D_ADDR+AIR+O	LOCAL_OR_CLASS_SIGN+RELATION+FORMAL_CONTROL	O	0	an der bezeichneten Stelle; entlang der Lesebahn; zur Ausführung	an der bezeichneten Stelle; entlang der Lesebahn; als Ausführung	Im laufenden Gang: Halte denselben laufenden Eintrag fest; an der bezeichneten Stelle; entlang der Lesebahn; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Halte denselben laufenden Eintrag fest; an der bezeichneten Stelle; entlang der Lesebahn; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
157	G515-E0445	G515-S050	f66r	SOURCE_SECTION_T	shckheody	SH+CH+K+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Halte dieselbe Eintragseinheit fest und entnimm dieselbe Eintragseinheit und ordne dieselbe Eintragseinheit zu; auf Grad I; zur Ausführung; schließe den Schritt.	Halte dieselbe Eintragseinheit fest und entnimm dieselbe Eintragseinheit und ordne dieselbe Eintragseinheit zu; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
158	G515-E0453	G515-S053	f66r	SOURCE_SECTION_T	shofol	SH+O+LOCAL_CHAR_F+OL	O+LOCAL_CHAR_F	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Weiter: halte denselben laufenden Eintrag fest; zur Ausführung; an der bezeichneten Stelle.	Weiter: halte denselben laufenden Eintrag fest; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
159	G515-E0456	G515-S053	f66r	SOURCE_SECTION_T	ytarody	Y+T+AR+O+DY	AR+O	RELATION+FORMAL_CONTROL	O	0	von der Ausgangszeile; zur Ausführung	von der Ausgangszeile; als Ausführung	Lege den laufenden Eintrag fest; von der Ausgangszeile; zur Ausführung; schließe den Schritt.	Lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
160	G515-E0504	G515-S062	f66r	SOURCE_SECTION_T	ykeeody	Y+K+EE+O+DY	EE+O	GRADE+FORMAL_CONTROL	O	1	auf Grad II; zur Ausführung	auf Grad II und als Ausführung	Ordne den laufenden Eintrag zu; auf Grad II; zur Ausführung; schließe den Schritt.	Ordne den laufenden Eintrag zu; auf Grad II und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
161	G515-E0513	G515-S064	f66r	SOURCE_SECTION_T	qoteeod	OT+EE+O+D_ADDR	EE+O+D_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad II; zur Ausführung; an der bezeichneten Stelle	auf Grad II und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad II; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad II und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
162	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	E+O+E	GRADE+FORMAL_CONTROL+GRADE	O	2	auf Grad I; zur Ausführung; auf Grad I	auf Grad I, als Ausführung und auf Grad I	Danach: entnimm den laufenden Eintrag; auf Grad I; zur Ausführung; auf Grad I.	Danach: entnimm den laufenden Eintrag; auf Grad I, als Ausführung und auf Grad I.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
163	G515-E0533	G515-S068	f66r	SOURCE_SECTION_T	oteody	OT+E+O+Y	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Danach im laufenden Gang: halte den laufenden Eintrag fest; auf Grad I; zur Ausführung.	Danach im laufenden Gang: halte den laufenden Eintrag fest; auf Grad I und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
164	G515-E0576	G515-S074	f66r	SOURCE_SECTION_T	kody	K+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Ordne zu; zur Ausführung; schließe den Schritt.	Ordne zu; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
