trace_serial	track	page	address	visible_or_opaque_form	forward_1_segment	forward_2_minimal_card	forward_3_owner_or_namespace	forward_4_licensed_source_slots	forward_5_selected_unit_vocabulary	forward_6_spoken_action	backward_1_required_address	backward_2_required_card_or_group	backward_recovery	concrete_content_without_owner_or_local_source
104	A3	f69v	f69v.1:25	A3:G025	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 25 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:25	A3:G025	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
105	A3	f69v	f69v.1:26	A3:G026	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 26 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:26	A3:G026	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
106	A3	f69v	f69v.1:27	A3:G027	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 27 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:27	A3:G027	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
107	A3	f69v	f69v.1:28	A3:G028	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 28 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:28	A3:G028	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
108	A3	f69v	f69v.1:29	A3:G029	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 29 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:29	A3:G029	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
109	A3	f69v	f69v.1:30	A3:G030	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 30 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:30	A3:G030	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
110	A3	f69v	f69v.1:31	A3:G031	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 31 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:31	A3:G031	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
111	A3	f69v	f69v.1:32	A3:G032	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 32 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:32	A3:G032	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
112	A3	f69v	f69v.1:33	A3:G033	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 33 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:33	A3:G033	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
113	A3	f69v	f69v.1:34	A3:G034	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 34 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:34	A3:G034	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
114	A3	f69v	f69v.1:35	A3:G035	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 35 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:35	A3:G035	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
115	A3	f69v	f69v.1:36	A3:G036	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 36 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:36	A3:G036	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
116	A3	f69v	f69v.1:37	A3:G037	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 37 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:37	A3:G037	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
117	A3	f69v	f69v.1:38	A3:G038	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 38 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:38	A3:G038	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
118	A3	f69v	f69v.1:39	A3:G039	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 39 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:39	A3:G039	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
119	A3	f69v	f69v.1:40	A3:G040	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_WHEEL_RING_TEXT @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 40 am Besitzer A3_LEFT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.1:40	A3:G040	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
120	A3	f69v	f69v.2:1	A3:G041	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:1	A3:G041	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
121	A3	f69v	f69v.2:2	A3:G042	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 2 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:2	A3:G042	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
122	A3	f69v	f69v.2:3	A3:G043	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 3 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:3	A3:G043	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
123	A3	f69v	f69v.2:4	A3:G044	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 4 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:4	A3:G044	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
124	A3	f69v	f69v.2:5	A3:G045	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 5 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:5	A3:G045	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
125	A3	f69v	f69v.2:6	A3:G046	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 6 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:6	A3:G046	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
126	A3	f69v	f69v.2:7	A3:G047	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 7 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:7	A3:G047	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
127	A3	f69v	f69v.2:8	A3:G048	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 8 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:8	A3:G048	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
128	A3	f69v	f69v.2:9	A3:G049	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 9 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:9	A3:G049	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
129	A3	f69v	f69v.2:10	A3:G050	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 10 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:10	A3:G050	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
130	A3	f69v	f69v.2:11	A3:G051	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 11 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:11	A3:G051	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
131	A3	f69v	f69v.2:12	A3:G052	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 12 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:12	A3:G052	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
132	A3	f69v	f69v.2:13	A3:G053	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 13 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:13	A3:G053	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
133	A3	f69v	f69v.2:14	A3:G054	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 14 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:14	A3:G054	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
134	A3	f69v	f69v.2:15	A3:G055	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 15 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:15	A3:G055	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
135	A3	f69v	f69v.2:16	A3:G056	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 16 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:16	A3:G056	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
136	A3	f69v	f69v.2:17	A3:G057	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 17 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:17	A3:G057	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
137	A3	f69v	f69v.2:18	A3:G058	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 18 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:18	A3:G058	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
