sequence	statement_id	record_id	page	surface_sequence	atom_sequence	literal_visible_reading_de	memory_values_restored	owner_expansion_de	active_expansion_de	target_expansion_de	previous_expansion_de	fully_explicit_apprentice_sentence_de	fluent_workshop_sentence_de	macro_program	what_remains_learned
50	B2-S010	B2	f82r	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren linken Vorrichtung mit Zwischenknoten	Arbeitsposten B2-3	Zielstelle B2-8	Vorposten B2-1	Der Text gehört zu der mittleren linken Vorrichtung mit Zwischenknoten; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-8; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	M19[B2-S010-U01+B2-S010-U02] | SINGLE_LEAD_OUT[B2-S010-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
51	B2-S011	B2	f82r	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren rechten Station	Arbeitsposten B2-3	Zielstelle B2-9	Vorposten B2-1	Der Text gehört zu der mittleren rechten Station; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	M19[B2-S011-U01+B2-S011-U02] | SINGLE_SET[B2-S011-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
52	B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem unteren grünen Mehrfigurenbecken	Arbeitsposten B2-3	Zielstelle B2-9	Vorposten B2-1	Der Text gehört zu dem unteren grünen Mehrfigurenbecken; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	SINGLE_LEAD_OUT[B2-S012-U01] | M12[B2-S012-U02+B2-S012-U03] | SINGLE_LEAD_OUT[B2-S012-U04] | SINGLE_SET[B2-S012-U05]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
53	B2-S013	B2	f82r	lchedy	L+CHD+CLOSE	abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem unteren grünen Mehrfigurenbecken	Arbeitsposten B2-3	Zielstelle B2-9	Vorposten B2-1	Der Text gehört zu dem unteren grünen Mehrfigurenbecken; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B2-S013-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
54	B2-S014	B2	f82r	lar	L+AR	von dort abfuehren	OWNER|ACTIVE|TARGET|PREVIOUS	dem unteren grünen Mehrfigurenbecken	Arbeitsposten B2-3	Zielstelle B2-9	Vorposten B2-1	Der Text gehört zu dem unteren grünen Mehrfigurenbecken; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-9; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	SINGLE_LEAD_OUT[B2-S014-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
55	B2-S015	B2	f82r	tshey qokeedy	CHEEY | OK+EE+CLOSE	Klarlauf zugeben; länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-3	Zielstelle B2-10	Vorposten B2-1	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-3; die geltende Zieladresse ist Zielstelle B2-10; ‚das Vorige‘ bezeichnet Vorposten B2-1. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	SINGLE_SET[B2-S015-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
56	B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-11	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-11; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	SINGLE_LEAD_OUT[B2-S016-U01] | SINGLE_DIVIDE[B2-S016-U02] | M19[B2-S016-U03+B2-S016-U04] | SINGLE_LEAD_IN[B2-S016-U05]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
57	B2-S017	B2	f82r	rsheal daldy	SH+E+AL | AL+CLOSE	kurz am Ziel ruhen; Nebenoeffnung; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-11	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-11; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	SINGLE_HOLD[B2-S017-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
58	B2-S018	B2	f82r	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-12	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	SINGLE_SET[B2-S018-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
59	B2-S019	B2	f82r	rshedy	WASH+CLOSE	Waschgang abschließen	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-12	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	SINGLE_WASH[B2-S019-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
60	B2-S020	B2	f82r	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-12	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	SINGLE_OWNER_ACTION[B2-S020-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
61	B2-S021	B2	f82r	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-12	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	SINGLE_SET[B2-S021-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
62	B2-S022	B2	f82r	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	den Randstationen des unteren Beckens	Arbeitsposten B2-4	Zielstelle B2-12	Vorposten B2-3	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	SINGLE_LEAD_OUT[B2-S022-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
63	B3-S001	B3	f83r	olkeedy	SOLK+EE+CLOSE	länger sammeln; Schluss	OWNER|ACTIVE	der oberen offenen Fächerstation	Arbeitsposten B3-1	NICHT_BENÖTIGT	NICHT_BENÖTIGT	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	SINGLE_COLLECT[B3-S001-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
64	B3-S002	B3	f83r	qotal chkeedy	OT+AL | CHK+EE+CLOSE	danach dorthin; länger wärmen; Schluss	OWNER|ACTIVE|TARGET	der oberen offenen Fächerstation	Arbeitsposten B3-1	Zielstelle B3-1	NICHT_BENÖTIGT	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	SINGLE_WARM[B3-S002-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
65	B3-S003	B3	f83r	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	dieser Posten; Sollmaß; dieser Posten; abführen; Schluss	OWNER|ACTIVE|TARGET	der oberen offenen Fächerstation	Arbeitsposten B3-1	Zielstelle B3-1	NICHT_BENÖTIGT	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B3-S003-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
66	B3-S004	B3	f83r	qokaiin qotal dar	OK+AIIN | OT+AL | AR	auf Sollmaß einstellen; danach dorthin; aus dem Ansatz	OWNER|ACTIVE|TARGET	der oberen offenen Fächerstation	Arbeitsposten B3-1	Zielstelle B3-1	NICHT_BENÖTIGT	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Zum unteren Ablauf hin. Daraus, aus demselben Ansatz.	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Zum unteren Ablauf hin. Daraus, aus demselben Ansatz.	SINGLE_SET[B3-S004-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
67	B3-S005	B3	f83r	schedy	CHD+CLOSE	Posten überführen; Schluss	OWNER|ACTIVE|TARGET	der mittleren runden Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-2	NICHT_BENÖTIGT	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	SINGLE_TRANSFER[B3-S005-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
68	B3-S006	B3	f83r	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	diesen Posten überführen; dort ansetzen; weiterüberführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren runden Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-3	Vorposten B3-2	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-3; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Gieße das erwärmte Wasser ein. Den aktiven Posten an der örtlich bezeichneten Station führen. Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Gieße das erwärmte Wasser ein. Den aktiven Posten an der örtlich bezeichneten Station führen. Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	M13[B3-S006-U01+B3-S006-U02] | SINGLE_CONTINUE[B3-S006-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
69	B3-S007	B3	f83r	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	auf Sollmaß einstellen; laufenden Posten umsetzen; länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren runden Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-4	Vorposten B3-2	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Rühre, bis alles gleichmäßig vermischt ist. Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Rühre, bis alles gleichmäßig vermischt ist. Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	M14[B3-S007-U01+B3-S007-U02] | SINGLE_SET[B3-S007-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
70	B3-S008	B3	f83r	lchedy	L+CHD+CLOSE	abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren runden Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-4	Vorposten B3-2	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B3-S008-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
71	B3-S009	B3	f83r	qoky	OK+Y	aktuellen Posten ansetzen	OWNER|ACTIVE|TARGET|PREVIOUS	der mittleren runden Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-4	Vorposten B3-2	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen.	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen.	SINGLE_SET[B3-S009-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
72	B3-S010	B3	f83r	pchedal otedy	P+CHD+AL | OT+E+CLOSE	Einlass; kurze Folge; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der unteren korbförmigen Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-4	Vorposten B3-2	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Fülle danach das Gefäß. Lasse es bis zur Klarheit ziehen und beende den Schritt.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Fülle danach das Gefäß. Lasse es bis zur Klarheit ziehen und beende den Schritt.	SINGLE_LEAD_IN[B3-S010-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
73	B3-S011	B3	f83r	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	bereiten Posten umsetzen; aktuellen Posten ansetzen; laufenden Posten umsetzen; aus diesem Posten	OWNER|ACTIVE|TARGET|PREVIOUS	der unteren korbförmigen Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-4	Vorposten B3-2	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Wende es an der markierten Stelle an. Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Rühre, bis alles gleichmäßig vermischt ist. Und lasse es abkühlen.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Wende es an der markierten Stelle an. Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Rühre, bis alles gleichmäßig vermischt ist. Und lasse es abkühlen.	M12[B3-S011-U01+B3-S011-U02] | SINGLE_TRANSFER[B3-S011-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
74	B3-S012	B3	f83r	sor shedy	OR | SHED+E+CLOSE	Ansatz; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der unteren korbförmigen Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-5	Vorposten B3-2	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-5; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	SINGLE_SETTLE[B3-S012-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
75	B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	auf Sollmaß einstellen; eine Portion; kurz bereithalten; kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der unteren korbförmigen Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-5	Vorposten B3-2	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-5; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ein abgemessener Anteil. Unter derselben Einstellung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ein abgemessener Anteil. Unter derselben Einstellung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	M09[B3-S013-U01+B3-S013-U02] | SINGLE_SET[B3-S013-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
76	B3-S014	B3	f83r	okair sheedy	OK+AIR | SHED+EE+CLOSE	Wasser einlassen; länger absetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der unteren korbförmigen Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-6	Vorposten B3-2	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-6; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Öffne danach den oberen Lauf. Wasche einmal und beende den Schritt.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Öffne danach den oberen Lauf. Wasche einmal und beende den Schritt.	M10[B3-S014-U01+B3-S014-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
77	B3-S015	B3	f83r	lchedy	L+CHD+CLOSE	abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der unteren korbförmigen Gefäßstation	Arbeitsposten B3-1	Zielstelle B3-7	Vorposten B3-2	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-7; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B3-S015-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
