surface	profile_role	reader_exact_occurrences	physical_folios	register_json	line_position_json	line_third_json	paragraph_boundary_json	left_status_json	right_status_json	left_positive_axes_json	right_positive_axes_json	close_proximity_json	right_value_binding_json	semantic_sources_masked	component_export_credit
qopor	AR_OR_LATTICE	3	3	"{""H|A|1"":0.3333333333333333,""S|B|3"":0.3333333333333333,""T|B|2"":0.3333333333333333}"	"{""FIRST"":0.3333333333333333,""MIDDLE"":0.6666666666666666}"	"{""F"":0.6666666666666666,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EDGE"":0.3333333333333333,""EXACT"":0.3333333333333333,""NONEXACT"":0.3333333333333333}"	"{""EXACT"":1.0}"	{}	"{""COLD"":0.5,""PREPARATION"":0.5}"	"{""L2"":1.0}"	"{""NONE"":1.0}"	1	0
qotar	AR_OR_LATTICE	53	25	"{""B|B|2"":0.2799999999999999,""C|B|2"":0.006666666666666665,""H|A|1"":0.039999999999999994,""H|B|2"":0.07999999999999999,""H|B|3"":0.07999999999999999,""H|B|5"":0.039999999999999994,""S|B|3"":0.34000000000000014,""S|B|@"":0.019999999999999997,""T|B|2"":0.07333333333333332,""T|B|5"":0.039999999999999994}"	"{""FIRST"":0.04000000000000002,""LAST"":0.05714285714285717,""MIDDLE"":0.9028571428571429}"	"{""F"":0.26999999999999996,""L"":0.43761904761904763,""M"":0.29238095238095246}"	"{""0|0"":0.9942857142857143,""0|1"":0.005714285714285715}"	"{""EDGE"":0.04000000000000002,""EXACT"":0.6499999999999999,""NONEXACT"":0.31000000000000005}"	"{""EDGE"":0.05714285714285716,""EXACT"":0.7638095238095237,""NONEXACT"":0.1790476190476191}"	"{""BEGIN_STAGE"":0.03313253012048192,""CLOSE"":0.10341365461847389,""COLD"":0.03313253012048192,""DRY"":0.03313253012048192,""END_STAGE"":0.1877510040160643,""HOT"":0.14056224899598393,""MATERIAL"":0.08433734939759037,""MIDDLE_STAGE"":0.09839357429718876,""MOIST"":0.042168674698795185,""PREPARATION"":0.11244979919678715,""VALUE"":0.13152610441767068}"	"{""COLD"":0.05769230769230769,""DRY"":0.35256410256410253,""END_STAGE"":0.1794871794871795,""MIDDLE_STAGE"":0.05769230769230769,""PREPARATION"":0.11538461538461538,""VALUE"":0.23717948717948717}"	"{""L1"":0.22895622895622894,""L2"":0.0404040404040404,""L3"":0.6363636363636364,""R3"":0.09427609427609428}"	"{""NONE"":1.0}"	1	0
qotchar	AR_OR_LATTICE	2	2	"{""H|A|1"":1.0}"	"{""LAST"":0.5,""MIDDLE"":0.5}"	"{""L"":1.0}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.5,""EXACT"":0.5}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
qotchor	AR_OR_LATTICE	11	8	"{""H|A|1"":1.0}"	"{""FIRST"":0.8125,""MIDDLE"":0.18750000000000003}"	"{""F"":0.8125,""M"":0.18750000000000003}"	"{""0|0"":1.0}"	"{""EDGE"":0.8125,""EXACT"":0.18750000000000003}"	"{""EXACT"":0.875,""NONEXACT"":0.12500000000000003}"	{}	"{""BEGIN_STAGE"":0.16666666666666666,""DRY"":0.25,""HOT"":0.16666666666666666,""PREPARATION"":0.25,""VALUE"":0.16666666666666666}"	{}	"{""NONE"":1.0}"	1	0
qotor	AR_OR_LATTICE	22	17	"{""C|B|2"":0.058823529411764705,""H|A|1"":0.6470588235294118,""H|B|2"":0.058823529411764705,""S|B|3"":0.1764705882352941,""S|B|@"":0.058823529411764705}"	"{""FIRST"":0.5245098039215687,""LAST"":0.014705882352941176,""MIDDLE"":0.4607843137254903}"	"{""F"":0.6029411764705882,""L"":0.1323529411764706,""M"":0.2647058823529412}"	"{""0|0"":0.9656862745098038,""0|1"":0.014705882352941173,""1|0"":0.019607843137254898}"	"{""EDGE"":0.5245098039215687,""EXACT"":0.47549019607843146}"	"{""EDGE"":0.014705882352941176,""EXACT"":0.8970588235294118,""NONEXACT"":0.08823529411764705}"	"{""BEGIN_STAGE"":0.08333333333333333,""COLD"":0.08333333333333333,""DRY"":0.21666666666666667,""MIDDLE_STAGE"":0.13333333333333333,""PART"":0.13333333333333333,""PROCESS"":0.13333333333333333,""VALUE"":0.21666666666666667}"	"{""DRY"":0.2857142857142857,""MOIST"":0.21428571428571427,""PREPARATION"":0.5}"	"{""R2"":0.5,""R3"":0.5}"	"{""NONE"":1.0}"	1	0
rar	AR_OR_LATTICE	11	8	"{""B|B|2"":0.25,""S|B|3"":0.75}"	"{""LAST"":0.041666666666666664,""MIDDLE"":0.9583333333333334}"	"{""F"":0.3125,""L"":0.3541666666666667,""M"":0.3333333333333333}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.04166666666666667,""EXACT"":0.8333333333333334,""NONEXACT"":0.12500000000000003}"	"{""END_STAGE"":0.25,""HOT"":0.25,""PROCESS"":0.25,""VALUE"":0.25}"	{}	{}	"{""II"":0.25,""III"":0.0625,""NONE"":0.6875}"	1	0
ror	AR_OR_LATTICE	10	8	"{""B|B|2"":0.37500000000000006,""S|B|3"":0.5833333333333334,""S|B|@"":0.04166666666666667}"	"{""LAST"":0.4166666666666667,""MIDDLE"":0.5833333333333333}"	"{""F"":0.16666666666666669,""L"":0.7083333333333334,""M"":0.12500000000000003}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EDGE"":0.4166666666666667,""EXACT"":0.33333333333333337,""NONEXACT"":0.25}"	"{""COLD"":0.12500000000000003,""END_STAGE"":0.2916666666666667,""HOT"":0.16666666666666669,""PREPARATION"":0.12500000000000003,""VALUE"":0.2916666666666667}"	{}	"{""L2"":1.0}"	"{""III"":0.12500000000000003,""NONE"":0.875}"	1	0
sar	AR_OR_LATTICE	45	26	"{""B|B|2"":0.21794871794871795,""C|B|2"":0.038461538461538464,""H|A|1"":0.19230769230769232,""H|B|2"":0.07692307692307693,""P|A|1"":0.15384615384615385,""S|A|3"":0.038461538461538464,""S|B|3"":0.2692307692307693,""T|B|2"":0.012820512820512822}"	"{""FIRST"":0.4384615384615385,""LAST"":0.16666666666666669,""MIDDLE"":0.39487179487179486}"	"{""F"":0.5423076923076923,""L"":0.2846153846153846,""M"":0.17307692307692307}"	"{""0|0"":0.9615384615384616,""0|1"":0.03846153846153849}"	"{""EDGE"":0.43846153846153846,""EXACT"":0.475,""NONEXACT"":0.08653846153846154}"	"{""EDGE"":0.16666666666666669,""EXACT"":0.6474358974358975,""NONEXACT"":0.18589743589743593}"	"{""BEGIN_STAGE"":0.07352941176470588,""COLD"":0.029411764705882353,""DRY"":0.07352941176470588,""END_STAGE"":0.029411764705882353,""HOT"":0.22058823529411764,""LEVEL_II"":0.14705882352941177,""PREPARATION"":0.25,""VALUE"":0.17647058823529413}"	"{""MATERIAL"":0.045454545454545456,""MOIST"":0.5,""PART"":0.45454545454545453}"	"{""R3"":1.0}"	"{""II"":0.09615384615384621,""III"":0.03974358974358977,""NONE"":0.8641025641025639}"	1	0
shar	AR_OR_LATTICE	24	19	"{""B|B|2"":0.15789473684210528,""H|A|1"":0.26315789473684215,""H|B|2"":0.052631578947368425,""P|A|1"":0.052631578947368425,""S|A|3"":0.052631578947368425,""S|B|3"":0.3684210526315789,""T|B|2"":0.052631578947368425}"	"{""FIRST"":0.10526315789473688,""LAST"":0.02631578947368422,""MIDDLE"":0.8684210526315789}"	"{""F"":0.5701754385964912,""L"":0.18421052631578946,""M"":0.24561403508771928}"	"{""0|0"":1.0}"	"{""EDGE"":0.10526315789473686,""EXACT"":0.7368421052631579,""NONEXACT"":0.15789473684210528}"	"{""EDGE"":0.026315789473684216,""EXACT"":0.7719298245614036,""NONEXACT"":0.20175438596491233}"	{}	{}	"{""R2"":1.0}"	"{""II"":0.05263157894736844,""III"":0.05263157894736844,""NONE"":0.8947368421052632}"	1	0
shear	AR_OR_LATTICE	17	13	"{""B|B|2"":0.15384615384615385,""H|A|1"":0.15384615384615385,""H|B|2"":0.07692307692307693,""P|A|1"":0.07692307692307693,""S|A|3"":0.07692307692307693,""S|B|3"":0.3846153846153846,""T|B|2"":0.07692307692307693}"	"{""MIDDLE"":1.0}"	"{""F"":0.2692307692307693,""L"":0.3461538461538462,""M"":0.3846153846153846}"	"{""0|0"":1.0}"	"{""EXACT"":0.7692307692307693,""NONEXACT"":0.23076923076923078}"	"{""EXACT"":0.8461538461538461,""NONEXACT"":0.15384615384615388}"	{}	"{""CLOSE"":0.125,""COLD"":0.08333333333333334,""END_STAGE"":0.20833333333333334,""HOT"":0.125,""MATERIAL"":0.125,""PROCESS"":0.25,""VALUE"":0.08333333333333334}"	"{""R1"":1.0}"	"{""II"":0.038461538461538464,""III"":0.038461538461538464,""NONE"":0.923076923076923}"	1	0
sheear	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""S|A|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
sheeor	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""P|A|1"":0.5}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
sheor	AR_OR_LATTICE	31	22	"{""B|B|2"":0.2272727272727273,""H|A|1"":0.36363636363636365,""P|A|1"":0.13636363636363638,""S|B|3"":0.2272727272727273,""T|B|5"":0.045454545454545456}"	"{""FIRST"":0.09090909090909095,""MIDDLE"":0.9090909090909091}"	"{""F"":0.5757575757575757,""L"":0.18181818181818182,""M"":0.2424242424242425}"	"{""0|0"":1.0}"	"{""EDGE"":0.09090909090909094,""EXACT"":0.7499999999999999,""NONEXACT"":0.15909090909090914}"	"{""EXACT"":0.7954545454545454,""NONEXACT"":0.2045454545454546}"	"{""AMOUNT"":0.2857142857142857,""DRY"":0.10714285714285714,""END_STAGE"":0.07142857142857142,""HOT"":0.07142857142857142,""MIDDLE_STAGE"":0.10714285714285714,""PREPARATION"":0.10714285714285714,""PROCESS"":0.07142857142857142,""VALUE"":0.17857142857142858}"	"{""CLOSE"":0.06666666666666667,""COLD"":0.1638888888888889,""DRY"":0.04166666666666667,""END_STAGE"":0.12222222222222223,""MIDDLE_STAGE"":0.10833333333333334,""PROCESS"":0.33333333333333337,""VALUE"":0.1638888888888889}"	"{""L3"":0.33333333333333337,""R1"":0.6666666666666667}"	"{""III"":0.022727272727272742,""NONE"":0.9772727272727273}"	1	0
shor	AR_OR_LATTICE	77	44	"{""B|B|2"":0.04545454545454547,""C|B|2"":0.006493506493506496,""H|A|1"":0.6363636363636362,""H|B|2"":0.04545454545454547,""H|B|3"":0.04545454545454547,""P|A|1"":0.0681818181818182,""S|B|3"":0.09090909090909094,""T|B|2"":0.03896103896103898,""T|B|5"":0.022727272727272735}"	"{""FIRST"":0.1920995670995672,""LAST"":0.011363636363636367,""MIDDLE"":0.7965367965367964}"	"{""F"":0.484577922077922,""L"":0.22348484848484862,""M"":0.29193722943722944}"	"{""0|0"":1.0}"	"{""EDGE"":0.19209956709956716,""EXACT"":0.6999458874458874,""NONEXACT"":0.10795454545454547}"	"{""EDGE"":0.011363636363636366,""EXACT"":0.7897727272727273,""NONEXACT"":0.19886363636363644}"	"{""BEGIN_STAGE"":0.011976047904191616,""COLD"":0.10479041916167664,""DRY"":0.08383233532934131,""END_STAGE"":0.06287425149700598,""HOT"":0.12574850299401197,""MATERIAL"":0.2619760479041916,""MOIST"":0.043413173652694606,""PREPARATION"":0.10479041916167664,""PROCESS"":0.12574850299401197,""VALUE"":0.0748502994011976}"	"{""BEGIN_STAGE"":0.0597053726169844,""CLOSE"":0.04852686308492201,""COLD"":0.01637781629116118,""DRY"":0.0770363951473137,""END_STAGE"":0.10745233968804159,""HOT"":0.11611785095320623,""MATERIAL"":0.3439341421143847,""MOIST"":0.07279029462738301,""PREPARATION"":0.055805892547660316,""VALUE"":0.1022530329289428}"	"{""L3"":0.04545454545454546,""R1"":0.31818181818181823,""R2"":0.6363636363636365}"	"{""NONE"":1.0}"	1	0
sor	AR_OR_LATTICE	34	27	"{""B|B|2"":0.24074074074074073,""H|A|1"":0.48148148148148145,""H|B|2"":0.07407407407407407,""P|A|1"":0.037037037037037035,""S|B|3"":0.1111111111111111,""S|B|@"":0.037037037037037035,""T|B|2"":0.018518518518518517}"	"{""FIRST"":0.7098765432098765,""MIDDLE"":0.2901234567901236}"	"{""F"":0.7654320987654321,""L"":0.0740740740740741,""M"":0.1604938271604939}"	"{""0|0"":1.0}"	"{""EDGE"":0.7098765432098765,""EXACT"":0.27160493827160503,""NONEXACT"":0.018518518518518524}"	"{""EXACT"":0.8950617283950617,""NONEXACT"":0.10493827160493831}"	"{""BEGIN_STAGE"":0.07142857142857142,""CLOSE"":0.07142857142857142,""COLD"":0.07142857142857142,""DRY"":0.21428571428571427,""END_STAGE"":0.07142857142857142,""HOT"":0.2619047619047619,""MATERIAL"":0.047619047619047616,""PREPARATION"":0.07142857142857142,""PROCESS"":0.047619047619047616,""VALUE"":0.07142857142857142}"	"{""CLOSE"":0.0625,""COLD"":0.0625,""DRY"":0.125,""END_STAGE"":0.0625,""MATERIAL"":0.4375,""MOIST"":0.125,""PREPARATION"":0.125}"	"{""L1"":0.5,""R1"":0.5}"	"{""II"":0.012345679012345682,""III"":0.07407407407407408,""NONE"":0.9135802469135803}"	1	0
tar	AR_OR_LATTICE	33	22	"{""B|B|2"":0.18181818181818182,""H|A|1"":0.13636363636363635,""H|B|2"":0.13636363636363635,""H|B|3"":0.045454545454545456,""S|A|3"":0.045454545454545456,""S|B|3"":0.36363636363636365,""T|B|2"":0.09090909090909093}"	"{""FIRST"":0.38257575757575757,""LAST"":0.034090909090909095,""MIDDLE"":0.5833333333333334}"	"{""F"":0.49621212121212116,""L"":0.3712121212121212,""M"":0.13257575757575757}"	"{""0|0"":0.8863636363636364,""1|0"":0.11363636363636366}"	"{""EDGE"":0.3825757575757575,""EXACT"":0.38257575757575757,""NONEXACT"":0.23484848484848486}"	"{""EDGE"":0.034090909090909095,""EXACT"":0.7803030303030303,""NONEXACT"":0.18560606060606064}"	"{""BEGIN_STAGE"":0.33333333333333337,""DRY"":0.33333333333333337,""VALUE"":0.33333333333333337}"	"{""AMOUNT"":0.3333333333333333,""DRY"":0.3333333333333333,""MATERIAL"":0.3333333333333333}"	"{""L3"":0.5333333333333333,""R3"":0.4666666666666666}"	"{""III"":0.06818181818181819,""NONE"":0.9318181818181818}"	1	0
tchar	AR_OR_LATTICE	4	4	"{""B|B|2"":0.25,""H|A|1"":0.25,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":0.75,""NONEXACT"":0.25}"	"{""EXACT"":0.75,""NONEXACT"":0.25}"	{}	"{""AMOUNT"":0.5,""PREPARATION"":0.5}"	{}	"{""NONE"":1.0}"	1	0
tchor	AR_OR_LATTICE	17	14	"{""B|B|2"":0.07142857142857144,""H|A|1"":0.6428571428571428,""H|B|3"":0.14285714285714288,""P|A|1"":0.07142857142857144,""S|B|3"":0.07142857142857144}"	"{""FIRST"":0.738095238095238,""MIDDLE"":0.2619047619047619}"	"{""F"":0.8452380952380952,""L"":0.07142857142857144,""M"":0.08333333333333334}"	"{""0|0"":0.6904761904761904,""1|0"":0.3095238095238096}"	"{""EDGE"":0.738095238095238,""EXACT"":0.2619047619047619}"	"{""EXACT"":0.8571428571428571,""NONEXACT"":0.14285714285714288}"	"{""BEGIN_STAGE"":0.3333333333333333,""COLD"":0.3333333333333333,""DRY"":0.3333333333333333}"	"{""BEGIN_STAGE"":0.0625,""DRY"":0.1875,""HOT"":0.0625,""MATERIAL"":0.125,""MIDDLE_STAGE"":0.125,""PREPARATION"":0.3125,""VALUE"":0.125}"	"{""L3"":1.0}"	"{""III"":0.07142857142857145,""NONE"":0.9285714285714286}"	1	0
tor	AR_OR_LATTICE	12	12	"{""B|B|2"":0.08333333333333334,""H|A|1"":0.4166666666666667,""H|B|2"":0.08333333333333334,""H|B|3"":0.08333333333333334,""H|B|5"":0.08333333333333334,""P|A|1"":0.08333333333333334,""S|A|3"":0.08333333333333334,""S|B|3"":0.08333333333333334}"	"{""FIRST"":0.33333333333333337,""LAST"":0.08333333333333334,""MIDDLE"":0.5833333333333334}"	"{""F"":0.5,""L"":0.16666666666666669,""M"":0.33333333333333337}"	"{""0|0"":0.9166666666666667,""1|0"":0.08333333333333333}"	"{""EDGE"":0.33333333333333337,""EXACT"":0.5,""NONEXACT"":0.16666666666666669}"	"{""EDGE"":0.08333333333333333,""EXACT"":0.75,""NONEXACT"":0.16666666666666666}"	"{""BEGIN_STAGE"":0.1111111111111111,""COLD"":0.1111111111111111,""END_STAGE"":0.16666666666666666,""MATERIAL"":0.3333333333333333,""PREPARATION"":0.16666666666666666,""VALUE"":0.1111111111111111}"	"{""END_STAGE"":0.25,""MATERIAL"":0.5,""PREPARATION"":0.25}"	"{""R2"":1.0}"	"{""NONE"":1.0}"	1	0
ychear	AR_OR_LATTICE	2	2	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":0.5,""NONEXACT"":0.5}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
ycheor	AR_OR_LATTICE	6	5	"{""H|A|1"":0.8,""S|A|3"":0.2}"	"{""FIRST"":0.8,""MIDDLE"":0.2}"	"{""F"":1.0}"	"{""0|0"":0.8,""1|0"":0.2}"	"{""EDGE"":0.8,""EXACT"":0.2}"	"{""EXACT"":0.8,""NONEXACT"":0.2}"	{}	"{""HOT"":0.25,""MATERIAL"":0.5,""PROCESS"":0.25}"	{}	"{""NONE"":1.0}"	1	0
ykar	AR_OR_LATTICE	27	18	"{""H|A|1"":0.11111111111111112,""H|B|2"":0.3888888888888889,""H|B|3"":0.05555555555555556,""P|A|1"":0.05555555555555556,""S|A|3"":0.05555555555555556,""S|B|3"":0.22222222222222224,""T|B|2"":0.11111111111111112}"	"{""FIRST"":0.15740740740740738,""LAST"":0.05555555555555555,""MIDDLE"":0.7870370370370371}"	"{""F"":0.24074074074074076,""L"":0.5833333333333334,""M"":0.17592592592592596}"	"{""0|0"":1.0}"	"{""EDGE"":0.15740740740740738,""EXACT"":0.5648148148148149,""NONEXACT"":0.2777777777777778}"	"{""EDGE"":0.05555555555555555,""EXACT"":0.7592592592592593,""NONEXACT"":0.18518518518518517}"	"{""BEGIN_STAGE"":0.2222222222222222,""END_STAGE"":0.16666666666666666,""HOT"":0.2222222222222222,""MOIST"":0.16666666666666666,""VALUE"":0.2222222222222222}"	{}	"{""L3"":0.39999999999999997,""R2"":0.6}"	"{""III"":0.055555555555555525,""NONE"":0.9444444444444444}"	1	0
ykor	AR_OR_LATTICE	4	4	"{""H|A|1"":0.75,""H|B|2"":0.25}"	"{""FIRST"":0.25,""MIDDLE"":0.75}"	"{""F"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EDGE"":0.25,""EXACT"":0.5,""NONEXACT"":0.25}"	"{""EXACT"":0.75,""NONEXACT"":0.25}"	"{""PREPARATION"":0.5,""VALUE"":0.5}"	{}	{}	"{""III"":0.25,""NONE"":0.75}"	1	0
ytar	AR_OR_LATTICE	21	12	"{""B|B|2"":0.08333333333333333,""H|A|1"":0.16666666666666666,""H|B|2"":0.08333333333333333,""H|B|3"":0.08333333333333333,""S|A|3"":0.08333333333333333,""S|B|3"":0.2916666666666667,""S|B|@"":0.041666666666666664,""T|B|2"":0.16666666666666666}"	"{""FIRST"":0.2777777777777778,""LAST"":0.04166666666666667,""MIDDLE"":0.6805555555555556}"	"{""F"":0.3055555555555556,""L"":0.3527777777777778,""M"":0.3416666666666666}"	"{""0|0"":1.0}"	"{""EDGE"":0.2777777777777778,""EXACT"":0.538888888888889,""NONEXACT"":0.18333333333333335}"	"{""EDGE"":0.04166666666666667,""EXACT"":0.763888888888889,""NONEXACT"":0.19444444444444448}"	"{""COLD"":0.5,""MOIST"":0.5}"	"{""CLOSE"":0.14285714285714285,""COLD"":0.14285714285714285,""DRY"":0.14285714285714285,""END_STAGE"":0.14285714285714285,""MIDDLE_STAGE"":0.14285714285714285,""PREPARATION"":0.14285714285714285,""VALUE"":0.14285714285714285}"	"{""R1"":0.45454545454545453,""R2"":0.45454545454545453,""R3"":0.09090909090909091}"	"{""III"":0.058333333333333334,""NONE"":0.9416666666666668}"	1	0
ytor	AR_OR_LATTICE	12	12	"{""H|A|1"":0.6666666666666666,""H|B|2"":0.08333333333333333,""S|A|3"":0.08333333333333333,""T|B|2"":0.16666666666666666}"	"{""FIRST"":0.3333333333333333,""MIDDLE"":0.6666666666666666}"	"{""F"":0.5,""L"":0.33333333333333337,""M"":0.16666666666666669}"	"{""0|0"":1.0}"	"{""EDGE"":0.33333333333333337,""EXACT"":0.5,""NONEXACT"":0.16666666666666669}"	"{""EXACT"":0.9166666666666667,""NONEXACT"":0.08333333333333333}"	"{""COLD"":0.16666666666666666,""DRY"":0.6666666666666666,""MATERIAL"":0.16666666666666666}"	"{""COLD"":0.5,""MATERIAL"":0.5}"	"{""R3"":1.0}"	"{""III"":0.08333333333333333,""NONE"":0.9166666666666667}"	1	0
