field_serial	field_id	page	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	source_statement_id	statement_field_position	field_closure_status	event_count	event_serials	source_surface_sequence_display_only	selected_exact_mnemonic_slots	formal_control_slots	active_state_before_field	active_state_after_field	assignment_reason	full_local_field_reading	field_nonmedical_rival	binding_contract	source_lineage
66	F066	f82r	B2	f82r.27	3	22	S043	ONLY	TERMINAL	1	E224	qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	nachfüllen und übergeben [Ganzfeldexemplar B2, Feld 22/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
67	F067	f82r	B2	f82r.27	4	23	S044	ONLY	TERMINAL	1	E225	rshedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	trinke den angegebenen Anteil und beende den Schritt	nachfüllen und übergeben [Ganzfeldexemplar B2, Feld 23/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
68	F068	f82r	B2	f82r.27	5	24	S045	ONLY	TERMINAL	1	E226	qoteedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	binde es auf die Stelle und beende den Schritt	nachfüllen und übergeben [Ganzfeldexemplar B2, Feld 24/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
69	F069	f82r	B2	f82r.27	6	25	S046	ONLY	TERMINAL	1	E227	qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	nachfüllen und übergeben [Ganzfeldexemplar B2, Feld 25/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
70	F070	f82r	B2	f82r.27	7	26	S047	ONLY	TERMINAL	1	E228	lochedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	mische zu gleichen Teilen und beende den Schritt	nachfüllen und übergeben [Ganzfeldexemplar B2, Feld 26/26]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
71	F071	f83r	B3	f83r.3	1	1	S048	ONLY	TERMINAL	1	E229	olkeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die Flüssigkeit sich setzen und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 1/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
72	F072	f83r	B3	f83r.3	2	2	S049	ONLY	TERMINAL	2	E230,E231	qotal chkeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	zum unteren Ablauf hin ; tauche vollständig ein und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 2/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
73	F073	f83r	B3	f83r.3	3	3	S050	ONLY	TERMINAL	4	E232,E233,E234,E235	chey daiin chey lchedy	E233:2f1c5e56e8f0ff459065:MASS? | E235:de7321bface5628e35d6:ABLASSEN?	E233:VORGABEPARAMETER?	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 3/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
74	F074	f83r	B3	f83r.3	4	4	S051	FIRST	OPEN	3	E236,E237,E238	qokaiin qotal dar	NONE	E236:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne den nächsten abgemessenen Posten ; zum unteren Ablauf hin ; Daraus, aus demselben Ansatz	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 4/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
75	F075	f83r	B3	f83r.6	1	5	S051	LAST	TERMINAL	1	E239	schedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 5/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
76	F076	f83r	B3	f83r.6	2	6	S052	ONLY	TERMINAL	3	E240,E241,E242	chedchy qokal olchedy	NONE	E241:LOKALEN_RELATIONSSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	gieße das erwärmte Wasser ein ; mische beide Anteile zusammen ; stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 6/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
77	F077	f83r	B3	f83r.6	3	7	S053	ONLY	TERMINAL	3	E243,E244,E245	qokaiin chedy qokeedy	NONE	E243:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne den nächsten abgemessenen Posten ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 7/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
78	F078	f83r	B3	f83r.6	4	8	S054	ONLY	TERMINAL	1	E246	lchedy	E246:de7321bface5628e35d6:ABLASSEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 8/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
79	F079	f83r	B3	f83r.6	5	9	S055	FIRST	OPEN	1	E247	qoky	E247:276a7c2d74d1143446f4:ANWENDEN?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Die aktive Portion verwenden	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 9/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
80	F080	f83r	B3	f83r.8	1	10	S055	LAST	TERMINAL	2	E248,E249	pchedal otedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	fülle danach das Gefäß ; lasse es bis zur Klarheit ziehen und beende den Schritt	Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 10/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
81	F081	f83r	B3	f83r.8	2	11	S056	FIRST	OPEN	4	E250,E251,E252,E253	shecthedchy qoky chedy chary	E251:276a7c2d74d1143446f4:ANWENDEN?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	wende es an der markierten Stelle an ; Die aktive Portion verwenden ; rühre, bis alles gleichmäßig vermischt ist ; und lasse es abkühlen	durch Stationen führen [Ganzfeldexemplar B3, Feld 11/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
82	F082	f83r	B3	f83r.11	1	12	S056	LAST	TERMINAL	2	E254,E255	sor shedy	E254:7a4bb8136330ee4e6e56:ANSATZ?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Die bereitete Arbeitsflüssigkeit ; lasse es bis zur Bereitschaft stehen und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 12/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
83	F083	f83r	B3	f83r.11	2	13	S057	ONLY	TERMINAL	4	E256,E257,E258,E259	qokaiin chkain shcthey qokedy	E259:7db18b2f0fb7ed0fcfd3:SPÜLEN?	E256:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne den nächsten abgemessenen Posten ; ein abgemessener Anteil ; unter derselben Einstellung ; spüle die bezeichnete Stelle einmal und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 13/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
84	F084	f83r	B3	f83r.11	3	14	S058	ONLY	TERMINAL	2	E260,E261	okair sheedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	öffne danach den oberen Lauf ; wasche einmal und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 14/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
85	F085	f83r	B3	f83r.11	4	15	S059	ONLY	TERMINAL	1	E262	lchedy	E262:de7321bface5628e35d6:ABLASSEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 15/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
86	F086	f83r	B3	f83r.11	5	16	S060	FIRST	OPEN	1	E263	lo	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	schließe den unteren Ablauf	durch Stationen führen [Ganzfeldexemplar B3, Feld 16/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
87	F087	f83r	B3	f83r.14	1	17	S060	LAST	TERMINAL	1	E264	qokchedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	lasse es abkühlen und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 17/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
88	F088	f83r	B3	f83r.14	2	18	S061	ONLY	TERMINAL	1	E265	qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 18/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
89	F089	f83r	B3	f83r.14	3	19	S062	ONLY	TERMINAL	1	E266	shedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse es bis zur Bereitschaft stehen und beende den Schritt	durch Stationen führen [Ganzfeldexemplar B3, Feld 19/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
90	F090	f83r	B3	f83r.14	4	20	S063	ONLY	TERMINAL	1	E267	qokshedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	koche sanft und beende diesen Arbeitsschritt	absetzen und klären [Ganzfeldexemplar B3, Feld 20/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
91	F091	f83r	B3	f83r.14	5	21	S064	ONLY	TERMINAL	2	E268,E269	dal lchedy	E268:dd0ecaf5e27d81befffc:ZIEL? | E269:de7321bface5628e35d6:ABLASSEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	An die bezeichnete Zielstelle führen ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 21/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
92	F092	f83r	B3	f83r.14	6	22	S065	FIRST	OPEN	4	E270,E271,E272,E273	qokaiin shcthy dal sy	E271:e0b630cb1b5df5e7105b:BEREIT? | E272:dd0ecaf5e27d81befffc:ZIEL?	E270:STANDARDSLOT_SETZEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne den nächsten abgemessenen Posten ; Sobald die Zubereitung gebrauchsfertig ist ; An die bezeichnete Zielstelle führen ; Diese aktive Portion	absetzen und klären [Ganzfeldexemplar B3, Feld 22/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
93	F093	f83r	B3	f83r.15	1	23	S065	LAST	TERMINAL	7	E274,E275,E276,E277,E278,E279,E280	saiin shedal shecthy chey tal shcthy dalchdy	E274:2f1c5e56e8f0ff459065:MASS? | E278:dd0ecaf5e27d81befffc:ZIEL? | E279:e0b630cb1b5df5e7105b:BEREIT?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Ein vorgeschriebenes Maß ; für einen Zeitabschnitt ; warmes Wasser ; Diese aktive Portion ; An die bezeichnete Zielstelle führen ; Sobald die Zubereitung gebrauchsfertig ist ; behalte den Rückstand und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 23/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
94	F094	f83r	B3	f83r.15	2	24	S066	ONLY	TERMINAL	1	E281	qotchedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	mische zu gleichen Teilen und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 24/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
95	F095	f83r	B3	f83r.15	3	25	S067	ONLY	TERMINAL	1	E282	lchedy	E282:de7321bface5628e35d6:ABLASSEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 25/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
96	F096	f83r	B3	f83r.16	1	26	S068	ONLY	TERMINAL	1	E283	tchedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 26/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
97	F097	f83r	B3	f83r.16	2	27	S069	ONLY	TERMINAL	1	E284	qokchdy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	erwärme es einmal und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 27/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
98	F098	f83r	B3	f83r.16	3	28	S070	FIRST	OPEN	6	E285,E286,E287,E288,E289,E290	cheedar chldaiin chedy qokain checthy chealror	E289:e0b630cb1b5df5e7105b:BEREIT?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	setze die Person an das Becken ; nach dem Absetzen ; rühre, bis alles gleichmäßig vermischt ist ; gib einen abgemessenen Anteil in das Gefäß ; Sobald die Zubereitung gebrauchsfertig ist ; bis der Strom klar wird	absetzen und klären [Ganzfeldexemplar B3, Feld 28/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
99	F099	f83r	B3	f83r.20	1	29	S070	LAST	TERMINAL	1	E291	solkeedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	lasse die Flüssigkeit sich setzen und beende den Schritt	absetzen und klären [Ganzfeldexemplar B3, Feld 29/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
100	F100	f83r	B3	f83r.20	2	30	S071	ONLY	TERMINAL	1	E292	qoteedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	binde es auf die Stelle und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 30/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
101	F101	f83r	B3	f83r.20	3	31	S072	ONLY	TERMINAL	2	E293,E294	qokeey qokedy	E293:0275fbf14e07935b0a45:TEMPERIEREN? | E294:7db18b2f0fb7ed0fcfd3:SPÜLEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 31/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
102	F102	f83r	B3	f83r.20	4	32	S073	ONLY	TERMINAL	3	E295,E296,E297	sol cheeety qokedy	E297:7db18b2f0fb7ed0fcfd3:SPÜLEN?	E295:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Mit der vorigen Zubereitung weiter ; nach der ersten Spülung ; spüle die bezeichnete Stelle einmal und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 32/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
