stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	state_bank_was_new	active_action_before	active_argument_before	explicit_action_roots	explicit_argument_roots	inherited_action_root	inherited_argument_root	active_action_after	active_argument_after	reader_status	reader_clause_de	baseline_reader_clause_de	order_repair_rule	clause_changed_by_order_repair	state_matches_gdt436	expected_order_safe_clause_de	clause_matches_gdt437	meaning_change
2853	G407-E2853	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	ol	OL	T0_EXACT_OBSERVED	NO	CHD	AIIN	NONE	NONE	CHD	AIIN	CHD	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang bearbeite den Stationswert [wie zuvor].	Weiter im laufenden Gang bearbeite den Stationswert [wie zuvor].	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang bearbeite den Stationswert [wie zuvor].	YES	NO
2854	G407-E2854	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	oly	OL+Y	T0_EXACT_OBSERVED	NO	CHD	AIIN	NONE	Y	CHD	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang bearbeite den Stationsposten.	Weiter im laufenden Gang bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang bearbeite den Stationsposten.	YES	NO
2855	G407-E2855	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	chey	Y	T0_EXACT_OBSERVED	NO	CHD	Y	NONE	Y	CHD	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang bearbeite den Stationsposten.	Im laufenden Gang bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang bearbeite den Stationsposten.	YES	NO
2856	G407-E2856	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	okain	OK+AIN	T0_EXACT_OBSERVED	NO	CHD	Y	OK	AIN	NONE	NONE	OK	AIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsanteil im Stationsgang an.	Setze den Stationsanteil im Stationsgang an.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsanteil im Stationsgang an.	YES	NO
2857	G407-E2857	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	sheckhy	SH+E+CH+K+Y	T0_EXACT_OBSERVED	NO	OK	AIN	SH|CH|K	Y	NONE	NONE	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	YES	NO
2858	G407-E2858	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	soiin	S+O+IIN	T0_EXACT_OBSERVED	NO	K	Y	S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle den Stationsposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Wähle den Stationsposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle den Stationsposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	YES	NO
2859	G407-E2859	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	chey	Y	T0_EXACT_OBSERVED	NO	S	Y	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang wähle den Stationsposten.	Im laufenden Gang wähle den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang wähle den Stationsposten.	YES	NO
2860	G407-E2860	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	lchey	L+Y	T0_EXACT_OBSERVED	NO	S	Y	NONE	Y	S	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Über die sichtbare Verbindung: im laufenden Gang wähle den Stationsposten.	Im laufenden Gang wähle den Stationsposten; über die sichtbare Verbindung.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	YES	YES	Über die sichtbare Verbindung: im laufenden Gang wähle den Stationsposten.	YES	NO__RELATION_ARGUMENT_ORDER_ONLY
2861	G407-E2861	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	par	P+AR	T0_EXACT_OBSERVED	NO	S	Y	P	NONE	NONE	Y	P	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten [wie zuvor] ein; von der Ausgangsstation.	Setze den Stationsposten [wie zuvor] ein; von der Ausgangsstation.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten [wie zuvor] ein; von der Ausgangsstation.	YES	NO
2862	G407-E2862	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	ody	O+DY	T0_EXACT_OBSERVED	NO	P	Y	NONE	NONE	P	Y	P	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Stationsposten [wie zuvor] ein; als Ausführung; schließe den Schritt.	Im laufenden Gang setze den Stationsposten [wie zuvor] ein; als Ausführung; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Stationsposten [wie zuvor] ein; als Ausführung; schließe den Schritt.	YES	NO
2863	G407-E2863	G404-S044	f81r	BIOLOGICAL	F81R_LOWER_POOL	shecphy	SH+E+CH+P+Y	T0_EXACT_OBSERVED	NO	P	Y	SH|CH|P	Y	NONE	NONE	P	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	YES	NO
2864	G407-E2864	G404-S044	f81r	BIOLOGICAL	F81R_LOWER_POOL	cheol	CH+E+O+L	T0_EXACT_OBSERVED	NO	P	Y	CH	NONE	NONE	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	YES	NO
2865	G407-E2865	G404-S044	f81r	BIOLOGICAL	F81R_LOWER_POOL	qotaldar	OT+AL+D_ADDR+AR	T0_EXACT_OBSERVED	NO	CH	Y	NONE	NONE	CH	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang entnimm den Stationsposten [wie zuvor]; zur Zielstation und von der Ausgangsstation; an der bezeichneten Stelle.	Danach im laufenden Gang entnimm den Stationsposten [wie zuvor]; zur Zielstation und von der Ausgangsstation; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang entnimm den Stationsposten [wie zuvor]; zur Zielstation und von der Ausgangsstation; an der bezeichneten Stelle.	YES	NO
2866	G407-E2866	G404-S044	f81r	BIOLOGICAL	F81R_LOWER_POOL	otedy	OT+E+DY	T0_EXACT_OBSERVED	NO	CH	Y	NONE	NONE	CH	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang entnimm den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	Danach im laufenden Gang entnimm den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang entnimm den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO
2867	G407-E2867	G404-S045	f81r	BIOLOGICAL	F81R_LOWER_POOL	oly	OL+Y	T0_EXACT_OBSERVED	NO	CH	Y	NONE	Y	CH	NONE	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang entnimm den Stationsposten.	Weiter im laufenden Gang entnimm den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang entnimm den Stationsposten.	YES	NO
2868	G407-E2868	G404-S045	f81r	BIOLOGICAL	F81R_LOWER_POOL	sar	S+AR	T0_EXACT_OBSERVED	NO	CH	Y	S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Wähle den Stationsposten [wie zuvor]; von der Ausgangsstation.	Wähle den Stationsposten [wie zuvor]; von der Ausgangsstation.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Wähle den Stationsposten [wie zuvor]; von der Ausgangsstation.	YES	NO
2869	G407-E2869	G404-S045	f81r	BIOLOGICAL	F81R_LOWER_POOL	shedy	SH+E+DY	T0_EXACT_OBSERVED	NO	S	Y	SH	NONE	NONE	Y	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO
2870	G407-E2870	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	qol	OL	T0_EXACT_OBSERVED	NO	SH	Y	NONE	NONE	SH	Y	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	YES	NO
2871	G407-E2871	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	otain	OT+AIN	T0_EXACT_OBSERVED	NO	SH	Y	NONE	AIN	SH	NONE	SH	AIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang halte den Stationsanteil.	Danach im laufenden Gang halte den Stationsanteil.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang halte den Stationsanteil.	YES	NO
2872	G407-E2872	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	okair	OK+AIR	T0_EXACT_OBSERVED	NO	SH	AIN	OK	NONE	NONE	AIN	OK	AIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsanteil [wie zuvor] im Stationsgang an; entlang der Stationsbahn.	Setze den Stationsanteil [wie zuvor] im Stationsgang an; entlang der Stationsbahn.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsanteil [wie zuvor] im Stationsgang an; entlang der Stationsbahn.	YES	NO
2873	G407-E2873	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	okal	OK+AL	T0_EXACT_OBSERVED	NO	OK	AIN	OK	NONE	NONE	AIN	OK	AIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsanteil [wie zuvor] im Stationsgang an; zur Zielstation.	Setze den Stationsanteil [wie zuvor] im Stationsgang an; zur Zielstation.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsanteil [wie zuvor] im Stationsgang an; zur Zielstation.	YES	NO
2874	G407-E2874	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	chedy	CHD+Y	T0_EXACT_OBSERVED	NO	OK	AIN	CHD	Y	NONE	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Bearbeite den Stationsposten.	Bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Bearbeite den Stationsposten.	YES	NO
2875	G407-E2875	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	dy	Y	T0_EXACT_OBSERVED	NO	CHD	Y	NONE	Y	CHD	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang bearbeite den Stationsposten.	Im laufenden Gang bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang bearbeite den Stationsposten.	YES	NO
2876	G407-E2876	G404-S046	f81r	BIOLOGICAL	F81R_LOWER_POOL	pchedy	P+CHD+DY	T0_EXACT_OBSERVED	NO	CHD	Y	P|CHD	NONE	NONE	Y	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	YES	NO
2877	G407-E2877	G404-S047	f81r	BIOLOGICAL	F81R_LOWER_POOL	qokey	OK+E+Y	T0_EXACT_OBSERVED	NO	CHD	Y	OK	Y	NONE	NONE	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten im Stationsgang an; auf Grad I.	Setze den Stationsposten im Stationsgang an; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten im Stationsgang an; auf Grad I.	YES	NO
2878	G407-E2878	G404-S047	f81r	BIOLOGICAL	F81R_LOWER_POOL	oteol	OT+E+OL	T0_EXACT_OBSERVED	NO	OK	Y	NONE	NONE	OK	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach und weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	Danach und weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach und weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	YES	NO
2879	G407-E2879	G404-S047	f81r	BIOLOGICAL	F81R_LOWER_POOL	qol	OL	T0_EXACT_OBSERVED	NO	OK	Y	NONE	NONE	OK	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES	NO
2880	G407-E2880	G404-S047	f81r	BIOLOGICAL	F81R_LOWER_POOL	sheor	SH+E+OR	T0_EXACT_OBSERVED	NO	OK	Y	SH	OR	NONE	NONE	SH	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte die Stationseinheit; auf Grad I.	Halte die Stationseinheit; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte die Stationseinheit; auf Grad I.	YES	NO
2881	G407-E2881	G404-S047	f81r	BIOLOGICAL	F81R_LOWER_POOL	shedy	SH+E+DY	T0_EXACT_OBSERVED	NO	SH	OR	SH	NONE	NONE	OR	SH	OR	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte die Stationseinheit [wie zuvor]; auf Grad I; schließe den Schritt.	Halte die Stationseinheit [wie zuvor]; auf Grad I; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte die Stationseinheit [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO
2882	G407-E2882	G404-S048	f81r	BIOLOGICAL	F81R_LOWER_POOL	qcthdys	CH+T+D_ADDR+Y+S	T0_EXACT_OBSERVED	NO	SH	OR	CH|T|S	Y	NONE	NONE	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Stationsposten, stelle den Stationsposten ein und wähle den Stationsposten; an der bezeichneten Stelle.	Entnimm den Stationsposten, stelle den Stationsposten ein und wähle den Stationsposten; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Stationsposten, stelle den Stationsposten ein und wähle den Stationsposten; an der bezeichneten Stelle.	YES	NO
2883	G407-E2883	G404-S048	f81r	BIOLOGICAL	F81R_LOWER_POOL	sol	OL	T0_EXACT_OBSERVED	NO	S	Y	NONE	NONE	S	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang wähle den Stationsposten [wie zuvor].	Weiter im laufenden Gang wähle den Stationsposten [wie zuvor].	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang wähle den Stationsposten [wie zuvor].	YES	NO
2884	G407-E2884	G404-S048	f81r	BIOLOGICAL	F81R_LOWER_POOL	chedy	CHD+Y	T0_EXACT_OBSERVED	NO	S	Y	CHD	Y	NONE	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Bearbeite den Stationsposten.	Bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Bearbeite den Stationsposten.	YES	NO
2885	G407-E2885	G404-S048	f81r	BIOLOGICAL	F81R_LOWER_POOL	qokedy	OK+E+DY	T0_EXACT_OBSERVED	NO	CHD	Y	OK	NONE	NONE	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO
2886	G407-E2886	G404-S049	f81r	BIOLOGICAL	F81R_LOWER_POOL	olkedy	OL+K+E+DY	T0_EXACT_OBSERVED	NO	OK	Y	K	NONE	NONE	Y	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	YES	NO
2887	G407-E2887	G404-S050	f81r	BIOLOGICAL	F81R_LOWER_POOL	dol	D_ADDR+OL	T0_EXACT_OBSERVED	NO	K	Y	NONE	NONE	K	Y	K	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu; an der bezeichneten Stelle.	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu; an der bezeichneten Stelle.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu; an der bezeichneten Stelle.	YES	NO
2888	G407-E2888	G404-S050	f81r	BIOLOGICAL	F81R_LOWER_POOL	qokchedy	OK+CHD+Y	T0_EXACT_OBSERVED	NO	K	Y	OK|CHD	Y	NONE	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten im Stationsgang an und bearbeite den Stationsposten.	Setze den Stationsposten im Stationsgang an und bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten im Stationsgang an und bearbeite den Stationsposten.	YES	NO
2889	G407-E2889	G404-S050	f81r	BIOLOGICAL	F81R_LOWER_POOL	qokesdy	OK+E+S+DY	T0_EXACT_OBSERVED	NO	CHD	Y	OK|S	NONE	NONE	Y	S	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten [wie zuvor] im Stationsgang an und wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an und wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten [wie zuvor] im Stationsgang an und wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO
2890	G407-E2890	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	chedy	CHD+Y	T0_EXACT_OBSERVED	NO	S	Y	CHD	Y	NONE	NONE	CHD	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Bearbeite den Stationsposten.	Bearbeite den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Bearbeite den Stationsposten.	YES	NO
2891	G407-E2891	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	qokar	OK+AR	T0_EXACT_OBSERVED	NO	CHD	Y	OK	NONE	NONE	Y	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	YES	NO
2892	G407-E2892	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	chey	Y	T0_EXACT_OBSERVED	NO	OK	Y	NONE	Y	OK	NONE	OK	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang setze den Stationsposten im Stationsgang an.	Im laufenden Gang setze den Stationsposten im Stationsgang an.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang setze den Stationsposten im Stationsgang an.	YES	NO
2893	G407-E2893	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	taiin	T+AIIN	T0_EXACT_OBSERVED	NO	OK	Y	T	AIIN	NONE	NONE	T	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Stelle den Stationswert ein.	Stelle den Stationswert ein.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Stelle den Stationswert ein.	YES	NO
2894	G407-E2894	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	otey	OT+E+Y	T0_EXACT_OBSERVED	NO	T	AIIN	NONE	Y	T	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Danach im laufenden Gang stelle den Stationsposten ein; auf Grad I.	Danach im laufenden Gang stelle den Stationsposten ein; auf Grad I.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Danach im laufenden Gang stelle den Stationsposten ein; auf Grad I.	YES	NO
2895	G407-E2895	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	lchl	L+CH+L	T0_EXACT_OBSERVED	NO	T	Y	CH	NONE	NONE	Y	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	YES	NO
2896	G407-E2896	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	y	Y	T0_EXACT_OBSERVED	NO	CH	Y	NONE	Y	CH	NONE	CH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang entnimm den Stationsposten.	Im laufenden Gang entnimm den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang entnimm den Stationsposten.	YES	NO
2897	G407-E2897	G404-S051	f81r	BIOLOGICAL	F81R_LOWER_POOL	sheedy	SH+EE+DY	T0_EXACT_OBSERVED	NO	CH	Y	SH	NONE	NONE	Y	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Halte den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Halte den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	YES	NO
2898	G407-E2898	G404-S052	f81r	BIOLOGICAL	F81R_LOWER_POOL	shy	Y	T0_EXACT_OBSERVED	NO	SH	Y	NONE	Y	SH	NONE	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang halte den Stationsposten.	Im laufenden Gang halte den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang halte den Stationsposten.	YES	NO
2899	G407-E2899	G404-S052	f81r	BIOLOGICAL	F81R_LOWER_POOL	chey	Y	T0_EXACT_OBSERVED	NO	SH	Y	NONE	Y	SH	NONE	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang halte den Stationsposten.	Im laufenden Gang halte den Stationsposten.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang halte den Stationsposten.	YES	NO
2900	G407-E2900	G404-S052	f81r	BIOLOGICAL	F81R_LOWER_POOL	l	L	T0_EXACT_OBSERVED	NO	SH	Y	NONE	NONE	SH	Y	SH	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Im laufenden Gang halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	Im laufenden Gang halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Im laufenden Gang halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	YES	NO
2901	G407-E2901	G404-S052	f81r	BIOLOGICAL	F81R_LOWER_POOL	chcthy	CH+CH+T+Y	T0_EXACT_OBSERVED	NO	SH	Y	CH|CH|T	Y	NONE	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	YES	NO
2902	G407-E2902	G404-S052	f81r	BIOLOGICAL	F81R_LOWER_POOL	ytar	Y+T+AR	T0_EXACT_OBSERVED	NO	T	Y	T	Y	NONE	NONE	T	Y	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Stelle den Stationsposten ein; von der Ausgangsstation.	Stelle den Stationsposten ein; von der Ausgangsstation.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Stelle den Stationsposten ein; von der Ausgangsstation.	YES	NO
2903	G407-E2903	G404-S052	f81r	BIOLOGICAL	F81R_LOWER_POOL	olkaiin	OL+K+AIIN	T0_EXACT_OBSERVED	NO	T	Y	K	AIIN	NONE	NONE	K	AIIN	READ_FROM_EXACT_RECIPE_AND_LEFT_CONTEXT	Weiter führe den Stationswert zu.	Weiter führe den Stationswert zu.	BASELINE_ORDER_ALREADY_SAFE	NO	YES	Weiter führe den Stationswert zu.	YES	NO
