body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body
alkeedy	1	s	p:-|s:salkeedy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
alkeey	1	s	p:-|s:salkeey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
alom	1	r	p:-|s:-|r:ralom|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	4	0
alos	1	r	p:-|s:-|r:ralos|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
als	1	r	p:-|s:-|r:rals|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	4	0
alsaly	1	s	p:-|s:salsaly|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
alshcthdy	1	s	p:-|s:salshcthdy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
alshey	1	s	p:-|s:salshey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	2	0
alshsar	1	p	p:palshsar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
altar	1	s	p:-|s:saltar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
alxar	1	s	p:-|s:salxar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
amshy	1	r	p:-|s:-|r:ramshy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
aradam	1	p	p:paradam|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
araiiin	1	r	p:-|s:-|r:raraiiin|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
araiir	1	s	p:-|s:saraiir|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
arain	1	s	p:-|s:sarain|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	4	0
arair	1	p	p:parair|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
araisl	1	s	p:-|s:saraisl|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
aralchl	1	r	p:-|s:-|r:raralchl|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
araloaly	1	s	p:-|s:saraloaly|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
archdy	1	p	p:parchdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
archor	1	p	p:parchor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
ardy	1	p	p:pardy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
arg	1	s	p:-|s:sarg|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
aro	1	s	p:-|s:saro|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
aroiin	1	p	p:paroiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
arols	1	s	p:-|s:sarols|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
arolsheedy	1	s	p:-|s:sarolsheedy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
aror	1	p	p:paror|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	6	0
aroral	1	s	p:-|s:saroral|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
arorol	1	l	p:-|s:-|r:-|l:larorol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
aroshy	1	s	p:-|s:saroshy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
asal	1	r	p:-|s:-|r:rasal|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
asoldal	1	s	p:-|s:sasoldal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
asy	1	r	p:-|s:-|r:rasy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
atar	1	s	p:-|s:satar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
aty	1	r	p:-|s:-|r:raty|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
ch	1	l	p:-|s:-|r:-|l:lch	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	13	0
cha	1	p	p:pcha|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	1	0
chain	1	l	p:-|s:-|r:-|l:lchain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	19	0
challarar	1	p	p:pchallarar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
cham	1	l	p:-|s:-|r:-|l:lcham	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	15	0
charalor	1	p	p:pcharalor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
charar	1	l	p:-|s:-|r:-|l:lcharar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
charchy	1	s	p:-|s:scharchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
chckhy	1	l	p:-|s:-|r:-|l:lchckhy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	126	0
chcphedy	1	l	p:-|s:-|r:-|l:lchcphedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
chcthy	1	s	p:-|s:schcthy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	75	1
chdain	1	l	p:-|s:-|r:-|l:lchdain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	8	0
chdarody	1	p	p:pchdarody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chdlar	1	p	p:pchdlar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chdoiin	1	p	p:pchdoiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
chea	1	l	p:-|s:-|r:-|l:lchea	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
cheady	1	p	p:pcheady|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
chealaim	1	l	p:-|s:-|r:-|l:lchealaim	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
chealcham	1	r	p:-|s:-|r:rchealcham|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
cheald	1	r	p:-|s:-|r:rcheald|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
checfhey	1	p	p:pchecfhey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chechdy	1	l	p:-|s:-|r:-|l:lchechdy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
checkhedy	1	l	p:-|s:-|r:-|l:lcheckhedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
checkhey	1	l	p:-|s:-|r:-|l:lcheckhey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	10	0
chedaiir	1	s	p:-|s:schedaiir|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
chedairs	1	p	p:pchedairs|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chedchdy	1	p	p:pchedchdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chedeey	1	p	p:pchedeey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
chedey	1	p	p:pchedey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
chedo	1	l	p:-|s:-|r:-|l:lchedo	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
chedor	1	l	p:-|s:-|r:-|l:lchedor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	3	0
chedr	1	l	p:-|s:-|r:-|l:lchedr	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
chedykedy	1	l	p:-|s:-|r:-|l:lchedykedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
cheed	1	p	p:pcheed|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	3	0
cheeey	1	l	p:-|s:-|r:-|l:lcheeey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	8	0
cheel	1	l	p:-|s:-|r:-|l:lcheel	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
cheeo	1	r	p:-|s:-|r:rcheeo|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	19	0
cheeody	1	p	p:pcheeody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	10	0
cheeor	1	l	p:-|s:-|r:-|l:lcheeor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	13	0
cheetey	1	r	p:-|s:-|r:rcheetey|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
cheety	1	p	p:pcheety|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	3	0
cheg	1	l	p:-|s:-|r:-|l:lcheg	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
cheky	1	r	p:-|s:-|r:rcheky|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	55	0
cheockhy	1	p	p:pcheockhy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	8	0
cheocphy	1	p	p:pcheocphy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
cheodaiin	1	p	p:pcheodaiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	12	0
cheodain	1	p	p:pcheodain|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	8	0
cheodair	1	p	p:pcheodair|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
cheodal	1	p	p:pcheodal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	5	0
cheodchy	1	p	p:pcheodchy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
cheoekam	1	l	p:-|s:-|r:-|l:lcheoekam	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
cheoepchy	1	p	p:pcheoepchy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
cheokeey	1	p	p:pcheokeey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	4	0
cheoldom	1	p	p:pcheoldom|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
cheolkal	1	p	p:pcheolkal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
cheolshedy	1	l	p:-|s:-|r:-|l:lcheolshedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
cheoly	1	p	p:pcheoly|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	4	0
cheom	1	s	p:-|s:scheom|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	9	0
cheoor	1	p	p:pcheoor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
chesy	1	s	p:-|s:schesy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
chety	1	s	p:-|s:schety|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	18	1
cheykeeor	1	p	p:pcheykeeor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
cheypchdar	1	p	p:pcheypchdar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
choal	1	s	p:-|s:schoal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
chod	1	l	p:-|s:-|r:-|l:lchod	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	8	0
chodal	1	p	p:pchodal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	5	0
chodam	1	s	p:-|s:schodam|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
chodchy	1	s	p:-|s:schodchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
choetal	1	p	p:pchoetal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chof	1	p	p:pchof|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
chofar	1	p	p:pchofar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chofychy	1	p	p:pchofychy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chokey	1	s	p:-|s:schokey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	4	0
cholchdy	1	p	p:pcholchdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
cholkaiin	1	l	p:-|s:-|r:-|l:lcholkaiin	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	5	0
cholkal	1	p	p:pcholkal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	2	0
cholkchdy	1	p	p:pcholkchdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
cholkeedy	1	p	p:pcholkeedy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	3	0
cholor	1	p	p:pcholor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	5	0
choly	1	p	p:pcholy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	12	0
chom	1	p	p:pchom|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	10	0
chooiin	1	p	p:pchooiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
choraiin	1	p	p:pchoraiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	3	0
chorom	1	l	p:-|s:-|r:-|l:lchorom	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
choror	1	p	p:pchoror|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	2	0
chosos	1	p	p:pchosos|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chotchy	1	p	p:pchotchy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	11	0
chpchdy	1	l	p:-|s:-|r:-|l:lchpchdy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
chroiin	1	p	p:pchroiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
chsed	1	p	p:pchsed|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
chseesy	1	r	p:-|s:-|r:rchseesy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
chshy	1	p	p:pchshy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
chsl	1	l	p:-|s:-|r:-|l:lchsl	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
chsy	1	r	p:-|s:-|r:rchsy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	1	0
chtchdy	1	p	p:pchtchdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
chykar	1	p	p:pchykar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
cthey	1	s	p:-|s:scthey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	38	0
daiiin	1	l	p:-|s:-|r:-|l:ldaiiin	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	17	0
daiiiy	1	p	p:pdaiiiy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
dair	1	p	p:pdair|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	77	0
dalor	1	l	p:-|s:-|r:-|l:ldalor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	7	0
dals	1	l	p:-|s:-|r:-|l:ldals	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	8	0
dalshdy	1	p	p:pdalshdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	4	0
dalshor	1	p	p:pdalshor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
daly	1	l	p:-|s:-|r:-|l:ldaly	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	24	0
