statement_id	physical_page	register	event_count	surface_sequence	pass1025_recipe_sequence	pass1026_recipe_sequence	literal_core_reading_de	changed_event_ids
P1009-S269	f76r	BIOLOGICAL	8	poleedaran shckhy qoty ykar alol lkaiin ol shedy	P+OL+EE+D_ADDR+AR+AN | SH+CH+K+Y | OT+Y | Y+K+AR | K+AL+OL | L+K+AIIN | OL | SH+E+DY	P+OL+EE+D_ADDR+AR+AN | SH+CH+K+Y | OT+Y | Y+K+AR | AL+OL | L+K+AIIN | OL | SH+E+DY	EINSETZEN · FORTSETZEN · GRAD II · HIER · AUSGANG · KLASSE / HALTEN · NEHMEN · GEBEN · AKTIVER POSTEN / DANACH · AKTIVER POSTEN / AKTIVER POSTEN · GEBEN · AUSGANG / ZIELORT · FORTSETZEN / VERBINDUNG · GEBEN · WERT / FORTSETZEN / HALTEN · GRAD I · SCHLUSS	P1008-E0908
P1009-S270	f76r	BIOLOGICAL	4	otain okar opar kolpy	OT+AIN | OK+AR | P+AR | K+OL+DY	OT+AIN | OK+AR | O+P+AR | K+OL+P+Y	DANACH · ANTEIL / SETZEN · AUSGANG / AUSFÜHRUNG · EINSETZEN · AUSGANG / GEBEN · FORTSETZEN · EINSETZEN · AKTIVER POSTEN	P1008-E0914|P1008-E0915
P1009-S273	f76r	BIOLOGICAL	8	qochy as oin sheey chckhy dain shear okedy	O+P+Y | A_ADDR+S | O+IIN | SH+EE+Y | CH+K+Y | AIN | SH+E+AR | OK+E+DY	O+Y | A_ADDR+S | O+IIN | SH+EE+Y | CH+K+Y | AIN | SH+E+AR | OK+E+DY	AUSFÜHRUNG · AKTIVER POSTEN / HIER · WÄHLEN / AUSFÜHRUNG · STUFE / HALTEN · GRAD II · AKTIVER POSTEN / NEHMEN · GEBEN · AKTIVER POSTEN / ANTEIL / HALTEN · GRAD I · AUSGANG / SETZEN · GRAD I · SCHLUSS	P1008-E0924
P1009-S278	f76r	BIOLOGICAL	9	olain oky saiin shckhy lkeedy qoky okain ytain oteedy	OL+AIIN | OK+Y | S+AIIN | SH+CH+K+Y | L+K+EE+D_ADDR+Y | OK+Y | OK+AIN | Y+T+AIN | OT+EE+DY	OL+AIN | OK+Y | S+AIIN | SH+CH+K+Y | L+K+EE+D_ADDR+Y | OK+Y | OK+AIN | Y+T+AIN | OT+EE+DY	FORTSETZEN · ANTEIL / SETZEN · AKTIVER POSTEN / WÄHLEN · WERT / HALTEN · NEHMEN · GEBEN · AKTIVER POSTEN / VERBINDUNG · GEBEN · GRAD II · HIER · AKTIVER POSTEN / SETZEN · AKTIVER POSTEN / SETZEN · ANTEIL / AKTIVER POSTEN · EINSTELLEN · ANTEIL / DANACH · GRAD II · SCHLUSS	P1008-E0948
P1009-S279	f76r	BIOLOGICAL	2	okedor shedy	OK+EE+OR | SH+E+DY	OK+E+D_ADDR+OR | SH+E+DY	SETZEN · GRAD I · HIER · EINHEIT / HALTEN · GRAD I · SCHLUSS	P1008-E0957
P1009-S280	f76r	BIOLOGICAL	14	qokal saiin olaiin oky shol sain oky l kar chedy lkar al loral pchedy	OK+AL | S+AIIN | OL+AIIN | OK+Y | SH+OL | S+AIN | OK+Y | L | K+AR | CHD+Y | K+AR | AL | OR+AL+Y | P+CHD+DY	OK+AL | S+AIIN | OL+AIIN | OK+Y | SH+OL | S+AIN | OK+Y | L | K+AR | CHD+Y | L+K+AR | AL | OR+AL+Y | P+CHD+DY	SETZEN · ZIELORT / WÄHLEN · WERT / FORTSETZEN · WERT / SETZEN · AKTIVER POSTEN / HALTEN · FORTSETZEN / WÄHLEN · ANTEIL / SETZEN · AKTIVER POSTEN / VERBINDUNG / GEBEN · AUSGANG / UMSETZEN · AKTIVER POSTEN / VERBINDUNG · GEBEN · AUSGANG / ZIELORT / EINHEIT · ZIELORT · AKTIVER POSTEN / EINSETZEN · UMSETZEN · SCHLUSS	P1008-E0969
P1009-S282	f76r	BIOLOGICAL	3	qokaiin otal rory	OK+AIIN | OT+AL | R+OR	OK+AIIN | OT+AL | R+OR+Y	SETZEN · WERT / DANACH · ZIELORT / MARKIEREN · EINHEIT · AKTIVER POSTEN	P1008-E0979
P1009-S283	f76r	BIOLOGICAL	2	qkor shedy	OR | SH+E+DY	K+OR | SH+E+DY	GEBEN · EINHEIT / HALTEN · GRAD I · SCHLUSS	P1008-E0980
P1009-S285	f76r	BIOLOGICAL	8	sal raiin opchdy dar chedy qopchedy rorol olsheed	S+AL | R+AIIN | P+CHD+Y | D_ADDR+AR | CHD+Y | CARRIER_Q+O+P+CHD+Y | L+OL+OL | OL+SH+EE+DY	S+AL | R+AIIN | O+P+CHD+Y | D_ADDR+AR | CHD+Y | CARRIER_Q+O+P+CHD+Y | L+OL+OL | OL+SH+EE+D_ADDR	WÄHLEN · ZIELORT / MARKIEREN · WERT / AUSFÜHRUNG · EINSETZEN · UMSETZEN · AKTIVER POSTEN / HIER · AUSGANG / UMSETZEN · AKTIVER POSTEN / BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · UMSETZEN · AKTIVER POSTEN / VERBINDUNG · FORTSETZEN · FORTSETZEN / FORTSETZEN · HALTEN · GRAD II · HIER	P1008-E0986|P1008-E0991
P1009-S292	f76r	BIOLOGICAL	4	ol chedor chal shed	OL | CH+EE+OR | CH+AL | SH+E+DY	OL | CHD+OR | CH+AL | SH+E+D_ADDR	FORTSETZEN / UMSETZEN · EINHEIT / NEHMEN · ZIELORT / HALTEN · GRAD I · HIER	P1008-E1004|P1008-E1006
P1009-S294	f76r	BIOLOGICAL	1	dshdy	SH+E+DY	SH+DY	HALTEN · SCHLUSS	P1008-E1008
P1009-S295	f76r	BIOLOGICAL	8	okal chedyl dal or chedy qolaiin okedal olchedy	OK+AL | CHD+Y | AL | OR | CHD+Y | OL+AIIN | OK+AL | OL+CHD+DY	OK+AL | CHD+Y+L | AL | OR | CHD+Y | OL+AIIN | OK+AL | OL+CHD+DY	SETZEN · ZIELORT / UMSETZEN · AKTIVER POSTEN · VERBINDUNG / ZIELORT / EINHEIT / UMSETZEN · AKTIVER POSTEN / FORTSETZEN · WERT / SETZEN · ZIELORT / FORTSETZEN · UMSETZEN · SCHLUSS	P1008-E1010
P1009-S297	f76r	BIOLOGICAL	9	choly aiin y sain sheey or ar al solshey	OL+Y | AIIN | Y | S+AIN | SH+EE+Y | OR | AR | AL | OL+SH+E+DY	OL+Y | AIIN | Y | S+AIN | SH+EE+Y | OR | AR | AL | OL+SH+E+Y	FORTSETZEN · AKTIVER POSTEN / WERT / AKTIVER POSTEN / WÄHLEN · ANTEIL / HALTEN · GRAD II · AKTIVER POSTEN / EINHEIT / AUSGANG / ZIELORT / FORTSETZEN · HALTEN · GRAD I · AKTIVER POSTEN	P1008-E1027
P1009-S299	f76r	BIOLOGICAL	6	ldaiin checkhey okedalor qokaiin ol shedy	AIIN | CH+E+CH+K+Y | OK+E+D_ADDR+AL+OR | OK+AIIN | OL | SH+E+DY	L+AIIN | CH+E+CH+K+E+Y | OK+E+D_ADDR+AL+OR | OK+AIIN | OL | SH+E+DY	VERBINDUNG · WERT / NEHMEN · GRAD I · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD I · HIER · ZIELORT · EINHEIT / SETZEN · WERT / FORTSETZEN / HALTEN · GRAD I · SCHLUSS	P1008-E1029|P1008-E1030
P1009-S608	f89r	PHARMA	4	qoar shar qopcholy qokod	O+D_ADDR+AR | SH+E+AR | CARRIER_Q+O+CH+T+OL+Y | OK+O+DY	O+AR | SH+AR | CARRIER_Q+O+CH+T+OL+Y | OK+O+D_ADDR	AUSFÜHRUNG · AUSGANG / HALTEN · AUSGANG / BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · AKTIVER POSTEN / SETZEN · AUSFÜHRUNG · HIER	P1008-E1043|P1008-E1044|P1008-E1046
P1009-S609	f89r	PHARMA	7	chepy dar sheey okor sheeos oldain dshody	Y | D_ADDR+AR | SH+EE+Y | OK+OR | SH+EE+S | OL+D_ADDR+AIIN | SH+E+DY	CH+E+P+Y | D_ADDR+AR | SH+EE+Y | OK+OR | SH+EE+O+S | OL+AIN | SH+O+DY	NEHMEN · GRAD I · EINSETZEN · AKTIVER POSTEN / HIER · AUSGANG / HALTEN · GRAD II · AKTIVER POSTEN / SETZEN · EINHEIT / HALTEN · GRAD II · AUSFÜHRUNG · WÄHLEN / FORTSETZEN · ANTEIL / HALTEN · AUSFÜHRUNG · SCHLUSS	P1008-E1047|P1008-E1051|P1008-E1052|P1008-E1053
P1009-S610	f89r	PHARMA	36	qocthy chockhy dal chedy qokeody daldaiin chodaiin dal qokeol chol qodaiin chol cheody qokechy daiin ctheody dam yshor s oiiin daiin qokeey daiin ckhol qokain cheamy tdain s chol cheoky cheody qokar dal chor y daiin	O+D_ADDR+CH+T+Y | HO+CH+K+Y | AL | CHD+Y | OK+E+O+D_ADDR+Y | S+AL+D_ADDR+AIIN | CH+O+D_ADDR+AIIN | AL | OK+E+OL | OL | CARRIER_Q+O+AIIN | OL | CH+E+O+Y | OK+Y | AIIN | CH+E+O+Y | DA+AM_ADDR | SH+OR | S | O+IIN | AIIN | OK+EE+Y | AIIN | OL | OK+AIN | CH+AM_ADDR | AIN | S | OL | CH+E+O+K+Y | CH+E+O+Y | OK+AR | AL | CH+OR | Y | AIIN	O+CH+T+Y | HO+CH+K+Y | AL | CHD+Y | OK+E+O+D_ADDR+Y | AL+AIIN | CH+O+D_ADDR+AIIN | AL | OK+E+OL | OL | CARRIER_Q+O+AIIN | OL | CH+E+O+Y | OK+E+Y | AIIN | CH+T+E+O+Y | DA+AM_ADDR | Y+SH+OR | S | O+IIN | AIIN | OK+EE+Y | AIIN | CH+K+OL | OK+AIN | CH+AM_ADDR | T+AIN | S | OL | CH+E+O+K+Y | CH+E+O+Y | OK+AR | AL | CH+OR | Y | AIIN	AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN / KLASSE · NEHMEN · GEBEN · AKTIVER POSTEN / ZIELORT / UMSETZEN · AKTIVER POSTEN / SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN / ZIELORT · WERT / NEHMEN · AUSFÜHRUNG · HIER · WERT / ZIELORT / SETZEN · GRAD I · FORTSETZEN / FORTSETZEN / BEGINNMARKER · AUSFÜHRUNG · WERT / FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / WERT / NEHMEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / ZWEITE STUFE · HIER / AKTIVER POSTEN · HALTEN · EINHEIT / WÄHLEN / AUSFÜHRUNG · STUFE / WERT / SETZEN · GRAD II · AKTIVER POSTEN / WERT / NEHMEN · GEBEN · FORTSETZEN / SETZEN · ANTEIL / NEHMEN · HIER / EINSTELLEN · ANTEIL / WÄHLEN / FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / SETZEN · AUSGANG / ZIELORT / NEHMEN · EINHEIT / AKTIVER POSTEN / WERT	P1008-E1054|P1008-E1059|P1008-E1067|P1008-E1069|P1008-E1071|P1008-E1077|P1008-E1080
P1009-S611	f89r	PHARMA	14	tcheol qoeair sheol qocphey saiin cheocphey dal darolg om sheey qokey l daiin dalchom	T+CH+E+O+L | CARRIER_Q+O+LOCAL_CHAR_F+AIR | SH+E+OL | CH+P+E+Y | S+AIIN | CH+CH+P+E+Y | AL | AR+OL | O+AM_ADDR | SH+EE+Y | OK+E+Y | L | AIIN | AL+CHD+DY	T+CH+E+O+L | CARRIER_Q+O+E+AIR | SH+E+OL | CH+P+E+Y | S+AIIN | CH+CH+P+E+Y | AL | AR+OL | O+AM_ADDR | SH+EE+Y | OK+E+Y | L | AIIN | AL+CHD+DY	EINSTELLEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / BEGINNMARKER · AUSFÜHRUNG · GRAD I · LAUF / HALTEN · GRAD I · FORTSETZEN / NEHMEN · EINSETZEN · GRAD I · AKTIVER POSTEN / WÄHLEN · WERT / NEHMEN · NEHMEN · EINSETZEN · GRAD I · AKTIVER POSTEN / ZIELORT / AUSGANG · FORTSETZEN / AUSFÜHRUNG · HIER / HALTEN · GRAD II · AKTIVER POSTEN / SETZEN · GRAD I · AKTIVER POSTEN / VERBINDUNG / WERT / ZIELORT · UMSETZEN · SCHLUSS	P1008-E1097
P1009-S612	f89r	PHARMA	19	chy chol cheos aiin dy qeaiin cheyl seey qotey qokeeol daiin edy daiin dam dals al dal cheody dainaldy	Y | OL | CH+E+O+S | AIIN | Y | CARRIER_Q+O+AIIN | Y | SH+EE+Y | OT+E+Y | OK+E+OL | AIIN | Y | AIIN | DA+AM_ADDR | AL | AL | AL | CH+E+O+Y | D_ADDR+AIN+AL+DY	Y | OL | CH+E+O+S | AIIN | Y | CARRIER_Q+E+AIIN | Y+L | S+EE+Y | OT+E+Y | OK+EE+OL | AIIN | E+Y | AIIN | DA+AM_ADDR | AL+S | AL | AL | CH+E+O+Y | D_ADDR+AIN+AL+DY	AKTIVER POSTEN / FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN / WERT / AKTIVER POSTEN / BEGINNMARKER · GRAD I · WERT / AKTIVER POSTEN · VERBINDUNG / WÄHLEN · GRAD II · AKTIVER POSTEN / DANACH · GRAD I · AKTIVER POSTEN / SETZEN · GRAD II · FORTSETZEN / WERT / GRAD I · AKTIVER POSTEN / WERT / ZWEITE STUFE · HIER / ZIELORT · WÄHLEN / ZIELORT / ZIELORT / NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / HIER · ANTEIL · ZIELORT · SCHLUSS	P1008-E1115|P1008-E1116|P1008-E1117|P1008-E1119|P1008-E1121|P1008-E1124
P1009-S614	f89r	PHARMA	44	pshol sheo qoay cheocphy s sheyr qokair ydam daly daim cheom qoay air cheody ldain dal chom chtaii taiin dam shoety dal qokchy ykchdy otcham ol sshr aiin ycheeo r sheol qockhedy yty sheody qotol chead chey dal dain oteos cheody cheodain daiin chodaiin	SH+OL | SH+E+O | K+O+A_ADDR+Y | CH+E+O+CH+K+Y | S | SH+E+Y | OK+AIR | Y+DA+AM_ADDR | AL | AIN | CH+E+O+AM_ADDR | K+O+A_ADDR+Y | AIR | CH+E+O+Y | AIN | AL | HO | CH+AIIN | T+AIIN | DA+AM_ADDR | SH+EE+T+Y | AL | OK+Y | K+CHD+Y | OT+AM_ADDR | OL | Y | AIIN | Y+Y | R | SH+E+OL | O+CH+K+E+Y | Y+T+Y | SH+E+O+D_ADDR+Y | OT+OL | CH+E+AR | Y | AL | AIN | OT+EE+O+S_ADDR | CH+E+O+Y | CHD+AIN | AIIN | CH+O+D_ADDR+AIIN	P+SH+OL | SH+E+O | CARRIER_Q+O+A_ADDR+Y | CH+E+O+CH+P+Y | S | SH+E+Y+R | OK+AIR | Y+DA+AM_ADDR | AL+Y | A_ADDR+LOCAL_CHAR_I+M_LOCAL | CH+E+O+AM_ADDR | CARRIER_Q+O+A_ADDR+Y | AIR | CH+E+O+Y | L+AIN | AL | HO+M_LOCAL | CH+AIIN | T+AIIN | DA+AM_ADDR | SH+O+E+T+Y | AL | OK+Y | Y+K+CHD+Y | OT+AM_ADDR | OL | Y | AIIN | Y+Y | R | SH+E+OL | O+CH+K+E+Y | Y+T+Y | SH+E+O+D_ADDR+Y | OT+OL | CH+E+A_ADDR+D_ADDR | Y | AL | AIN | OT+E+O+S_ADDR | CH+E+O+Y | CH+E+O+D_ADDR+AIN | AIIN | CH+O+D_ADDR+AIIN	EINSETZEN · HALTEN · FORTSETZEN / HALTEN · GRAD I · AUSFÜHRUNG / BEGINNMARKER · AUSFÜHRUNG · HIER · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · EINSETZEN · AKTIVER POSTEN / WÄHLEN / HALTEN · GRAD I · AKTIVER POSTEN · MARKIEREN / SETZEN · LAUF / AKTIVER POSTEN · ZWEITE STUFE · HIER / ZIELORT · AKTIVER POSTEN / HIER · VARIANTE · HIER / NEHMEN · GRAD I · AUSFÜHRUNG · HIER / BEGINNMARKER · AUSFÜHRUNG · HIER · AKTIVER POSTEN / LAUF / NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / VERBINDUNG · ANTEIL / ZIELORT / KLASSE · HIER / NEHMEN · WERT / EINSTELLEN · WERT / ZWEITE STUFE · HIER / HALTEN · AUSFÜHRUNG · GRAD I · EINSTELLEN · AKTIVER POSTEN / ZIELORT / SETZEN · AKTIVER POSTEN / AKTIVER POSTEN · GEBEN · UMSETZEN · AKTIVER POSTEN / DANACH · HIER / FORTSETZEN / AKTIVER POSTEN / WERT / AKTIVER POSTEN · AKTIVER POSTEN / MARKIEREN / HALTEN · GRAD I · FORTSETZEN / AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / AKTIVER POSTEN · EINSTELLEN · AKTIVER POSTEN / HALTEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN / DANACH · FORTSETZEN / NEHMEN · GRAD I · HIER · HIER / AKTIVER POSTEN / ZIELORT / ANTEIL / DANACH · GRAD I · AUSFÜHRUNG · HIER / NEHMEN · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ANTEIL / WERT / NEHMEN · AUSFÜHRUNG · HIER · WERT	P1008-E1131|P1008-E1133|P1008-E1134|P1008-E1136|P1008-E1139|P1008-E1140|P1008-E1142|P1008-E1145|P1008-E1147|P1008-E1151|P1008-E1154|P1008-E1166|P1008-E1170|P1008-E1172
P1009-S615	f89r	PHARMA	4	qokcheody cheodal dair cholkeedy	OK+CH+E+O+R | CH+E+O+K+AL | D_ADDR+AIR | OL+K+EE+DY	OK+CH+E+O+R | CH+E+O+AL | D_ADDR+AIR | OL+K+EE+DY	SETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN / NEHMEN · GRAD I · AUSFÜHRUNG · ZIELORT / HIER · LAUF / FORTSETZEN · GEBEN · GRAD II · SCHLUSS	P1008-E1185
P1009-S617	f89r	PHARMA	33	cheal cheo dal qoaiis shey cpheeedol deey qockhey chaldy daim chos aiin cheodal daiin chy chedain dolchsyckheol daiin chody cheedy tchodol chor choldy chos dol okcheeg tol daiin daiin daiinody qokeey cheoldy qody	AL | CH+E+O | AL | CARRIER_Q+O+AIIN | SH+E+Y | CH+P+EEE+D_ADDR+OL | D_ADDR+EE+Y | O+CH+K+E+Y | CH+AL+Y | AIN | CH+O+S | AIIN | CH+E+O+K+AL | AIIN | Y | CHD+AIN | D_ADDR+OL+CH+S+Y+CH+K+E+OL | AIIN | CH+O+D_ADDR+Y | CH+EE+D_ADDR+Y | P+CH+O+D_ADDR+OL | CH+OR | OL+Y | CH+O+S | D_ADDR+OL | OK+Y | T+OL | AIIN | AIIN | D_ADDR+AIIN+Y | OK+EE+Y | CH+E+O+Y | CARRIER_Q+O+DY	AL | CH+E+O | AL | CARRIER_Q+O+IIN+S | SH+E+Y | CH+P+EEE+D_ADDR+OL | D_ADDR+EE+Y | O+CH+K+E+Y | CH+AL+Y | A_ADDR+LOCAL_CHAR_I+M_LOCAL | CH+O+S | AIIN | CH+E+O+AL | AIIN | Y | CHD+AIN | D_ADDR+OL+CH+S+Y+CH+K+E+OL | AIIN | CH+O+D_ADDR+Y | CH+EE+D_ADDR+Y | T+CH+O+D_ADDR+OL | CH+OR | OL+Y | CH+O+S | D_ADDR+OL | OK+Y | T+OL | AIIN | AIIN | D_ADDR+AIIN+Y | OK+EE+Y | CH+E+O+L+Y | CARRIER_Q+O+DY	ZIELORT / NEHMEN · GRAD I · AUSFÜHRUNG / ZIELORT / BEGINNMARKER · AUSFÜHRUNG · STUFE · WÄHLEN / HALTEN · GRAD I · AKTIVER POSTEN / NEHMEN · EINSETZEN · GRAD III · HIER · FORTSETZEN / HIER · GRAD II · AKTIVER POSTEN / AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / NEHMEN · ZIELORT · AKTIVER POSTEN / HIER · VARIANTE · HIER / NEHMEN · AUSFÜHRUNG · WÄHLEN / WERT / NEHMEN · GRAD I · AUSFÜHRUNG · ZIELORT / WERT / AKTIVER POSTEN / UMSETZEN · ANTEIL / HIER · FORTSETZEN · NEHMEN · WÄHLEN · AKTIVER POSTEN · NEHMEN · GEBEN · GRAD I · FORTSETZEN / WERT / NEHMEN · AUSFÜHRUNG · HIER · AKTIVER POSTEN / NEHMEN · GRAD II · HIER · AKTIVER POSTEN / EINSTELLEN · NEHMEN · AUSFÜHRUNG · HIER · FORTSETZEN / NEHMEN · EINHEIT / FORTSETZEN · AKTIVER POSTEN / NEHMEN · AUSFÜHRUNG · WÄHLEN / HIER · FORTSETZEN / SETZEN · AKTIVER POSTEN / EINSTELLEN · FORTSETZEN / WERT / WERT / HIER · WERT · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · AKTIVER POSTEN / BEGINNMARKER · AUSFÜHRUNG · SCHLUSS	P1008-E1192|P1008-E1198|P1008-E1201|P1008-E1209|P1008-E1220
P1009-S619	f89r	PHARMA	2	porachol yody	P+O+R+A_ADDR+CH+OL | Y+T+O+DY	P+O+R+A_ADDR+CH+OL | Y+O+DY	EINSETZEN · AUSFÜHRUNG · MARKIEREN · HIER · NEHMEN · FORTSETZEN / AKTIVER POSTEN · AUSFÜHRUNG · SCHLUSS	P1008-E1235
P1009-S620	f89r	PHARMA	28	qoteol oldaiin otol sheor shor oldaiin otchol cheol otolpchy dar cho lkeopol oeeor or daiin olkey okeol okey okeeol qoor ol chor cheky chol daiin chol cheol koldam	OT+E+OL | OL+D_ADDR+AIIN | OT+OL | SH+E+OR | SH+OR | OL+D_ADDR+AIIN | OT+CH+OL | CH+E+O+L | OT+OL+P+CH+Y | D_ADDR+AR | HO | L+K+E+O+P+OL | OT+E+OR | OR | AIIN | OL+K+EE+Y | OK+E+OL | OK+E+Y | OK+EE+OL | CARRIER_Q+O+OR | OL | CH+OR | CH+K+E+Y | OL | AIIN | OL | CH+E+O+L | K+OL+DY	OT+E+OL | OL+D_ADDR+AIIN | OT+OL | SH+E+OR | SH+OR | OL+D_ADDR+AIIN | OT+CH+OL | CH+E+O+L | OT+OL+P+CH+Y | D_ADDR+AR | HO | L+K+E+O+P+OL | O+EE+OR | OR | AIIN | OL+K+E+Y | OK+E+OL | OK+E+Y | OK+EE+OL | CARRIER_Q+O+OR | OL | CH+OR | CH+K+E+Y | OL | AIIN | OL | CH+E+O+L | K+OL+DY	DANACH · GRAD I · FORTSETZEN / FORTSETZEN · HIER · WERT / DANACH · FORTSETZEN / HALTEN · GRAD I · EINHEIT / HALTEN · EINHEIT / FORTSETZEN · HIER · WERT / DANACH · NEHMEN · FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / DANACH · FORTSETZEN · EINSETZEN · NEHMEN · AKTIVER POSTEN / HIER · AUSGANG / KLASSE / VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG · EINSETZEN · FORTSETZEN / AUSFÜHRUNG · GRAD II · EINHEIT / EINHEIT / WERT / FORTSETZEN · GEBEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD I · FORTSETZEN / SETZEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD II · FORTSETZEN / BEGINNMARKER · AUSFÜHRUNG · EINHEIT / FORTSETZEN / NEHMEN · EINHEIT / NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / FORTSETZEN / WERT / FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / GEBEN · FORTSETZEN · SCHLUSS	P1008-E1248|P1008-E1251
P1009-S622	f89r	PHARMA	31	dol cheol tos ol chor ydaiin chey s oiiin chckhy qokeol okey okeey keey eky qokol okeey dal cheeody oeckhy ycheo keeo ckho saiin okeo daiin ockhy s ockhey saiin chchky	D_ADDR+OL | CH+E+O+L | T+O+S | OL | CH+OR | Y+D_ADDR+AIIN | Y | S | O+IIN | CH+K+Y | OK+E+OL | OK+E+Y | OK+EE+Y | K+EE+Y | E+Y | OK+OL | OK+EE+Y | AL | CH+EE+D_ADDR+Y | O+CH+K+Y | Y+CH+E+O+R | K+EE+O+D_ADDR | CH+K+Y | S+AIIN | OK+E+O | AIIN | O+CH+K+Y | S | O+CH+K+E+Y | S+AIIN | CH+K+Y	D_ADDR+OL | CH+E+O+L | T+O+S | OL | CH+OR | Y+D_ADDR+AIIN | Y | S | O+IIN | CH+K+Y | OK+E+OL | OK+E+Y | OK+EE+Y | K+EE+Y | E+K+Y | OK+OL | OK+EE+Y | AL | CH+EE+O+D_ADDR+Y | O+E+CH+K+Y | Y+CH+E+O | K+EE+O | CH+K+O | S+AIIN | OK+E+O | AIIN | O+CH+K+Y | S | O+CH+K+E+Y | S+AIIN | CH+K+Y	HIER · FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / EINSTELLEN · AUSFÜHRUNG · WÄHLEN / FORTSETZEN / NEHMEN · EINHEIT / AKTIVER POSTEN · HIER · WERT / AKTIVER POSTEN / WÄHLEN / AUSFÜHRUNG · STUFE / NEHMEN · GEBEN · AKTIVER POSTEN / SETZEN · GRAD I · FORTSETZEN / SETZEN · GRAD I · AKTIVER POSTEN / SETZEN · GRAD II · AKTIVER POSTEN / GEBEN · GRAD II · AKTIVER POSTEN / GRAD I · GEBEN · AKTIVER POSTEN / SETZEN · FORTSETZEN / SETZEN · GRAD II · AKTIVER POSTEN / ZIELORT / NEHMEN · GRAD II · AUSFÜHRUNG · HIER · AKTIVER POSTEN / AUSFÜHRUNG · GRAD I · NEHMEN · GEBEN · AKTIVER POSTEN / AKTIVER POSTEN · NEHMEN · GRAD I · AUSFÜHRUNG / GEBEN · GRAD II · AUSFÜHRUNG / NEHMEN · GEBEN · AUSFÜHRUNG / WÄHLEN · WERT / SETZEN · GRAD I · AUSFÜHRUNG / WERT / AUSFÜHRUNG · NEHMEN · GEBEN · AKTIVER POSTEN / WÄHLEN / AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN / WÄHLEN · WERT / NEHMEN · GEBEN · AKTIVER POSTEN	P1008-E1279|P1008-E1283|P1008-E1284|P1008-E1285|P1008-E1286|P1008-E1287
P1009-S623	f89r	PHARMA	7	kolches sheol qokeoefy sheey opcheor opcheol shody	OL+Y | SH+E+OL | OK+E+O+D_ADDR+Y | SH+EE+Y | O+P+CH+OR | O+P+CH+EE+OL | SH+O+DY	OL+Y | SH+E+OL | OK+E+O+D_ADDR+Y | SH+EE+Y | O+P+CH+E+OR | O+P+CH+E+OL | SH+O+DY	FORTSETZEN · AKTIVER POSTEN / HALTEN · GRAD I · FORTSETZEN / SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN / HALTEN · GRAD II · AKTIVER POSTEN / AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · EINHEIT / AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · FORTSETZEN / HALTEN · AUSFÜHRUNG · SCHLUSS	P1008-E1306|P1008-E1307
