surface	literal_gloss_de	positions	loci	pages	action_licensed_positions	specificity_open_positions	strict_card_debt_positions	strict_debt_categories	maximum_severity	strict_severity	anchor_drift_positions	priority_score	primary_classes	identity_signals	repair_routes	sample_keys	priority_rank
oltain	Holzdrogenansatz, kalt auf Stufe II	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_WOOD	NONE	f80v.35#2	224
op	Pulveransatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f114v.36#3	225
opchedaiin	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f105v.1#6	226
oram	eine Maßportion Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f104v.2#10	227
orchey	eine Portion bis zur Mittelstufe getrocknete Droge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f75r.3#3	228
oroiir	eine Portion der dritten Ansatzfraktion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f115r.1#8	229
orom	eine Handvoll Ansatz als Portion	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.31#11	230
orsheey	eine Portion vollständig eingeweichte Droge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v3.13#2	231
os	Ansatzcharge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f10r.2#5	232
osheey	vollständig eingeweichter Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v3.13#1	233
otar	kalte Drogenfraktion I im Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f95v1.7#7	234
otarar	erste Unterfraktion der kalten Ansatzfraktion I	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f104v.2#7	235
otardy	erste kalte Ansatzfraktion, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f95v1.7#11	236
otchdy	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.2#5	237
otchey	kalt-trockener Ansatz in der Mitte des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114v.36#5	238
otchy	kalt-trockener Ansatz am Anfang des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f7r.2#8	239
oteed	vollständig abgekühlter und abgezogener Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f107r.2#5	240
oteedy	kalter Ansatz am Ende des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f115r.1#10	241
oteor	eine Portion kalten Ansatzes, Mittelstufe	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.4#8	242
otsheody	kalt angefeuchteter Ansatz, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f113v.12#2	243
otshey	kalt-feuchter Ansatz in der Mitte des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.5#8	244
oty	kalter Ansatz am Anfang des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f27r.9#5	245
otytam	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v6.31#10	246
otytchol	nachgekühlter Trockenstoff im Ansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f10r.2#7	247
pol	Pulverstoff	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f77r.38#1	248
polairy	abgeschlossene zweite Pulverstofffraktion	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f105v.1#1	249
pshol	eingeweichter Pulverstoff	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_POWDER	NONE	f80v.27#1	250
qckhedy	bereite das Arzneikompositum bis zur Mittelstufe und schließe ab	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f106r.23#2	251
qeeey	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f107r.2#12	252
qey	die vorstehende Mittelstufenportion anschließend nehmen	1	1	1	1	1	0	NONE	MAJOR	NONE	0	0	B2_LICENSED_OPERATION_WITH_REGISTER_WRAPPER:1	NONE	REGISTER_WRAPPER_DISPATCH	f75r.3#4	253
qochar	erste Trockenfraktion nehmen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f30r.9#2	254
qocho	Trockenansatz nehmen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f49r.16#1	255
qodar	die erste Ansatzfraktion abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v6.25#4	256
qodor	eine Portion Ansatz abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f105r.2#6	257
qody	stelle die Zubereitung fertig	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f105r.2#13	258
qoeedy	nimm den vollständig fertiggestellten Ansatz	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f77r.38#3	259
qoeeo	zweiter Mazerationsansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f83v.12#3	260
qoin	zweiten Ansatz nehmen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f116r.12#1	261
qokady	erhitze einen gleichen Teil und schließe ab	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v3.13#10	262
qokaiir	nimm die dritte erhitzte Drogenfraktion	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f105v.14#3	263
qokam	nimm ein Maß und erhitze es	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v3.19#4	264
qokamdy	ein Maß nehmen, erhitzen und fertigstellen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f104v.2#6	265
qokchdy	heiß und trocken am Anfang des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f86v3.18#3	266
qokchedy	heiß und trocken in der Mitte des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f115r.23#12	267
qokcho	erhitze, trockne und setze an	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f115r.23#5	268
qokchy	heiß und trocken am Anfang des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f106r.23#7	269
qokedy	heiß in der Mitte des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f106r.23#5	270
qokeedy	heiß am Ende des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f83v.12#7	271
qokeeey	stark erhitzt, Endstufe III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f115r.23#8	272
qokeod	heißen Auszug bereiten und abschließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f115r.23#3	273
qopaiin	drei Teile Pulveransatz nehmen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_POWDER	NONE	f114v.36#7	274
qopchdy	nimm fertig getrocknetes Pulver	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_POWDER	NONE	f76v.10#3	275
qor	nimm eine Drogenportion	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f107r.2#6	276
qotaiin	kalt, Grad III	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f86v5.4#5	277
qotchedy	kalt und trocken in der Mitte des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f115r.1#11	278
qotchody	kühlen, trocknen, ansetzen und fertigstellen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f49r.16#4	279
qoteed	Ansatz vollständig abkühlen und abziehen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f104v.2#2	280
qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f107r.2#2	281
qy	hiervon nehmen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f77v.7#3	282
rr	getrocknete Wurzeldroge	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_ROOT	NONE	f77v.7#4	283
s	Samen-/Saatgutposten	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f115r.23#6	284
sail	Saatgut, Charge II	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f86v5.4#6	285
sair	Samenfraktion II	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f114r.24#11	286
sairy	abgeschlossene zweite Saatgutfraktion	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f105v.1#9	287
sar	Samenfraktion I	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f113v.3#1	288
saraiin	drei Teile der ersten Samenfraktion	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f113v.17#1	289
shckhy	Arzneikompositum: feucht, Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f83v.12#2	290
shdy	feucht am Anfang des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f86v6.4#2	291
sheckhy	feuchtes Arzneikompositum am Gradanfang	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f80r.17#2	292
sheedy	feucht am Ende des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f83v.12#9	293
sheeky	vollständig einweichen, erhitzen und abschließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f75r.3#6	294
sheey	feucht am Ende des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f112v.10#2	295
sheody	angefeuchteter Ansatz, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v3.18#6	296
shoko	erhitzter Feuchtansatz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114v.36#4	297
shotchey	Feuchtansatz aus kalt bis Mittelstufe getrockneter Droge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f27r.9#3	298
shx	eingeweichtes Gummiharz	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f105r.31#3	299
shy	feucht am Anfang des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f86v5.2#4	300
solkam	ein Maß erhitzter Saatgutzubereitung	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f86v3.18#7	301
solky	Saatgutansatz, leicht erhitzt	1	1	1	0	0	0	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1	IDENTITY_SEED	NONE	f80r.17#1	302
taiky	kalt angesetzte Charge, leicht angewärmt	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f86v6.5#11	303
tail	kaltgestellte Rohdroge II	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f105v.14#7	304
tchdy	kalt und trocken am Anfang des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f86v3.19#8	305
tchedaiin	drei Dosen bis zur Mittelstufe kalt-getrocknete Droge	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	NONE	INGREDIENT_IDENTITY_SEARCH	f114r.24#1	306
tchedy	kalt und trocken in der Mitte des Grades, abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f76v.10#6	307
tcheody	abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v3.13#3	308
teeedy	vollständig abgekühlt und abgeschlossen	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f115r.1#7	309
tshey	kalt und feucht in der Mitte des Grades	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C2_STATE_WITHOUT_OBJECT:1	NONE	STATE_HOST_BINDING	f114v.36#1	310
ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f104v.2#1	311
ycheedy	trockne hiervon vollständig und stelle es fertig	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f77v.7#5	312
ycheeodaiin	hiervon drei Dosen des zweiten Trockenansatzes abmessen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f114r.26#1	313
ydaiin	davon drei Maße	1	1	1	0	1	0	NONE	MAJOR	NONE	0	0	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	NONE	VALUE_AXIS_BINDING	f104v.2#5	314
ykain	erhitze hiervon auf Stufe II	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v5.24#3	315
ykcho	hieraus einen heiß-trockenen Ansatz bereiten	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f56r.6#1	316
ykecthey	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_LEAF_HERB	NONE	f26r.2#4	317
yky	hierzu leicht erhitzen	1	1	1	1	1	0	NONE	MAJOR	NONE	0	0	B2_LICENSED_OPERATION_WITH_REGISTER_WRAPPER:1	NONE	REGISTER_WRAPPER_DISPATCH	f23r.6#5	318
ypcheddy	hieraus Pulver bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_POWDER	NONE	f105v.1#8	319
ypchesy	hiervon Samenpulver bis zur Mittelstufe trocknen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	IDENTITY_POWDER|IDENTITY_SEED	NONE	f86v5.4#1	320
ytcho	hieraus einen Kalt-Trockenansatz herstellen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f23r.6#11	321
ytedy	hiervon bis zur Mittelstufe abkühlen und fertigstellen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f26r.2#6	322
yteedy	kühle hiervon vollständig ab und schließe	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f86v6.25#1	323
yteeeor	hiervon eine Portion bis zur letzten Stufe abkühlen	1	1	1	1	0	0	NONE	NONE	NONE	0	0	A1_LICENSED_OPERATION:1	NONE	NONE	f113v.17#7	324
