fragment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	fragment_ordinal_in_event	atom_position_zero_based	atom	base_fragment_de	rendered_fragment_de	target_fragment_start	target_fragment_end	root_expression_start	root_expression_end	repeat_particle_de	head_nominal_de	binding_status	attachment_topology	gdt575_duplicate_group_id	guard
136	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	1	1	E	auf Grad I	beim Nehmen: auf Grad I	42	65	55	65	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D074	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
137	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	2	2	O	als Ausführung	als Ausführung	67	81	67	81	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
138	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	3	4	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	83	120	110	120	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D074	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
139	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	1	0	CARRIER_Q	als neuen Einsatz	als neuen Einsatz	26	43	26	43	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
140	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	2	1	O	als Ausführung	als Ausführung	45	59	45	59	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
141	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	3	2	E	auf Grad I	beim Zugeben: auf Grad I	61	85	75	85	NONE	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D075	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
142	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	4	4	E	auf Grad I	beim Zugeben: erneut auf Grad I	87	118	108	118	erneut	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D075	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
143	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	1	0	O	als Ausführung	als Ausführung	39	53	39	53	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
144	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	2	1	E	auf Grad I	beim Zugeben: auf Grad I	55	79	69	79	NONE	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D076	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
145	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	3	3	E	auf Grad I	beim Zugeben: erneut auf Grad I	81	112	102	112	erneut	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D076	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
146	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	1	1	E	auf Grad I	beim Ansetzen: auf Grad I	57	82	72	82	NONE	Ansetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D077	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
147	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	2	2	AR	vom Ausgangsgefäß	vom Ausgangsgefäß	84	101	84	101	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
148	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	3	4	E	auf Grad I	beim Nehmen: ebenfalls auf Grad I	103	136	126	136	ebenfalls	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D077	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
149	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	4	5	O	als Ausführung	als Ausführung	138	152	138	152	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
150	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	5	6	L	über die Gefäßverbindung	über die Gefäßverbindung	154	178	154	178	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
151	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	1	0	D_ADDR	an der D-Stelle	beim fortgeführten Zugeben: an der D-Stelle	43	86	71	86	NONE	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D078	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
152	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	2	1	AIR	entlang der Transferbahn	entlang der Transferbahn	88	112	88	112	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
153	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	3	2	O	als Ausführung	als Ausführung	114	128	114	128	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
154	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	4	3	D_ADDR	an der D-Stelle	beim fortgeführten Zugeben: wieder an der D-Stelle	130	180	165	180	wieder	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D078	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
155	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	1	0	D_ADDR	an der D-Stelle	an der D-Stelle	47	62	47	62	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
156	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	2	1	O	als Ausführung	beim fortgeführten Nehmen: als Ausführung	64	105	91	105	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D083	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
157	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	3	2	LOCAL_CHAR_I	mit der i-Variante	mit der i-Variante	107	125	107	125	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
158	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	4	3	G_LABEL	beim G-Vermerk	beim G-Vermerk	127	141	127	141	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
159	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	5	4	O	als Ausführung	beim fortgeführten Nehmen: erneut als Ausführung	143	191	177	191	erneut	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D083	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
160	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	6	5	M_LOCAL	bei der m-Ortsmarke	bei der m-Ortsmarke	193	212	193	212	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
161	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	1	0	O	als Ausführung	beim Nehmen: als Ausführung	27	54	40	54	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D086	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
162	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	2	2	E	auf Grad I	auf Grad I	56	66	56	66	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
163	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	3	3	O	als Ausführung	beim Nehmen: erneut als Ausführung	68	102	88	102	erneut	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D086	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
164	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	4	4	L	über die Gefäßverbindung	über die Gefäßverbindung	104	128	104	128	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
165	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	1	1	E	auf Grad I	beim ersten Halten: auf Grad I	52	82	72	82	NONE	ersten Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D088	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
166	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	2	4	E	auf Grad I	beim zweiten Halten: ebenfalls auf Grad I	84	125	115	125	ebenfalls	zweiten Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D088	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
167	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	1	0	CARRIER_Q	als neuen Einsatz	als neuen Einsatz	32	49	32	49	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
168	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	2	1	O	als Ausführung	als Ausführung	51	65	51	65	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
169	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	3	2	E	auf Grad I	beim Zugeben: auf Grad I	67	91	81	91	NONE	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D091	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
170	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	4	4	E	auf Grad I	beim Zugeben: erneut auf Grad I	93	124	114	124	erneut	Zugeben	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D091	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
171	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	1	1	E	auf Grad I	beim Entnehmen: auf Grad I	39	65	55	65	NONE	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D096	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
172	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	2	2	O	als Ausführung	als Ausführung	67	81	67	81	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
173	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	3	4	E	auf Grad I	beim Entnehmen: erneut auf Grad I	83	116	106	116	erneut	Entnehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D096	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
