change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
369	G407-E1971	G407-S221	f76r	BIOLOGICAL	NONSTATE_CARD	chckheed	CH+CH+K+E+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
370	G407-E1978	G407-S223	f76r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
371	G407-E1982	G407-S223	f76r	BIOLOGICAL	NONSTATE_CARD	checkhy	CH+E+CH+K+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
372	G407-E1986	G407-S224	f76r	BIOLOGICAL	NONSTATE_CARD	chekair	CH+K+AIR	1	1	1	Entnimm denselben Stationsanteil und führe denselben Stationsanteil zu; entlang der Stationsbahn.	Entnimm denselben Stationsanteil und führe ihn zu; entlang der Stationsbahn.	Entnimm denselben Stationsanteil und führe denselben Stationsanteil zu; entlang der Stationsbahn.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
373	G407-E1988	G407-S224	f76r	BIOLOGICAL	NONSTATE_CARD	chckh	CH+K	1	1	1	Entnimm denselben Stationsposten und führe denselben Stationsposten zu.	Entnimm denselben Stationsposten und führe ihn zu.	Entnimm denselben Stationsposten und führe denselben Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
374	G407-E2017	G407-S235	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
375	G407-E2018	G407-S235	f76r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
376	G407-E2022	G407-S236	f76r	BIOLOGICAL	STATE_CARD	qokchsdy	OK+CHD+S+DY	1	2	2	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten und wähle denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite ihn und wähle ihn; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten und wähle denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
377	G407-E2039	G407-S243	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
378	G407-E2051	G407-S246	f76r	BIOLOGICAL	NONSTATE_CARD	chepy	CH+E+P+Y	1	1	1	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Entnimm den Stationsposten und setze ihn ein; auf Grad I.	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
379	G407-E2056	G407-S246	f76r	BIOLOGICAL	NONSTATE_CARD	shecthy	SH+E+CH+T+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
380	G407-E2063	G407-S247	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
381	G407-E2095	G407-S250	f76r	BIOLOGICAL	NONSTATE_CARD	qokalchey	OK+AL+CH+E+Y	1	1	1	Setze den Stationsposten im Stationsgang an und entnimm den Stationsposten; zur Zielstation; auf Grad I.	Setze den Stationsposten im Stationsgang an und entnimm ihn; zur Zielstation; auf Grad I.	Setze den Stationsposten im Stationsgang an und entnimm den Stationsposten; zur Zielstation; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
382	G407-E2108	G407-S253	f76r	BIOLOGICAL	NONSTATE_CARD	lshcthy	L+SH+CH+T+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; über die sichtbare Verbindung.	Halte den Stationsposten, entnimm ihn und stelle ihn ein; über die sichtbare Verbindung.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; über die sichtbare Verbindung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
383	G407-E2115	G407-S253	f76r	BIOLOGICAL	STATE_CARD	cheolchey	CH+E+OL+CH+E+Y	1	1	1	Weiter: entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I und auf Grad I.	Weiter: entnimm den Stationsposten und entnimm ihn; auf Grad I und auf Grad I.	Weiter: entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
384	G407-E2116	G407-S253	f76r	BIOLOGICAL	NONSTATE_CARD	shcthy	SH+CH+T+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Halte den Stationsposten, entnimm ihn und stelle ihn ein.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
385	G407-E2121	G407-S253	f76r	BIOLOGICAL	NONSTATE_CARD	sheeky	SH+EE+K+Y	1	1	1	Halte den Stationsposten und führe den Stationsposten zu; auf Grad II.	Halte den Stationsposten und führe ihn zu; auf Grad II.	Halte den Stationsposten und führe den Stationsposten zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
386	G407-E2147	G407-S258	f76r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
387	G407-E2149	G407-S259	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
388	G407-E2156	G407-S259	f76r	BIOLOGICAL	NONSTATE_CARD	cheor	CH+E+O+R	1	1	1	Entnimm denselben Stationsposten und markiere denselben Stationsposten; auf Grad I und als Ausführung.	Entnimm denselben Stationsposten und markiere ihn; auf Grad I und als Ausführung.	Entnimm denselben Stationsposten und markiere denselben Stationsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
389	G407-E2164	G407-S262	f76r	BIOLOGICAL	NONSTATE_CARD	shlches	D_ADDR+Y+L+CH+E+S	1	1	1	Entnimm den Stationsposten und wähle den Stationsposten; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	Entnimm den Stationsposten und wähle ihn; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	Entnimm den Stationsposten und wähle den Stationsposten; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
390	G407-E2165	G407-S262	f76r	BIOLOGICAL	NONSTATE_CARD	shcthy	SH+CH+T+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Halte den Stationsposten, entnimm ihn und stelle ihn ein.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
391	G407-E2172	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
392	G407-E2178	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
393	G407-E2179	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
394	G407-E2209	G407-S270	f76r	BIOLOGICAL	STATE_CARD	chpsheedy	CH+P+SH+EE+DY	1	2	2	Entnimm denselben Stationsposten und setze denselben Stationsposten ein und halte denselben Stationsposten; auf Grad II; schließe den Schritt.	Entnimm denselben Stationsposten und setze ihn ein und halte ihn; auf Grad II; schließe den Schritt.	Entnimm denselben Stationsposten und setze denselben Stationsposten ein und halte denselben Stationsposten; auf Grad II; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
395	G407-E2212	G407-S271	f76r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
396	G407-E2229	G407-S274	f76r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
397	G407-E2236	G407-S275	f76r	BIOLOGICAL	STATE_CARD	qokchdyl	OK+CHD+DY+L	1	1	1	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten; über die sichtbare Verbindung; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite ihn; über die sichtbare Verbindung; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten; über die sichtbare Verbindung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
398	G407-E2247	G407-S278	f76r	BIOLOGICAL	NONSTATE_CARD	shecthy	SH+E+CH+T+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
399	G407-E2260	G407-S279	f76r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
400	G407-E2270	G407-S280	f76r	BIOLOGICAL	STATE_CARD	kolpy	K+OL+P+Y	1	1	1	Weiter: führe den Stationsposten zu und setze den Stationsposten ein.	Weiter: führe den Stationsposten zu und setze ihn ein.	Weiter: führe den Stationsposten zu und setze den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
401	G407-E2283	G407-S283	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
402	G407-E2295	G407-S287	f76r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
403	G407-E2299	G407-S287	f76r	BIOLOGICAL	NONSTATE_CARD	qockhey	O+CH+K+E+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; als Ausführung und auf Grad I.	Entnimm den Stationsposten und führe ihn zu; als Ausführung und auf Grad I.	Entnimm den Stationsposten und führe den Stationsposten zu; als Ausführung und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
404	G407-E2306	G407-S288	f76r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
405	G407-E2327	G407-S290	f76r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
406	G407-E2341	G407-S295	f76r	BIOLOGICAL	NONSTATE_CARD	opchdy	O+P+CHD+Y	1	1	1	Setze den Stationsposten ein und bearbeite den Stationsposten; als Ausführung.	Setze den Stationsposten ein und bearbeite ihn; als Ausführung.	Setze den Stationsposten ein und bearbeite den Stationsposten; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
407	G407-E2344	G407-S295	f76r	BIOLOGICAL	NONSTATE_CARD	qopchedy	CARRIER_Q+O+P+CHD+Y	1	1	1	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite ihn; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
408	G407-E2385	G407-S309	f76r	BIOLOGICAL	NONSTATE_CARD	checkhey	CH+E+CH+K+E+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
409	G407-E2397	G407-S311	f77r	BIOLOGICAL	NONSTATE_CARD	qopchedy	CARRIER_Q+O+P+CHD+Y	1	1	1	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite ihn; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
410	G407-E2398	G407-S311	f77r	BIOLOGICAL	NONSTATE_CARD	qopchedy	CARRIER_Q+O+P+CHD+Y	1	1	1	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite ihn; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
411	G407-E2399	G407-S311	f77r	BIOLOGICAL	NONSTATE_CARD	dylches	D_ADDR+Y+L+CH+E+S	1	1	1	Entnimm den Stationsposten und wähle den Stationsposten; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	Entnimm den Stationsposten und wähle ihn; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	Entnimm den Stationsposten und wähle den Stationsposten; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
412	G407-E2402	G407-S312	f77r	BIOLOGICAL	STATE_CARD	tolchd	T+OL+CHD	1	1	1	Weiter: stelle denselben Stationsposten ein und bearbeite denselben Stationsposten.	Weiter: stelle denselben Stationsposten ein und bearbeite ihn.	Weiter: stelle denselben Stationsposten ein und bearbeite denselben Stationsposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
413	G407-E2410	G407-S313	f77r	BIOLOGICAL	NONSTATE_CARD	chetey	CH+E+T+E+Y	1	1	1	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I und auf Grad I.	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I.	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
414	G407-E2417	G407-S316	f77r	BIOLOGICAL	NONSTATE_CARD	shcthey	SH+CH+T+E+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
415	G407-E2439	G407-S325	f77r	BIOLOGICAL	NONSTATE_CARD	sokcheey	S+OK+CH+EE+Y	1	2	2	Wähle den Stationsposten, setze den Stationsposten im Stationsgang an und entnimm den Stationsposten; auf Grad II.	Wähle den Stationsposten, setze ihn im Stationsgang an und entnimm ihn; auf Grad II.	Wähle den Stationsposten, setze den Stationsposten im Stationsgang an und entnimm den Stationsposten; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
416	G407-E2452	G407-S332	f77r	BIOLOGICAL	NONSTATE_CARD	sheety	SH+EE+T+Y	1	1	1	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II.	Halte den Stationsposten und stelle ihn ein; auf Grad II.	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
417	G407-E2457	G407-S333	f77r	BIOLOGICAL	STATE_CARD	sshedy	S+SH+E+DY	1	1	1	Wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Wähle denselben Stationsposten und halte ihn; auf Grad I; schließe den Schritt.	Wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
418	G407-E2471	G407-S340	f77r	BIOLOGICAL	NONSTATE_CARD	sheety	SH+EE+T+Y	1	1	1	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II.	Halte den Stationsposten und stelle ihn ein; auf Grad II.	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
419	G407-E2481	G407-S341	f77r	BIOLOGICAL	STATE_CARD	sheckhedy	SH+E+CH+K+E+DY	1	2	2	Halte dieselbe Stationseinheit und entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; auf Grad I und auf Grad I; schließe den Schritt.	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu; auf Grad I und auf Grad I; schließe den Schritt.	Halte dieselbe Stationseinheit und entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; auf Grad I und auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
420	G407-E2520	G407-S354	f77r	BIOLOGICAL	NONSTATE_CARD	sheoky	SH+E+OK+Y	1	1	1	Halte den Stationsposten und setze den Stationsposten im Stationsgang an; auf Grad I.	Halte den Stationsposten und setze ihn im Stationsgang an; auf Grad I.	Halte den Stationsposten und setze den Stationsposten im Stationsgang an; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
421	G407-E2531	G407-S357	f77r	BIOLOGICAL	NONSTATE_CARD	cphey	CH+P+E+Y	1	1	1	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Entnimm den Stationsposten und setze ihn ein; auf Grad I.	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
422	G407-E2546	G407-S361	f77r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
423	G407-E2549	G407-S362	f77r	BIOLOGICAL	STATE_CARD	solchedy	S+OL+CHD+Y	1	1	1	Weiter: wähle den Stationsposten und bearbeite den Stationsposten.	Weiter: wähle den Stationsposten und bearbeite ihn.	Weiter: wähle den Stationsposten und bearbeite den Stationsposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
424	G407-E2567	G407-S368	f77r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
425	G407-E2571	G407-S368	f77r	BIOLOGICAL	NONSTATE_CARD	cheeky	CH+K+EE+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	Entnimm den Stationsposten und führe ihn zu; auf Grad II.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
426	G407-E2574	G407-S368	f77r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
427	G407-E2594	G407-S372	f77r	BIOLOGICAL	NONSTATE_CARD	cheety	CH+EE+T+Y	1	1	1	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad II.	Entnimm den Stationsposten und stelle ihn ein; auf Grad II.	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
428	G407-E2602	G407-S374	f77r	BIOLOGICAL	NONSTATE_CARD	checkhy	CH+E+CH+K+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
429	G407-E2613	G407-S376	f77r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
430	G407-E2631	G407-S381	f77r	BIOLOGICAL	NONSTATE_CARD	chcphey	CH+CH+P+E+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
431	G407-E2638	G407-S382	f77r	BIOLOGICAL	NONSTATE_CARD	sheckhey	SH+E+CH+K+E+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und auf Grad I.	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
