statement_order	statement_id	record_unit_id	page	constituent_fields	physical_loci	line_crossing	event_count	event_serials	visible_surface_sequence	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule	status
86	B3-S024	B3	f83r	F096	f83r.16	NO	1	283	tchedy	Setze um und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
87	B3-S025	B3	f83r	F097	f83r.16	NO	1	284	qokchdy	Setze um und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
88	B3-S026	B3	f83r	F098|F099	f83r.16|f83r.20	YES__CONTINUE_ACROSS_PHYSICAL_LINE	7	285|286|287|288|289|290|291	cheedar chldaiin chedy qokain checthy chealror solkeedy	Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
89	B3-S027	B3	f83r	F100	f83r.20	NO	1	292	qoteedy	Nimm die lange Folge und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm die lange Folge und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
90	B3-S028	B3	f83r	F101	f83r.20	NO	2	293|294	qokeey qokedy	Setze länger, dann kurz an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
91	B3-S029	B3	f83r	F102	f83r.20	NO	3	295|296|297	sol cheeety qokedy	Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
92	B3-S030	B3	f83r	F103|F104	f83r.20|f83r.22	YES__CONTINUE_ACROSS_PHYSICAL_LINE	4	298|299|300|301	qoky saiin schedair otchedy	Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
93	B3-S031	B3	f83r	F105	f83r.22	NO	1	302	qokeedy	Setze länger an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
94	B3-S032	B3	f83r	F106	f83r.22	NO	5	303|304|305|306|307	chedain chedy qotedaiin otaiin otedy	Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
95	B3-S033	B3	f83r	F107	f83r.22	NO	1	308	ldy	Ziehe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Ziehe ab und schließe	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
96	B3-S034	B3	f83r	F108	f83r.24	NO	6	309|310|311|312|313|314	soiiin checthy chety otaiin olsaly shedy	Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
97	B4-S001	B4	f83r	F109	f83r.25	NO	1	315	qokeedy	Setze länger an und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
98	B4-S002	B4	f83r	F110	f83r.25	NO	3	316|317|318	qolchey qokeey qokedy	Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
99	B4-S003	B4	f83r	F111|F112	f83r.25|f83r.26	YES__CONTINUE_ACROSS_PHYSICAL_LINE	7	319|320|321|322|323|324|325	chedy otal otchey qokeey qoky tol shedy	Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
100	B4-S004	B4	f83r	F113	f83r.26	NO	1	326	qokylddy	Befestige den Posten und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
101	B4-S005	B4	f83r	F114	f83r.27	NO	3	327|328|329	dain chedy qokeedy	Lege das Tuch ein, setze um, setze länger an und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
102	B4-S006	B4	f83r	F115	f83r.27	NO	1	330	shckhedy	Seih und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
103	B4-S007	B4	f83r	F116	f83r.27	NO	1	331	shckhedy	Seih und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
104	B4-S008	B4	f83r	F117	f83r.28	NO	4	332|333|334|335	saiin cheeky sheey qokedy	Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
105	B4-S009	B4	f83r	F118	f83r.28	NO	1	336	shedy	Lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
106	B4-S010	B4	f83r	F119	f83r.28	NO	1	337	oldy	Führe weiter und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
107	B4-S011	B4	f83r	F120|F121	f83r.35|f83r.37	YES__CONTINUE_ACROSS_PHYSICAL_LINE	7	338|339|340|341|342|343|344	saiin cheky okeeol okain chdy sol lkedy	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
108	B4-S012	B4	f83r	F122	f83r.37	NO	1	345	lchedy	Führe ab und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
109	B4-S013	B4	f83r	F123	f83r.37	NO	2	346|347	qokol shedy	Setze die Fortsetzung ein, lass absetzen und schließe	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
110	B4-S014	B4	f83r	F124	f83r.38	NO	4	348|349|350|351	or chey qockhey dairydy	Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
111	B4-S015	B4	f83r	F125|F126	f83r.39|f83r.41	YES__CONTINUE_ACROSS_PHYSICAL_LINE	6	352|353|354|355|356|357	qokain shey kain chckhal solkey lchedy	Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
112	B4-S016	B4	f83r	F127|F128	f83r.41|f83r.44	YES__CONTINUE_ACROSS_PHYSICAL_LINE	4	358|359|360|361	qolkain dal skar shedy	Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
113	B5-S001	B5	f83r	F129	f83r.47	NO	1	362	otchdy	Führe die Folgeumsetzung aus und schließe	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe	An der linken Dienststation Badwasser oder Arbeitswasser auf Wärme bringen, für die örtliche Dauer halten und am Ablauf abführen. Das Ziel bleibt eine Arbeitsstelle, weil keine Figur sie besitzt.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
114	B5-S002	B5	f83r	F130	f83r.47	NO	1	363	qokchdy	Setze um und schließe	An der linken figurenlosen Dienststation: Setze um und schließe	An der linken Dienststation Badwasser oder Arbeitswasser auf Wärme bringen, für die örtliche Dauer halten und am Ablauf abführen. Das Ziel bleibt eine Arbeitsstelle, weil keine Figur sie besitzt.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
115	B5-S003	B5	f83r	F131|F132|F133	f83r.47|f83r.48|f83r.49	YES__CONTINUE_ACROSS_PHYSICAL_LINE	9	364|365|366|367|368|369|370|371|372	shedal dal cheol lol chdal aiin sol daiiin chedy	Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	An der linken Dienststation Badwasser oder Arbeitswasser auf Wärme bringen, für die örtliche Dauer halten und am Ablauf abführen. Das Ziel bleibt eine Arbeitsstelle, weil keine Figur sie besitzt.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
116	B6-S001	B6	f83r	F134|F135	f83r.52|f83r.54	YES__CONTINUE_ACROSS_PHYSICAL_LINE	9	373|374|375|376|377|378|379|380|381	solkeey qekey raly ol daiin ol dain chey ldalor	Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	An der rechten Dienststation Wasser am Einlass in den örtlichen Lauf geben, durch Tuch und Seihgang führen und an der Arbeitsstelle verwenden. Auch hier bleibt der Zweck technisch, solange keine Figur hinzutritt.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
