event_serial	statement_id	record_unit_id	page	local_address	visible_surface	master_card_id	semantic_atoms	stable_surface_host	renderer_gesture	short_default_de	card_near_reading_de	statement_translation_de	line_crossing_statement
151	B1-S015	B1	f81v	B1-S015	okchedy	MC005	OK+CHD+CLOSE	okchedy	ZERO	angesetzten Inhalt überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: angesetzten Inhalt überführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	NO
152	B1-S016	B1	f81v	B1-S016	qokal	MC040	OK+AL	okal	Q_ENTRY	dort ansetzen	Führe es an der bezeichneten Stelle aus: dort ansetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	NO
153	B1-S016	B1	f81v	B1-S016	okeey	MC002	OK+EE+Y	okeey	ZERO	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	NO
154	B1-S016	B1	f81v	B1-S016	qol	MC153	OL	ol	Q_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	NO
155	B1-S016	B1	f81v	B1-S016	cheedy	MC128	SHED+E+CLOSE	edy	CH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	NO
156	B1-S017	B1	f81v	B1-S017	sal	MC154	AL	al	S_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	NO
157	B1-S017	B1	f81v	B1-S017	teol	MC106	E+OL	teol	ZERO	kurz weiterleiten	Danach oder in demselben Gang: kurz weiterleiten.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	NO
158	B1-S017	B1	f81v	B1-S017	dchdy	MC139	CHD+CLOSE	dchdy	ZERO	weitergeführten Posten überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: weitergeführten Posten überführen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	NO
159	B1-S018	B1	f81v	B1-S018	ly	MC118	L+Y	ly	ZERO	aktuellen Posten abführen	Setze die gelernte Fachkarte: aktuellen Posten abführen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
160	B1-S018	B1	f81v	B1-S018	dsheol	MC076	SH+E+OL	dsheol	ZERO	kurz weiter ruhen lassen	Danach oder in demselben Gang: kurz weiter ruhen lassen.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
161	B1-S018	B1	f81v	B1-S018	oiiin	MC033	IIN	oiiin	ZERO	Sollstufe	Setze Maß, Portion oder Stufe: Sollstufe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
162	B1-S018	B1	f81v	B1-S018	olkeedy	MC045	SOLK+EE+CLOSE	olkeedy	ZERO	länger sammeln; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
163	B1-S019	B1	f81v	B1-S019	tedy	MC128	SHED+E+CLOSE	edy	T_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	NO
164	B1-S020	B1	f81v	B1-S020	cheky	MC147	CHK+E+Y	cheky	ZERO	kurz wärmen	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen.	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	NO
165	B1-S020	B1	f81v	B1-S020	shckhedy	MC143	CKHE+CLOSE	shckhedy	ZERO	seihen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: seihen; Schluss.	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	NO
166	B1-S021	B1	f81v	B1-S021	chal	MC154	AL	al	CH_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	NO
167	B2-S001	B2	f82r	B2-S001	dchedy	MC025	CHD+CLOSE	chedy	D_ENTRY	Posten überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe	NO
168	B2-S002	B2	f82r	B2-S002	qolchedy	MC028	OL+CHD+CLOSE	olchedy	Q_ENTRY	weiterüberführen; Schluss	Danach oder in demselben Gang: weiterüberführen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe	NO
169	B2-S003	B2	f82r	B2-S003	qokain	MC017	OK+AIN	okain	Q_ENTRY	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	NO
170	B2-S003	B2	f82r	B2-S003	dy	MC123	Y	y	D_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	NO
171	B2-S003	B2	f82r	B2-S003	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe	NO
172	B2-S004	B2	f82r	B2-S004	qokal	MC040	OK+AL	okal	Q_ENTRY	dort ansetzen	Führe es an der bezeichneten Stelle aus: dort ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
173	B2-S004	B2	f82r	B2-S004	lcheckhy	MC168	L+CKH+Y	lcheckhy	ZERO	Ausgangsdurchlass	Setze die gelernte Fachkarte: Ausgangsdurchlass.	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
174	B2-S004	B2	f82r	B2-S004	lched	MC127	L+CHD	lched	ZERO	abführen	Setze die gelernte Fachkarte: abführen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
175	B2-S004	B2	f82r	B2-S004	qokeey	MC002	OK+EE+Y	okeey	Q_ENTRY	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
176	B2-S004	B2	f82r	B2-S004	lcheckhedy	MC133	L+CKHE+CLOSE	lcheckhedy	ZERO	abseihen; Schluss	Setze die gelernte Fachkarte: abseihen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
177	B2-S005	B2	f82r	B2-S005	qokaly	MC054	OK+AL+Y	qokaly	ZERO	dies dort ansetzen	Führe es an der bezeichneten Stelle aus: dies dort ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
178	B2-S005	B2	f82r	B2-S005	solkaiin	MC036	SOLK+AIIN	solkaiin	ZERO	bis Sollmass sammeln	Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
179	B2-S005	B2	f82r	B2-S005	chckhy	MC035	CKH+Y	hckhy	OTHER_ENTRY	durchleiten	Führe es mit diesem laufenden Posten aus: durchleiten.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
180	B2-S005	B2	f82r	B2-S005	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
181	B2-S005	B2	f82r	B2-S005	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
182	B2-S005	B2	f82r	B2-S005	octheol	MC112	CTH+OL	octheol	ZERO	bereitgestellten Gang fortsetzen	Danach oder in demselben Gang: bereitgestellten Gang fortsetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
183	B2-S005	B2	f82r	B2-S005	chkeey	MC166	CHK+EE+Y	chkeey	ZERO	diesen Posten länger warm halten	Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
184	B2-S005	B2	f82r	B2-S005	ldy	MC004	L+CLOSE	ldy	ZERO	abziehen; Ende	Setze die gelernte Fachkarte: abziehen; Ende.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
185	B2-S006	B2	f82r	B2-S006	oteey	MC063	OT+EE+Y	oteey	ZERO	langer Folgeposten	Danach oder in demselben Gang: langer Folgeposten.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	NO
186	B2-S006	B2	f82r	B2-S006	qokal	MC040	OK+AL	okal	Q_ENTRY	dort ansetzen	Führe es an der bezeichneten Stelle aus: dort ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	NO
187	B2-S006	B2	f82r	B2-S006	sheckhy	MC132	CKH+E+Y	sheckhy	ZERO	kurz durchleiten	Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	NO
188	B2-S006	B2	f82r	B2-S006	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	NO
189	B2-S007	B2	f82r	B2-S007	dshedy	MC138	SHED+E+CLOSE	dshedy	ZERO	kurz absetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	NO
190	B2-S008	B2	f82r	B2-S008	sotaiin	MC060	OT+AIIN	otaiin	S_ENTRY	Folgemaß	Danach oder in demselben Gang: Folgemaß.	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	NO
191	B2-S008	B2	f82r	B2-S008	qokar	MC044	OK+AR	qokar	ZERO	daraus ansetzen	Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	NO
192	B2-S008	B2	f82r	B2-S008	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	NO
193	B2-S009	B2	f82r	B2-S009	solshedy	MC149	OL+SHED+CLOSE	solshedy	ZERO	weiter absetzen; Schluss	Danach oder in demselben Gang: weiter absetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe	NO
194	B2-S010	B2	f82r	B2-S010	qokeey	MC002	OK+EE+Y	okeey	Q_ENTRY	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	NO
195	B2-S010	B2	f82r	B2-S010	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	NO
196	B2-S010	B2	f82r	B2-S010	ls	MC065	L	ls	ZERO	Durchlassöffnung	Setze die gelernte Fachkarte: Durchlassöffnung.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	NO
197	B2-S010	B2	f82r	B2-S010	cheey	MC119	CHEEY	ey	CH_ENTRY	klarer Auszug	Setze die gelernte Fachkarte: klarer Auszug.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	NO
198	B2-S011	B2	f82r	B2-S011	okain	MC017	OK+AIN	okain	ZERO	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	NO
199	B2-S011	B2	f82r	B2-S011	char	MC055	AR	ar	CH_ENTRY	aus dem Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	NO
200	B2-S011	B2	f82r	B2-S011	okain	MC017	OK+AIN	okain	ZERO	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	NO
201	B2-S011	B2	f82r	B2-S011	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	NO
202	B2-S012	B2	f82r	B2-S012	lchy	MC008	L+Y	lchy	ZERO	abziehen	Setze die gelernte Fachkarte: abziehen.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
203	B2-S012	B2	f82r	B2-S012	cheey	MC119	CHEEY	ey	CH_ENTRY	klarer Auszug	Setze die gelernte Fachkarte: klarer Auszug.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
204	B2-S012	B2	f82r	B2-S012	qcthey	MC073	CTH+E+Y	cthey	Q_ENTRY	kurz bereithalten	Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
205	B2-S012	B2	f82r	B2-S012	qokeey	MC002	OK+EE+Y	okeey	Q_ENTRY	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
206	B2-S012	B2	f82r	B2-S012	lcheey	MC066	L+CHEEY	lcheey	ZERO	Klarlauf abfuehren	Setze die gelernte Fachkarte: Klarlauf abfuehren.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
207	B2-S012	B2	f82r	B2-S012	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
208	B2-S012	B2	f82r	B2-S012	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
209	B2-S012	B2	f82r	B2-S012	qokeeedy	MC140	OK+EEE+CLOSE	qokeeedy	ZERO	vollständig ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: vollständig ansetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
210	B2-S013	B2	f82r	B2-S013	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe	NO
211	B2-S014	B2	f82r	B2-S014	lar	MC029	L+AR	lar	ZERO	von dort abfuehren	Setze die gelernte Fachkarte: von dort abfuehren.	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.	NO
212	B2-S015	B2	f82r	B2-S015	tshey	MC141	CHEEY	tshey	ZERO	Klarlauf zugeben	Setze die gelernte Fachkarte: Klarlauf zugeben.	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	NO
213	B2-S015	B2	f82r	B2-S015	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	NO
214	B2-S016	B2	f82r	B2-S016	cheal	MC154	AL	al	CH_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
215	B2-S016	B2	f82r	B2-S016	lchedar	MC011	L+CHD+AR	lchedar	ZERO	von dort abführen	Setze die gelernte Fachkarte: von dort abführen.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
216	B2-S016	B2	f82r	B2-S016	ches	MC152	PARTITION	ches	ZERO	teilen	Führe die Handlung aus; schließe nur bei Endkarte: teilen.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
217	B2-S016	B2	f82r	B2-S016	aiin	MC039	AIIN	aiin	ZERO	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
218	B2-S016	B2	f82r	B2-S016	oteey	MC063	OT+EE+Y	oteey	ZERO	langer Folgeposten	Danach oder in demselben Gang: langer Folgeposten.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
219	B2-S016	B2	f82r	B2-S016	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
220	B2-S016	B2	f82r	B2-S016	okey	MC007	OK+E+Y	okey	ZERO	kurz ansetzen	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
221	B2-S016	B2	f82r	B2-S016	pchedy	MC070	P+CHD+CLOSE	pchedy	ZERO	einführen; Schluss	Setze die gelernte Fachkarte: einführen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
222	B2-S017	B2	f82r	B2-S017	rsheal	MC102	SH+E+AL	rsheal	ZERO	kurz am Ziel ruhen	Führe aus und beachte Dauer oder Endpunkt: kurz am Ziel ruhen.	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	NO
223	B2-S017	B2	f82r	B2-S017	daldy	MC079	AL+CLOSE	daldy	ZERO	Nebenoeffnung; Schluss	Setze die bezeichnete Zielstelle: Nebenoeffnung; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	NO
224	B2-S018	B2	f82r	B2-S018	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	NO
225	B2-S019	B2	f82r	B2-S019	rshedy	MC084	WASH+CLOSE	rshedy	ZERO	Waschgang abschließen	Führe die Handlung aus; schließe nur bei Endkarte: Waschgang abschließen.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Waschgang aus und schließe.	NO
226	B2-S020	B2	f82r	B2-S020	qoteedy	MC173	OT+EE+CLOSE	qoteedy	ZERO	lange Folge; Schluss	Danach oder in demselben Gang: lange Folge; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm die lange Folge und schließe	NO
227	B2-S021	B2	f82r	B2-S021	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe	NO
228	B2-S022	B2	f82r	B2-S022	lochedy	MC167	L+CHD+CLOSE	lochedy	ZERO	Rest abfuehren; Schluss	Setze die gelernte Fachkarte: Rest abfuehren; Schluss.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Rest ab und schließe	NO
229	B3-S001	B3	f83r	B3-S001	olkeedy	MC045	SOLK+EE+CLOSE	olkeedy	ZERO	länger sammeln; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Sammle länger und schließe	NO
230	B3-S002	B3	f83r	B3-S002	qotal	MC093	OT+AL	otal	Q_ENTRY	danach dorthin	Danach oder in demselben Gang: danach dorthin.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe danach dorthin, wärme länger und schließe	NO
231	B3-S002	B3	f83r	B3-S002	chkeedy	MC110	CHK+EE+CLOSE	chkeedy	ZERO	länger wärmen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger wärmen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe danach dorthin, wärme länger und schließe	NO
