unified_serial	compiler_mode	page	unit_id	local_address	visible_or_opaque_identity	registered_identity	default_meaning_de	continuous_reading_de	owner_or_namespace
435	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.21:2	A1:G054	A1:G054	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
436	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.21:3	A1:G055	A1:G055	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
437	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.22:1	A1:G056	A1:G056	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
438	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.23:1	A1:G057	A1:G057	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
439	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.23:2	A1:G058	A1:G058	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
440	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.24:1	A1:G059	A1:G059	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
441	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.24:2	A1:G060	A1:G060	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
442	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.24:3	A1:G061	A1:G061	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
443	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.25:1	A1:G062	A1:G062	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
444	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.26:1	A1:G063	A1:G063	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
445	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.26:2	A1:G064	A1:G064	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
446	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.26:3	A1:G065	A1:G065	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
447	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.27:1	A1:G066	A1:G066	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
448	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.27:2	A1:G067	A1:G067	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
449	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.27:3	A1:G068	A1:G068	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
450	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.27:4	A1:G069	A1:G069	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
451	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.28:1	A1:G070	A1:G070	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
452	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.28:2	A1:G071	A1:G071	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
453	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.29:1	A1:G072	A1:G072	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
454	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.29:2	A1:G073	A1:G073	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
455	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.30:1	A1:G074	A1:G074	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
456	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.30:2	A1:G075	A1:G075	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
457	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.31:1	A1:G076	A1:G076	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
458	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.32:1	A1:G077	A1:G077	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
459	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.32:2	A1:G078	A1:G078	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
460	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.32:3	A1:G079	A1:G079	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
461	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.32:4	A1:G080	A1:G080	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
462	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.33:1	A1:G081	A1:G081	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
463	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.33:2	A1:G082	A1:G082	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
464	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.33:3	A1:G083	A1:G083	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
465	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.34:1	A1:G084	A1:G084	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
466	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.34:2	A1:G085	A1:G085	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
467	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.35:1	A1:G086	A1:G086	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
468	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.35:2	A1:G087	A1:G087	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
469	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.35:3	A1:G088	A1:G088	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
470	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.36:1	A1:G089	A1:G089	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
471	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.36:2	A1:G090	A1:G090	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
472	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.36:3	A1:G091	A1:G091	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
473	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.37:1	A1:G092	A1:G092	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
474	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.38:1	A1:G093	A1:G093	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
475	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.38:2	A1:G094	A1:G094	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
476	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.39:1	A1:G095	A1:G095	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
477	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.39:2	A1:G096	A1:G096	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
478	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.39:3	A1:G097	A1:G097	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
479	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.40:1	A1:G098	A1:G098	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
480	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.40:2	A1:G099	A1:G099	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
481	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.40:3	A1:G100	A1:G100	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
482	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.41:1	A1:G101	A1:G101	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
483	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.41:2	A1:G102	A1:G102	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
484	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.42:1	A1:G103	A1:G103	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
485	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.42:2	A1:G104	A1:G104	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
486	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.42:3	A1:G105	A1:G105	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
487	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.43:1	A1:G106	A1:G106	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
488	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.43:2	A1:G107	A1:G107	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
489	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.43:3	A1:G108	A1:G108	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
490	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.43:4	A1:G109	A1:G109	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
491	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.44:1	A1:G110	A1:G110	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
492	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	f67r2.44:2	A1:G111	A1:G111	örtliches Himmels-, Kalender- oder Wahlzeichen	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	A1_LEFT_WHEEL_ONLY
