component_recipe	portable_core_reading_de	register_count	registers	portability_tier	event_count	page_count	surface_count	surfaces	inherited_action_event_count	inherited_argument_event_count	context_bound_event_count	context_mode	source_section_t_example	herbal_example	biological_example	celestial_example	pharma_example
O+IIN	AUSFÜHRUNG · STUFE	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	13	8	4	oiiiin|oiiin|oiin|oin	13	13	13	FULLY_CONTEXT_BOUND	Im laufenden Gang halte den Teilwert [wie zuvor] fest; als Ausführung und auf der bezeichneten Stufe.	Im laufenden Gang nimm die Arbeitseinheit [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Im laufenden Gang wähle den Stationsposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Im laufenden Gang stelle den Positionsposten [wie zuvor] ein; als Ausführung und auf der bezeichneten Stufe.	Im laufenden Gang wähle die Ansatzeinheit [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.
O+OL	AUSFÜHRUNG · FORTSETZEN	2	SOURCE_SECTION_T|CELESTIAL	TWO_REGISTERS	2	2	1	ochol	2	2	2	FULLY_CONTEXT_BOUND	Weiter im laufenden Gang trage den Kennwert [wie zuvor] ein; als Ausführung.	NONE	NONE	Weiter im laufenden Gang wähle den Positionswert [wie zuvor]; als Ausführung.	NONE
O+P+Y	AUSFÜHRUNG · EINSETZEN · POSTEN	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	5	3	3	opchey|opchy|qopchy	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze den Pflanzenposten ein; als Ausführung.	Setze den Stationsposten ein; als Ausführung.	Setze den Positionsposten ein; als Ausführung.	NONE
O+Y	AUSFÜHRUNG · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	2	qochy|qoy	2	0	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang setze den Pflanzenposten im Arbeitsgang an; als Ausführung.	Im laufenden Gang setze den Stationsposten im Stationsgang an; als Ausführung.	NONE	NONE
OK	SETZEN	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	5	4	2	chok|ok	0	5	5	FULLY_CONTEXT_BOUND	Trage den laufenden Eintrag [wie zuvor] ein.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an.	Setze den Stationsposten [wie zuvor] im Stationsgang an.	NONE	NONE
OK+AIIN	SETZEN · WERT	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	64	15	4	chokaiin|okaiin|okalaiin|qokaiin	0	0	0	FULLY_SELF_CONTAINED	Trage den Kennwert ein.	Setze den Arbeitswert im Arbeitsgang an.	Setze den Stationswert im Stationsgang an.	Setze den Positionswert.	Setze den Mengenwert als Ansatz an.
OK+AIN	SETZEN · ANTEIL	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	63	12	2	okain|qokain	0	0	0	FULLY_SELF_CONTAINED	Trage den Teilwert ein.	Setze den Materialanteil im Arbeitsgang an.	Setze den Stationsanteil im Stationsgang an.	NONE	Setze den Drogenanteil als Ansatz an.
OK+AIR	SETZEN · BAHN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	4	4	2	okair|qokair	0	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	Setze den Stationsposten [wie zuvor] im Stationsgang an; entlang der Stationsbahn.	NONE	Setze den Drogenposten [wie zuvor] als Ansatz an; entlang der Transferbahn.
OK+AL	SETZEN · ZIELORT	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	47	14	5	chokal|chykald|okal|okedal|qokal	0	47	47	FULLY_CONTEXT_BOUND	NONE	Setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an; zur Zielstelle.	Setze den Stationsposten [wie zuvor] im Stationsgang an; zur Zielstation.	Setze den Positionsposten [wie zuvor]; zur Zielposition.	Setze den Drogenposten [wie zuvor] als Ansatz an; zum Zielgefäß.
OK+AL+Y	SETZEN · ZIELORT · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	5	4	4	chokaly|okaly|qokaldy|qokaly	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Setze den Stationsposten im Stationsgang an; zur Zielstation.	Setze den Positionsposten; zur Zielposition.	NONE
OK+AM_ADDR	SETZEN · HIER	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	3	3	2	okam|qokam	0	3	3	FULLY_CONTEXT_BOUND	NONE	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; an der bezeichneten Stelle.	Setze den Stationsposten [wie zuvor] im Stationsgang an; an der bezeichneten Stelle.	Setze den Positionsposten [wie zuvor]; an der bezeichneten Stelle.	NONE
OK+AN	SETZEN · KLASSE	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	4	3	2	okan|qokan	0	4	4	FULLY_CONTEXT_BOUND	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Setze den Materialanteil [wie zuvor] im Arbeitsgang an; in der bezeichneten Klasse.	Setze den Stationsposten [wie zuvor] im Stationsgang an; in der bezeichneten Klasse.	NONE	NONE
OK+AR	SETZEN · AUSGANG	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	39	12	3	chokar|okar|qokar	0	39	39	FULLY_CONTEXT_BOUND	NONE	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	Setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	Setze den Mengenwert [wie zuvor] als Ansatz an; vom Ausgangsgefäß.
OK+AR+AR	SETZEN · AUSGANG · AUSGANG	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	1	okarar	0	2	2	FULLY_CONTEXT_BOUND	NONE	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial [außen] und vom Ausgangsmaterial [innen].	NONE	Setze den Positionsposten [wie zuvor]; von der Ausgangsposition [außen] und von der Ausgangsposition [innen].	NONE
OK+CH+AL	SETZEN · NEHMEN · ZIELORT	2	HERBAL|CELESTIAL	TWO_REGISTERS	4	4	2	okalchal|okchal	0	4	4	FULLY_CONTEXT_BOUND	NONE	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an und nimm den Pflanzenposten [wie zuvor]; zur Zielstelle.	NONE	Setze den Positionswert [wie zuvor] und nimm den Positionswert [wie zuvor] auf; zur Zielposition.	NONE
OK+CH+E+O+R	SETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	2	qokcheody|qokcheor	0	1	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an, nimm den Pflanzenposten [wie zuvor] und markiere den Pflanzenposten [wie zuvor]; auf Grad I und als Ausführung.	NONE	NONE	Setze als Ansatz an, nimm und markiere; auf Grad I und als Ausführung.
OK+CH+OR	SETZEN · NEHMEN · EINHEIT	2	HERBAL|CELESTIAL	TWO_REGISTERS	5	3	2	okchor|qokchor	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze die Arbeitseinheit im Arbeitsgang an und nimm die Arbeitseinheit.	NONE	Setze die Positionseinheit und nimm die Positionseinheit auf.	NONE
OK+CHD+DY	SETZEN · BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	9	5	3	okchdy|okchedy|qokchdy	0	9	9	FULLY_CONTEXT_BOUND	NONE	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an und bearbeite den Arbeitswert [wie zuvor]; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	NONE	NONE
OK+E+DY	SETZEN · GRAD I · SCHLUSS	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	67	9	2	okedy|qokedy	0	64	64	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	NONE	Setze als Ansatz an; auf Grad I; schließe den Schritt.
OK+E+O	SETZEN · GRAD I · AUSFÜHRUNG	2	CELESTIAL|PHARMA	TWO_REGISTERS	8	5	2	okeo|qokeo	0	8	8	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Setze die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung.	Setze den Drogenposten [wie zuvor] als Ansatz an; auf Grad I und als Ausführung.
OK+E+O+D_ADDR+Y	SETZEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	3	HERBAL|CELESTIAL|PHARMA	THREE_REGISTERS	12	5	3	okeody|qokeody|qokeoefy	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NONE	Setze den Positionsposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Setze den Drogenposten als Ansatz an; auf Grad I und als Ausführung; an der bezeichneten Stelle.
OK+E+O+Y	SETZEN · GRAD I · AUSFÜHRUNG · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	okeoy|qokeoy	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Setze den Stationsposten im Stationsgang an; auf Grad I und als Ausführung.	NONE	Setze den Drogenposten als Ansatz an; auf Grad I und als Ausführung.
OK+E+OL	SETZEN · GRAD I · FORTSETZEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	15	6	4	chokeol|okeol|okeolor|qokeol	0	15	15	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	Weiter setze den Positionsposten [wie zuvor]; auf Grad I.	Weiter setze den Drogenposten [wie zuvor] als Ansatz an; auf Grad I.
OK+E+OR	SETZEN · GRAD I · EINHEIT	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	7	5	3	cheokor|okeor|qokeor	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze die Arbeitseinheit im Arbeitsgang an; auf Grad I.	Setze die Stationseinheit im Stationsgang an; auf Grad I.	Setze die Positionseinheit; auf Grad I.	Setze die Ansatzeinheit als Ansatz an; auf Grad I.
OK+E+Y	SETZEN · GRAD I · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	27	8	3	okey|qokechy|qokey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Setze den Stationsposten im Stationsgang an; auf Grad I.	Setze den Positionsposten; auf Grad I.	Setze den Drogenposten als Ansatz an; auf Grad I.
OK+EE+DY	SETZEN · GRAD II · SCHLUSS	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	79	9	2	okeedy|qokeedy	0	78	78	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad II; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	Setze den Positionsposten [wie zuvor]; auf Grad II; schließe den Schritt.	NONE
OK+EE+O	SETZEN · GRAD II · AUSFÜHRUNG	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	okeeo|qokeeo	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II und als Ausführung.	Setze den Positionsposten [wie zuvor]; auf Grad II und als Ausführung.	NONE
OK+EE+OL	SETZEN · GRAD II · FORTSETZEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	3	2	okeeol|qokeeol	0	5	5	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II.	Weiter setze den Positionswert [wie zuvor]; auf Grad II.	Weiter setze den Drogenposten [wie zuvor] als Ansatz an; auf Grad II.
OK+EE+S	SETZEN · GRAD II · WÄHLEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	4	2	2	chokees|okees	0	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	Setze den Stationsposten [wie zuvor] im Stationsgang an und wähle den Stationsposten [wie zuvor]; auf Grad II.	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	NONE
OK+EE+Y	SETZEN · GRAD II · POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	67	16	4	chokeey|okeeas|okeey|qokeey	0	0	0	FULLY_SELF_CONTAINED	Trage den laufenden Eintrag ein; auf Grad II.	Setze den Pflanzenposten im Arbeitsgang an; auf Grad II.	Setze den Stationsposten im Stationsgang an; auf Grad II.	Setze den Positionsposten; auf Grad II.	Setze den Drogenposten als Ansatz an; auf Grad II.
OK+EEE+DY	SETZEN · GRAD III · SCHLUSS	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	1	qokeeedy	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad III; schließe den Schritt.	Setze den Positionsposten [wie zuvor]; auf Grad III; schließe den Schritt.	NONE
OK+EEE+Y	SETZEN · GRAD III · POSTEN	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	5	4	2	okeeey|qokeeey	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze den Pflanzenposten im Arbeitsgang an; auf Grad III.	Setze den Stationsposten im Stationsgang an; auf Grad III.	Setze den Positionsposten; auf Grad III.	Setze den Drogenposten als Ansatz an; auf Grad III.
OK+IIN+R	SETZEN · STUFE · MARKIEREN	2	SOURCE_SECTION_T|CELESTIAL	TWO_REGISTERS	2	2	1	okaiir	0	2	2	FULLY_CONTEXT_BOUND	Trage den Kennwert [wie zuvor] ein und kennzeichne den Kennwert [wie zuvor]; auf der bezeichneten Stufe.	NONE	NONE	Setze den Positionsposten [wie zuvor] und markiere den Positionsposten [wie zuvor]; auf der bezeichneten Stufe.	NONE
OK+O+IIN	SETZEN · AUSFÜHRUNG · STUFE	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	okoiin|qokoiin	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Setze den Stationsposten [wie zuvor] im Stationsgang an; als Ausführung und auf der bezeichneten Stufe.	NONE	Setze den Drogenposten [wie zuvor] als Ansatz an; als Ausführung und auf der bezeichneten Stufe.
OK+OL	SETZEN · FORTSETZEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	27	15	6	chokchol|chokol|okchol|okol|qokchol|qokol	0	26	26	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Weiter trage den Kennwert [wie zuvor] ein.	Weiter setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	Weiter setze im Stationsgang an.	Weiter setze den Positionswert [wie zuvor].	Weiter setze den Drogenposten [wie zuvor] als Ansatz an.
OK+OL+DY	SETZEN · FORTSETZEN · SCHLUSS	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	okoldy	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter setze den Stationsanteil [wie zuvor] im Stationsgang an; schließe den Schritt.	NONE	Weiter setze den Drogenposten [wie zuvor] als Ansatz an; schließe den Schritt.
OK+OR	SETZEN · EINHEIT	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	9	6	5	cheokeor|chokor|chokshor|okor|qokor	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze die Arbeitseinheit im Arbeitsgang an.	Setze die Stationseinheit im Stationsgang an.	Setze die Positionseinheit.	Setze die Ansatzeinheit als Ansatz an.
OK+Y	SETZEN · POSTEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	59	18	8	choky|okcheeg|okchey|okchy|okshy|oky|qokchy|qoky	0	0	0	FULLY_SELF_CONTAINED	Trage den laufenden Eintrag ein.	Setze den Pflanzenposten im Arbeitsgang an.	Setze den Stationsposten im Stationsgang an.	NONE	Setze den Drogenposten als Ansatz an.
OL	FORTSETZEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	175	22	5	chol|ls|ol|qol|sol	175	174	175	FULLY_CONTEXT_BOUND	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	Weiter im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein.	Weiter im laufenden Gang markiere den Stationsanteil [wie zuvor].	Weiter im laufenden Gang setze den Positionswert [wie zuvor].	Weiter im laufenden Gang halte den Drogenposten [wie zuvor].
OL+AIIN	FORTSETZEN · WERT	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	13	9	3	doldaiin|olaiin|qolaiin	13	0	13	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	Weiter im laufenden Gang setze den Stationswert im Stationsgang an.	Weiter im laufenden Gang setze den Positionswert.	Weiter im laufenden Gang setze den Mengenwert als Ansatz an.
OL+AIN	FORTSETZEN · ANTEIL	3	SOURCE_SECTION_T|BIOLOGICAL|PHARMA	THREE_REGISTERS	7	3	3	olain|oldain|qolain	7	0	7	FULLY_CONTEXT_BOUND	Weiter im laufenden Gang halte den Teilwert fest.	NONE	Weiter im laufenden Gang bearbeite den Stationsanteil.	NONE	Weiter im laufenden Gang wähle den Drogenanteil.
OL+CH+E+O+DY	FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	2	CELESTIAL|PHARMA	TWO_REGISTERS	3	3	3	olcheody|olcheol|olcheor	0	3	3	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Weiter nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung; schließe den Schritt.	Weiter nimm den Drogenposten [wie zuvor]; auf Grad I und als Ausführung; schließe den Schritt.
OL+DY	FORTSETZEN · SCHLUSS	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	18	10	4	doldy|oldy|qoldy|ytoldy	18	18	18	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; schließe den Schritt.	Weiter im laufenden Gang halte den Stationsposten [wie zuvor]; schließe den Schritt.	Weiter im laufenden Gang wähle den Positionsposten [wie zuvor]; schließe den Schritt.	Weiter im laufenden Gang nimm den Drogenposten [wie zuvor]; schließe den Schritt.
OL+K+AIIN	FORTSETZEN · GEBEN · WERT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	3	2	olkaiin|solkaiin	0	0	0	FULLY_SELF_CONTAINED	NONE	Weiter gib den Arbeitswert zu.	Weiter führe den Stationswert zu.	NONE	NONE
OL+K+AIN	FORTSETZEN · GEBEN · ANTEIL	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	5	4	2	olkain|qolkain	0	0	0	FULLY_SELF_CONTAINED	NONE	Weiter gib den Materialanteil zu.	Weiter führe den Stationsanteil zu.	NONE	NONE
OL+K+AR	FORTSETZEN · GEBEN · AUSGANG	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	3	1	olkar	0	3	3	FULLY_CONTEXT_BOUND	NONE	Weiter gib den Materialanteil [wie zuvor] zu; vom Ausgangsmaterial.	Weiter führe den Stationsanteil [wie zuvor] zu; von der Ausgangsstation.	NONE	NONE
OL+K+E+Y	FORTSETZEN · GEBEN · GRAD I · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	olkey|solkey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Weiter führe den Stationsposten zu; auf Grad I.	NONE	Weiter gib den Drogenposten zu; auf Grad I.
OL+K+EE+DY	FORTSETZEN · GEBEN · GRAD II · SCHLUSS	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	6	4	2	cholkeedy|olkeedy	0	5	5	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad II; schließe den Schritt.	NONE	Weiter gib zu; auf Grad II; schließe den Schritt.
OL+K+EE+Y	FORTSETZEN · GEBEN · GRAD II · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	8	7	2	olkeey|solkeey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Weiter führe den Stationsposten zu; auf Grad II.	NONE	Weiter gib den Drogenposten zu; auf Grad II.
OL+O+AM_ADDR	FORTSETZEN · AUSFÜHRUNG · HIER	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	olom	2	2	2	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang nimm den Materialanteil [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; als Ausführung; an der bezeichneten Stelle.	NONE	NONE
OL+OR	FORTSETZEN · EINHEIT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	6	5	3	alolor|cholor|olor	6	0	6	FULLY_CONTEXT_BOUND	NONE	Weiter im laufenden Gang nimm die Arbeitseinheit.	Weiter im laufenden Gang bearbeite die Stationseinheit.	NONE	NONE
OL+S	FORTSETZEN · WÄHLEN	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	2	2	1	ols	0	2	2	FULLY_CONTEXT_BOUND	Weiter wähle den Kennwert [wie zuvor].	NONE	Weiter wähle den Stationsposten [wie zuvor].	NONE	NONE
OL+T+EE+DY	FORTSETZEN · EINSTELLEN · GRAD II · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	2	olteedy|solteedy	0	2	2	FULLY_CONTEXT_BOUND	NONE	Weiter stelle den Materialanteil [wie zuvor] ein; auf Grad II; schließe den Schritt.	Weiter stelle den Stationsposten [wie zuvor] ein; auf Grad II; schließe den Schritt.	NONE	NONE
OL+Y	FORTSETZEN · POSTEN	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	31	11	7	choldy|choly|kolches|olchey|oly|qolchey|qoly	30	0	30	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	Weiter im laufenden Gang nimm den Pflanzenposten.	Weiter im laufenden Gang setze den Stationsposten im Stationsgang an.	Weiter im laufenden Gang wähle den Positionsposten.	Weiter im laufenden Gang nimm den Drogenposten.
OR	EINHEIT	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	46	18	2	or|qor	46	0	46	FULLY_CONTEXT_BOUND	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang stelle die Arbeitseinheit ein.	Im laufenden Gang führe die Stationseinheit zu.	Im laufenden Gang stelle die Positionseinheit ein.	Im laufenden Gang wähle die Ansatzeinheit.
OR+AIIN	EINHEIT · WERT	3	HERBAL|CELESTIAL|PHARMA	THREE_REGISTERS	3	3	1	oraiin	3	0	3	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang wähle die Arbeitseinheit und den Arbeitswert.	NONE	Im laufenden Gang wähle die Positionseinheit und den Positionswert.	Im laufenden Gang gib die Ansatzeinheit und den Mengenwert zu.
OR+AIN	EINHEIT · ANTEIL	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	3	3	3	chorain|orain|qorain	3	0	3	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle die Arbeitseinheit und den Materialanteil ein.	Im laufenden Gang halte die Stationseinheit und den Stationsanteil.	Im laufenden Gang halte die Positionseinheit und den Sektoranteil.	NONE
OR+AL+Y	EINHEIT · ZIELORT · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	loral|oraly	2	0	2	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang führe die Stationseinheit und den Stationsposten zu; zur Zielstation.	Im laufenden Gang wähle die Positionseinheit und den Positionsposten; zur Zielposition.	NONE
OR+Y	EINHEIT · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	3	3	3	orchey|ory|sorcheey	3	0	3	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang entnimm die Stationseinheit und den Stationsposten.	NONE	Im laufenden Gang markiere die Ansatzeinheit und den Drogenposten.
OS	VORBEZUG	3	SOURCE_SECTION_T|HERBAL|CELESTIAL	THREE_REGISTERS	8	5	2	oes|os	8	8	8	FULLY_CONTEXT_BOUND	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; wie zuvor.	Im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; wie zuvor.	NONE	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; wie zuvor.	NONE
OT	DANACH	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	2	ot|qot	2	2	2	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang wähle den Pflanzenposten [wie zuvor].	Danach im laufenden Gang bearbeite den Stationsanteil [wie zuvor].	NONE	NONE
OT+AIIN	DANACH · WERT	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	20	6	3	chotaiin|otaiin|qotaiin	20	0	20	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang nimm den Arbeitswert.	Danach im laufenden Gang halte den Stationswert.	Danach im laufenden Gang wähle den Positionswert.	NONE
OT+AIN	DANACH · ANTEIL	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	17	7	3	otain|otarain|qotain	17	0	17	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang setze den Materialanteil im Arbeitsgang an.	Danach im laufenden Gang halte den Stationsanteil.	NONE	NONE
OT+AL	DANACH · ZIELORT	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	16	8	3	chotal|otal|qotal	16	16	16	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle.	Danach im laufenden Gang bearbeite den Stationsanteil [wie zuvor]; zur Zielstation.	Danach im laufenden Gang halte den Positionsposten [wie zuvor]; zur Zielposition.	NONE
OT+AL+Y	DANACH · ZIELORT · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	3	3	2	otaly|qotaly	3	0	3	FULLY_CONTEXT_BOUND	NONE	NONE	Danach im laufenden Gang halte den Stationsposten; zur Zielstation.	Danach im laufenden Gang halte den Positionsposten; zur Zielposition.	NONE
OT+AM_ADDR	DANACH · HIER	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	6	5	2	otam|otcham	6	6	6	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang wähle den Arbeitswert [wie zuvor]; an der bezeichneten Stelle.	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den Positionswert [wie zuvor]; an der bezeichneten Stelle.	Danach im laufenden Gang wähle die Ansatzeinheit [wie zuvor]; an der bezeichneten Stelle.
