fusion_unit_order	fusion_unit_id	statement_id	record_unit_id	page	host_event_id	member_event_ids	member_surfaces	member_atomic_defaults	operation_chain_de	item_values_de	source_value_de	run_value_de	target_value_de	measure_values_de	grade_values_de	state_values_de	close	literal_workshop_clause_de	contains_resolved_forward_material
231	FU231	B4-S011	B4	f83r	E344	E344	lkedy	abführen+kurz+Schluss	abführen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=abführen; Grad=kurz; Schluss	NO
232	FU232	B4-S012	B4	f83r	E345	E345	lchedy	abführen+umsetzen+Schluss	abführen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=abführen→umsetzen; Schluss	NO
233	FU233	B4-S013	B4	f83r	E346	E346	qokol	ansetzen+weiter	ansetzen→weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ansetzen→weiterführen; Reihenfolge=weiter	NO
234	FU234	B4-S013	B4	f83r	E347	E347	shedy	absetzen+kurz+Schluss	absetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=absetzen; Grad=kurz; Schluss	NO
235	FU235	B4-S014	B4	f83r	E350	E348|E349|E350|E351	or chey qockhey dairydy	Ansatz | Posten | ansetzen+Durchlass+kurz+Posten | Lauf+Posten+Schluss	ansetzen→durchleiten	Ansatz+Posten	NONE	Lauf	NONE	NONE	kurz	NONE	YES	Vorgang=ansetzen→durchleiten; Posten=Ansatz+Posten; Lauf=gesetzt; Grad=kurz; Schluss	NO
236	FU236	B4-S015	B4	f83r	E352	E352|E353	qokain shey	ansetzen+Anteil | Ergebnis	ansetzen	Ergebnis	NONE	NONE	NONE	Anteil	NONE	Ergebnis	NO	Vorgang=ansetzen; Posten=Ergebnis; Wert=Anteil; Zustand=Ergebnis	NO
237	FU237	B4-S015	B4	f83r	E355	E354|E355	kain chckhal	Anteil | Durchlass+Ziel	durchleiten	NONE	NONE	NONE	Ziel	Anteil	NONE	NONE	NO	Vorgang=durchleiten; Ziel=gesetzt; Wert=Anteil	NO
238	FU238	B4-S015	B4	f83r	E356	E356	solkey	sammeln+kurz+Posten	sammeln	Posten	NONE	NONE	NONE	NONE	kurz	NONE	NO	Vorgang=sammeln; Posten=Posten; Grad=kurz	NO
239	FU239	B4-S015	B4	f83r	E357	E357	lchedy	abführen+umsetzen+Schluss	abführen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=abführen→umsetzen; Schluss	NO
240	FU240	B4-S016	B4	f83r	E358	E358|E359	qolkain dal	weiter+Anteil | Ziel	weiterführen	NONE	NONE	NONE	Ziel	Anteil	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Ziel=gesetzt; Wert=Anteil	NO
241	FU241	B4-S016	B4	f83r	E360	E360	skar	ausgießen+Quelle	ausgießen	NONE	Quelle	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=ausgießen; Quelle=gesetzt	NO
242	FU242	B4-S016	B4	f83r	E361	E361	shedy	absetzen+kurz+Schluss	absetzen	NONE	NONE	NONE	NONE	NONE	kurz	NONE	YES	Vorgang=absetzen; Grad=kurz; Schluss	NO
243	FU243	B5-S001	B5	f83r	E362	E362	otchdy	danach+umsetzen+Schluss	folgen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=folgen→umsetzen; Reihenfolge=danach; Schluss	NO
244	FU244	B5-S002	B5	f83r	E363	E363	qokchdy	ansetzen+umsetzen+Schluss	ansetzen→umsetzen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	YES	Vorgang=ansetzen→umsetzen; Schluss	NO
245	FU245	B5-S003	B5	f83r	E364	E364|E365	shedal dal	absetzen+Ziel | Ziel	absetzen	NONE	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=absetzen; Ziel=gesetzt	NO
246	FU246	B5-S003	B5	f83r	E366	E366	cheol	weiter	weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter	NO
247	FU247	B5-S003	B5	f83r	E367	E367	lol	abführen+weiter	abführen→weiterführen	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=abführen→weiterführen; Reihenfolge=weiter	NO
248	FU248	B5-S003	B5	f83r	E368	E368|E369	chdal aiin	umsetzen+Ziel | Sollmaß	umsetzen	NONE	NONE	NONE	Ziel	Sollmaß	NONE	NONE	NO	Vorgang=umsetzen; Ziel=gesetzt; Wert=Sollmaß	NO
249	FU249	B5-S003	B5	f83r	E370	E370|E371	sol daiiin	weiter | Stufe	weiterführen	NONE	NONE	NONE	NONE	Stufe	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Wert=Stufe	NO
250	FU250	B5-S003	B5	f83r	E372	E372	chedy	umsetzen+Posten	umsetzen	Posten	NONE	NONE	NONE	NONE	NONE	NONE	NO	Vorgang=umsetzen; Posten=Posten	NO
251	FU251	B6-S001	B6	f83r	E373	E373	solkeey	sammeln+länger+Posten	sammeln	Posten	NONE	NONE	NONE	NONE	länger	NONE	NO	Vorgang=sammeln; Posten=Posten; Grad=länger	NO
252	FU252	B6-S001	B6	f83r	E374	E374|E375	qekey raly	bearbeiten+kurz+Posten | Ziel+Posten	bearbeiten	Posten	NONE	NONE	Ziel	NONE	kurz	NONE	NO	Vorgang=bearbeiten; Posten=Posten; Ziel=gesetzt; Grad=kurz	NO
253	FU253	B6-S001	B6	f83r	E376	E376|E377	ol daiin	weiter | Sollmaß	weiterführen	NONE	NONE	NONE	NONE	Sollmaß	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Wert=Sollmaß	NO
254	FU254	B6-S001	B6	f83r	E378	E378|E379|E380|E381	ol dain chey ldalor	weiter | Tuch | Posten | Ziel	weiterführen	Tuch+Posten	NONE	NONE	Ziel	NONE	NONE	NONE	NO	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Tuch+Posten; Ziel=gesetzt	NO
