rank	priority_tier	candidate_page_host	exact_card_types	events_on_ten_pages	surface_cards_and_tuple_ids	current_V43_defaults	shared_semantic_intersection	formal_coordinates_per_card	proposed_form_rule	counterevidence_or_exception	confidence	status
80	5	kee	1	1	chkeedy [a84fbe3ad380df345b97]	tauche vollständig ein und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	a84fbe3ad380df345b97:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
81	5	keey	1	1	chkeey [f0db6d30cd34f4cb2a4d]	das breite Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	f0db6d30cd34f4cb2a4d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
82	5	keol	1	1	keol [9bb7122b386ebbc6138f]	die helle geöffnete Blüte	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	9bb7122b386ebbc6138f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
83	5	lcheckhe	1	1	lcheckhedy [c1db6b0a28d5cbb5d3d2]	seihe es klar und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	c1db6b0a28d5cbb5d3d2:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
84	5	lcheckhy	1	1	lcheckhy [f329f2051370174e9a38]	die zweite Öffnung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	f329f2051370174e9a38:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
85	5	lcheey	1	1	lcheey [5fca8fc3dee57e1d8c1f]	der eingetauchte Teil	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	5fca8fc3dee57e1d8c1f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
86	5	lchy	1	1	lchy [0ab57b7166de99db3a55]	ziehe die klare Flüssigkeit ab	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	0ab57b7166de99db3a55:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
87	5	ld	1	1	chldaiin [d72f71baff01cd0a0406]	nach dem Absetzen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d72f71baff01cd0a0406:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
88	5	ldalor	1	1	ldalor [97ddca78c9ebcc956d04]	an der bezeichneten Stelle	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	97ddca78c9ebcc956d04:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
89	5	lke	1	1	lkedy [b958a512ca6a3559e86e]	wasche zweimal und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	b958a512ca6a3559e86e:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
90	5	lo	1	1	lo [2b7fa918d1b2f5c656e3]	schließe den unteren Ablauf	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	2b7fa918d1b2f5c656e3:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
91	5	loche	1	1	lochedy [f2af6326898fb5b490a4]	mische zu gleichen Teilen und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	f2af6326898fb5b490a4:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
92	5	lol	1	1	lol [8c97dfde96fbc78e3355]	bis es warm ist	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	8c97dfde96fbc78e3355:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
93	5	ls	1	1	ls [5eff216ba51fbfb21f22]	die erste Öffnung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	5eff216ba51fbfb21f22:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
94	5	lsho	1	1	lsho [be0974b366c981dc1eef]	beginne die Spülung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	be0974b366c981dc1eef:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
95	5	ly	1	1	ly [b38d70daefd663d74625]	fülle danach das Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	b38d70daefd663d74625:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
96	5	ockhey	1	1	qockhey [ecce30bc8dcc400bf2c8]	über der örtlich bezeichneten Stelle	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	ecce30bc8dcc400bf2c8:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
97	5	octheol	1	1	octheol [a8f891de626fc00028e9]	unter derselben Einstellung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	a8f891de626fc00028e9:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
98	5	octholy	1	1	qoctholy [af816c04e65874a0f2fa]	koche es sanft	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	af816c04e65874a0f2fa:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
99	5	odaly	1	1	chodaly [0ec6a45e2950e8e7061d]	die dünne untere Wurzel	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	0ec6a45e2950e8e7061d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
100	5	okaly	1	1	qokaly [4a7a6326ac95a8809302]	fahre am zweiten Lauf fort	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	4a7a6326ac95a8809302:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
101	5	okcheo	1	1	chokcheo [087a47b5423438cd6b6a]	trinke es bei Magenschmerz	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	087a47b5423438cd6b6a:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
102	5	okchol	1	1	okchol [322281bd391aa621f568]	lege ihn warm auf	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	322281bd391aa621f568:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
103	5	okeed	1	1	qokeedal [93f69c38fdedee1598e9]	der eingetauchte Teil	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	93f69c38fdedee1598e9:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
104	5	okeee	1	1	qokeeedy [d25110e0d8488927278f]	tauche vollständig ein und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d25110e0d8488927278f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
105	5	okeeol	1	1	okeeol [daf32e6db9e04413ce7f]	das breite Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	daf32e6db9e04413ce7f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
106	5	okokchy	1	1	qokokchy [1322bc176443fc2a8a86]	trockne es im Schatten	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	1322bc176443fc2a8a86:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
107	5	okol	1	1	qokol [232195d6ff2f326322f7]	lasse die Mischung einlaufen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	232195d6ff2f326322f7:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
108	5	okshe	1	1	qokshedy [db167f8e9b53eefb58f8]	koche sanft und beende diesen Arbeitsschritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	db167f8e9b53eefb58f8:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
109	5	okyld	1	1	qokylddy [eb2e4bc143f623ee03ac]	binde es auf die Stelle und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	eb2e4bc143f623ee03ac:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
110	5	ol	1	1	otol [497cbd9c7401810ff56b]	eine Handvoll	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	497cbd9c7401810ff56b:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
111	5	olchey	1	1	qolchey [e2eb77ca9d9e1a8ba29a]	fülle danach das Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	e2eb77ca9d9e1a8ba29a:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
112	5	olkeey	1	1	solkeey [1bfd786e6b8b63734a59]	setze die Person an das Becken	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	1bfd786e6b8b63734a59:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
113	5	olkey	1	1	solkey [42cdc187d5b9ffc60063]	öffne danach den oberen Lauf	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	42cdc187d5b9ffc60063:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
114	5	olky	1	1	qolky [c205570c49d4d93c23d3]	die betroffene Stelle	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	c205570c49d4d93c23d3:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=q	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
115	5	olsaly	1	1	olsaly [7811a7daff25d476e28d]	das untere Becken	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	7811a7daff25d476e28d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
116	5	olshe	1	1	solshedy [daa1347f456415fe8737]	halte es warm und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	daa1347f456415fe8737:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
117	5	oltchy	1	1	oltchy [204b04837409088c48f9]	bewahre es in einem bedeckten Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	204b04837409088c48f9:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
118	5	os	1	1	os [df1098831679a8ad1b39]	zerstoße sie zu grobem Pulver	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	df1098831679a8ad1b39:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
119	5	otodan	1	1	sotodan [61a075bc54793c1c781f]	gebrauche es frisch vermischt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	61a075bc54793c1c781f:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
120	5	otytchol	1	1	otytchol [62ff059766b21c7de083]	trinke es bei Magenschmerz	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	62ff059766b21c7de083:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
121	5	oykchor	1	1	oykchor [27d97af8c96eb056c2e6]	wenn sich die Blüte geöffnet hat	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	27d97af8c96eb056c2e6:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
122	5	oyty	1	1	shoyty [577c03a928d674d420d7]	behalte die Blütenkrone zurück	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	577c03a928d674d420d7:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=sh	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
123	5	pche	1	1	pchedy [65df3cd9e59060042d47]	ziehe es ab und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	65df3cd9e59060042d47:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
124	5	pched	1	1	pchedal [ba540da978ea132f6da5]	fülle danach das Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	ba540da978ea132f6da5:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
125	5	r	1	1	ral [4da0f0f7b5fc7ac20067]	und lasse es abkühlen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	4da0f0f7b5fc7ac20067:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
