bio_field_row	field_id	record_unit_id	page	locus	statement_id	event_count	event_serials	v71_local_owner	owner_status	owner_transition	visible_contact_basis	literal_exact_card_sequence	complete_event_default_sequence	readable_field_text	source_layer_counts	minimum_working_confidence	mean_working_confidence	medical_application_model	bathhouse_operation_model	iconographic_formal_model	strongest_rival	contradiction	global_flow_claim	semantic_ceiling
87	F107	B3	f83r	f83r.22	B3-S033	1	308	B3_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	breiter blau gefüllter Bogen verbindet die zwei Hauptfiguren tatsächlich	E308:04a3877f0fc81b7597c9	E308=Ziehe die örtliche Flüssigkeitsportion ab und beende den Schritt.	An derselben lokalen Station [B3_MAIN_ARCH_LINKED_PAIR]: Ziehe die örtliche Flüssigkeitsportion ab und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	sichtbar gekoppeltes Paar lokaler Bade-/Anwendungsstationen unter einem ungerichteten Bogen	gekoppeltes Beckenpaar mit lokalem, aber ungerichtetem Austausch	Regenbogen- oder Himmelsband ohne technische Kopplung	Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: Rücklaufleitung öffnen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
88	F108	B3	f83r	f83r.24	B3-S034	6	309|310|311|312|313|314	B3_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	breiter blau gefüllter Bogen verbindet die zwei Hauptfiguren tatsächlich	E309:2c82523794dcb7d2b343 > E310:e0b630cb1b5df5e7105b > E311:80ebbbbf238eee9f0aef > E312:54d0e228ca346110af05 > E313:7811a7daff25d476e28d > E314:bc4f1f5c006c74a4d26d	E309=Führe den örtlichen Schritt fort, bis der bezeichnete Klarzustand erreicht ist. | E310=Prüfe den örtlich vorgeschriebenen Zustand der Charge. | E311=Bearbeite den örtlichen Posten gleichmäßig. | E312=Halte den lokalen Posten für dieselbe recordlokale Dauer wie zuvor. | E313=Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene. | E314=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B3_MAIN_ARCH_LINKED_PAIR]: Führe den örtlichen Schritt fort, bis der bezeichnete Klarzustand erreicht ist. Prüfe den örtlich vorgeschriebenen Zustand der Charge. Bearbeite den örtlichen Posten gleichmäßig. Halte den lokalen Posten für dieselbe recordlokale Dauer wie zuvor. Verwende das im Exemplar bezeichnete untere Becken dieser lokalen Szene. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""EXEMPLAR_ONLY"": 4, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.453	sichtbar gekoppeltes Paar lokaler Bade-/Anwendungsstationen unter einem ungerichteten Bogen	gekoppeltes Beckenpaar mit lokalem, aber ungerichtetem Austausch	Regenbogen- oder Himmelsband ohne technische Kopplung	Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: fertige Charge markieren. Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: Arbeitsstand der Charge an dieser lokalen Station. Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: Charge an den nächsten Lauf übergeben. Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: offenen Arbeitsstand fortschreiben. Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: fertige Charge markieren. Badehausbetrieb an [B3_MAIN_ARCH_LINKED_PAIR]: Zielstation bestätigen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; BEREIT? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
89	F109	B4	f83r	f83r.25	B4-S001	1	315	B4_MAIN_ARCH_LINKED_PAIR	DIRECT_VISIBLE	RESET_AT_RECORD_START	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E315:7d25241b0e56c836372a	E315=Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den örtlichen Schritt.	Setze den lokalen Besitzer [B4_MAIN_ARCH_LINKED_PAIR] (untere f83r-Paarstation als gemeinsamer Besitzer dieses Records): Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den örtlichen Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.48	0.480	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Beckenrand und Fugen sichten.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
90	F110	B4	f83r	f83r.25	B4-S002	3	316|317|318	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E316:e2eb77ca9d9e1a8ba29a > E317:0275fbf14e07935b0a45 > E318:7db18b2f0fb7ed0fcfd3	E316=Fülle danach das örtlich bezeichnete Gefäß. | E317=Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. | E318=Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Fülle danach das örtlich bezeichnete Gefäß. Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	"{""EXEMPLAR_ONLY"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2}"	0.42	0.540	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Spülwasser zuführen. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: aktive Charge an der Wärmestelle von dieser lokalen Station. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Leitungsweg von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; TEMPERIEREN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; SPÜLEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
91	F111	B4	f83r	f83r.25	B4-S003	2	319|320	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E319:6f7ff8287eddf4da9fdb > E320:90bcf0a9ec0ef56399e6	E319=Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. | E320=Führe die Charge innerhalb dieser Station zum bezeichneten unteren Ablauf.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. Führe die Charge innerhalb dieser Station zum bezeichneten unteren Ablauf.	"{""EXEMPLAR_ONLY"": 2}"	0.38	0.400	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Filter lösen. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Leitungsöffnung ausstreichen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
92	F112	B4	f83r	f83r.26	B4-S003	5	321|322|323|324|325	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E321:faf321940aed922846a9 > E322:0275fbf14e07935b0a45 > E323:276a7c2d74d1143446f4 > E324:dcda95c81a5460feb191 > E325:bc4f1f5c006c74a4d26d	E321=Wähle einen Anteil ausschließlich innerhalb dieses Records aus. | E322=Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. | E323=Gebrauche den gefilterten Waschposten an der bezeichneten äußeren Haut- oder Wundstelle. | E324=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E325=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Wähle einen Anteil ausschließlich innerhalb dieses Records aus. Temperiere die Charge für den vorgesehenen örtlichen Gebrauch. Gebrauche den gefilterten Waschposten an der bezeichneten äußeren Haut- oder Wundstelle. Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 3, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.580	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Teilcharge aus B4:F112. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: aktive Charge an der Wärmestelle von dieser lokalen Station. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: aktive Charge an technischem Stationsziel F112. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: aktive Charge/Rücklauf des Feldes F112. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Wärmequelle am Becken anlegen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANTEIL? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; TEMPERIEREN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; ANWENDEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
93	F113	B4	f83r	f83r.26	B4-S004	1	326	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E326:eb2e4bc143f623ee03ac	E326=Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den örtlichen Schritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den örtlichen Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Rücklaufleitung öffnen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
94	F114	B4	f83r	f83r.27	B4-S005	3	327|328|329	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E327:53cd0637c6820ba5e91f > E328:6f7ff8287eddf4da9fdb > E329:7d25241b0e56c836372a	E327=Führe den lokalen Posten durch ein Tuch. | E328=Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. | E329=Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den örtlichen Schritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Führe den lokalen Posten durch ein Tuch. Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den örtlichen Schritt.	"{""EXEMPLAR_ONLY"": 2, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Filtertuch oder Sieb einsetzen. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Charge durch den Filter führen. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Rückstand vom Filter abnehmen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
95	F115	B4	f83r	f83r.27	B4-S006	1	330	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E330:d68bc8de3bcee09db23c	E330=Seihe den lokalen Posten einmal durch ein Tuch und beende den Schritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Seihe den lokalen Posten einmal durch ein Tuch und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Filter lösen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
96	F116	B4	f83r	f83r.27	B4-S007	1	331	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E331:d68bc8de3bcee09db23c	E331=Seihe den lokalen Posten einmal durch ein Tuch und beende den Schritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Seihe den lokalen Posten einmal durch ein Tuch und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Spülwasser zuführen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
97	F117	B4	f83r	f83r.28	B4-S008	4	332|333|334|335	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E332:2f1c5e56e8f0ff459065 > E333:2c1a5fd92b9e3c762242 > E334:92e43836d82f98bf02d3 > E335:7db18b2f0fb7ed0fcfd3	E332=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E333=Gebrauche oder halte den örtlichen Posten, solange er noch warm ist. | E334=Verwende die erste, im Exemplar bezeichnete Öffnung dieser Station. | E335=Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Gebrauche oder halte den örtlichen Posten, solange er noch warm ist. Verwende die erste, im Exemplar bezeichnete Öffnung dieser Station. Spüle die bezeichnete Stelle oder den lokalen Lauf mit der aktiven Waschflotte.	"{""EXEMPLAR_ONLY"": 2, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2}"	0.38	0.500	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Mengenbuch=B4:F117:M. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Leitung bis zum klaren Lauf spülen. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Spülrest getrennt auffangen. Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Leitungsweg von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; MASS? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; SPÜLEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
98	F118	B4	f83r	f83r.28	B4-S009	1	336	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E336:bc4f1f5c006c74a4d26d	E336=Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Lasse den lokalen Posten bis zum bezeichneten Bereitschaftszustand stehen und beende den Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Rücklaufleitung öffnen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
99	F119	B4	f83r	f83r.28	B4-S010	1	337	B4_MAIN_ARCH_LINKED_PAIR	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	beide Endstationen teilen einen sichtbaren Bogen, aber keinen Pfeil	E337:1b1ffdd869fb1429ad03	E337=Erwärme den Bade- oder Waschzusatz sanft und beende den örtlichen Arbeitsschritt.	An derselben lokalen Station [B4_MAIN_ARCH_LINKED_PAIR]: Erwärme den Bade- oder Waschzusatz sanft und beende den örtlichen Arbeitsschritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.420	gemeinsame Paarstation für Tuch-, Wasch- und Temperieranwendungen	gekoppeltes Beckenpaar für Filtern, Spülen und Ablassen	zwei getrennte Figuren mit dekorativem Bogen	Badehausbetrieb an [B4_MAIN_ARCH_LINKED_PAIR]: Vorratscharge bereitstellen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
100	F120	B4	f83r	f83r.35	B4-S011	5	338|339|340|341|342	B4_MAIN_LEFT_OPEN_FRINGE_STATION	DIRECT_VISIBLE	RESET_AT_V71_SCENE_GAP	gefüllter Unterlauf setzt am linken Gefäß an und endet mehrfach offen	E338:2f1c5e56e8f0ff459065 > E339:d904bf7b044dd3922781 > E340:daf32e6db9e04413ce7f > E341:1645e612504fcef59ced > E342:6f7ff8287eddf4da9fdb	E338=Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. | E339=Halte die lokale Charge bei sanfter Wärme. | E340=Verwende das breite Gefäß dieser lokalen Station. | E341=Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. | E342=Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist.	Setze den lokalen Besitzer [B4_MAIN_LEFT_OPEN_FRINGE_STATION] (linke Hauptstation mit blauem Unterlauf und offenen Fransen): Bemesse den aktiven Bade- oder Waschposten nach der örtlichen Vorschrift. Halte die lokale Charge bei sanfter Wärme. Verwende das breite Gefäß dieser lokalen Station. Gib einen abgemessenen Anteil in das örtlich bezeichnete Gefäß. Rühre den lokalen Bade- oder Waschposten, bis er gleichmäßig vermischt ist.	"{""EXEMPLAR_ONLY"": 4, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.48	0.520	linker örtlicher Wasch-/Auslassposten am offenen Fransenende	linker Beckenrand- oder Ablaufposten	ornamentaler Schweif statt Auslass	Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Mengenbuch=B4:F120:M. Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Restcharge zurückführen. Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: vorigen Arbeitsstand aufnehmen. Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Rückgabe an die Vorstation buchen. Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Rücklaufleitung öffnen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; MASS? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
101	F121	B4	f83r	f83r.37	B4-S011	2	343|344	B4_MAIN_LEFT_OPEN_FRINGE_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	gefüllter Unterlauf setzt am linken Gefäß an und endet mehrfach offen	E343:dcda95c81a5460feb191 > E344:b958a512ca6a3559e86e	E343=Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. | E344=Wasche den bezeichneten Bereich zweimal und beende den örtlichen Schritt.	An derselben lokalen Station [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Führe den aktiven Posten ausschließlich innerhalb dieses Records weiter. Wasche den bezeichneten Bereich zweimal und beende den örtlichen Schritt.	"{""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.42	0.520	linker örtlicher Wasch-/Auslassposten am offenen Fransenende	linker Beckenrand- oder Ablaufposten	ornamentaler Schweif statt Auslass	Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: aktive Charge/Rücklauf des Feldes F121. Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Charge in den Sammellauf ablassen.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN bleibt eine formale Slotanweisung, keine Übersetzung. Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
102	F122	B4	f83r	f83r.37	B4-S012	1	345	B4_MAIN_LEFT_OPEN_FRINGE_STATION	INHERITED_VISIBLE	CARRY_WITHIN_LOCAL_STATION	gefüllter Unterlauf setzt am linken Gefäß an und endet mehrfach offen	E345:de7321bface5628e35d6	E345=Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	An derselben lokalen Station [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Lasse die verbrauchte Flüssigkeit in den örtlichen Auffang- oder Auslassbereich ab.	"{""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.58	0.580	linker örtlicher Wasch-/Auslassposten am offenen Fransenende	linker Beckenrand- oder Ablaufposten	ornamentaler Schweif statt Auslass	Badehausbetrieb an [B4_MAIN_LEFT_OPEN_FRINGE_STATION]: Unterlauf von dieser lokalen Station.	Stoff, Heilindikation und konkrete Handlung stammen aus dem Masterexemplar, nicht aus der Bildkontur; jede Richtung gilt nur innerhalb dieser Station; Pfeil und globaler Seitenfluss fehlen; ABLASSEN? bleibt ein unsicherer Ganzkarten-Merksatz, keine Wortbedeutung; der Schlussmarker stützt nur den Feldabschluss.	NONE	COMPLETE_LOCAL_FIELD_EXPANSION_NOT_TRANSLATION
