surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
qopaiin	1	f66r	CARRIER_Q+O+P+AIIN	1	100	1	CARRIER_Q+O+P+AIIN	1	CARRIER_Q+O+P+AIIN	1	CARRIER_Q+O+P+AIIN	CARRIER_Q+O+P+AIIN | O+P+AIIN | CARRIER_Q+O+P+A_ADDR+AIIN | O+P+E+AIIN | O+P+A_ADDR+AIIN	1.500641689	2.829545998	3.495829699	1.658776081	1.500641689	2.829545998	3.495829699	1.658776081	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qotchoiin	1	f4r	OT+CH+O+IIN	1	100	2	OT+O+IIN	1	OT+CH+O+IIN	1	OT+CH+O+IIN	OT+CH+O+IIN | OT+O+IIN | CARRIER_Q+OT+CH+O+IIN | OT+CH+O+AIIN | OT+LOCAL_C+O+IIN	1.225453305	2.916363790	3.318935232	2.074482961	1.225453305	2.916363790	3.318935232	2.074482961	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qotedal	1	f66r	OT+E+AL	1	100	1	OT+E+AL	1	OT+E+AL	1	OT+E+AL	OT+E+AL | OT+E+D_ADDR+AL | OT+AL | CARRIER_Q+OT+E+AL | CARRIER_Q+OT+E+D_ADDR+AL	1.517524320	2.574153015	3.095217509	1.659258583	1.517524320	2.574153015	3.095217509	1.659258583	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qoteeod	1	f66r	OT+EE+O+D_ADDR	1	84	1	OT+EE+O+D_ADDR	1	OT+EE+O+D_ADDR	1	OT+EE+O+D_ADDR	OT+EE+O+D_ADDR | CARRIER_Q+OT+EE+O+D_ADDR | OT+CH+EE+O+D_ADDR | OT+EE+S+O+D_ADDR | O+OT+EE+D_ADDR	0.786623866	2.728342025	3.370002403	0.939082477	0.786623866	2.728342025	3.370002403	0.939082477	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qoteoly	1	f66r	OT+E+OL+Y	1	29	1	OT+E+OL+Y	1	OT+E+OL+Y	1	OT+E+OL+Y	OT+E+OL+Y | CARRIER_Q+OT+E+OL+Y | OT+E+D_ADDR+OL+Y | OT+E+O+L+Y | O+E+OL+Y	0.843148735	2.254750828	3.107799395	0.977212490	0.843148735	2.254750828	3.107799395	0.977212490	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
qotesy	1	f66r	OT+E+S+Y	0	21	1	OT+E+S+Y	1	OT+E+S+Y	1	OT+E+S+Y	OT+E+S+Y | OT+E+Y | CARRIER_Q+OT+E+S+Y | OT+E+D_ADDR+S+Y | CARRIER_Q+OT+E+Y	1.124098326	0.000000000	0.000000000	1.124098326	1.124098326	0.000000000	0.000000000	1.124098326	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
rals	1	f66r	R+AL+S	0	29	2	R+A_ADDR+L	1	R+AL+S	1	R+AL+S	R+AL+S | R+A_ADDR+L | AR+AL+S | R+AL+SH | AR+L	1.407615421	0.000000000	0.000000000	2.100762601	1.407615421	0.000000000	0.000000000	2.100762601	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
raral	1	f66r	R+AR+AL	0	64	1	R+AR+AL	1	R+AR+AL	1	R+AR+AL	R+AR+AL | AR+R+AL | R+D_ADDR+AR+AL | AR+AR+AL | D_ADDR+AR+R+AL	1.281683437	0.000000000	0.000000000	1.281683437	1.281683437	0.000000000	0.000000000	1.281683437	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
rary	1	f66r	R+AR+Y	0	13	1	R+AR+Y	1	R+AR+Y	1	R+AR+Y	R+AR+Y | AR+R+Y | AR+AR+Y | R+D_ADDR+AR+Y | R+A_ADDR+AR+Y	0.823416049	0.000000000	0.000000000	0.823416049	0.823416049	0.000000000	0.000000000	0.823416049	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
rotaiin	1	f66r	R+OT+AIIN	1	100	1	R+OT+AIIN	1	R+OT+AIIN	1	R+OT+AIIN	R+OT+AIIN | AR+OT+AIIN | OR+T+AIIN | R+OT+IIN | R+OT+AIN	1.029873526	3.068458207	3.298415943	1.189045379	1.029873526	3.068458207	3.298415943	1.189045379	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
saiis	1	f31r	S+IIN+S	1	64	4	S+A_ADDR+IIN+S	1	S+IIN+S	1	S+IIN+S	S+IIN+S | S+A_ADDR+IIN+S | S+AIIN+S | SH+IIN+S | S+LOCAL_CHAR_I+S	1.476931219	3.243629252	3.897899434	3.041763798	1.476931219	3.243629252	3.897899434	3.041763798	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
salf	1	f66r	S+AL+LOCAL_CHAR_F	0	10	1	S+AL+LOCAL_CHAR_F	1	S+AL+LOCAL_CHAR_F	1	S+AL+LOCAL_CHAR_F	S+AL+LOCAL_CHAR_F | SH+AL+LOCAL_CHAR_F | S+L+LOCAL_CHAR_F | S+A_ADDR+AL+LOCAL_CHAR_F | S+A_ADDR+L+LOCAL_CHAR_F	1.458622446	0.000000000	0.000000000	1.458622446	1.458622446	0.000000000	0.000000000	1.458622446	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
saly	1	f66r	S+AL+Y	0	8	1	S+AL+Y	1	S+AL+Y	1	S+AL+Y	S+AL+Y | AL+Y | SH+AL+Y | S+A_ADDR+AL+Y | SH+A_ADDR+AL+Y	0.415978283	0.000000000	0.000000000	0.415978283	0.415978283	0.000000000	0.000000000	0.415978283	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shain	2	f20v|f4r	SH+AIN	2	55	1	SH+AIN	1	SH+AIN	1	SH+AIN	SH+AIN | S+SH+AIN | SH+A_ADDR+AIN | SH+SH+AIN | SH+AIN+IIN	0.312828625	2.686878375	3.465344978	0.466634209	0.312828625	2.686878375	3.465344978	0.466634209	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shckhar	1	f66r	SH+CH+K+AR	1	66	1	SH+CH+K+AR	1	SH+CH+K+AR	1	SH+CH+K+AR	SH+CH+K+AR | SH+CH+K+SH+AR | SH+LOCAL_C+K+AR | S+SH+CH+K+AR | SH+SH+CH+K+AR	1.204432923	3.024463146	3.371281234	1.364326532	1.204432923	3.024463146	3.371281234	1.364326532	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shckheody	1	f66r	SH+CH+K+E+O+DY	1	100	2	SH+CH+K+E+O+D_ADDR+Y	2	SH+CH+K+E+O+D_ADDR+Y	2	SH+CH+K+E+O+D_ADDR+Y	SH+CH+K+E+O+D_ADDR+Y | SH+CH+K+E+O+DY | SH+CH+K+E+O+Y | SH+CH+K+E+O+R | S+SH+CH+K+E+O+DY	2.048029353	2.198945144	2.962870980	2.870221937	2.652171289	2.491559760	3.014061726	2.789811826	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shd	1	f20v	SH+D_ADDR	1	8	1	SH+D_ADDR	1	SH+D_ADDR	1	SH+D_ADDR	SH+D_ADDR | O+D_ADDR | SH+CHD | S+D_ADDR | S+SH+D_ADDR	0.724967054	2.977830565	3.559736792	0.888406238	0.724967054	2.977830565	3.559736792	0.888406238	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shddy	1	f66r	SH+D_ADDR+DY	1	32	1	SH+D_ADDR+DY	2	SH+D_ADDR+Y	2	SH+D_ADDR+Y	SH+D_ADDR+Y | SH+D_ADDR+DY | SH+D_ADDR+D_ADDR+Y | SH+CHD+D_ADDR+Y | O+D_ADDR+Y	2.637169899	2.764759424	3.661195514	2.797818773	0.938288299	3.000125862	3.509079290	2.199630717	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shedshey	1	f31r	SH+E+D_ADDR+SH+E+Y	1	83	1	SH+E+D_ADDR+SH+E+Y	1	SH+E+D_ADDR+SH+E+Y	1	SH+E+D_ADDR+SH+E+Y	SH+E+D_ADDR+SH+E+Y | SH+E+SH+E+Y | SH+CHD+SH+E+Y | SH+D_ADDR+SH+E+E+Y | SH+E+CHD+SH+E+Y	1.709398987	2.052351838	2.658480521	1.827169796	1.709398987	2.052351838	2.658480521	1.827169796	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shee	1	f31r	SH+EE	1	10	1	SH+EE	1	SH+EE	1	SH+EE	SH+EE | SH+SH+EE | S+SH+EE | SH+E+E | S+EE	0.795923740	2.942324407	3.216779360	0.949901334	0.795923740	2.942324407	3.216779360	0.949901334	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
sheeody	1	f31r	SH+EE+O+D_ADDR+Y	1	57	1	SH+EE+O+D_ADDR+Y	1	SH+EE+O+D_ADDR+Y	1	SH+EE+O+D_ADDR+Y	SH+EE+O+D_ADDR+Y | SH+EE+O+DY | SH+EE+O+Y | SH+SH+EE+O+DY | S+SH+EE+O+DY	2.811975340	2.090532485	2.545500256	2.927876159	2.811975340	2.090532485	2.545500256	2.927876159	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekair	1	f66r	SH+E+K+AIR	1	100	2	SH+K+AIR	1	SH+E+K+AIR	1	SH+E+K+AIR	SH+E+K+AIR | SH+K+AIR | SH+E+AIR | S+SH+E+K+AIR | SH+SH+E+K+AIR	1.954863311	2.776163591	3.112291613	2.795221871	1.954863311	2.776163591	3.112291613	2.795221871	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekaly	1	f66r	SH+E+K+AL+Y	1	92	1	SH+E+K+AL+Y	1	SH+E+K+AL+Y	1	SH+E+K+AL+Y	SH+E+K+AL+Y | SH+E+Y+K+AL | SH+K+AL+Y | S+SH+E+K+AL+Y | SH+E+AL+Y	1.457663929	2.342801765	2.979086747	1.590711141	1.457663929	2.342801765	2.979086747	1.590711141	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekeefy	1	f66r	SH+E+K+EE+LOCAL_CHAR_F+Y	1	100	3	SH+E+K+E+D_ADDR+Y	2	SH+E+K+EE+Y	2	SH+E+K+EE+Y	SH+E+K+EE+Y | SH+E+K+EE+LOCAL_CHAR_F+Y | SH+E+K+E+D_ADDR+Y | SH+SH+E+K+EE+Y | S+SH+E+K+EE+Y	2.555994651	2.666773047	3.594665531	3.811142904	2.338138937	2.019374214	2.915724927	3.154663596	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekeey	1	f31r	SH+E+K+EE+Y	1	49	1	SH+E+K+EE+Y	1	SH+E+K+EE+Y	1	SH+E+K+EE+Y	SH+E+K+EE+Y | SH+E+Y+K+EE | S+SH+E+K+EE+Y | SH+SH+E+K+EE+Y | SH+K+EE+Y	1.080041977	1.932631081	2.761957224	1.197406684	1.080041977	1.932631081	2.761957224	1.197406684	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekey	1	f66r	SH+E+K+E+Y	1	21	1	SH+E+K+E+Y	1	SH+E+K+E+Y	1	SH+E+K+E+Y	SH+E+K+E+Y | SH+SH+E+K+E+Y | S+SH+E+K+E+Y | SH+K+E+Y | SH+CH+K+E+E+Y	0.906280601	1.958170076	2.487816966	1.017430277	0.906280601	1.958170076	2.487816966	1.017430277	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shekol	1	f66r	SH+E+K+OL	1	62	1	SH+E+K+OL	1	SH+E+K+OL	1	SH+E+K+OL	SH+E+K+OL | SH+K+OL | SH+SH+E+K+OL | S+SH+E+K+OL | SH+E+K+O+L	1.141371310	2.281313297	3.055025669	1.274779784	1.141371310	2.281313297	3.055025669	1.274779784	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
sheocthy	1	f66r	SH+E+O+CH+T+Y	1	40	1	SH+E+O+CH+T+Y	1	SH+E+O+CH+T+Y	1	SH+E+O+CH+T+Y	SH+E+O+CH+T+Y | SH+SH+E+O+CH+T+Y | S+SH+E+O+CH+T+Y | SH+E+O+D_ADDR+CH+T+Y | SH+E+CH+O+CH+T+Y	0.660456151	1.951713688	2.785248849	0.778880214	0.660456151	1.951713688	2.785248849	0.778880214	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
sheod	1	f66r	SH+E+O+D_ADDR	1	21	1	SH+E+O+D_ADDR	1	SH+E+O+D_ADDR	1	SH+E+O+D_ADDR	SH+E+O+D_ADDR | SH+E+O | S+SH+E+O+D_ADDR | SH+SH+E+O+D_ADDR | SH+E+O+D_ADDR+D_ADDR	0.507343508	2.082824593	2.914392207	0.632273928	0.507343508	2.082824593	2.914392207	0.632273928	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
sheodaiin	1	f66r	SH+E+O+D_ADDR+AIIN	1	100	1	SH+E+O+D_ADDR+AIIN	1	SH+E+O+D_ADDR+AIIN	1	SH+E+O+D_ADDR+AIIN	SH+E+O+D_ADDR+AIIN | SH+E+O+AIIN | SH+SH+E+O+D_ADDR+AIIN | SH+E+O+D_ADDR+D_ADDR+AIIN | S+SH+E+O+D_ADDR+AIIN	1.006584065	2.398475099	2.779478775	1.136032911	1.006584065	2.398475099	2.779478775	1.136032911	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
sheoy	1	f20v	SH+E+O+Y	1	5	1	SH+E+O+Y	1	SH+E+O+Y	1	SH+E+O+Y	SH+E+O+Y | S+SH+E+O+Y | SH+SH+E+O+Y | SH+E+O+D_ADDR+Y | S+E+O+Y	0.451703513	1.784495111	2.729212423	0.564546201	0.451703513	1.784495111	2.729212423	0.564546201	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shofol	1	f66r	SH+O+LOCAL_CHAR_F+OL	1	12	1	SH+O+LOCAL_CHAR_F+OL	1	SH+O+LOCAL_CHAR_F+OL	1	SH+O+LOCAL_CHAR_F+OL	SH+O+LOCAL_CHAR_F+OL | SH+SH+O+LOCAL_CHAR_F+OL | S+SH+O+LOCAL_CHAR_F+OL | S+O+LOCAL_CHAR_F+OL | SH+O+LOCAL_CHAR_F+O+L	1.615130743	2.783564492	3.320348868	1.767728577	1.615130743	2.783564492	3.320348868	1.767728577	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shokaiir	1	f66r	SH+OK+IIN+R	1	100	1	SH+OK+IIN+R	1	SH+OK+IIN+R	1	SH+OK+IIN+R	SH+OK+IIN+R | SH+OK+AIIN+R | SH+OK+CH+IIN+R | OK+CH+IIN+R | SH+OK+AIR	2.967381557	3.356700324	3.636572553	3.142213379	2.967381557	3.356700324	3.636572553	3.142213379	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
sholfordaiin	1	f66r	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	1	100	2	SH+OL+LOCAL_CHAR_F+OR+AIIN	1	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	1	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN | SH+OL+LOCAL_CHAR_F+OR+AIIN | SH+OL+LOCAL_CHAR_F+OR+DA+AIIN | SH+OL+D_ADDR+LOCAL_CHAR_F+OR+AIIN | SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN+IIN	2.640435913	3.182996346	3.510147328	3.500911686	2.640435913	3.182996346	3.510147328	3.500911686	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shso	1	f31r	SH+S+O	1	13	1	SH+S+O	1	SH+S+O	1	SH+S+O	SH+S+O | S+S+O | SH+S+OT | SH+S+O+LOCAL_CHAR_I | SH+SH+S+O	0.880225677	3.187076172	3.614073323	1.050254414	0.880225677	3.187076172	3.614073323	1.050254414	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shtchy	1	f4r	SH+T+CH+Y	1	27	2	SH+T+Y	1	SH+T+CH+Y	1	SH+T+CH+Y	SH+T+CH+Y | SH+T+Y | SH+T+LOCAL_C+Y | SH+Y+T | S+T+CH+Y	1.856909551	2.778037085	3.254790264	2.700877415	1.856909551	2.778037085	3.254790264	2.700877415	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shyshol	1	f4r	SH+Y+SH+OL	1	74	2	Y+SH+OL	2	Y+SH+OL	2	Y+SH+OL	Y+SH+OL | SH+Y+SH+OL | SH+Y+OL | Y+SH+SH+OL | SH+Y+SH+OL+D_ADDR	1.703738608	2.997278640	3.305719236	2.554460736	2.051680776	2.886880498	3.121387761	2.201887482	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
shytchy	1	f4r	SH+Y+T+CH+Y	1	60	2	SH+Y+T+Y	2	SH+Y+T+Y	2	SH+Y+T+Y	SH+Y+T+Y | SH+Y+T+CH+Y | Y+T+Y | SH+Y+T+LOCAL_C+Y | Y+T+CH+Y	1.725123603	2.782579851	3.436454747	2.573746649	1.671909838	2.451688594	3.209069625	1.813428793	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
soaiin	1	f20v	S+O+AIIN	1	100	1	S+O+AIIN	1	S+O+AIIN	1	S+O+AIIN	S+O+AIIN | SH+O+AIIN | S+O+AIIN+IIN | S+O+A_ADDR+AIIN | S+OT+AIIN	1.114072828	2.843403412	3.369393613	1.269392753	1.114072828	2.843403412	3.369393613	1.269392753	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tcheo	1	f66r	T+CH+E+O	1	7	1	T+CH+E+O	1	T+CH+E+O	1	T+CH+E+O	T+CH+E+O | T+LOCAL_C+E+O | T+E+O | T+CH+SH+E+O | T+CHD+O	0.744128761	2.683774031	3.062731181	0.887791391	0.744128761	2.683774031	3.062731181	0.887791391	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tocpheey	1	f66r	T+O+CH+P+EE+Y	1	34	1	T+O+CH+P+EE+Y	1	T+O+CH+P+EE+Y	1	T+O+CH+P+EE+Y	T+O+CH+P+EE+Y | T+CH+P+EE+Y | T+O+CH+P+SH+EE+Y | OT+CH+P+EE+Y | T+CH+O+CH+P+EE+Y	2.119373223	2.764248329	3.312099480	2.271281918	2.119373223	2.764248329	3.312099480	2.271281918	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
todeeey	1	f66r	T+O+D_ADDR+EEE+Y	1	45	2	T+O+EEE+Y	1	T+O+D_ADDR+EEE+Y	1	T+O+D_ADDR+EEE+Y	T+O+D_ADDR+EEE+Y | T+O+EEE+Y | T+O+D_ADDR+EE+E+Y | T+O+D_ADDR+E+EE+Y | T+O+E+EE+Y	3.005210926	2.866641288	3.583029022	3.859599864	3.005210926	2.866641288	3.583029022	3.859599864	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tolchedy	1	f66r	T+OL+CHD+DY	1	100	1	T+OL+CHD+DY	1	T+OL+CHD+DY	1	T+OL+CHD+DY	T+OL+CHD+DY | T+OL+CHD+Y | T+OL+DY | T+OL+LOCAL_C+E+DY | T+OL+LOCAL_C+CHD+DY	2.480199390	2.673194315	3.095350855	2.624413019	2.480199390	2.673194315	3.095350855	2.624413019	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tolshy	1	f20v	T+OL+SH+Y	1	26	1	T+OL+SH+Y	1	T+OL+SH+Y	1	T+OL+SH+Y	T+OL+SH+Y | T+OL+Y | OT+L+SH+Y | T+OL+SH+SH+Y | T+O+L+SH+Y	1.756503469	3.031249489	3.390947927	1.917058404	1.756503469	3.031249489	3.390947927	1.917058404	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tosheo	1	f66r	T+O+SH+E+O	1	16	1	T+O+SH+E+O	1	T+O+SH+E+O	1	T+O+SH+E+O	T+O+SH+E+O | T+O+SH+E+O+D_ADDR | T+O+S+SH+E+O | T+O+SH+SH+E+O | T+SH+E+O+O	1.298468694	2.770929028	3.545104632	1.456369535	1.298468694	2.770929028	3.545104632	1.456369535	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tshokeody	1	f31r	T+SH+OK+E+O+D_ADDR+Y	1	100	1	T+SH+OK+E+O+D_ADDR+Y	1	T+SH+OK+E+O+D_ADDR+Y	1	T+SH+OK+E+O+D_ADDR+Y	T+SH+OK+E+O+D_ADDR+Y | SH+OK+E+O+D_ADDR+Y | T+OK+E+O+D_ADDR+Y | T+SH+OK+E+O+DY | T+SH+Y+OK+E+O+D_ADDR	3.284597908	2.530590555	2.824207255	3.418467853	3.284597908	2.530590555	2.824207255	3.418467853	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
tydy	1	f4r	T+Y+DY	1	9	1	T+Y+DY	1	T+Y+DY	1	T+Y+DY	T+Y+DY | Y+T+DY | T+Y+Y | Y+T+Y | T+Y+D_ADDR+Y	1.142628074	2.901059354	3.701491650	1.307691849	1.142628074	2.901059354	3.701491650	1.307691849	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
x	3	f66r	LOCAL_X	0	1	1	LOCAL_X	1	LOCAL_X	1	LOCAL_X	LOCAL_X	0.052938389	0.000000000	0.000000000	0.052938389	0.052938389	0.000000000	0.000000000	0.052938389	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
yches	1	f31r	Y+CH+E+S	1	24	1	Y+CH+E+S	1	Y+CH+E+S	1	Y+CH+E+S	Y+CH+E+S | Y+E+S | Y+S | Y+LOCAL_C+CH+E+S | Y+LOCAL_C+E+S	1.114455582	2.880599327	3.214686321	1.266837724	1.114455582	2.880599327	3.214686321	1.266837724	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ykeedar	1	f31r	Y+K+EE+D_ADDR+AR	1	81	1	Y+K+EE+D_ADDR+AR	1	Y+K+EE+D_ADDR+AR	1	Y+K+EE+D_ADDR+AR	Y+K+EE+D_ADDR+AR | Y+K+D_ADDR+AR | K+EE+D_ADDR+Y+AR | K+EE+Y+D_ADDR+AR | Y+K+EE+DA+AR	1.534456645	2.432205001	3.137818405	1.673707230	1.534456645	2.432205001	3.137818405	1.673707230	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ykeol	1	f66r	Y+K+E+OL	0	10	1	Y+K+E+OL	1	Y+K+E+OL	1	Y+K+E+OL	Y+K+E+OL | Y+OL+K+E | Y+K+E+O+L | Y+K+E+O+AL | Y+K+E+O+D_ADDR+L	0.623410568	0.000000000	0.000000000	0.623410568	0.623410568	0.000000000	0.000000000	0.623410568	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ykesho	1	f66r	Y+K+E+SH+O	1	9	1	Y+K+E+SH+O	1	Y+K+E+SH+O	1	Y+K+E+SH+O	Y+K+E+SH+O | Y+K+E+O | Y+K+E+S_ADDR+SH+O | Y+K+E+S_ADDR+O | Y+K+E+SH+SH+O	1.395335232	3.021352634	3.297087797	1.553296242	1.395335232	3.021352634	3.297087797	1.553296242	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
