injection_ordinal	slot_id	source_kind	source_event_or_card_id	reader_unit_kind	reader_unit_id	reader_unit_join_key	physical_page	register	locus	surface	raw_name_core	content_class	name_slot_in_label	gdt585_primary_default_de	gdt582_exact_legacy_default_de	gdt585_declared_legacy_alias_de	legacy_alias_reconciliation	strongest_rival_de	composition_atom_de	base_reader_source	primary_governor_key	guard
70	LOCAL_NAME:P1003-E0413:NAME_1	GDT581_NAME_SPAN	P1003-E0413	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0413	P1003-E0413	f88v	PHARMA	f88v.1	okalyd	yd	DRUG_OR_INGREDIENT_OBJECT	1	Honigvorrat	Honig	Honig	GDT585_DECLARED_ALIAS_EXACT	anderer Arzneivorrat im Gefäß	Bindemittelvorrat	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0413	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
71	LOCAL_NAME:P1003-E0414:NAME_1	GDT581_NAME_SPAN	P1003-E0414	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0414	P1003-E0414	f88v	PHARMA	f88v.2	cheocthy	cheo	DRUG_OR_INGREDIENT_OBJECT	1	dunkle Faserwurzeldroge	Essig	Essig	GDT585_DECLARED_ALIAS_EXACT	Essig als alter Werkstattalias	Faserwurzeltyp CHEO	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0414	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
72	LOCAL_NAME:P1003-E0415:NAME_1	GDT581_NAME_SPAN	P1003-E0415	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0415	P1003-E0415	f88v	PHARMA	f88v.3	cpheor	cphe	DRUG_OR_INGREDIENT_OBJECT	1	knollige Wurzeldroge mit Blatttrieb	Milch	Milch	GDT585_DECLARED_ALIAS_EXACT	Milch als alter Werkstattalias	Knollenwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0415	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
73	LOCAL_NAME:P1003-E0417:NAME_1	GDT581_NAME_SPAN	P1003-E0417	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0417	P1003-E0417	f88v	PHARMA	f88v.4	arody	ody	DRUG_OR_INGREDIENT_OBJECT	1	blühende Knollenwurzel	Bienenwachs	Bienenwachs	GDT585_DECLARED_ALIAS_EXACT	Bienenwachs als alter Werkstattalias	blühende Knollenwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0417	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
74	LOCAL_NAME:P1003-E0458:NAME_1	GDT581_NAME_SPAN	P1003-E0458	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0458	P1003-E0458	f88v	PHARMA	f88v.11	otoram	or	DRUG_OR_INGREDIENT_OBJECT	1	helle Wurzeldroge	Olivenöl	Olivenöl	GDT585_DECLARED_ALIAS_EXACT	Olivenöl als alter Werkstattalias	helle Wurzeldroge	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0458	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
75	LOCAL_NAME:P1003-E0459:NAME_1	GDT581_NAME_SPAN	P1003-E0459	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0459	P1003-E0459	f88v	PHARMA	f88v.12	otora	ora	DRUG_OR_INGREDIENT_OBJECT	1	mehrfingrige Blütenwurzel	Eiweiß	Eiweiß	GDT585_DECLARED_ALIAS_EXACT	Eiweiß als alter Werkstattalias	OTORA-Wurzelvariante	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0459	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
76	LOCAL_NAME:P1003-E0460:NAME_1	GDT581_NAME_SPAN	P1003-E0460	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0460	P1003-E0460	f88v	PHARMA	f88v.13	cheosdy	cheosdy	DRUG_OR_INGREDIENT_OBJECT	1	gebänderte Faserwurzel der CHEO-Familie	Eigelb	Eigelb	GDT585_DECLARED_ALIAS_EXACT	Eigelb als alter Werkstattalias	CHEO-Wurzelvariante	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0460	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
77	LOCAL_NAME:P1003-E0554:NAME_1	GDT581_NAME_SPAN	P1003-E0554	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0554	P1003-E0554	f88v	PHARMA	f88v.27	daramdal	d	DRUG_OR_INGREDIENT_OBJECT	1	Wurzeldroge	Wasser	Wasser	GDT585_DECLARED_ALIAS_EXACT	Wasser als alter Werkstattanker	Wurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0554	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
78	LOCAL_NAME:P1003-E0554:NAME_2	GDT581_NAME_SPAN	P1003-E0554	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0554	P1003-E0554	f88v	PHARMA	f88v.27	daramdal	am	DRUG_OR_INGREDIENT_OBJECT	2	Salbengrundlage	Schmalz	Schmalz	GDT585_DECLARED_ALIAS_EXACT	Schmalz	Salbengrundlage	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0554	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
79	LOCAL_NAME:P1003-E0555:NAME_1	GDT581_NAME_SPAN	P1003-E0555	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0555	P1003-E0555	f88v	PHARMA	f88v.28	otydary	y	DRUG_OR_INGREDIENT_OBJECT	1	Krautdroge	Wein	Wein	GDT585_DECLARED_ALIAS_EXACT	Wein als alter Werkstattanker	Kraut- oder Pflanzenform	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0555	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
80	LOCAL_NAME:P1003-E0555:NAME_2	GDT581_NAME_SPAN	P1003-E0555	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0555	P1003-E0555	f88v	PHARMA	f88v.28	otydary	y	DRUG_OR_INGREDIENT_OBJECT	2	Krautdroge	Wein	Wein	GDT585_DECLARED_ALIAS_EXACT	Wein als alter Werkstattanker	Kraut- oder Pflanzenform	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0555	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
81	LOCAL_NAME:P1003-E0556:NAME_1	GDT581_NAME_SPAN	P1003-E0556	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0556	P1003-E0556	f88v	PHARMA	f88v.29	otdordy	dordy	DRUG_OR_INGREDIENT_OBJECT	1	große Speicherwurzel	Butter	Butter	GDT585_DECLARED_ALIAS_EXACT	Butter als alter Werkstattalias	Speicherwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0556	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
82	LOCAL_NAME:P1003-E0557:NAME_1	GDT581_NAME_SPAN	P1003-E0557	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0557	P1003-E0557	f88v	PHARMA	f88v.30	dararda	d	DRUG_OR_INGREDIENT_OBJECT	1	Wurzeldroge	Wasser	Wasser	GDT585_DECLARED_ALIAS_EXACT	Wasser als alter Werkstattanker	Wurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0557	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
83	LOCAL_NAME:P1003-E0557:NAME_2	GDT581_NAME_SPAN	P1003-E0557	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0557	P1003-E0557	f88v	PHARMA	f88v.30	dararda	da	DRUG_OR_INGREDIENT_OBJECT	2	langblättrige Mutterpflanze DA	Mehl	Mehl	GDT585_DECLARED_ALIAS_EXACT	Mehl als alter Werkstattalias	Pflanzenname DA	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0557	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
84	LOCAL_NAME:P1008-E1039:NAME_1	GDT581_NAME_SPAN	P1008-E1039	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1039	P1008-E1039	f89r	PHARMA	f89r1.2	qkol	qk	DRUG_OR_INGREDIENT_OBJECT	1	große helle Speicherwurzel	Asche	Asche	GDT585_DECLARED_ALIAS_EXACT	Asche als alter Werkstattalias	helle Speicherwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1039	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
85	LOCAL_NAME:P1008-E1040:NAME_1	GDT581_NAME_SPAN	P1008-E1040	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1040	P1008-E1040	f89r	PHARMA	f89r1.3	oldam	d	DRUG_OR_INGREDIENT_OBJECT	1	Wurzeldroge	Wasser	Wasser	GDT585_DECLARED_ALIAS_EXACT	Wasser als alter Werkstattanker	Wurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1040	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
86	LOCAL_NAME:P1008-E1041:NAME_1	GDT581_NAME_SPAN	P1008-E1041	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1041	P1008-E1041	f89r	PHARMA	f89r1.4	otoldy	dy	DRUG_OR_INGREDIENT_OBJECT	1	blühende Wurzeldroge	Kalk	Kalk	GDT585_DECLARED_ALIAS_EXACT	Kalk als alter Werkstattalias	Wurzel mit Krautform	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1041	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
87	LOCAL_NAME:P1008-E1042:NAME_1	GDT581_NAME_SPAN	P1008-E1042	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1042	P1008-E1042	f89r	PHARMA	f89r1.5	ararchodaiin	cho	DRUG_OR_INGREDIENT_OBJECT	1	zweifarbige Langwurzel	Schwefel	Schwefel	GDT585_DECLARED_ALIAS_EXACT	Schwefel als alter Werkstattalias	zweifarbige Langwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1042	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
88	LOCAL_NAME:P1008-E1093:NAME_1	GDT581_NAME_SPAN	P1008-E1093	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1093	P1008-E1093	f89r	PHARMA	f89r1.13	otorain	or	DRUG_OR_INGREDIENT_OBJECT	1	helle Wurzeldroge	Olivenöl	Olivenöl	GDT585_DECLARED_ALIAS_EXACT	Olivenöl als alter Werkstattalias	helle Wurzeldroge	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1093	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
89	LOCAL_NAME:P1008-E1175:NAME_1	GDT581_NAME_SPAN	P1008-E1175	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1175	P1008-E1175	f89r	PHARMA	f89r1.24	ykocfhy	yko	DRUG_OR_INGREDIENT_OBJECT	1	Arzneivorrat	Alaun	Alaun	GDT585_DECLARED_ALIAS_EXACT	Alaunvorrat	Gefäßvorrat	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1175	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
90	LOCAL_NAME:P1008-E1176:NAME_1	GDT581_NAME_SPAN	P1008-E1176	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1176	P1008-E1176	f89r	PHARMA	f89r1.25	saldam	s	DRUG_OR_INGREDIENT_OBJECT	1	Blattdroge	Salz	Salz	GDT585_DECLARED_ALIAS_EXACT	Salz als alter Werkstattanker	Blatt oder Kraut	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1176	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
91	LOCAL_NAME:P1008-E1176:NAME_2	GDT581_NAME_SPAN	P1008-E1176	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1176	P1008-E1176	f89r	PHARMA	f89r1.25	saldam	d	DRUG_OR_INGREDIENT_OBJECT	2	Wurzeldroge	Wasser	Wasser	GDT585_DECLARED_ALIAS_EXACT	Wasser als alter Werkstattanker	Wurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1176	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
92	LOCAL_NAME:P1008-E1177:NAME_1	GDT581_NAME_SPAN	P1008-E1177	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1177	P1008-E1177	f89r	PHARMA	f89r1.26	sydarary	sy	DRUG_OR_INGREDIENT_OBJECT	1	Blütenstand	Vitriol	Vitriol	GDT585_DECLARED_ALIAS_EXACT	Vitriol als alter Werkstattalias	Blütenstand	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1177	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
93	LOCAL_NAME:P1008-E1177:NAME_2	GDT581_NAME_SPAN	P1008-E1177	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1177	P1008-E1177	f89r	PHARMA	f89r1.26	sydarary	y	DRUG_OR_INGREDIENT_OBJECT	2	Krautdroge	Wein	Wein	GDT585_DECLARED_ALIAS_EXACT	Wein als alter Werkstattanker	Kraut- oder Pflanzenform	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1177	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
94	LOCAL_NAME:P1008-E1179:NAME_1	GDT581_NAME_SPAN	P1008-E1179	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1179	P1008-E1179	f89r	PHARMA	f89r2.1	odory	od	DRUG_OR_INGREDIENT_OBJECT	1	Harzvorrat	Harz	Harz	GDT585_DECLARED_ALIAS_EXACT	anderer Trockenvorrat im Gefäß	Harzvorrat	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1179	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
95	LOCAL_NAME:P1008-E1180:NAME_1	GDT581_NAME_SPAN	P1008-E1180	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1180	P1008-E1180	f89r	PHARMA	f89r2.2	doly	d	DRUG_OR_INGREDIENT_OBJECT	1	Wurzeldroge	Wasser	Wasser	GDT585_DECLARED_ALIAS_EXACT	Wasser als alter Werkstattanker	Wurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1180	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
96	LOCAL_NAME:P1008-E1181:NAME_1	GDT581_NAME_SPAN	P1008-E1181	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1181	P1008-E1181	f89r	PHARMA	f89r2.3	opchosam	opchos	DRUG_OR_INGREDIENT_OBJECT	1	lange Faserwurzel	Gummi arabicum	Gummi arabicum	GDT585_DECLARED_ALIAS_EXACT	Gummi arabicum als alter Werkstattalias	CHOS-Faserwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1181	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
97	LOCAL_NAME:P1008-E1182:NAME_1	GDT581_NAME_SPAN	P1008-E1182	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1182	P1008-E1182	f89r	PHARMA	f89r2.4	saloiinsheol	s	DRUG_OR_INGREDIENT_OBJECT	1	Blattdroge	Salz	Salz	GDT585_DECLARED_ALIAS_EXACT	Salz als alter Werkstattanker	Blatt oder Kraut	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1182	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
98	LOCAL_NAME:P1008-E1182:NAME_2	GDT581_NAME_SPAN	P1008-E1182	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1182	P1008-E1182	f89r	PHARMA	f89r2.4	saloiinsheol	oiin	DRUG_OR_INGREDIENT_OBJECT	2	Wurzelstock	Myrrhe	Myrrhe	GDT585_DECLARED_ALIAS_EXACT	Myrrhe als alter Werkstattalias	Wurzelstock	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1182	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
99	LOCAL_NAME:P1008-E1182:NAME_3	GDT581_NAME_SPAN	P1008-E1182	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1182	P1008-E1182	f89r	PHARMA	f89r2.4	saloiinsheol	e	DRUG_OR_INGREDIENT_OBJECT	3	breitblättrige Mutterpflanze E	Weihrauch	Weihrauch	GDT585_DECLARED_ALIAS_EXACT	Weihrauch als alter Werkstattalias	Pflanzenname E	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1182	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
100	LOCAL_NAME:P1008-E1228:NAME_1	GDT581_NAME_SPAN	P1008-E1228	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1228	P1008-E1228	f89r	PHARMA	f89r2.9	otold	d	DRUG_OR_INGREDIENT_OBJECT	1	Wurzeldroge	Wasser	Wasser	GDT585_DECLARED_ALIAS_EXACT	Wasser als alter Werkstattanker	Wurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1228	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
101	LOCAL_NAME:P1008-E1233:NAME_1	GDT581_NAME_SPAN	P1008-E1233	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1233	P1008-E1233	f89r	PHARMA	f89r2.11	opchoroiin	opchor	DRUG_OR_INGREDIENT_OBJECT	1	haarige Faserwurzel	Safranblüte	Safranblüte	GDT585_DECLARED_ALIAS_EXACT	Safranblüte als alter Werkstattalias	CHOR-Faserwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1233	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
102	LOCAL_NAME:P1008-E1300:NAME_1	GDT581_NAME_SPAN	P1008-E1300	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1300	P1008-E1300	f89r	PHARMA	f89r2.20	oporain	opor	DRUG_OR_INGREDIENT_OBJECT	1	helle Fingerwurzel	Pfefferkorn oder Samen	Pfefferkorn oder Samen	GDT585_DECLARED_ALIAS_EXACT	Pfefferkorn oder Samen als alter Werkstattalias	helle Fingerwurzel	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1300	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
103	LOCAL_NAME:P1008-E1301:NAME_1	GDT581_NAME_SPAN	P1008-E1301	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1301	P1008-E1301	f89r	PHARMA	f89r2.21	okshdchos	dchos	DRUG_OR_INGREDIENT_OBJECT	1	rote Fingerwurzel	Ingwerwurzel	Ingwerwurzel	GDT585_DECLARED_ALIAS_EXACT	Ingwerwurzel	CHOS-Fingerwurzel	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1301	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
104	LOCAL_NAME:P1008-E1409:NAME_1	GDT581_NAME_SPAN	P1008-E1409	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1409	P1008-E1409	f89r	PHARMA	f89r2.30	yorain	yor	DRUG_OR_INGREDIENT_OBJECT	1	Trockendroge	Zimtrinde	Zimtrinde	GDT585_DECLARED_ALIAS_EXACT	Zimtrinde	Rinden- oder Trockenvorrat	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1409	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
105	LOCAL_NAME:P1008-E1410:NAME_1	GDT581_NAME_SPAN	P1008-E1410	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1410	P1008-E1410	f89r	PHARMA	f89r2.31	ofakal	ak	DRUG_OR_INGREDIENT_OBJECT	1	rundblättrige Knollendroge	Gewürznelkenknospe	Gewürznelkenknospe	GDT585_DECLARED_ALIAS_EXACT	Gewürznelkenknospe als alter Werkstattalias	Knollendroge	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1410	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
106	LOCAL_NAME:P1008-E1412:NAME_1	GDT581_NAME_SPAN	P1008-E1412	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1412	P1008-E1412	f89r	PHARMA	f89r2.33	ytarem	yt	DRUG_OR_INGREDIENT_OBJECT	1	Blattdroge	Salbeiblatt	Salbeiblatt	GDT585_DECLARED_ALIAS_EXACT	Salbeiblatt	Blatt	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1412	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
107	LOCAL_NAME:P1008-E1412:NAME_2	GDT581_NAME_SPAN	P1008-E1412	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1412	P1008-E1412	f89r	PHARMA	f89r2.33	ytarem	em	DRUG_OR_INGREDIENT_OBJECT	2	grauwurzelige Mutterpflanze EM	Rautenblatt	Rautenblatt	GDT585_DECLARED_ALIAS_EXACT	Raute als Pflanzenidentität	Pflanzenname EM	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E1412	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
