patched_statement_ordinal	statement_id	physical_page	bath_action_count	object_patch_count	patched_event_ids	patched_host_keys	selected_object_sequence_de	gdt590_primary_reader_de	gdt592_primary_reader_de	guard
64	G407-S425	f81r	2	1	G407-E2857	ACTION:G407-E2857@1:SH	Badegut	"Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz und das Stationsmaß. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Beschicke oder bereite die Anwendungsportion vor. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Leite den Strom in Anwendungsform, auf der Anwendungsstufe und über den Stationskontakt oder die Leitung um. Wende von der Ausgangsstation oder aus dem Ausgangsbecken an. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2843@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E2852@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E2858@1:S: Y+Y → Strom|Strom (Multiset: Strom ×2)."	"Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz und das Stationsmaß. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Beschicke oder bereite die Anwendungsportion vor. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Leite den Strom in Anwendungsform, auf der Anwendungsstufe und über den Stationskontakt oder die Leitung um. Wende von der Ausgangsstation oder aus dem Ausgangsbecken an. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2843@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E2852@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E2858@1:S: Y+Y → Strom|Strom (Multiset: Strom ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
65	G407-S426	f81r	1	1	G407-E2863	ACTION:G407-E2863@1:SH	Badegut	"Halte im Bad auf Grad I. Entnimm oder lass ab. Wende den Stationsansatz an. Entnimm oder lass in Anwendungsform, auf Grad I, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung ab. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	"Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Wende den Stationsansatz an. Entnimm oder lass in Anwendungsform, auf Grad I, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung ab. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
66	G407-S427	f81r	1	1	G407-E2869	ACTION:G407-E2869@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
67	G407-S429	f81r	2	1	G407-E2881	ACTION:G407-E2881@1:SH	Badeinheit	"Beschicke oder bereite den Stationsansatz auf Grad I vor. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte die Badeinheit im Bad auf Grad I. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beschicke oder bereite den Stationsansatz auf Grad I vor. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte die Badeinheit im Bad auf Grad I. Halte dieselbe Badeinheit im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
68	G407-S433	f81r	1	1	G407-E2897	ACTION:G407-E2897@1:SH	Badegut	"Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor. Reguliere das Stationsmaß und den Stationsansatz. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Entnimm oder lass den Stationsansatz über den Stationskontakt oder die Leitung ab. Halte im Bad auf Grad II. Schließe den Arbeitsgang."	"Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken vor. Reguliere das Stationsmaß und den Stationsansatz. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Entnimm oder lass den Stationsansatz über den Stationskontakt oder die Leitung ab. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
69	G407-S434	f81r	1	1	G407-E2906	ACTION:G407-E2906@1:SH	Badegut	Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Entnimm oder lass über den Stationskontakt oder die Leitung ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Reguliere den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Fahre im selben Arbeitsgang fort. Führe das Stations- oder Badmaß über den Stationskontakt oder die Leitung zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Entnimm oder lass über den Stationskontakt oder die Leitung ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Reguliere den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Fahre im selben Arbeitsgang fort. Führe das Stations- oder Badmaß über den Stationskontakt oder die Leitung zu. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
70	G407-S436	f81r	2	1	G407-E2914	ACTION:G407-E2914@1:SH	Stationsansatz	Wähle die Stationseinheit aus. Fahre im selben Arbeitsgang fort. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Fahre im selben Arbeitsgang fort. Führe das Stations- oder Badmaß zu. Fahre im selben Arbeitsgang fort. Führe zu. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Wähle die Stationseinheit aus. Fahre im selben Arbeitsgang fort. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Fahre im selben Arbeitsgang fort. Führe das Stations- oder Badmaß zu. Fahre im selben Arbeitsgang fort. Führe zu. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
71	G407-S438	f81r	1	1	G407-E2917	ACTION:G407-E2917@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
72	G407-S442	f81v	1	1	G407-E2927	ACTION:G407-E2927@1:SH	Badegut	Halte im Bad auf Grad I. Führe an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken zu. Fahre im selben Arbeitsgang fort. Wende an. Behandle den Ansatz. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Führe an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken zu. Fahre im selben Arbeitsgang fort. Wende an. Behandle den Ansatz. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
73	G407-S443	f81v	2	2	G407-E2932|G407-E2934	ACTION:G407-E2932@1:SH|ACTION:G407-E2934@5:SH	Badegut→Stationsansatz	Halte im Bad auf Grad I. Führe die Anwendungsportion zu. Halte im Bad in Anwendungsform, auf Grad I, in Feinform, an der Stations-Hauptstelle und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zu. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Führe die Anwendungsportion zu. Halte den Stationsansatz im Bad in Anwendungsform, auf Grad I, in Feinform, an der Stations-Hauptstelle und über den Stationskontakt oder die Leitung. Führe den Stationsansatz zu. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
74	G407-S446	f81v	1	1	G407-E2952	ACTION:G407-E2952@1:SH	Badegut	Führe den Stationsansatz und die Anwendungsportion an der Stations-Arbeitsstelle zu. Halte im Bad auf Grad I. Führe zu. Behandle den Stationsansatz zur Zielstation oder ins Zielbecken. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	Führe den Stationsansatz und die Anwendungsportion an der Stations-Arbeitsstelle zu. Halte das zu badende Gut im Bad auf Grad I. Führe zu. Behandle den Stationsansatz zur Zielstation oder ins Zielbecken. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
75	G407-S449	f81v	1	1	G407-E2988	ACTION:G407-E2988@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt die Becken- oder Körpereinheit. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe das Stations- oder Badmaß zur Zielstation oder ins Zielbecken zu. Beschicke oder bereite das Stations- oder Badmaß auf Grad II und zur Zielstation oder ins Zielbecken vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Behandle den Ansatz. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt die Becken- oder Körpereinheit. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe das Stations- oder Badmaß zur Zielstation oder ins Zielbecken zu. Beschicke oder bereite das Stations- oder Badmaß auf Grad II und zur Zielstation oder ins Zielbecken vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Behandle den Ansatz. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
76	G407-S450	f81v	1	1	G407-E2997	ACTION:G407-E2997@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Führe den Stationsansatz und die Becken- oder Körpereinheit zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Führe den Stationsansatz und die Becken- oder Körpereinheit zu. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
77	G407-S451	f81v	1	1	G407-E2998	ACTION:G407-E2998@1:SH	Badegut	Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
78	G407-S457	f81v	1	1	G407-E3017	ACTION:G407-E3017@2:SH	Badegut	Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
79	G407-S458	f81v	3	1	G407-E3034	ACTION:G407-E3034@1:SH	Stationsansatz	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Führe den Stationsansatz auf Grad II zu. Beschicke oder bereite den Stationsansatz vor. Beschicke oder bereite den Stationsansatz vor. Führe den Stationsansatz über den Stationskontakt oder die Leitung zu. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz zu. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3020@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Führe den Stationsansatz auf Grad II zu. Beschicke oder bereite den Stationsansatz vor. Beschicke oder bereite den Stationsansatz vor. Führe den Stationsansatz über den Stationskontakt oder die Leitung zu. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz zu. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3020@2:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
80	G407-S465	f81v	1	1	G407-E3049	ACTION:G407-E3049@1:SH	Badegut	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
81	G407-S466	f81v	1	1	G407-E3051	ACTION:G407-E3051@1:SH	Badegut	Führe den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle zu. Halte im Bad auf Grad II. Führe den Stationsansatz und das Stations- oder Badmaß zu. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	Führe den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle zu. Halte das zu badende Gut im Bad auf Grad II. Führe den Stationsansatz und das Stations- oder Badmaß zu. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
82	G407-S468	f81v	2	1	G407-E3067	ACTION:G407-E3067@1:SH	Stationseinheit	Entnimm oder lass über den Stationskontakt oder die Leitung ab. Wende an. Behandle den Stationsansatz. Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Wähle die Einheit an der Stations-Hauptstelle aus. Halte den Zustand über den Stationskontakt oder die Leitung. Entnimm oder lass ab. Reguliere den Stationsansatz an der Stations-Arbeitsstelle. Behandle den Stationsansatz in Anwendungsform, in Feinform und als neuer Bad- oder Stationsansatz. Kennzeichne oder prüfe. Behandle den Stationsansatz. Reguliere den Stationsansatz und die Stationseinheit von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass über den Stationskontakt oder die Leitung ab. Wende an. Behandle den Stationsansatz. Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Wähle die Einheit an der Stations-Hauptstelle aus. Halte den Zustand über den Stationskontakt oder die Leitung. Entnimm oder lass ab. Reguliere den Stationsansatz an der Stations-Arbeitsstelle. Behandle den Stationsansatz in Anwendungsform, in Feinform und als neuer Bad- oder Stationsansatz. Kennzeichne oder prüfe. Behandle den Stationsansatz. Reguliere den Stationsansatz und die Stationseinheit von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte dieselbe Stationseinheit im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
83	G407-S469	f81v	2	1	G407-E3072	ACTION:G407-E3072@2:SH	Stationsansatz	Verwende für den vorangehenden Arbeitsschritt den Stationsansatz, in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Kennzeichne oder prüfe den Stationsansatz. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt den Stationsansatz, in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Kennzeichne oder prüfe den Stationsansatz. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
84	G407-S471	f81v	1	1	G407-E3079	ACTION:G407-E3079@1:SH	Badegut	Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
85	G407-S474	f81v	1	1	G407-E3090	ACTION:G407-E3090@1:SH	Badegut	Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Fahre im selben Arbeitsgang fort. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Fahre im selben Arbeitsgang fort. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
86	G407-S477	f81v	1	1	G407-E3097	ACTION:G407-E3097@1:SH	Badegut	Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
87	G407-S480	f81v	1	1	G407-E3109	ACTION:G407-E3109@2:SH	Stationsansatz	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Lass den Körper anschließend abkühlen. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Lass den Körper anschließend abkühlen. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
88	G407-S482	f81v	2	1	G407-E3115	ACTION:G407-E3115@2:SH	Stationsansatz	"Beginne danach den nächsten Arbeitsgang.

Halte die Anwendungsportion im Bad in Anwendungsform und über den Stationskontakt oder die Leitung. Beschicke oder bereite den Stationsansatz auf Grad I vor. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Halte die Anwendungsportion im Bad in Anwendungsform und über den Stationskontakt oder die Leitung. Beschicke oder bereite den Stationsansatz auf Grad I vor. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
89	G407-S483	f81v	1	1	G407-E3116	ACTION:G407-E3116@2:SH	Stationsansatz	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
90	G407-S485	f81v	1	1	G407-E3134	ACTION:G407-E3134@1:SH	Badegut	Behandle den Stationsansatz. Leite den Strom zur Zielstation oder ins Zielbecken um. Entnimm oder lass ab. Temperiere auf Grad I und an der Stations-Arbeitsstelle. Reguliere den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte den Zustand. Fahre im selben Arbeitsgang fort. Temperiere auf Grad I und als neuer Bad- oder Stationsansatz. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz und das Stations- oder Badmaß zu. Fahre im selben Arbeitsgang fort. Führe die Anwendungsportion zu. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Behandle den Stationsansatz. Leite den Strom zur Zielstation oder ins Zielbecken um. Entnimm oder lass ab. Temperiere auf Grad I und an der Stations-Arbeitsstelle. Reguliere den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte den Zustand. Fahre im selben Arbeitsgang fort. Temperiere auf Grad I und als neuer Bad- oder Stationsansatz. Entnimm oder lass den Stationsansatz ab. Führe den Stationsansatz und das Stations- oder Badmaß zu. Fahre im selben Arbeitsgang fort. Führe die Anwendungsportion zu. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
91	G407-S499	f82r	1	1	G407-E3205	ACTION:G407-E3205@1:SH	Badegut	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Führe über den Stationskontakt oder die Leitung zu. Behandle den Stationsansatz. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Führe über den Stationskontakt oder die Leitung zu. Behandle den Stationsansatz. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
92	G407-S501	f82r	1	1	G407-E3216	ACTION:G407-E3216@1:SH	Badegut	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
