component_recipe	action_head	action_value_de	grade_atoms	argument_atoms	dy_count	relation_atoms	canonical_slot_skeleton	clean_single_slot_recipe	event_count	register_count	registers	page_count	surfaces	portable_reading_de
OK+E+OL	OK	SETZEN	E	NONE	0	OL	OK|E|NONE|OPEN	YES	15	3	BIOLOGICAL|CELESTIAL|PHARMA	6	chokeol|okeol|okeolor|qokeol	SETZEN · GRAD I · FORTSETZEN
OK+E+OL+AIIN	OK	SETZEN	E	AIIN	0	OL	OK|E|AIIN|OPEN	YES	1	1	CELESTIAL	1	okeolaiin	SETZEN · GRAD I · FORTSETZEN · WERT
OK+E+OR	OK	SETZEN	E	OR	0	NONE	OK|E|OR|OPEN	YES	7	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	5	cheokor|okeor|qokeor	SETZEN · GRAD I · EINHEIT
OK+E+Y	OK	SETZEN	E	Y	0	NONE	OK|E|Y|OPEN	YES	27	3	BIOLOGICAL|CELESTIAL|PHARMA	8	okey|qokechy|qokey	SETZEN · GRAD I · POSTEN
OK+EE	OK	SETZEN	EE	NONE	0	NONE	OK|EE|NONE|OPEN	YES	1	1	CELESTIAL	1	okee	SETZEN · GRAD II
OK+EE+AL	OK	SETZEN	EE	NONE	0	AL	OK|EE|NONE|OPEN	YES	2	1	BIOLOGICAL	2	okeedal|qokeedal	SETZEN · GRAD II · ZIELORT
OK+EE+DY	OK	SETZEN	EE	NONE	1	NONE	OK|EE|NONE|CLOSE	YES	79	3	HERBAL|BIOLOGICAL|CELESTIAL	9	okeedy|qokeedy	SETZEN · GRAD II · SCHLUSS
OK+EE+DY+OL	OK	SETZEN	EE	NONE	1	OL	OK|EE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	okeedyqol	SETZEN · GRAD II · SCHLUSS · FORTSETZEN
OK+EE+D_ADDR	OK	SETZEN	EE	NONE	0	NONE	OK|EE|NONE|OPEN	YES	4	1	BIOLOGICAL	3	okeed|qokeed	SETZEN · GRAD II · HIER
OK+EE+O	OK	SETZEN	EE	NONE	0	NONE	OK|EE|NONE|OPEN	YES	2	2	BIOLOGICAL|CELESTIAL	2	okeeo|qokeeo	SETZEN · GRAD II · AUSFÜHRUNG
OK+EE+O+D_ADDR	OK	SETZEN	EE	NONE	0	NONE	OK|EE|NONE|OPEN	YES	1	1	HERBAL	1	qokeeod	SETZEN · GRAD II · AUSFÜHRUNG · HIER
OK+EE+O+D_ADDR+Y	OK	SETZEN	EE	Y	0	NONE	OK|EE|Y|OPEN	YES	3	1	CELESTIAL	2	okeeody|qokeeody	SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN
OK+EE+OL	OK	SETZEN	EE	NONE	0	OL	OK|EE|NONE|OPEN	YES	5	3	BIOLOGICAL|CELESTIAL|PHARMA	3	okeeol|qokeeol	SETZEN · GRAD II · FORTSETZEN
OK+EE+OR	OK	SETZEN	EE	OR	0	NONE	OK|EE|OR|OPEN	YES	1	1	BIOLOGICAL	1	okeeor	SETZEN · GRAD II · EINHEIT
OK+EE+Y	OK	SETZEN	EE	Y	0	NONE	OK|EE|Y|OPEN	YES	67	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	16	chokeey|okeeas|okeey|qokeey	SETZEN · GRAD II · POSTEN
OK+EE+Y+L	OK	SETZEN	EE	Y	0	L	OK|EE|Y|OPEN	YES	1	1	PHARMA	1	qokeeyl	SETZEN · GRAD II · POSTEN · VERBINDUNG
OK+EEE+DY	OK	SETZEN	EEE	NONE	1	NONE	OK|EEE|NONE|CLOSE	YES	2	2	BIOLOGICAL|CELESTIAL	2	qokeeedy	SETZEN · GRAD III · SCHLUSS
OK+EEE+Y	OK	SETZEN	EEE	Y	0	NONE	OK|EEE|Y|OPEN	YES	5	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	4	okeeey|qokeeey	SETZEN · GRAD III · POSTEN
OK+O	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	1	1	HERBAL	1	qoko	SETZEN · AUSFÜHRUNG
OK+O+AIIN	OK	SETZEN	NONE	AIIN	0	NONE	OK|NONE|AIIN|OPEN	YES	1	1	CELESTIAL	1	qokoaiin	SETZEN · AUSFÜHRUNG · WERT
OK+O+DY	OK	SETZEN	NONE	NONE	1	NONE	OK|NONE|NONE|CLOSE	YES	1	1	PHARMA	1	qokody	SETZEN · AUSFÜHRUNG · SCHLUSS
OK+O+D_ADDR	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	1	1	PHARMA	1	qokod	SETZEN · AUSFÜHRUNG · HIER
OK+O+D_ADDR+AIIN	OK	SETZEN	NONE	AIIN	0	NONE	OK|NONE|AIIN|OPEN	YES	1	1	HERBAL	1	okodaiin	SETZEN · AUSFÜHRUNG · HIER · WERT
OK+O+E+OR	OK	SETZEN	E	OR	0	NONE	OK|E|OR|OPEN	YES	1	1	HERBAL	1	okoeor	SETZEN · AUSFÜHRUNG · GRAD I · EINHEIT
OK+O+IIN	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	okoiin|qokoiin	SETZEN · AUSFÜHRUNG · STUFE
OK+O+Y	OK	SETZEN	NONE	Y	0	NONE	OK|NONE|Y|OPEN	YES	1	1	CELESTIAL	1	okochey	SETZEN · AUSFÜHRUNG · POSTEN
OK+OL	OK	SETZEN	NONE	NONE	0	OL	OK|NONE|NONE|OPEN	YES	27	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	15	chokchol|chokol|okchol|okol|qokchol|qokol	SETZEN · FORTSETZEN
OK+OL+DY	OK	SETZEN	NONE	NONE	1	OL	OK|NONE|NONE|CLOSE	YES	2	2	BIOLOGICAL|PHARMA	2	okoldy	SETZEN · FORTSETZEN · SCHLUSS
OK+OR	OK	SETZEN	NONE	OR	0	NONE	OK|NONE|OR|OPEN	YES	9	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	6	cheokeor|chokor|chokshor|okor|qokor	SETZEN · EINHEIT
OK+OR+OR+Y	OK	SETZEN	NONE	OR|OR|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	HERBAL	1	okorory	SETZEN · EINHEIT · EINHEIT · POSTEN
OK+Y	OK	SETZEN	NONE	Y	0	NONE	OK|NONE|Y|OPEN	YES	59	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	18	choky|okcheeg|okchey|okchy|okshy|oky|qokchy|qoky	SETZEN · POSTEN
OK+Y+L+D_ADDR+DY	OK	SETZEN	NONE	Y	1	L	OK|NONE|Y|CLOSE	YES	1	1	BIOLOGICAL	1	qokylddy	SETZEN · POSTEN · VERBINDUNG · HIER · SCHLUSS
OL+CH+E+O+DY	CH	NEHMEN	E	NONE	1	OL	CH|E|NONE|CLOSE	YES	3	2	CELESTIAL|PHARMA	3	olcheody|olcheol|olcheor	FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS
OL+CH+EE+DY	CH	NEHMEN	EE	NONE	1	OL	CH|EE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	olcheedy	FORTSETZEN · NEHMEN · GRAD II · SCHLUSS
OL+CH+Y	CH	NEHMEN	NONE	Y	0	OL	CH|NONE|Y|OPEN	YES	4	1	BIOLOGICAL	4	olchy|qolchy	FORTSETZEN · NEHMEN · POSTEN
OL+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	OL	CHD|NONE|NONE|CLOSE	YES	13	1	BIOLOGICAL	6	olchdy|olchedy|qolchedy	FORTSETZEN · BEARBEITEN · SCHLUSS
OL+K+AIIN	K	GEBEN	NONE	AIIN	0	OL	K|NONE|AIIN|OPEN	YES	3	2	HERBAL|BIOLOGICAL	3	olkaiin|solkaiin	FORTSETZEN · GEBEN · WERT
OL+K+AIN	K	GEBEN	NONE	AIN	0	OL	K|NONE|AIN|OPEN	YES	5	2	HERBAL|BIOLOGICAL	4	olkain|qolkain	FORTSETZEN · GEBEN · ANTEIL
OL+K+AL	K	GEBEN	NONE	NONE	0	OL|AL	K|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	olkal	FORTSETZEN · GEBEN · ZIELORT
OL+K+AR	K	GEBEN	NONE	NONE	0	OL|AR	K|NONE|NONE|OPEN	YES	3	2	HERBAL|BIOLOGICAL	3	olkar	FORTSETZEN · GEBEN · AUSGANG
OL+K+AR+Y	K	GEBEN	NONE	Y	0	OL|AR	K|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	qolkary	FORTSETZEN · GEBEN · AUSGANG · POSTEN
OL+K+E+DY	K	GEBEN	E	NONE	1	OL	K|E|NONE|CLOSE	YES	6	1	BIOLOGICAL	4	olkedy	FORTSETZEN · GEBEN · GRAD I · SCHLUSS
OL+K+E+OL	K	GEBEN	E	NONE	0	OL|OL	K|E|NONE|OPEN	YES	3	1	BIOLOGICAL	3	olkeol|olsheol	FORTSETZEN · GEBEN · GRAD I · FORTSETZEN
OL+K+E+Y	K	GEBEN	E	Y	0	OL	K|E|Y|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	olkey|solkey	FORTSETZEN · GEBEN · GRAD I · POSTEN
OL+K+EE+DY	K	GEBEN	EE	NONE	1	OL	K|EE|NONE|CLOSE	YES	6	2	BIOLOGICAL|PHARMA	4	cholkeedy|olkeedy	FORTSETZEN · GEBEN · GRAD II · SCHLUSS
OL+K+EE+D_ADDR+Y	K	GEBEN	EE	Y	0	OL	K|EE|Y|OPEN	YES	3	1	BIOLOGICAL	2	qolkeedy|solkeedy	FORTSETZEN · GEBEN · GRAD II · HIER · POSTEN
OL+K+EE+OL+Y	K	GEBEN	EE	Y	0	OL|OL	K|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	qolkeeoly	FORTSETZEN · GEBEN · GRAD II · FORTSETZEN · POSTEN
OL+K+EE+Y	K	GEBEN	EE	Y	0	OL	K|EE|Y|OPEN	YES	8	2	BIOLOGICAL|PHARMA	7	olkeey|solkeey	FORTSETZEN · GEBEN · GRAD II · POSTEN
OL+K+Y	K	GEBEN	NONE	Y	0	OL	K|NONE|Y|OPEN	YES	3	1	BIOLOGICAL	3	olky|qolky	FORTSETZEN · GEBEN · POSTEN
OL+L+CH+Y	CH	NEHMEN	NONE	Y	0	OL|L	CH|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	ollchy	FORTSETZEN · VERBINDUNG · NEHMEN · POSTEN
OL+OK+Y	OK	SETZEN	NONE	Y	0	OL	OK|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	oloky	FORTSETZEN · SETZEN · POSTEN
OL+P	P	EINSETZEN	NONE	NONE	0	OL	P|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qolp	FORTSETZEN · EINSETZEN
OL+S	S	WÄHLEN	NONE	NONE	0	OL	S|NONE|NONE|OPEN	YES	2	2	SOURCE_SECTION_T|BIOLOGICAL	2	ols	FORTSETZEN · WÄHLEN
OL+S+AIN	S	WÄHLEN	NONE	AIN	0	OL	S|NONE|AIN|OPEN	YES	1	1	HERBAL	1	olsain	FORTSETZEN · WÄHLEN · ANTEIL
OL+SH+E+DY	SH	HALTEN	E	NONE	1	OL	SH|E|NONE|CLOSE	YES	6	1	BIOLOGICAL	4	olshedy|solshedy	FORTSETZEN · HALTEN · GRAD I · SCHLUSS
OL+SH+E+Y	SH	HALTEN	E	Y	0	OL	SH|E|Y|OPEN	YES	2	1	BIOLOGICAL	2	olshey|solshey	FORTSETZEN · HALTEN · GRAD I · POSTEN
OL+SH+EE+DY	SH	HALTEN	EE	NONE	1	OL	SH|EE|NONE|CLOSE	YES	3	1	BIOLOGICAL	3	olsheedy|qolcheedy|qolsheedy	FORTSETZEN · HALTEN · GRAD II · SCHLUSS
OL+SH+EE+D_ADDR	SH	HALTEN	EE	NONE	0	OL	SH|EE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	olsheed	FORTSETZEN · HALTEN · GRAD II · HIER
OL+T+E+DY	T	EINSTELLEN	E	NONE	1	OL	T|E|NONE|CLOSE	YES	2	1	BIOLOGICAL	2	oltedy	FORTSETZEN · EINSTELLEN · GRAD I · SCHLUSS
OL+T+EE+DY	T	EINSTELLEN	EE	NONE	1	OL	T|EE|NONE|CLOSE	YES	2	2	HERBAL|BIOLOGICAL	2	olteedy|solteedy	FORTSETZEN · EINSTELLEN · GRAD II · SCHLUSS
OL+T+Y	T	EINSTELLEN	NONE	Y	0	OL	T|NONE|Y|OPEN	YES	1	1	HERBAL	1	oltchy	FORTSETZEN · EINSTELLEN · POSTEN
OR+AIN+S+Y	S	WÄHLEN	NONE	OR|AIN|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	oraisy	EINHEIT · ANTEIL · WÄHLEN · POSTEN
OR+CH+OR	CH	NEHMEN	NONE	OR|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	orchor	EINHEIT · NEHMEN · EINHEIT
OT+A_ADDR+K+Y	K	GEBEN	NONE	Y	0	OT	K|NONE|Y|OPEN	YES	1	1	HERBAL	1	otaky	DANACH · HIER · GEBEN · POSTEN
OT+CH+E+O+D_ADDR+AL	CH	NEHMEN	E	NONE	0	OT|AL	CH|E|NONE|OPEN	YES	1	1	CELESTIAL	1	otcheodal	DANACH · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT
OT+CH+L	CH	NEHMEN	NONE	NONE	0	OT|L	CH|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	otchl	DANACH · NEHMEN · VERBINDUNG
OT+CH+OL	CH	NEHMEN	NONE	NONE	0	OT|OL	CH|NONE|NONE|OPEN	YES	9	3	SOURCE_SECTION_T|HERBAL|PHARMA	7	otchol|qotchol	DANACH · NEHMEN · FORTSETZEN
OT+CH+OR	CH	NEHMEN	NONE	OR	0	OT	CH|NONE|OR|OPEN	YES	3	1	HERBAL	3	otchor|qotchor	DANACH · NEHMEN · EINHEIT
OT+CH+Y	CH	NEHMEN	NONE	Y	0	OT	CH|NONE|Y|OPEN	YES	4	3	HERBAL|BIOLOGICAL|CELESTIAL	4	otchy	DANACH · NEHMEN · POSTEN
OT+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	OT	CHD|NONE|NONE|CLOSE	YES	5	2	HERBAL|BIOLOGICAL	2	otchdy|otchedy|qotchedy	DANACH · BEARBEITEN · SCHLUSS
OT+CHD+Y	CHD	BEARBEITEN	NONE	Y	0	OT	CHD|NONE|Y|OPEN	YES	1	1	HERBAL	1	qotchey	DANACH · BEARBEITEN · POSTEN
OT+E+D_ADDR+SH+E+DY	SH	HALTEN	E|E	NONE	1	OT	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	qotedshedy	DANACH · GRAD I · HIER · HALTEN · GRAD I · SCHLUSS
OT+E+O+K+EE+Y	K	GEBEN	E|EE	Y	0	OT	NONCANONICAL_MULTISLOT	NO	2	1	CELESTIAL	2	oteeykeey|oteokeey	DANACH · GRAD I · AUSFÜHRUNG · GEBEN · GRAD II · POSTEN
OT+E+O+SH+AR	SH	HALTEN	E	NONE	0	OT|AR	SH|E|NONE|OPEN	YES	1	1	CELESTIAL	1	oteoshar	DANACH · GRAD I · AUSFÜHRUNG · HALTEN · AUSGANG
OT+E+S	S	WÄHLEN	E	NONE	0	OT	S|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qotes	DANACH · GRAD I · WÄHLEN
OT+EE+S	S	WÄHLEN	EE	NONE	0	OT	S|EE|NONE|OPEN	YES	3	1	CELESTIAL	1	otees	DANACH · GRAD II · WÄHLEN
OT+EE+S+Y	S	WÄHLEN	EE	Y	0	OT	S|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	qoteesy	DANACH · GRAD II · WÄHLEN · POSTEN
OT+IIN+R	R	MARKIEREN	NONE	NONE	0	OT	R|NONE|NONE|OPEN	YES	1	1	HERBAL	1	otaiir	DANACH · STUFE · MARKIEREN
OT+O+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	OT	CHD|NONE|NONE|CLOSE	YES	1	1	CELESTIAL	1	otochedy	DANACH · AUSFÜHRUNG · BEARBEITEN · SCHLUSS
OT+O+S	S	WÄHLEN	NONE	NONE	0	OT	S|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	otos	DANACH · AUSFÜHRUNG · WÄHLEN
OT+OL+D_ADDR+O+S	S	WÄHLEN	NONE	NONE	0	OT|OL	S|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	otoldos	DANACH · FORTSETZEN · HIER · AUSFÜHRUNG · WÄHLEN
OT+SH+D_ADDR+Y	SH	HALTEN	NONE	Y	0	OT	SH|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	otshdy	DANACH · HALTEN · HIER · POSTEN
OT+SH+OL	SH	HALTEN	NONE	NONE	0	OT|OL	SH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	otshol	DANACH · HALTEN · FORTSETZEN
P+AR	P	EINSETZEN	NONE	NONE	0	AR	P|NONE|NONE|OPEN	YES	2	1	BIOLOGICAL	2	par	EINSETZEN · AUSGANG
P+AR+AR	P	EINSETZEN	NONE	NONE	0	AR|AR	P|NONE|NONE|OPEN	YES	2	1	CELESTIAL	2	arary|parar	EINSETZEN · AUSGANG · AUSGANG
P+O+D_ADDR+AR	P	EINSETZEN	NONE	NONE	0	AR	P|NONE|NONE|OPEN	YES	1	1	HERBAL	1	podar	EINSETZEN · AUSFÜHRUNG · HIER · AUSGANG
P+O+EE+AR	P	EINSETZEN	EE	NONE	0	AR	P|EE|NONE|OPEN	YES	1	1	PHARMA	1	poeear	EINSETZEN · AUSFÜHRUNG · GRAD II · AUSGANG
P+OL	P	EINSETZEN	NONE	NONE	0	OL	P|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	pol	EINSETZEN · FORTSETZEN
P+OL+D_ADDR+Y	P	EINSETZEN	NONE	Y	0	OL	P|NONE|Y|OPEN	YES	1	1	PHARMA	1	poldy	EINSETZEN · FORTSETZEN · HIER · POSTEN
P+OL+EE+D_ADDR+AR+AN	P	EINSETZEN	EE	NONE	0	OL|AR	P|EE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	poleedaran	EINSETZEN · FORTSETZEN · GRAD II · HIER · AUSGANG · KLASSE
P+Y	P	EINSETZEN	NONE	Y	0	NONE	P|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	pchey	EINSETZEN · POSTEN
P+Y+D_ADDR+EE+Y	P	EINSETZEN	EE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	SOURCE_SECTION_T	1	pydeey	EINSETZEN · POSTEN · HIER · GRAD II · POSTEN
R	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	21	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	13	r	MARKIEREN
R+AIIN	R	MARKIEREN	NONE	AIIN	0	NONE	R|NONE|AIIN|OPEN	YES	8	2	HERBAL|BIOLOGICAL	4	raiin	MARKIEREN · WERT
R+AIIN+LOCAL_CHAR_I	R	MARKIEREN	NONE	AIIN	0	NONE	R|NONE|AIIN|OPEN	YES	1	1	BIOLOGICAL	1	raiiin	MARKIEREN · WERT · VARIANTE
R+AIN	R	MARKIEREN	NONE	AIN	0	NONE	R|NONE|AIN|OPEN	YES	3	1	BIOLOGICAL	3	rain	MARKIEREN · ANTEIL
R+AL	R	MARKIEREN	NONE	NONE	0	AL	R|NONE|NONE|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	ral	MARKIEREN · ZIELORT
R+AL+Y	R	MARKIEREN	NONE	Y	0	AL	R|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	raly	MARKIEREN · ZIELORT · POSTEN
R+AM_ADDR	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	ram	MARKIEREN · HIER
R+A_ADDR	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	ra	MARKIEREN · HIER
R+A_ADDR+G_LABEL	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	rag	MARKIEREN · HIER · VARIANTE
R+O	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	ro	MARKIEREN · AUSFÜHRUNG
R+OL	R	MARKIEREN	NONE	NONE	0	OL	R|NONE|NONE|OPEN	YES	4	1	BIOLOGICAL	3	rol	MARKIEREN · FORTSETZEN
R+OL+OT+Y	R	MARKIEREN	NONE	Y	0	OL|OT	R|NONE|Y|OPEN	YES	1	1	SOURCE_SECTION_T	1	roloty	MARKIEREN · FORTSETZEN · DANACH · POSTEN
R+OR	R	MARKIEREN	NONE	OR	0	NONE	R|NONE|OR|OPEN	YES	2	2	BIOLOGICAL|CELESTIAL	2	ror	MARKIEREN · EINHEIT
R+OR+Y	R	MARKIEREN	NONE	OR|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	rory	MARKIEREN · EINHEIT · POSTEN
R+Y	R	MARKIEREN	NONE	Y	0	NONE	R|NONE|Y|OPEN	YES	2	1	BIOLOGICAL	2	ry	MARKIEREN · POSTEN
S	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	38	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	17	s	WÄHLEN
S+AIIN	S	WÄHLEN	NONE	AIIN	0	NONE	S|NONE|AIIN|OPEN	YES	21	3	BIOLOGICAL|CELESTIAL|PHARMA	10	saii|saiin	WÄHLEN · WERT
S+AIN	S	WÄHLEN	NONE	AIN	0	NONE	S|NONE|AIN|OPEN	YES	23	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	11	sain	WÄHLEN · ANTEIL
S+AIR	S	WÄHLEN	NONE	NONE	0	AIR	S|NONE|NONE|OPEN	YES	2	2	SOURCE_SECTION_T|BIOLOGICAL	2	sair	WÄHLEN · BAHN
S+AIR+AL	S	WÄHLEN	NONE	NONE	0	AIR|AL	S|NONE|NONE|OPEN	YES	1	1	PHARMA	1	sairal	WÄHLEN · BAHN · ZIELORT
S+AL	S	WÄHLEN	NONE	NONE	0	AL	S|NONE|NONE|OPEN	YES	10	2	BIOLOGICAL|CELESTIAL	7	sal	WÄHLEN · ZIELORT
S+AL+DY	S	WÄHLEN	NONE	NONE	1	AL	S|NONE|NONE|CLOSE	YES	1	1	PHARMA	1	saldy	WÄHLEN · ZIELORT · SCHLUSS
S+AL+D_ADDR+AIIN	S	WÄHLEN	NONE	AIIN	0	AL	S|NONE|AIIN|OPEN	YES	1	1	PHARMA	1	saldaiin	WÄHLEN · ZIELORT · HIER · WERT
S+AM_ADDR	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	3	2	BIOLOGICAL|PHARMA	2	sam	WÄHLEN · HIER
S+AR	S	WÄHLEN	NONE	NONE	0	AR	S|NONE|NONE|OPEN	YES	15	3	HERBAL|BIOLOGICAL|PHARMA	10	sar|schar	WÄHLEN · AUSGANG
S+AR+AL	S	WÄHLEN	NONE	NONE	0	AR|AL	S|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	saral	WÄHLEN · AUSGANG · ZIELORT
S+AR+OL	S	WÄHLEN	NONE	NONE	0	AR|OL	S|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	sarol	WÄHLEN · AUSGANG · FORTSETZEN
S+A_ADDR	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	sa	WÄHLEN · HIER
S+EE+Y	S	WÄHLEN	EE	Y	0	NONE	S|EE|Y|OPEN	YES	1	1	PHARMA	1	seey	WÄHLEN · GRAD II · POSTEN
S+L	S	WÄHLEN	NONE	NONE	0	L	S|NONE|NONE|OPEN	YES	2	2	HERBAL|BIOLOGICAL	2	sl	WÄHLEN · VERBINDUNG
S+O+EE+Y	S	WÄHLEN	EE	Y	0	NONE	S|EE|Y|OPEN	YES	1	1	CELESTIAL	1	soeey	WÄHLEN · AUSFÜHRUNG · GRAD II · POSTEN
S+O+IIN	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	3	2	SOURCE_SECTION_T|BIOLOGICAL	3	soiin|soin	WÄHLEN · AUSFÜHRUNG · STUFE
S+O+LOCAL_CHAR_I+IIN	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	soiiin	WÄHLEN · AUSFÜHRUNG · VARIANTE · STUFE
S+O+M_LOCAL	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	HERBAL	1	som	WÄHLEN · AUSFÜHRUNG · HIER
S+O+Y	S	WÄHLEN	NONE	Y	0	NONE	S|NONE|Y|OPEN	YES	1	1	HERBAL	1	soy	WÄHLEN · AUSFÜHRUNG · POSTEN
S+OL+AR+OL	S	WÄHLEN	NONE	NONE	0	OL|AR|OL	S|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	solarol	WÄHLEN · FORTSETZEN · AUSGANG · FORTSETZEN
S+OL+D_ADDR+Y	S	WÄHLEN	NONE	Y	0	OL	S|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	soldy	WÄHLEN · FORTSETZEN · HIER · POSTEN
S+OR	S	WÄHLEN	NONE	OR	0	NONE	S|NONE|OR|OPEN	YES	9	3	HERBAL|BIOLOGICAL|CELESTIAL	7	sor|sosor	WÄHLEN · EINHEIT
S+OR+Y	S	WÄHLEN	NONE	OR|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	SOURCE_SECTION_T	1	sory	WÄHLEN · EINHEIT · POSTEN
S+OT+AIIN	S	WÄHLEN	NONE	AIIN	0	OT	S|NONE|AIIN|OPEN	YES	2	2	HERBAL|BIOLOGICAL	2	sotaiin|sotchaiin	WÄHLEN · DANACH · WERT
S+OT+E+OL	S	WÄHLEN	E	NONE	0	OT|OL	S|E|NONE|OPEN	YES	1	1	PHARMA	1	soteol	WÄHLEN · DANACH · GRAD I · FORTSETZEN
S+OT+O+D_ADDR+AN	S	WÄHLEN	NONE	NONE	0	OT	S|NONE|NONE|OPEN	YES	1	1	HERBAL	1	sotodan	WÄHLEN · DANACH · AUSFÜHRUNG · HIER · KLASSE
S+OT+Y	S	WÄHLEN	NONE	Y	0	OT	S|NONE|Y|OPEN	YES	1	1	HERBAL	1	sotchy	WÄHLEN · DANACH · POSTEN
SH	SH	HALTEN	NONE	NONE	0	NONE	SH|NONE|NONE|OPEN	YES	4	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	4	sh	HALTEN
SH+AIIN	SH	HALTEN	NONE	AIIN	0	NONE	SH|NONE|AIIN|OPEN	YES	4	2	SOURCE_SECTION_T|HERBAL	3	shaiin	HALTEN · WERT
SH+AL	SH	HALTEN	NONE	NONE	0	AL	SH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	shal	HALTEN · ZIELORT
SH+AR	SH	HALTEN	NONE	NONE	0	AR	SH|NONE|NONE|OPEN	YES	3	3	SOURCE_SECTION_T|HERBAL|PHARMA	3	shar	HALTEN · AUSGANG
SH+DY	SH	HALTEN	NONE	NONE	1	NONE	SH|NONE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	dshdy	HALTEN · SCHLUSS
