completed_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt598_integrated_clause_de	clause_changed
319	3540	G407-S448	7	f81v	ACTION:G407-E2978@1:CHD	G407-E2978	RUNNING:G407-E2978@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2978@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
320	3543	G407-S448	10	f81v	ACTION:G407-E2982@1:S	G407-E2982	RUNNING:G407-E2982@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2982@1:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
321	3549	G407-S449	4	f81v	ACTION:G407-E2988@1:SH	G407-E2988	RUNNING:G407-E2988@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Becken- oder Körpereinheit	dieselbe Becken- oder Körpereinheit	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E2988:RUNNING:G407-E2986@2	Halte im Bad auf Grad I	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	YES
322	3555	G407-S449	10	f81v	ACTION:G407-E2993@1:CHD	G407-E2993	RUNNING:G407-E2993@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2992@2:K	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
323	3560	G407-S450	4	f81v	ACTION:G407-E2997@1:SH	G407-E2997	RUNNING:G407-E2997@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Stationseinheit	dieselbe Stationseinheit	T04_STABLE_AIN_OR_TYPE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT593:G407-E2996:OR	Halte im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES
324	3562	G407-S451	1	f81v	ACTION:G407-E2998@1:SH	G407-E2998	RUNNING:G407-E2998@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Badeinheit	die Badeinheit	T04_STABLE_AIN_OR_TYPE	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	TYPE_DEFAULT:OR	Halte im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	YES
325	3566	G407-S455	3	f81v	ACTION:G407-E3012@3:SH	G407-E3012	RUNNING:G407-E3012@3	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3012:RUNNING:G407-E3012@4	Halte den Stationsansatz im Bad	Halte den Körper im Bad	YES
326	3567	G407-S455	4	f81v	ACTION:G407-E3013@2:SH	G407-E3013	RUNNING:G407-E3013@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3013:RUNNING:G407-E3013@3	Halte den Stationsansatz im Bad an der Stations-Hauptstelle	Halte den Stationsansatz im Bad an der Stations-Hauptstelle	NO
327	3568	G407-S455	5	f81v	ACTION:G407-E3013@4:T	G407-E3013	RUNNING:G407-E3013@4	T	T_AFTER_SH_COOL	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3013@2:SH	Lass anschließend auf Grad II und an der Stations-Arbeitsstelle abkühlen	Lass denselben Stationsansatz anschließend auf Grad II und an der Stations-Arbeitsstelle abkühlen	YES
328	3573	G407-S457	2	f81v	ACTION:G407-E3017@2:SH	G407-E3017	RUNNING:G407-E3017@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
329	3577	G407-S458	3	f81v	ACTION:G407-E3020@2:SH	G407-E3020	RUNNING:G407-E3020@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3020:RUNNING:G407-E3020@1|RUNNING:G407-E3020@4	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Hauptstelle, an der Stations-Nebenstelle, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals	NO
330	3588	G407-S458	14	f81v	ACTION:G407-E3030@2:SH	G407-E3030	RUNNING:G407-E3030@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3030:RUNNING:G407-E3030@4	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO
331	3593	G407-S458	19	f81v	ACTION:G407-E3033@1:CHD	G407-E3033	RUNNING:G407-E3033@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3033@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
332	3594	G407-S458	20	f81v	ACTION:G407-E3034@1:SH	G407-E3034	RUNNING:G407-E3034@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	HANDOFF:G407-E3033:RUNNING:G407-E3033@2	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
333	3596	G407-S460	1	f81v	ACTION:G407-E3036@2:T	G407-E3036	RUNNING:G407-E3036@2	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3036@2:T	Temperiere den Stationsansatz auf Grad I	Temperiere den Stationsansatz auf Grad I	NO
334	3599	G407-S461	2	f81v	ACTION:G407-E3037@3:T	G407-E3037	RUNNING:G407-E3037@3	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3037@3:T	Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle	Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle	NO
335	3601	G407-S461	4	f81v	ACTION:G407-E3039@2:T	G407-E3039	RUNNING:G407-E3039@2	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3039@2:T	Temperiere den Stationsansatz auf Grad I	Temperiere den Stationsansatz auf Grad I	NO
336	3604	G407-S462	2	f81v	ACTION:G407-E3040@4:SH	G407-E3040	RUNNING:G407-E3040@4	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3040:RUNNING:G407-E3040@6	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
337	3606	G407-S462	4	f81v	ACTION:G407-E3041@3:S	G407-E3041	RUNNING:G407-E3041@3	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	BODY	Körper	denselben Körper	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3040@4:SH	Wähle die Einheit auf Grad I und an der Stations-Arbeitsstelle aus	Wähle denselben Körper auf Grad I und an der Stations-Arbeitsstelle aus	YES
338	3607	G407-S462	5	f81v	ACTION:G407-E3042@2:T	G407-E3042	RUNNING:G407-E3042@2	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3042@2:T	Temperiere den Stationsansatz auf Grad I	Temperiere den Stationsansatz auf Grad I	NO
339	3609	G407-S463	1	f81v	ACTION:G407-E3043@2:T	G407-E3043	RUNNING:G407-E3043@2	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3043@2:T	Temperiere den Stationsansatz auf Grad I	Temperiere den Stationsansatz auf Grad I	NO
340	3612	G407-S465	2	f81v	ACTION:G407-E3049@1:SH	G407-E3049	RUNNING:G407-E3049@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
341	3615	G407-S466	2	f81v	ACTION:G407-E3051@1:SH	G407-E3051	RUNNING:G407-E3051@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E3051:RUNNING:G407-E3050@1|RUNNING:G407-E3050@5	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES
342	3621	G407-S468	3	f81v	ACTION:G407-E3056@4:CHD	G407-E3056	RUNNING:G407-E3056@4	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3056@4:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
343	3623	G407-S468	5	f81v	ACTION:G407-E3058@1:CHD	G407-E3058	RUNNING:G407-E3058@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3058@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
344	3625	G407-S468	7	f81v	ACTION:G407-E3060@1:SH	G407-E3060	RUNNING:G407-E3060@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3060:RUNNING:G407-E3060@3	Halte den Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
345	3626	G407-S468	8	f81v	ACTION:G407-E3061@1:S	G407-E3061	RUNNING:G407-E3061@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	BODY	Körper	denselben Körper	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3060@1:SH	Wähle die Einheit an der Stations-Hauptstelle aus	Wähle denselben Körper an der Stations-Hauptstelle aus	YES
346	3629	G407-S468	11	f81v	ACTION:G407-E3061@6:T	G407-E3061	RUNNING:G407-E3061@6	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3061@6:T	Reguliere den Stationsansatz an der Stations-Arbeitsstelle	Reguliere den Stationsansatz an der Stations-Arbeitsstelle	NO
347	3630	G407-S468	12	f81v	ACTION:G407-E3062@4:CHD	G407-E3062	RUNNING:G407-E3062@4	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3062@4:CHD	Behandle den Stationsansatz in Anwendungsform, in Feinform und als neuer Bad- oder Stationsansatz	Behandle den Stationsansatz in Anwendungsform, in Feinform und als neuer Bad- oder Stationsansatz	NO
348	3632	G407-S468	14	f81v	ACTION:G407-E3064@1:CHD	G407-E3064	RUNNING:G407-E3064@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3064@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
349	3633	G407-S468	15	f81v	ACTION:G407-E3065@2:T	G407-E3065	RUNNING:G407-E3065@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3065@2:T	Reguliere den Stationsansatz und die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Reguliere den Stationsansatz und die Stationseinheit von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	YES
350	3634	G407-S468	16	f81v	ACTION:G407-E3067@1:SH	G407-E3067	RUNNING:G407-E3067@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Stationseinheit	dieselbe Stationseinheit	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	HANDOFF:G407-E3066:RUNNING:G407-E3066@2	Halte im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES
351	3639	G407-S469	4	f81v	ACTION:G407-E3071@2:SH	G407-E3071	RUNNING:G407-E3071@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3071:RUNNING:G407-E3071@4	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO
352	3640	G407-S469	5	f81v	ACTION:G407-E3072@2:SH	G407-E3072	RUNNING:G407-E3072@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:L	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES
353	3643	G407-S470	2	f81v	ACTION:G407-E3074@1:CHD	G407-E3074	RUNNING:G407-E3074@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3074@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
354	3645	G407-S470	4	f81v	ACTION:G407-E3075@2:CHD	G407-E3075	RUNNING:G407-E3075@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3075@2:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
355	3648	G407-S470	7	f81v	ACTION:G407-E3076@3:CHD	G407-E3076	RUNNING:G407-E3076@3	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3075@2:CHD	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
356	3650	G407-S471	1	f81v	ACTION:G407-E3077@1:CHD	G407-E3077	RUNNING:G407-E3077@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3077@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
357	3652	G407-S471	3	f81v	ACTION:G407-E3079@1:SH	G407-E3079	RUNNING:G407-E3079@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E3077	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
358	3655	G407-S472	2	f81v	ACTION:G407-E3080@2:CHD	G407-E3080	RUNNING:G407-E3080@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz	Behandle den Stationsansatz	YES
359	3662	G407-S473	6	f81v	ACTION:G407-E3085@2:CHD	G407-E3085	RUNNING:G407-E3085@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3082@2:K	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
360	3669	G407-S474	6	f81v	ACTION:G407-E3090@1:SH	G407-E3090	RUNNING:G407-E3090@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E3088	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
361	3678	G407-S477	8	f81v	ACTION:G407-E3097@1:SH	G407-E3097	RUNNING:G407-E3097@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E3095	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
362	3691	G407-S479	6	f81v	ACTION:G407-E3105@4:T	G407-E3105	RUNNING:G407-E3105@4	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3105@4:T	Temperiere den Stationsansatz auf Grad I	Temperiere den Stationsansatz auf Grad I	NO
363	3694	G407-S479	9	f81v	ACTION:G407-E3107@1:CHD	G407-E3107	RUNNING:G407-E3107@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3107@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
364	3697	G407-S480	1	f81v	ACTION:G407-E3109@2:SH	G407-E3109	RUNNING:G407-E3109@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:L	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES
365	3698	G407-S480	2	f81v	ACTION:G407-E3109@4:T	G407-E3109	RUNNING:G407-E3109@4	T	T_AFTER_SH_COOL	GDT597_NONSH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3109@4:T	Lass den Stationsansatz anschließend abkühlen	Lass den Körper anschließend abkühlen	YES
366	3701	G407-S481	1	f81v	ACTION:G407-E3111@2:T	G407-E3111	RUNNING:G407-E3111@2	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Temperiere auf Grad I und über den Stationskontakt oder die Leitung	Temperiere den Stationsansatz auf Grad I und über den Stationskontakt oder die Leitung	YES
367	3704	G407-S482	2	f81v	ACTION:G407-E3113@2:SH	G407-E3113	RUNNING:G407-E3113@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	PORTION	Anwendungsportion	die Anwendungsportion	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3113:RUNNING:G407-E3112@2	Halte die Anwendungsportion im Bad in Anwendungsform und über den Stationskontakt oder die Leitung	Halte die Anwendungsportion im Bad in Anwendungsform und über den Stationskontakt oder die Leitung	NO
368	3706	G407-S482	4	f81v	ACTION:G407-E3115@2:SH	G407-E3115	RUNNING:G407-E3115@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:L	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES
369	3708	G407-S483	1	f81v	ACTION:G407-E3116@2:SH	G407-E3116	RUNNING:G407-E3116@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:L	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES
370	3710	G407-S484	1	f81v	ACTION:G407-E3117@1:CHD	G407-E3117	RUNNING:G407-E3117@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3117@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
371	3713	G407-S484	4	f81v	ACTION:G407-E3119@2:CHD	G407-E3119	RUNNING:G407-E3119@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3118@2:K	Behandle den Ansatz zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Behandle denselben Stationsansatz zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	YES
372	3719	G407-S484	10	f81v	ACTION:G407-E3125@1:SH	G407-E3125	RUNNING:G407-E3125@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3125:RUNNING:G407-E3125@3	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken	NO
373	3720	G407-S484	11	f81v	ACTION:G407-E3127@2:CHD	G407-E3127	RUNNING:G407-E3127@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3125@1:SH	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle denselben Stationsansatz über den Stationskontakt oder die Leitung	YES
374	3722	G407-S485	1	f81v	ACTION:G407-E3128@1:CHD	G407-E3128	RUNNING:G407-E3128@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3128@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
