component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
O+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	O+AIIN | O+AIN	AUSFÜHRUNG · POSTEN
O+Y+D_ADDR+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	AUSFÜHRUNG · POSTEN · HIER · AUSGANG
O+Y+K+CH+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	AUSFÜHRUNG · POSTEN · GEBEN · NEHMEN · EINHEIT
OK	5	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K	SETZEN
OK+AIIN	64	15	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AIIN | OK+AIN | OK+OR | OK+Y	SETZEN · WERT
OK+AIN	63	12	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AIN | OK+AIIN | OK+OR | OK+Y	SETZEN · ANTEIL
OK+AIR	4	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+AIR | OK+AL | OK+AR	SETZEN · BAHN
OK+AL	47	14	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+AL | OK+AIR | OK+AR	SETZEN · ZIELORT
OK+AL+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+AL+AR	SETZEN · ZIELORT · ZIELORT
OK+AL+AR	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+AL+AL | OK+AR+AR	SETZEN · ZIELORT · AUSGANG
OK+AL+CH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · ZIELORT · NEHMEN · GRAD I · POSTEN
OK+AL+DY	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+AR+DY	SETZEN · ZIELORT · SCHLUSS
OK+AL+O+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · ZIELORT · AUSFÜHRUNG · SCHLUSS
OK+AL+OR+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · ZIELORT · EINHEIT · AUSFÜHRUNG
OK+AL+Y	5	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · ZIELORT · POSTEN
OK+AM_ADDR	3	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+AM_ADDR	SETZEN · HIER
OK+AN	4	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · KLASSE
OK+AR	39	12	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AR | OK+AIR | OK+AL | P+AR	SETZEN · AUSGANG
OK+AR+AR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+AL+AR | P+AR+AR	SETZEN · AUSGANG · AUSGANG
OK+AR+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · AUSGANG · BEARBEITEN · POSTEN
OK+AR+DY	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+AL+DY	SETZEN · AUSGANG · SCHLUSS
OK+A_ADDR+IIN+K+AL+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · HIER · STUFE · GEBEN · ZIELORT · POSTEN
OK+A_ADDR+LOCAL_CHAR_I+IIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+A_ADDR+LOCAL_CHAR_I+IIN	SETZEN · HIER · VARIANTE · STUFE
OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · HIER · VARIANTE · EINSETZEN · NEHMEN · POSTEN
OK+A_ADDR+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · HIER · WÄHLEN
OK+A_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · HIER · POSTEN
OK+CH	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN
OK+CH+AL	4	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+CH+AL | P+CH+AL	SETZEN · NEHMEN · ZIELORT
OK+CH+E+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN · GRAD I · AUSFÜHRUNG
OK+CH+E+O+R	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
OK+CH+E+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+CH+E+Y	SETZEN · NEHMEN · GRAD I · POSTEN
OK+CH+EE+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+CH+EE+Y	SETZEN · NEHMEN · GRAD II · POSTEN
OK+CH+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN · AUSFÜHRUNG
OK+CH+O+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN · AUSFÜHRUNG · ZIELORT
OK+CH+O+AM_ADDR	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN · AUSFÜHRUNG · HIER
OK+CH+O+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · NEHMEN · AUSFÜHRUNG · POSTEN
OK+CH+OR	5	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+CH+OR | OK+CH+Y | P+CH+OR	SETZEN · NEHMEN · EINHEIT
OK+CH+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+CH+OR | OK+S+Y	SETZEN · NEHMEN · POSTEN
OK+CHD	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+SH	SETZEN · BEARBEITEN
OK+CHD+DY	9	5	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+SH+DY | P+CHD+DY	SETZEN · BEARBEITEN · SCHLUSS
OK+CHD+DY+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · BEARBEITEN · SCHLUSS · VERBINDUNG
OK+CHD+S+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · BEARBEITEN · WÄHLEN · SCHLUSS
OK+CHD+Y	4	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+CHD+Y | OK+SH+Y | P+CHD+Y	SETZEN · BEARBEITEN · POSTEN
OK+E+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+E+AR	SETZEN · GRAD I · ZIELORT
OK+E+AR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+E+AL	SETZEN · GRAD I · AUSGANG
OK+E+AR+CH+E+O+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSGANG · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
OK+E+CHD+DY	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · BEARBEITEN · SCHLUSS
OK+E+DY	67	9	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+E+DY	SETZEN · GRAD I · SCHLUSS
OK+E+D_ADDR	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · HIER
OK+E+D_ADDR+AL+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · HIER · ZIELORT · EINHEIT
OK+E+D_ADDR+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · HIER · AUSGANG
OK+E+D_ADDR+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · HIER · FORTSETZEN
OK+E+D_ADDR+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · HIER · EINHEIT
OK+E+O	8	5	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG
OK+E+O+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+E+O+AL	SETZEN · GRAD I · AUSFÜHRUNG · ZIELORT
OK+E+O+AM_ADDR	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · HIER
OK+E+O+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · NEHMEN · POSTEN
OK+E+O+D_ADDR+AL+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN
OK+E+O+D_ADDR+Y	12	5	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
OK+E+O+S	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN
OK+E+O+S+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN · AUSGANG
OK+E+O+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · AUSFÜHRUNG · POSTEN
OK+E+OL	15	6	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+E+OL	SETZEN · GRAD I · FORTSETZEN
OK+E+OL+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · FORTSETZEN · WERT
OK+E+OR	7	5	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+E+OR | OK+E+Y	SETZEN · GRAD I · EINHEIT
OK+E+S+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD I · WÄHLEN · SCHLUSS
OK+E+Y	27	8	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+E+Y | OK+E+OR	SETZEN · GRAD I · POSTEN
OK+EE	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II
OK+EE+AL	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · ZIELORT
OK+EE+DY	79	9	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+EE+DY	SETZEN · GRAD II · SCHLUSS
OK+EE+DY+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · SCHLUSS · FORTSETZEN
OK+EE+D_ADDR	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · HIER
OK+EE+O	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+EE+O	SETZEN · GRAD II · AUSFÜHRUNG
OK+EE+O+D_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+EE+O+D_ADDR	SETZEN · GRAD II · AUSFÜHRUNG · HIER
OK+EE+O+D_ADDR+Y	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN
OK+EE+OL	5	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · FORTSETZEN
OK+EE+OL+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · FORTSETZEN · WÄHLEN
OK+EE+OR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+EE+Y	SETZEN · GRAD II · EINHEIT
OK+EE+S	4	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · WÄHLEN
OK+EE+Y	67	16	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+EE+Y | OK+EE+OR	SETZEN · GRAD II · POSTEN
OK+EE+Y+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD II · POSTEN · VERBINDUNG
OK+EEE+DY	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD III · SCHLUSS
OK+EEE+Y	5	4	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · GRAD III · POSTEN
OK+IIN+R	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · STUFE · MARKIEREN
OK+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · AUSFÜHRUNG
OK+O+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+O+Y	SETZEN · AUSFÜHRUNG · WERT
OK+O+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · AUSFÜHRUNG · SCHLUSS
OK+O+D_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+O+D_ADDR	SETZEN · AUSFÜHRUNG · HIER
OK+O+D_ADDR+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+O+D_ADDR+AIIN	SETZEN · AUSFÜHRUNG · HIER · WERT
OK+O+E+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · AUSFÜHRUNG · GRAD I · EINHEIT
OK+O+E+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · AUSFÜHRUNG · GRAD I · WÄHLEN
OK+O+IIN	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · AUSFÜHRUNG · STUFE
OK+O+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+O+AIIN	SETZEN · AUSFÜHRUNG · POSTEN
OK+OK+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · SETZEN · NEHMEN · POSTEN
OK+OL	27	15	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+OL | P+OL	SETZEN · FORTSETZEN
OK+OL+DY	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+OL+DY	SETZEN · FORTSETZEN · SCHLUSS
OK+OR	9	6	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+OR | OK+AIIN | OK+AIN | OK+Y	SETZEN · EINHEIT
OK+OR+OR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · EINHEIT · EINHEIT · POSTEN
OK+S+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+CH+Y	SETZEN · WÄHLEN · POSTEN
OK+SH	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+CHD	SETZEN · HALTEN
OK+SH+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · HALTEN · ZIELORT
OK+SH+DY	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+CHD+DY	SETZEN · HALTEN · SCHLUSS
OK+SH+E+DY	5	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+SH+E+DY | P+SH+E+DY	SETZEN · HALTEN · GRAD I · SCHLUSS
OK+SH+E+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+SH+E+Y	SETZEN · HALTEN · GRAD I · POSTEN
OK+SH+O	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+SH+O	SETZEN · HALTEN · AUSFÜHRUNG
OK+SH+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+SH+Y | OK+CHD+Y	SETZEN · HALTEN · POSTEN
OK+Y	59	18	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	5	REGENERATED_HIGH	K+Y | OK+AIIN | OK+AIN | OK+OR | P+Y	SETZEN · POSTEN
OK+Y+L+D_ADDR+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	SETZEN · POSTEN · VERBINDUNG · HIER · SCHLUSS
OL	175	22	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OT	FORTSETZEN
OL+AIIN	13	9	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	OL+AIN | OL+OR | OL+Y | OT+AIIN	FORTSETZEN · WERT
OL+AIIN+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	FORTSETZEN · WERT · POSTEN
OL+AIN	7	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	OL+AIIN | OL+OR | OL+Y | OT+AIN	FORTSETZEN · ANTEIL
OL+AL	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OL+AR | OT+AL	FORTSETZEN · ZIELORT
OL+AL+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OT+AL+Y	FORTSETZEN · ZIELORT · POSTEN
OL+AM_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OT+AM_ADDR	FORTSETZEN · HIER
OL+AR	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OL+AL | OT+AR	FORTSETZEN · AUSGANG
OL+CARRIER_Q+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	FORTSETZEN · BEGINNMARKER · AUSFÜHRUNG
