component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
OK+CH+O+AM_ADDR	T0_EXACT_OBSERVED	0	SETZEN · NEHMEN · AUSFÜHRUNG · HIER	Setze; nimm als Ausführung hier.	2	OBSERVED_EVENT_COUNT	HERBAL	okchom	Setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an und nimm die Arbeitseinheit [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CH+O+Y	T0_EXACT_OBSERVED	0	SETZEN · NEHMEN · AUSFÜHRUNG · POSTEN	Setze den Posten; nimm den Posten als Ausführung.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	okchoy	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CH+OR	T0_EXACT_OBSERVED	0	SETZEN · NEHMEN · EINHEIT	Setze die Einheit; nimm die Einheit.	5	OBSERVED_EVENT_COUNT	CELESTIAL|HERBAL	okchor	Setze die Arbeitseinheit im Arbeitsgang an und nimm die Arbeitseinheit.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CH+Y	T0_EXACT_OBSERVED	0	SETZEN · NEHMEN · POSTEN	Setze den Posten; nimm den Posten.	2	OBSERVED_EVENT_COUNT	HERBAL	chokchy	Setze den Pflanzenposten im Arbeitsgang an und nimm den Pflanzenposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CHD	T0_EXACT_OBSERVED	0	SETZEN · BEARBEITEN	Setze; bearbeite.	1	OBSERVED_EVENT_COUNT	HERBAL	okchd	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an und bearbeite den Pflanzenposten [wie zuvor].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CHD+DY	T0_EXACT_OBSERVED	0	SETZEN · BEARBEITEN · SCHLUSS	Setze; bearbeite; schließe den Schritt.	9	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	qokchdy	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CHD+DY+L	T0_EXACT_OBSERVED	0	SETZEN · BEARBEITEN · SCHLUSS · VERBINDUNG	Setze; bearbeite über die Verbindung; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokchdyl	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CHD+S+DY	T0_EXACT_OBSERVED	0	SETZEN · BEARBEITEN · WÄHLEN · SCHLUSS	Setze; bearbeite; wähle; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokchsdy	Setze den Stationsposten [wie zuvor] im Stationsgang an, bearbeite den Stationsposten [wie zuvor] und wähle den Stationsposten [wie zuvor]; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+CHD+Y	T0_EXACT_OBSERVED	0	SETZEN · BEARBEITEN · POSTEN	Setze den Posten; bearbeite den Posten.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokchedy	Setze den Stationsposten im Stationsgang an und bearbeite den Stationsposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+AL	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · ZIELORT	Setze am Zielort auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokeal	Setze den Stationsposten [wie zuvor] im Stationsgang an; zur Zielstation; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+AR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSGANG	Setze vom Ausgang auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokear	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+AR+CH+E+O+L	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSGANG · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	Setze; nimm vom Ausgang und über die Verbindung auf Grad I und auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	okearcheol	Setze den Drogenposten [wie zuvor] als Ansatz an und nimm den Drogenposten [wie zuvor]; vom Ausgangsgefäß und über die Gefäßverbindung; auf Grad I, auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+CHD+DY	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · BEARBEITEN · SCHLUSS	Setze; bearbeite auf Grad I; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokechdy	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+DY	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · SCHLUSS	Setze auf Grad I; schließe den Schritt.	67	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL|PHARMA	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+D_ADDR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · HIER	Setze auf Grad I hier.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	qoked	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+D_ADDR+AL+OR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · HIER · ZIELORT · EINHEIT	Setze die Einheit am Zielort auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	okedalor	Setze die Stationseinheit im Stationsgang an; zur Zielstation; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+D_ADDR+AR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · HIER · AUSGANG	Setze vom Ausgang auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokedar	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+D_ADDR+OL	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · HIER · FORTSETZEN	Weiter: Setze auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokedol	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+D_ADDR+OR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · HIER · EINHEIT	Setze die Einheit auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	okedor	Setze die Stationseinheit im Stationsgang an; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG	Setze auf Grad I als Ausführung.	8	OBSERVED_EVENT_COUNT	CELESTIAL|PHARMA	okeo	Setze die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+AL	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · ZIELORT	Setze am Zielort auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qokeodal	Setze den Positionswert [wie zuvor]; zur Zielposition; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+AM_ADDR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · HIER	Setze auf Grad I als Ausführung hier.	2	OBSERVED_EVENT_COUNT	PHARMA	okeom	Setze die Ansatzeinheit [wie zuvor] als Ansatz an; auf Grad I und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+CH+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · NEHMEN · POSTEN	Setze den Posten; nimm den Posten auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qokeochy	Setze den Positionsposten und nimm den Positionsposten auf; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+D_ADDR+AL+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN	Setze den Posten am Zielort auf Grad I als Ausführung hier.	2	OBSERVED_EVENT_COUNT	CELESTIAL	okeodaly	Setze den Positionsposten; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+D_ADDR+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	Setze den Posten auf Grad I als Ausführung hier.	12	OBSERVED_EVENT_COUNT	CELESTIAL|HERBAL|PHARMA	okeody	Setze den Pflanzenposten im Arbeitsgang an; auf Grad I und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+S	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN	Setze; wähle auf Grad I als Ausführung.	2	OBSERVED_EVENT_COUNT	CELESTIAL	okeos	Setze den Positionswert [wie zuvor] und wähle den Positionswert [wie zuvor]; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+S+AR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN · AUSGANG	Setze; wähle vom Ausgang auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	okeosar	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+O+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · AUSFÜHRUNG · POSTEN	Setze den Posten auf Grad I als Ausführung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	qokeoy	Setze den Stationsposten im Stationsgang an; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+OL	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · FORTSETZEN	Weiter: Setze auf Grad I.	15	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	chokeol	Weiter setze den Positionsposten [wie zuvor]; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+OL+AIIN	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · FORTSETZEN · WERT	Weiter: Setze den Wert auf Grad I.	1	OBSERVED_EVENT_COUNT	CELESTIAL	okeolaiin	Weiter setze den Positionswert; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+OR	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · EINHEIT	Setze die Einheit auf Grad I.	7	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	okeor	Setze die Arbeitseinheit im Arbeitsgang an; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+S+DY	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · WÄHLEN · SCHLUSS	Setze; wähle auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokesdy	Setze den Stationsposten [wie zuvor] im Stationsgang an und wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+E+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD I · POSTEN	Setze den Posten auf Grad I.	27	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	okey	Setze den Positionsposten; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE	T0_EXACT_OBSERVED	0	SETZEN · GRAD II	Setze auf Grad II.	1	OBSERVED_EVENT_COUNT	CELESTIAL	okee	Setze die Positionseinheit [wie zuvor]; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+AL	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · ZIELORT	Setze am Zielort auf Grad II.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	okeedal	Setze den Stationswert [wie zuvor] im Stationsgang an; zur Zielstation; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+DY	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · SCHLUSS	Setze auf Grad II; schließe den Schritt.	79	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL	okeedy	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad II; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+DY+OL	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · SCHLUSS · FORTSETZEN	Weiter: Setze auf Grad II; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	okeedyqol	Weiter setze den Stationswert [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+D_ADDR	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · HIER	Setze auf Grad II hier.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokeed	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+O	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · AUSFÜHRUNG	Setze auf Grad II als Ausführung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL	okeeo	Setze den Positionsposten [wie zuvor]; auf Grad II und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+O+D_ADDR	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · AUSFÜHRUNG · HIER	Setze auf Grad II als Ausführung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	qokeeod	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; auf Grad II und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+O+D_ADDR+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN	Setze den Posten auf Grad II als Ausführung hier.	3	OBSERVED_EVENT_COUNT	CELESTIAL	qokeeody	Setze den Positionsposten; auf Grad II und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+OL	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · FORTSETZEN	Weiter: Setze auf Grad II.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	okeeol	Weiter setze den Positionswert [wie zuvor]; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+OL+S	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · FORTSETZEN · WÄHLEN	Weiter: Setze; wähle auf Grad II.	1	OBSERVED_EVENT_COUNT	CELESTIAL	okeeols	Weiter setze und wähle; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+OR	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · EINHEIT	Setze die Einheit auf Grad II.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	okeeor	Setze die Stationseinheit im Stationsgang an; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+S	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · WÄHLEN	Setze; wähle auf Grad II.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL	okees	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · POSTEN	Setze den Posten auf Grad II.	67	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	okeey	Trage den laufenden Eintrag ein; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EE+Y+L	T0_EXACT_OBSERVED	0	SETZEN · GRAD II · POSTEN · VERBINDUNG	Setze den Posten über die Verbindung auf Grad II.	1	OBSERVED_EVENT_COUNT	PHARMA	qokeeyl	Setze den Drogenposten als Ansatz an; über die Gefäßverbindung; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EEE+DY	T0_EXACT_OBSERVED	0	SETZEN · GRAD III · SCHLUSS	Setze auf Grad III; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL	qokeeedy	Setze den Positionsposten [wie zuvor]; auf Grad III; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+EEE+Y	T0_EXACT_OBSERVED	0	SETZEN · GRAD III · POSTEN	Setze den Posten auf Grad III.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qokeeey	Setze den Pflanzenposten im Arbeitsgang an; auf Grad III.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+IIN+R	T0_EXACT_OBSERVED	0	SETZEN · STUFE · MARKIEREN	Setze; markiere auf der bezeichneten Stufe.	2	OBSERVED_EVENT_COUNT	CELESTIAL|SOURCE_SECTION_T	okaiir	Trage den Kennwert [wie zuvor] ein und kennzeichne den Kennwert [wie zuvor]; auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG	Setze als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	qoko	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+AIIN	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · WERT	Setze den Wert als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qokoaiin	Setze den Positionswert; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+DY	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · SCHLUSS	Setze als Ausführung; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	PHARMA	qokody	Setze den Drogenposten [wie zuvor] als Ansatz an; als Ausführung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+D_ADDR	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · HIER	Setze als Ausführung hier.	1	OBSERVED_EVENT_COUNT	PHARMA	qokod	Setze den Drogenposten [wie zuvor] als Ansatz an; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+D_ADDR+AIIN	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · HIER · WERT	Setze den Wert als Ausführung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	okodaiin	Setze den Arbeitswert im Arbeitsgang an; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+E+OR	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · GRAD I · EINHEIT	Setze die Einheit auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	okoeor	Setze die Arbeitseinheit im Arbeitsgang an; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+E+S	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · GRAD I · WÄHLEN	Setze; wähle auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	okoes	Setze den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+IIN	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · STUFE	Setze auf der bezeichneten Stufe als Ausführung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	qokoiin	Setze den Stationsposten [wie zuvor] im Stationsgang an; als Ausführung und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+O+Y	T0_EXACT_OBSERVED	0	SETZEN · AUSFÜHRUNG · POSTEN	Setze den Posten als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	okochey	Setze den Positionsposten; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+OK+CH+Y	T0_EXACT_OBSERVED	0	SETZEN · SETZEN · NEHMEN · POSTEN	Setze den Posten; setze den Posten; nimm den Posten.	1	OBSERVED_EVENT_COUNT	HERBAL	qokokchy	Setze den Pflanzenposten im Arbeitsgang an, setze den Pflanzenposten im Arbeitsgang an und nimm den Pflanzenposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+OL	T0_EXACT_OBSERVED	0	SETZEN · FORTSETZEN	Weiter: Setze.	27	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	okol	Weiter trage den Kennwert [wie zuvor] ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+OL+DY	T0_EXACT_OBSERVED	0	SETZEN · FORTSETZEN · SCHLUSS	Weiter: Setze; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	okoldy	Weiter setze den Stationsanteil [wie zuvor] im Stationsgang an; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+OR	T0_EXACT_OBSERVED	0	SETZEN · EINHEIT	Setze die Einheit.	9	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	okor	Setze die Arbeitseinheit im Arbeitsgang an.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+OR+OR+Y	T0_EXACT_OBSERVED	0	SETZEN · EINHEIT · EINHEIT · POSTEN	Setze die Einheit, die Einheit und den Posten.	1	OBSERVED_EVENT_COUNT	HERBAL	okorory	Setze die Arbeitseinheit [außen], die Arbeitseinheit [innen] und den Pflanzenposten im Arbeitsgang an.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+S+Y	T0_EXACT_OBSERVED	0	SETZEN · WÄHLEN · POSTEN	Setze den Posten; wähle den Posten.	1	OBSERVED_EVENT_COUNT	HERBAL	choksy	Setze den Pflanzenposten im Arbeitsgang an und wähle den Pflanzenposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+SH	T0_EXACT_OBSERVED	0	SETZEN · HALTEN	Setze; halte.	1	OBSERVED_EVENT_COUNT	HERBAL	qoksh	Setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an und halte die Arbeitseinheit [wie zuvor].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+SH+AL	T0_EXACT_OBSERVED	0	SETZEN · HALTEN · ZIELORT	Setze; halte am Zielort.	1	OBSERVED_EVENT_COUNT	HERBAL	okshal	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an und halte den Pflanzenposten [wie zuvor]; zur Zielstelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+SH+DY	T0_EXACT_OBSERVED	0	SETZEN · HALTEN · SCHLUSS	Setze; halte; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokshdy	Setze den Stationsposten [wie zuvor] im Stationsgang an und halte den Stationsposten [wie zuvor]; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
