root_a	value_a_de	root_b	value_b_de	same_structural_category	shared_exact_substitution_frame_count	weighted_frame_overlap_event_count	weighted_frame_jaccard	shared_frame_examples	shared_frame_page_union
Y	POSTEN	OT	DANACH	NO	9	15	0.007657	{SLOT} | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CHD+Y | {SLOT}+O+AR | {SLOT}+O+DY | {SLOT}+OL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	AR	AUSGANG	NO	6	13	0.011993	SH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+CH+EE+Y | {SLOT}+OL | {SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OR	EINHEIT	T	EINSTELLEN	NO	8	13	0.023679	CH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+CH+OR | {SLOT}+Y	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	OR	EINHEIT	NO	8	13	0.014706	L+{SLOT} | OK+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+O | {SLOT}+OR | {SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	OR	EINHEIT	NO	8	12	0.010939	D_ADDR+{SLOT}+Y | L+{SLOT} | OK+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+OR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	P	EINSETZEN	NO	6	11	0.021956	CH+{SLOT}+Y | OL+{SLOT} | {SLOT}+CHD+DY | {SLOT}+OL | {SLOT}+SH+E+DY | {SLOT}+Y	f11r|f1r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r
AIIN	WERT	CHD	UMSETZEN	NO	7	10	0.013831	AL+{SLOT} | D_ADDR+{SLOT}+Y | L+{SLOT} | OK+{SLOT} | T+{SLOT} | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	AIIN	WERT	NO	6	10	0.010941	CH+{SLOT} | D_ADDR+{SLOT}+Y | OL+{SLOT}+Y | SH+E+{SLOT} | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CHD	UMSETZEN	P	EINSETZEN	YES	7	9	0.019912	D_ADDR+{SLOT}+Y | K+OL+{SLOT}+Y | O+{SLOT}+AR | O+{SLOT}+Y | {SLOT}+AR | {SLOT}+OL | {SLOT}+Y	f13r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v
AR	AUSGANG	T	EINSTELLEN	NO	5	8	0.013093	Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+OL | {SLOT}+Y	f10r|f11r|f13r|f1r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	AR	AUSGANG	NO	7	8	0.006908	D_ADDR+{SLOT}+AIIN | D_ADDR+{SLOT}+OR | L+{SLOT} | OK+{SLOT} | OT+{SLOT}+Y | {SLOT} | {SLOT}+AIIN	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
L	VERBINDUNG	AIR	LAUF	YES	3	8	0.026230	CH+{SLOT} | S+{SLOT} | {SLOT}	f10r|f1r|f55v|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r
OK	SETZEN	AIIN	WERT	NO	4	8	0.006678	OL+{SLOT}+Y | SH+{SLOT} | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	AR	AUSGANG	NO	4	8	0.011799	{SLOT} | {SLOT}+AIIN | {SLOT}+OL | {SLOT}+Y	f10r|f11r|f13r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	AIR	LAUF	NO	4	7	0.013258	CH+{SLOT} | S+{SLOT}+AL | Y+CH+{SLOT} | {SLOT}	f10r|f13r|f18r|f24v|f67r2|f72r|f76r|f83r|f88v|f89r|f95v
S	WÄHLEN	P	EINSETZEN	YES	6	7	0.015251	CH+E+{SLOT} | CH+O+{SLOT} | OL+{SLOT} | {SLOT}+AR | {SLOT}+OL+D_ADDR+Y | {SLOT}+SH+E+DY	f17r|f1r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r
SH	HALTEN	AIIN	WERT	NO	4	7	0.006629	L+{SLOT} | OK+{SLOT} | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	P	EINSETZEN	NO	7	7	0.003968	CH+E+{SLOT} | OL+{SLOT} | {SLOT}+AR | {SLOT}+CHD+Y | {SLOT}+OL | {SLOT}+SH+E+DY | {SLOT}+Y	f10r|f18r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r
CH	NEHMEN	AIIN	WERT	NO	5	6	0.004728	D_ADDR+{SLOT}+Y | L+{SLOT} | OK+{SLOT} | OL+{SLOT}+Y | {SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	AIN	ANTEIL	NO	3	6	0.008264	SH+E+{SLOT} | Y+{SLOT} | {SLOT}	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v
OR	EINHEIT	P	EINSETZEN	NO	6	6	0.014286	CARRIER_Q+O+{SLOT} | CH+{SLOT}+CH+Y | D_ADDR+{SLOT}+Y | OL+{SLOT} | {SLOT}+CH+OR | {SLOT}+Y	f10r|f13r|f56r|f71v|f75r|f76r|f81v|f82r|f83r|f88r|f89r|f95v
R	MARKIEREN	AIR	LAUF	NO	2	6	0.039735	CH+{SLOT} | {SLOT}	f10r|f1r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r
S	WÄHLEN	AIR	LAUF	NO	2	6	0.017493	CH+{SLOT} | {SLOT}	f10r|f11r|f13r|f1r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	AIN	ANTEIL	NO	3	6	0.006936	L+{SLOT} | OK+{SLOT} | {SLOT}	f10r|f11r|f18r|f1r|f24v|f55v|f56r|f67r2|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
SH	HALTEN	P	EINSETZEN	YES	5	6	0.007643	O+{SLOT}+E+Y | {SLOT}+AR | {SLOT}+OL | {SLOT}+OL+D_ADDR+Y | {SLOT}+Y	f13r|f17r|f18r|f1r|f24v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f83r|f88r|f89r|f95v
CH	NEHMEN	P	EINSETZEN	YES	5	5	0.005010	D_ADDR+{SLOT}+Y | O+{SLOT}+E+Y | SH+E+{SLOT}+Y | Y+{SLOT}+AIR | Y+{SLOT}+O+D_ADDR	f13r|f17r|f18r|f67r2|f71v|f75r|f76r|f83r
CHD	UMSETZEN	AIN	ANTEIL	NO	4	5	0.009328	L+{SLOT} | OK+{SLOT} | T+{SLOT} | {SLOT}	f10r|f11r|f18r|f1r|f55v|f67r2|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
OK	SETZEN	AIN	ANTEIL	NO	1	5	0.004955	{SLOT}	f10r|f11r|f18r|f1r|f24v|f55v|f56r|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v
OK	SETZEN	AIR	LAUF	NO	1	5	0.006158	{SLOT}	f1r|f24v|f56r|f67r2|f72r|f75r|f89r
SH	HALTEN	AIR	LAUF	NO	2	5	0.007474	OK+{SLOT} | {SLOT}	f1r|f24v|f56r|f67r2|f72r|f75r|f77r|f81r|f83r|f89r|f95v
AIIN	WERT	P	EINSETZEN	NO	4	4	0.006803	CARRIER_Q+O+{SLOT} | D_ADDR+{SLOT}+Y | OL+{SLOT} | {SLOT}+Y	f13r|f17r|f18r|f55v|f72r|f75r|f76r|f77r|f81r|f81v|f88v|f89r|f95v
AIIN	WERT	T	EINSTELLEN	NO	4	4	0.005525	CH+{SLOT} | OL+{SLOT}+Y | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f18r|f1r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	P	EINSETZEN	NO	4	4	0.008351	CH+E+{SLOT} | OL+{SLOT} | {SLOT}+OL | {SLOT}+Y	f17r|f1r|f24v|f67r2|f71v|f75r|f76r|f77r|f81r|f83r|f88r|f89r
CH	NEHMEN	AIN	ANTEIL	NO	3	4	0.003707	L+{SLOT} | OK+{SLOT} | {SLOT}	f10r|f11r|f18r|f1r|f24v|f55v|f67r2|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
CH	NEHMEN	AIR	LAUF	NO	3	4	0.004535	OK+{SLOT} | Y+P+{SLOT} | {SLOT}	f10r|f17r|f24v|f55v|f67r2|f72r|f75r|f81r|f83r|f89r
R	MARKIEREN	P	EINSETZEN	YES	4	4	0.014815	{SLOT}+CHD+Y | {SLOT}+OL | {SLOT}+SH+E+DY | {SLOT}+Y	f75r|f76r|f77r|f81v|f82r|f83r
CHD	UMSETZEN	AIR	LAUF	NO	2	3	0.008798	OK+{SLOT} | {SLOT}	f55v|f67r2|f72r|f75r|f77r|f81r|f83r|f89r
OT	DANACH	AIIN	WERT	NO	2	3	0.003788	{SLOT} | {SLOT}+Y	f10r|f11r|f13r|f18r|f1r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIN	ANTEIL	P	EINSETZEN	NO	2	2	0.005025	CARRIER_Q+O+{SLOT} | OL+{SLOT}	f1r|f76r|f81v|f89r|f95v
OT	DANACH	AIN	ANTEIL	NO	1	2	0.003328	{SLOT}	f10r|f11r|f18r|f1r|f55v|f56r|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v
OT	DANACH	AIR	LAUF	NO	1	2	0.004950	{SLOT}	f56r|f67r2|f72r|f76r|f89r
T	EINSTELLEN	AIN	ANTEIL	NO	2	2	0.003745	Y+{SLOT} | {SLOT}	f10r|f11r|f18r|f1r|f55v|f56r|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v
T	EINSTELLEN	AIR	LAUF	NO	2	2	0.005935	CH+{SLOT} | {SLOT}	f10r|f56r|f67r2|f72r|f89r
P	EINSETZEN	AIR	LAUF	NO	0	0	0.000000	NONE	NONE
