head	surface_I	surface_II	surface_III	surface_IV	count_I	count_II	count_III	count_IV	stable_I	stable_II	stable_III	stable_IV	distinct_values	present_values	complete_I_II_III	complete_I_II_III_IV	occurrences	pages	herbal_occurrences
shsoda	shsodan	shsodain	shsodaiin	shsodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
shta	shtan	shtain	shtaiin	shtaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
shyka	shykan	shykain	shykaiin	shykaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
soka	sokan	sokain	sokaiin	sokaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
sota	sotan	sotain	sotaiin	sotaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
sotcha	sotchan	sotchain	sotchaiin	sotchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
sotchda	sotchdan	sotchdain	sotchdaiin	sotchdaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
sotoda	sotodan	sotodain	sotodaiin	sotodaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
spa	span	spain	spaiin	spaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
sqokeoda	sqokeodan	sqokeodain	sqokeodaiin	sqokeodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ssheoda	ssheodan	ssheodain	ssheodaiin	ssheodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
syka	sykan	sykain	sykaiin	sykaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
tada	tadan	tadain	tadaiin	tadaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
talda	taldan	taldain	taldaiin	taldaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
tarara	tararan	tararain	tararaiin	tararaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
taroda	tarodan	tarodain	tarodaiin	tarodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
taza	tazan	tazain	tazaiin	tazaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
tchea	tchean	tcheain	tcheaiin	tcheaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
tcheda	tchedan	tchedain	tchedaiin	tchedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
tcheoda	tcheodan	tcheodain	tcheodaiin	tcheodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
tchka	tchkan	tchkain	tchkaiin	tchkaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
tcholka	tcholkan	tcholkain	tcholkaiin	tcholkaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
tea	tean	teain	teaiin	teaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
tedyka	tedykan	tedykain	tedykaiin	tedykaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
teeola	teeolan	teeolain	teeolaiin	teeolaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
teoda	teodan	teodain	teodaiin	teodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
teodka	teodkan	teodkain	teodkaiin	teodkaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
teolkeda	teolkedan	teolkedain	teolkedaiin	teolkedaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
tera	teran	terain	teraiin	teraiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
todala	todalan	todalain	todalaiin	todalaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
tola	tolan	tolain	tolaiin	tolaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
tolchda	tolchdan	tolchdain	tolchdaiin	tolchdaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
topa	topan	topain	topaiin	topaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
tora	toran	torain	toraiin	toraiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
tsha	tshan	tshain	tshaiin	tshaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
tsheda	tshedan	tshedain	tshedaiin	tshedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
tshoda	tshodan	tshodain	tshodaiin	tshodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ychda	ychdan	ychdain	ychdaiin	ychdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
ycheeda	ycheedan	ycheedain	ycheedaiin	ycheedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
ycheeytyda	ycheeytydan	ycheeytydain	ycheeytydaiin	ycheeytydaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
ycheoda	ycheodan	ycheodain	ycheodaiin	ycheodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ycheosa	ycheosan	ycheosain	ycheosaiin	ycheosaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ychklka	ychklkan	ychklkain	ychklkaiin	ychklkaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ychta	ychtan	ychtain	ychtaiin	ychtaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
yckhoda	yckhodan	yckhodain	yckhodaiin	yckhodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
yefa	yefan	yefain	yefaiin	yefaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
yfoda	yfodan	yfodain	yfodaiin	yfodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
yfola	yfolan	yfolain	yfolaiin	yfolaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
ykala	ykalan	ykalain	ykalaiin	ykalaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ykalka	ykalkan	ykalkain	ykalkaiin	ykalkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ykara	ykaran	ykarain	ykaraiin	ykaraiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
ykcheoda	ykcheodan	ykcheodain	ykcheodaiin	ykcheodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ykchoda	ykchodan	ykchodain	ykchodaiin	ykchodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
ykea	ykean	ykeain	ykeaiin	ykeaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ykeda	ykedan	ykedain	ykedaiin	ykedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ykeeoda	ykeeodan	ykeeodain	ykeeodaiin	ykeeodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ykeesa	ykeesan	ykeesain	ykeesaiin	ykeesaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
ykoa	ykoan	ykoain	ykoaiin	ykoaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ylka	ylkan	ylkain	ylkaiin	ylkaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
yota	yotan	yotain	yotaiin	yotaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
ypcha	ypchan	ypchain	ypchaiin	ypchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ypchda	ypchdan	ypchdain	ypchdaiin	ypchdaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ypoda	ypodan	ypodain	ypodaiin	ypodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ysha	yshan	yshain	yshaiin	yshaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
yshda	yshdan	yshdain	yshdaiin	yshdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ysheda	yshedan	yshedain	yshedaiin	yshedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
ysheoda	ysheodan	ysheodain	ysheodaiin	ysheodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ysheoka	ysheokan	ysheokain	ysheokaiin	ysheokaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
ytcha	ytchan	ytchain	ytchaiin	ytchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ytchoda	ytchodan	ytchodain	ytchodaiin	ytchodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ytea	ytean	yteain	yteaiin	yteaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
ytoda	ytodan	ytodain	ytodaiin	ytodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
