statement_id	page	record	clean_instruction_de	refined_cue_words	refined_component_sequence	refined_component_set	observed_component_set_after_reveal	exact_component_set	missing_components	extra_components	packed_recipe_sequence	observed_recipe_sequence_after_reveal	predicted_cards	observed_cards	card_count_delta	exact_recipe_sequence	generation_contract
B3-S034	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	Arbeitsgang | Arbeitsstufe | Posten | bereitet | anwenden | danach | Sollmass | Zielstelle | weiterfuehren | absetzen | schliessen	O+IIN+Y+CTH+T+OT+AIIN+AL+OL+SHED+DY	AIIN+AL+CTH+DY+IIN+O+OL+OT+SHED+T+Y	AIIN+AL+CTH+DY+IIN+O+OL+OT+SHED+T+Y	YES	NONE	NONE	O+IIN | CTH+Y | UNPACKED(T) | OT+AIIN | AL | OL | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	7	6	1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S001	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	Laenger | ansetzen | schliessen	EE+OK+DY	DY+EE+OK	DY+EE+OK	YES	NONE	NONE	OK+EE+DY	OK+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S002	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	Posten | weiterarbeiten | laenger | ansetzen | kurz | ansetzen | schliessen	Y+OL+EE+OK+E+OK+DY	DY+E+EE+OK+OL+Y	DY+E+EE+OK+OL+Y	YES	NONE	NONE	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	3	3	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S003	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, absetzen und schliessen.	Posten | umsetzen | danach | Zielstelle | naechsten | Posten | laenger | ansetzen | weiter | ansetzen | weiterarbeiten | absetzen | schliessen	Y+CHD+OT+AL+OT+Y+EE+OK+OL+OK+OL+SHED+DY	AL+CHD+DY+EE+OK+OL+OT+SHED+Y	AL+CHD+DY+EE+OK+OL+OT+SHED+Y	YES	NONE	NONE	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	6	7	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S004	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	Posten | ansetzen | befestigen | schliessen	Y+OK+LD+DY	DY+LD+OK+Y	DY+LD+OK+Y	YES	NONE	NONE	OK+Y+LD+DY	OK+Y+LD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S005	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	Portion | Posten | umsetzen | laenger | ansetzen | schliessen	AIN+Y+CHD+EE+OK+DY	AIN+CHD+DY+EE+OK+Y	AIN+CHD+DY+EE+OK+Y	YES	NONE	NONE	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S006	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	Kurz | Durchlass | halten | schliessen	E+CKH+SH+DY	CKH+DY+E+SH	CKH+DY+E+SH	YES	NONE	NONE	SH+CKH+E+DY	SH+CKH+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S007	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	Kurz | Durchlass | halten | schliessen	E+CKH+SH+DY	CKH+DY+E+SH	CKH+DY+E+SH	YES	NONE	NONE	SH+CKH+E+DY	SH+CKH+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S008	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	Sollmass | Posten | laenger | erwaermen | laenger | halten | kurz | ansetzen | schliessen	AIIN+Y+EE+CHK+EE+SH+E+OK+DY	AIIN+CHK+DY+E+EE+OK+SH+Y	AIIN+CHK+DY+E+EE+OK+SH+Y	YES	NONE	NONE	AIIN | CHK+EE+Y | UNPACKED(EE) | OK+SH+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S009	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.	Absetzen | schliessen	SHED+DY	DY+SHED	DY+SHED	YES	NONE	NONE	SHED+DY	SHED+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S010	f83r	B4	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	Weiterarbeiten | schliessen	OL+DY	DY+OL	DY+OL	YES	NONE	NONE	OL+DY	OL+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S011	f83r	B4	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	Sollmass | Posten | kurz | erwaermen | laenger | weiter | ansetzen | Portion | ansetzen | Posten | umsetzen | weiterarbeiten | kurz | leiten | zugeben | schliessen	AIIN+Y+E+CHK+EE+OL+OK+AIN+OK+Y+CHD+OL+E+L+K+DY	AIIN+AIN+CHD+CHK+DY+E+EE+K+L+OK+OL+Y	AIIN+AIN+CHD+CHK+DY+E+EE+K+L+OK+OL+Y	YES	NONE	NONE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	7	7	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S012	f83r	B4	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	Leiten | umsetzen | schliessen	L+CHD+DY	CHD+DY+L	CHD+DY+L	YES	NONE	NONE	L+CHD+DY	L+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S013	f83r	B4	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	Weiter | ansetzen | absetzen | schliessen	OL+OK+SHED+DY	DY+OK+OL+SHED	DY+OK+OL+SHED	YES	NONE	NONE	OK+OL | SHED+DY	OK+OL | SHED+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S014	f83r	B4	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	Ansatz | Posten | kurz | Arbeitsgang | Durchlass | Fluessigkeit | Posten | schliessen	OR+Y+E+O+CKH+AIR+Y+DY	AIR+CKH+DY+E+O+OR+Y	AIR+CKH+DY+E+O+OR+Y	YES	NONE	NONE	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	3	4	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S015	f83r	B4	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.	Portion | ansetzen | Posten | laenger | halten | Portion | zugeben | Durchlass | Zielstelle | entnehmen | kurz | Sammelstelle | leiten | umsetzen | schliessen	AIN+OK+Y+EE+SH+AIN+K+CKH+AL+CH+E+SOLK+L+CHD+DY	AIN+AL+CH+CHD+CKH+DY+E+EE+K+L+OK+SH+SOLK+Y	AIN+AL+CH+CHD+CKH+DY+E+EE+K+L+OK+SH+SOLK+Y	YES	NONE	NONE	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | UNPACKED(E) | UNPACKED(SOLK) | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	7	6	1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B4-S016	f83r	B4	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.	Portion | weiter | zugeben | Zielstelle | Quelle | absetzen | schliessen	AIN+OL+K+AL+AR+SHED+DY	AIN+AL+AR+DY+K+OL+SHED	AIN+AL+AR+DY+K+OL+SHED	YES	NONE	NONE	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B5-S001	f83r	B5	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	Danach | umsetzen | schliessen	OT+CHD+DY	CHD+DY+OT	CHD+DY+OT	YES	NONE	NONE	OT+CHD+DY	OT+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B5-S002	f83r	B5	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	Ansetzen | umsetzen | schliessen	OK+CHD+DY	CHD+DY+OK	CHD+DY+OK	YES	NONE	NONE	OK+CHD+DY	OK+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B5-S003	f83r	B5	An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	Zielstelle | absetzen | weiterarbeiten | leiten | weiterarbeiten | Zielstelle | umsetzen | Sollmass | weiterarbeiten | zweiten Durchgang | Arbeitsstufe | Posten | umsetzen	AL+SHED+OL+L+OL+AL+CHD+AIIN+OL+DA+IIN+Y+CHD	AIIN+AL+CHD+DA+IIN+L+OL+SHED+Y	AIIN+AL+CHD+DA+IIN+L+OL+SHED+Y	YES	NONE	NONE	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	8	9	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B6-S001	f83r	B6	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	Posten | laenger | Sammelstelle | kurz | zugeben | Zielstelle | kuehlen | Sollmass | weiterarbeiten | Portion | Ansatz | Zielstelle | leiten	Y+EE+SOLK+E+K+AL+R+AIIN+OL+AIN+OR+AL+L	AIIN+AIN+AL+E+EE+K+L+OL+OR+R+SOLK+Y	AIIN+AIN+AL+E+EE+K+L+OL+OR+R+SOLK+Y	YES	NONE	NONE	SOLK+EE+Y | UNPACKED(E) | K+AL | UNPACKED(R) | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	8	9	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
