event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface	selected_segmentation	card_default_de	contextual_reading_de	concrete_fragment_de
341	E341	B4	f83r	f83r.35	F120	B4-S011	1645e612504fcef59ced	okain	OK+AIN	PORTION ZUGEBEN	PORTION ZUGEBEN	eine Portion zugeben
342	E342	B4	f83r	f83r.35	F120	B4-S011	6f7ff8287eddf4da9fdb	chdy	CH+E+DY	RÜHREN	RÜHREN	rühren
343	E343	B4	f83r	f83r.37	F121	B4-S011	dcda95c81a5460feb191	sol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
344	E344	B4	f83r	f83r.37	F121	B4-S011	b958a512ca6a3559e86e	lkedy	LK+E+DY	WASCHEN	WASCHEN	waschen
345	E345	B4	f83r	f83r.37	F122	B4-S012	de7321bface5628e35d6	lchedy	L+CH+E+DY	ABFÜHREN	ABFÜHREN	abführen
346	E346	B4	f83r	f83r.37	F123	B4-S013	232195d6ff2f326322f7	qokol	QOK+OL	EINLAUF	EINLAUF	einlauf
347	E347	B4	f83r	f83r.37	F123	B4-S013	bc4f1f5c006c74a4d26d	shedy	CH/SH/T+E+DY	RUHEN LASSEN	RUHEN LASSEN	ruhen lassen
348	E348	B4	f83r	f83r.38	F124	B4-S014	7a4bb8136330ee4e6e56	or	OR	ANSATZ	BADEANSATZ	badeansatz
349	E349	B4	f83r	f83r.38	F124	B4-S014	b921a237be883a820352	chey	Y	ZUBEREITUNG	BADEZUBEREITUNG	badezubereitung
350	E350	B4	f83r	f83r.38	F124	B4-S014	ecce30bc8dcc400bf2c8	qockhey	QOCKH+E+Y	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
351	E351	B4	f83r	f83r.38	F124	B4-S014	8aedd154964a78e555d6	dairydy	D+AIR+Y+DY	FRISCHER ABFLUSS	FRISCHER ABFLUSS	frischer abfluss
352	E352	B4	f83r	f83r.39	F125	B4-S015	1645e612504fcef59ced	qokain	OK+AIN	PORTION ZUGEBEN	PORTION ZUGEBEN	eine Portion zugeben
353	E353	B4	f83r	f83r.39	F125	B4-S015	b5df9126607030b95175	shey	CH/SH+EE+Y	KLARGRAD	KLARES BADWASSER	klares badwasser
354	E354	B4	f83r	f83r.39	F125	B4-S015	9da1b6ac2c929daea697	kain	K+AIN	PORTION	PORTION	portion
355	E355	B4	f83r	f83r.39	F125	B4-S015	21ed2873b71e57269c08	chckhal	CH+CKH+AL	LEITUNGSSTELLE	LEITUNGSSTELLE	leitungsstelle
356	E356	B4	f83r	f83r.41	F126	B4-S015	42cdc187d5b9ffc60063	solkey	SOLK+E+Y	OBEREN LAUF ÖFFNEN	OBEREN LAUF ÖFFNEN	oberen lauf öffnen
357	E357	B4	f83r	f83r.41	F126	B4-S015	de7321bface5628e35d6	lchedy	L+CH+E+DY	ABFÜHREN	ABFÜHREN	abführen
358	E358	B4	f83r	f83r.41	F127	B4-S016	94df4847b7b16c98394a	qolkain	OL+K+AIN	BECKENFÜLLUNG	BECKENFÜLLUNG	beckenfüllung
359	E359	B4	f83r	f83r.41	F127	B4-S016	dd0ecaf5e27d81befffc	dal	AL	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
360	E360	B4	f83r	f83r.44	F128	B4-S016	883a6708116c342cb10b	skar	SK+AR	WARMES WASSER	WARMES WASSER	warmes wasser
361	E361	B4	f83r	f83r.44	F128	B4-S016	bc4f1f5c006c74a4d26d	shedy	CH/SH/T+E+DY	RUHEN LASSEN	RUHEN LASSEN	ruhen lassen
362	E362	B5	f83r	f83r.47	F129	B5-S001	601b77449028deed39de	otchdy	OT+CH+DY	ABZIEHEN	ABZIEHEN	abziehen
363	E363	B5	f83r	f83r.47	F130	B5-S002	87411f84689b4f93a303	qokchdy	QOK+CH+DY	ERWÄRMEN	ERWÄRMEN	erwärmen
364	E364	B5	f83r	f83r.47	F131	B5-S003	abb23e5e6936b4147f76	shedal	SH+ED+AL	EINWIRKSTELLE	EINWIRKSTELLE	einwirkstelle
365	E365	B5	f83r	f83r.48	F132	B5-S003	dd0ecaf5e27d81befffc	dal	AL	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
366	E366	B5	f83r	f83r.48	F132	B5-S003	dcda95c81a5460feb191	cheol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
367	E367	B5	f83r	f83r.48	F132	B5-S003	8c97dfde96fbc78e3355	lol	L+OL	BADWÄRME	BADWÄRME	badwärme
368	E368	B5	f83r	f83r.48	F132	B5-S003	00d8ebe3c68294eeac39	chdal	CH+D+AL	ABNAHMESTELLE	ABNAHMESTELLE	abnahmestelle
369	E369	B5	f83r	f83r.48	F132	B5-S003	2f1c5e56e8f0ff459065	aiin	A+IIN	MASS	MASS	mass
370	E370	B5	f83r	f83r.49	F133	B5-S003	dcda95c81a5460feb191	sol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
371	E371	B5	f83r	f83r.49	F133	B5-S003	fcc1deda9e24ec268eb0	daiiin	WHOLE(DAIIIN:ZWEITE ÖFFNUNG)	ZWEITE ÖFFNUNG	ZWEITE ÖFFNUNG	zweite öffnung
372	E372	B5	f83r	f83r.49	F133	B5-S003	6f7ff8287eddf4da9fdb	chedy	CH+E+DY	RÜHREN	RÜHREN	rühren
373	E373	B6	f83r	f83r.52	F134	B6-S001	1bfd786e6b8b63734a59	solkeey	SOLKE+E+Y	BECKEN BEREITEN	BECKEN BEREITEN	becken bereiten
374	E374	B6	f83r	f83r.52	F134	B6-S001	43eb9aa12959b4d5cdc9	qekey	QEK+E+Y	LAUWARM	LAUWARM	lauwarm
375	E375	B6	f83r	f83r.52	F134	B6-S001	3e9c7f217843b588489d	raly	R+AL+Y	ERSTE STELLE	ERSTE STELLE	erste stelle
376	E376	B6	f83r	f83r.52	F134	B6-S001	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
377	E377	B6	f83r	f83r.54	F135	B6-S001	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
378	E378	B6	f83r	f83r.54	F135	B6-S001	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
379	E379	B6	f83r	f83r.54	F135	B6-S001	53cd0637c6820ba5e91f	dain	D+AIN	ABGEZOGENE PORTION	ABGEZOGENE PORTION	abgezogene portion
380	E380	B6	f83r	f83r.54	F135	B6-S001	b921a237be883a820352	chey	Y	ZUBEREITUNG	BADEZUBEREITUNG	badezubereitung
381	E381	B6	f83r	f83r.54	F135	B6-S001	97ddca78c9ebcc956d04	ldalor	L+D+AL+OR	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
