token_ordinal_global	line_ordinal	page	locus	token_index	eva	statement_ordinal	statement_id	gdt589_surface_match	route	transfer_class	working_meaning_de	contextual_render_de	composition	semantic_features	contextual_semantic_features	confidence	v48_source	v48_scope_state	v48_priority	occurrence_override	join_direction	join_surface	value_attachment
151	19	f1r	f1r.19	7	cthols	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Charge Krautdrogenstoff	Charge Krautdrogenstoff	CTH_HERB+OL_MATERIAL+S_TERM_SPECIES	MATERIAL	MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
152	19	f1r	f1r.19	8	dloo	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Holzdroge abmessen und zweimal ansetzen	Holzdroge abmessen und zweimal ansetzen	LEARNED_DLOO_WHOLE	ACTION+MATERIAL	ACTION+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
153	20	f1r	f1r.20	1	shok	5	G407-S005	1	EXACT_V48	E	Feuchtansatz erhitzen	Feuchtansatz erhitzen	EXACT_V48_CARD	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	GDT665:CONTEXT_SHORT_DEFAULT	KNOWN_CONTEXT_LICENSED	230	0	NONE	NONE	0
154	20	f1r	f1r.20	2	chor	5	G407-S005	1	EXACT_V48	E	Pflanzen-/Reproduktionsteil	Pflanzen-/Reproduktionsteil	EXACT_V48_CARD	DESCRIPTOR	DESCRIPTOR	INHERITED_CONTEXT_SPLIT	V13:PART_OR_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
155	20	f1r	f1r.20	3	chey	5	G407-S005	1	EXACT_V48	E	trocken in der Mitte des Grades	trocken in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
156	20	f1r	f1r.20	4	dain	5	G407-S005	1	EXACT_V48	E	Grad-/Maßwert II	zwei Maße des folgenden Kompositums	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
157	20	f1r	f1r.20	5	ckhey	5	G407-S005	1	EXACT_V48	E	Arzneikompositum in der Gradmitte	Arzneikompositum in der Gradmitte	EXACT_V48_CARD	STAGE+MATERIAL	STAGE+MATERIAL	EXACT_WHOLE_FAMILY_EXTENSION	GDT652:STRONG_NEUTRAL_CKH_FAMILY	KNOWN_EXACT_WHOLE	148	0	NONE	NONE	0
158	21	f1r	f1r.21	1	otol	5	G407-S005	1	EXACT_V48	E	kaltes Zubereitungsgut	kaltes Zubereitungsgut	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	EXACT_WHOLE_COMPOSITIONAL_COMPLETION	GDT648:STRICT_WHOLE_COMPLETION	KNOWN_EXACT_WHOLE	140	0	NONE	NONE	0
159	21	f1r	f1r.21	2	daiiin	5	G407-S005	1	EXACT_V48	E	Grad-/Maßwert IV	vier Maße des vorstehenden kalten Zubereitungsguts	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL+STATE	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
160	22	f1r	f1r.22	1	cpho	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	Kompositumansatz	Kompositumansatz	CPH_COMPOSITE+O_PREP	MATERIAL	MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
161	22	f1r	f1r.22	2	shaiin	6	G407-S006	1	EXACT_V48	E	feucht, Grad III	feucht, Grad III	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	PRODUCTIVE_EXACT_SERIES	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	0
162	22	f1r	f1r.22	3	shokcheey	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	Feuchtansatz erhitzen, vollständig trocknen und abschließen	Feuchtansatz erhitzen, vollständig trocknen und abschließen	SH_MOIST+O_PREP+K_HOT+CH_DRY+EE_END+Y_START_OR_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
163	22	f1r	f1r.22	4	chol	6	G407-S006	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
164	22	f1r	f1r.22	5	tshodeesy	6	G407-S006	1	LOCAL_WHOLE_HYPOTHESIS	W	kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen	kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen	LEARNED_TSHODEESY_WHOLE	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
165	22	f1r	f1r.22	6	shey	6	G407-S006	1	EXACT_V48	E	feucht in der Mitte des Grades	feucht in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
166	22	f1r	f1r.22	7	pydeey	6	G407-S006	1	LOCAL_WHOLE_HYPOTHESIS	W	Enddosis Pulver abmessen und abschließen	Enddosis Pulver abmessen und abschließen	LEARNED_PYDEEY_WHOLE	ACTION+MATERIAL	ACTION+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
167	22	f1r	f1r.22	8	cha	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	ein Teil Trockendroge	ein Teil Trockendroge	CH_DRY+A_PART_OR_LINK	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
168	22	f1r	f1r.22	9	ro	6	G407-S006	1	EXACT_V48	E	Wurzelansatz	Wurzelansatz	EXACT_V48_CARD	MATERIAL	MATERIAL	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	GDT669:CONTEXT_SHORT_DEFAULT	KNOWN_CONTEXT_LICENSED	165	0	NONE	NONE	0
169	22	f1r	f1r.22	10	dar	6	G407-S006	1	EXACT_V48	E	abgemessene Fraktion I	abgemessene Fraktion I	EXACT_V48_CARD	QUANTITY	QUANTITY	EXACT_WHOLE_FAMILY_EXTENSION	GDT649:STRONG_FAMILY_DEFAULT	KNOWN_EXACT_WHOLE	145	0	NONE	NONE	0
170	23	f1r	f1r.23	1	ydoin	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	hiervon eine Ansatzportion der Form II abmessen	hiervon eine Ansatzportion der Form II abmessen	Y_REFERENCE+D_MEASURE+O_PREP+IN_FORM_II	ACTION+QUANTITY+FORM+REFERENCE+MATERIAL	ACTION+QUANTITY+FORM+REFERENCE+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
171	23	f1r	f1r.23	2	chol	6	G407-S006	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
172	23	f1r	f1r.23	3	dain	6	G407-S006	1	EXACT_V48	E	Grad-/Maßwert II	zwei Maße der vorstehenden Trockendroge	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL+STATE	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
173	23	f1r	f1r.23	4	cthal	6	G407-S006	1	EXACT_V48	E	Kraut- oder Blattdroge aus Rohdroge I	Kraut- oder Blattdroge aus Rohdroge I	EXACT_V48_CARD	MATERIAL	MATERIAL	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT669:EXACT_WHOLE	KNOWN_EXACT_WHOLE	165	0	NONE	NONE	0
174	23	f1r	f1r.23	5	dar	6	G407-S006	1	EXACT_V48	E	abgemessene Fraktion I	abgemessene Fraktion I	EXACT_V48_CARD	QUANTITY	QUANTITY	EXACT_WHOLE_FAMILY_EXTENSION	GDT649:STRONG_FAMILY_DEFAULT	KNOWN_EXACT_WHOLE	145	0	NONE	NONE	0
175	23	f1r	f1r.23	6	shear	6	G407-S006	1	EXACT_V48	E	erste Fraktion bis zur Mittelstufe einweichen	erste Fraktion bis zur Mittelstufe einweichen	EXACT_V48_CARD	ACTION+QUANTITY+STAGE	ACTION+QUANTITY+STAGE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT669:EXACT_WHOLE	KNOWN_EXACT_WHOLE	165	0	NONE	NONE	0
176	23	f1r	f1r.23	7	kaiin	6	G407-S006	1	EXACT_V48	E	heiß, Grad III	heiß, Grad III	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
177	23	f1r	f1r.23	8	dar	6	G407-S006	1	EXACT_V48	E	abgemessene Fraktion I	abgemessene Fraktion I	EXACT_V48_CARD	QUANTITY	QUANTITY	EXACT_WHOLE_FAMILY_EXTENSION	GDT649:STRONG_FAMILY_DEFAULT	KNOWN_EXACT_WHOLE	145	0	NONE	NONE	0
178	23	f1r	f1r.23	9	shey	6	G407-S006	1	EXACT_V48	E	feucht in der Mitte des Grades	feucht in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
179	23	f1r	f1r.23	10	cthar	6	G407-S006	1	EXACT_V48	E	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_SURFACE_COMPONENT_REPAIR	GDT639:ROUND_04	KNOWN_EXACT_WHOLE	120	0	NONE	NONE	0
180	24	f1r	f1r.24	1	cho	6	G407-S006	1	EXACT_V48	E	Trockenansatz	Trockenansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	CONTEXT_STRONG	GDT661:EXACT_WHOLE	KNOWN_EXACT_WHOLE	220	0	NONE	NONE	0
181	24	f1r	f1r.24	2	o	6	G407-S006	1	EXACT_V48	E	Ansatzwasser	Ansatzwasser	EXACT_V48_CARD	MATERIAL	MATERIAL	LOW_EXPLORATORY	GDT664:CONTEXT_SHORT_DEFAULT	KNOWN_CONTEXT_LICENSED	230	0	NONE	NONE	0
182	24	f1r	f1r.24	3	kaiin	6	G407-S006	1	EXACT_V48	E	heiß, Grad III	heiß, Grad III	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
183	24	f1r	f1r.24	4	shoaiin	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	drei Teile Feuchtansatz	drei Teile Feuchtansatz	SH_MOIST+O_PREP+AIIN_III	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
184	24	f1r	f1r.24	5	okol	6	G407-S006	1	EXACT_V48	E	heißer Ansatzstoff	heißer Ansatzstoff	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT665:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
185	24	f1r	f1r.24	6	daiin	6	G407-S006	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße des vorstehenden heißen Ansatzstoffs	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL+STATE	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
186	24	f1r	f1r.24	7	far	6	G407-S006	1	EXACT_V48	E	Pflanzendroge	Pflanzendroge	EXACT_V48_CARD	MATERIAL	MATERIAL	LOW_EXPLORATORY	GDT662:EXACT_WHOLE	KNOWN_EXACT_WHOLE	225	0	NONE	NONE	0
187	24	f1r	f1r.24	8	cthol	6	G407-S006	1	EXACT_V48	E	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_ZL3B_WHOLE_DOWNSTREAM_COMPLETION	GDT644:ROUND_02	KNOWN_EXACT_WHOLE	125	0	NONE	NONE	0
188	24	f1r	f1r.24	9	daiin	6	G407-S006	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße des vorstehenden Krautdrogenstoffs	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
189	24	f1r	f1r.24	10	ctholdar	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	erste Fraktion Krautdrogenstoff abmessen	erste Fraktion Krautdrogenstoff abmessen	CTH_HERB+OL_MATERIAL+D_MEASURE+AR_FRACTION_I	ACTION+QUANTITY+MATERIAL	ACTION+QUANTITY+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
190	25	f1r	f1r.25	1	ycheey	6	G407-S006	1	EXACT_V48	E	trockne hiervon bis zur Endstufe	trockne hiervon bis zur Endstufe	EXACT_V48_CARD	ACTION+STAGE+REFERENCE	ACTION+STAGE+REFERENCE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT665:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
191	25	f1r	f1r.25	2	okeey	6	G407-S006	1	EXACT_V48	E	heißer Ansatz am Ende des Grades	heißer Ansatz am Ende des Grades	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
192	25	f1r	f1r.25	3	oky	6	G407-S006	1	EXACT_V48	E	heißer Ansatz am Anfang des Grades	heißer Ansatz am Anfang des Grades	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
193	25	f1r	f1r.25	4	daiin	6	G407-S006	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße des vorstehenden heißen Ansatzes am Gradanfang	EXACT_V48_CARD	STAGE	QUANTITY+STAGE+MATERIAL+STATE	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
194	25	f1r	f1r.25	5	okchey	6	G407-S006	1	EXACT_V48	E	heiß-trockener Ansatz in der Mitte des Grades	heiß-trockener Ansatz in der Mitte des Grades	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
195	25	f1r	f1r.25	6	kokaiin	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	Ansatz erhitzen und erneut auf Stufe III erhitzen	Ansatz erhitzen und erneut auf Stufe III erhitzen	K_HOT+O_PREP+K_HOT+AIIN_III	ACTION+STAGE+MATERIAL	ACTION+STAGE+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
196	25	f1r	f1r.25	7	ochol	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	Ansatz aus Trockendroge	Ansatz aus Trockendroge	O_PREP+CH_DRY+OL_MATERIAL	MATERIAL+STATE	MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
197	25	f1r	f1r.25	8	kdchy	6	G407-S006	1	LOCAL_WHOLE_HYPOTHESIS	W	erhitzte Dosis trocknen und abschließen	erhitzte Dosis trocknen und abschließen	LEARNED_KDCHY_WHOLE	ACTION+QUANTITY	ACTION+QUANTITY	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
198	25	f1r	f1r.25	9	dal	6	G407-S006	1	EXACT_V48	E	abgemessene Rohstoffmenge I	abgemessene Rohstoffmenge I	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_DAL_AL_CONSOLIDATION	GDT655:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	152	0	NONE	NONE	0
199	26	f1r	f1r.26	1	dcheo	6	G407-S006	1	ROLE_COMPOSED_TRANSFER	P	Dosis bis Mittelstufe trocknen und ansetzen	Dosis bis Mittelstufe trocknen und ansetzen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP	ACTION+QUANTITY+STAGE	ACTION+QUANTITY+STAGE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
200	26	f1r	f1r.26	2	shody	6	G407-S006	1	EXACT_V48	E	vollständig eingeweichter Ansatz	vollständig eingeweichter Ansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT663:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
201	26	f1r	f1r.26	3	koshey	7	G407-S007	1	ROLE_COMPOSED_TRANSFER	P	heißen Ansatz bis Mittelstufe einweichen und abschließen	heißen Ansatz bis Mittelstufe einweichen und abschließen	K_HOT+O_PREP+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	ACTION+STAGE+MATERIAL+STATE	ACTION+STAGE+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
202	26	f1r	f1r.26	4	cthy	7	G407-S007	1	EXACT_V48	E	CTH-Drogenmaterial	CTH-Drogenmaterial	EXACT_V48_CARD	MATERIAL	MATERIAL	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
203	26	f1r	f1r.26	5	ok	7	G407-S007	1	OCCURRENCE_SCOPED_TRANSFER	O	heißer Ansatz	heißer Ansatz	LOCAL_LEFT_OF_CHEY	MATERIAL+STATE	MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	RIGHT	okchey	0
204	26	f1r	f1r.26	6	chey	7	G407-S007	1	EXACT_V48	E	trocken in der Mitte des Grades	trocken in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
205	26	f1r	f1r.26	7	keey	7	G407-S007	1	EXACT_V48	E	heiß am Ende des Grades	heiß am Ende des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
206	26	f1r	f1r.26	8	keey	7	G407-S007	1	EXACT_V48	E	heiß am Ende des Grades	heiß am Ende des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
207	26	f1r	f1r.26	9	dal	7	G407-S007	1	EXACT_V48	E	abgemessene Rohstoffmenge I	abgemessene Rohstoffmenge I	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_DAL_AL_CONSOLIDATION	GDT655:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	152	0	NONE	NONE	0
208	26	f1r	f1r.26	10	chtor	7	G407-S007	1	ROLE_COMPOSED_TRANSFER	P	Portion trocken abgekühlte Droge	Portion trocken abgekühlte Droge	CH_DRY+T_COLD+OR_PORTION	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
209	27	f1r	f1r.27	1	eo	7	G407-S007	1	LOCAL_WHOLE_HYPOTHESIS	W	Mittelstufenansatz	Mittelstufenansatz	LEARNED_EO_SHORT_WHOLE	MATERIAL	MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
210	27	f1r	f1r.27	2	chol	7	G407-S007	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
211	27	f1r	f1r.27	3	chok	7	G407-S007	1	ROLE_COMPOSED_TRANSFER	P	Trockenansatz erhitzen	Trockenansatz erhitzen	CH_DRY+O_PREP+K_HOT	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
212	27	f1r	f1r.27	4	choty	7	G407-S007	1	EXACT_V48	E	kalter Trockenansatz	kalter Trockenansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT662:EXACT_WHOLE	KNOWN_EXACT_WHOLE	225	0	NONE	NONE	0
213	27	f1r	f1r.27	5	chotey	7	G407-S007	1	EXACT_V48	E	Trockenansatz bis zur Mittelstufe abkühlen und abschließen	Trockenansatz bis zur Mittelstufe abkühlen und abschließen	EXACT_V48_CARD	ACTION+STAGE+MATERIAL+STATE	ACTION+STAGE+MATERIAL+STATE	MEDIUM_EXACT_WHOLE	GDT668:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
214	28	f1r	f1r.28	1	dchaiin	7	G407-S007	1	EXACT_V48	E	abgemessene Trockendroge, Grad III	abgemessene Trockendroge, Grad III	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	MEDIUM_EXACT_WHOLE	GDT662:EXACT_WHOLE	KNOWN_EXACT_WHOLE	225	0	NONE	NONE	0
