surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class	event_ids	visible_owner_examples
chykey	CH+Y+K+E+Y	AUSWAHL + DIES + ZUORDNUNG + KURZ + DIES	bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand; Material zugeben; kurz oder direkt; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; dieser Bildplatz; Wert zuordnen; erster Grad; dieser Bildplatz	1	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0349	abgebildeter Pflanzenartikel f56r
cphal	CPH+AL	GEGENLAUF + ZIEL	umleiten; Ziel- oder Anschlussstelle	Gegenplatz; Zielplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1268	mehrere lokale Bad- und Leitungsstationen
cphedy	CPH+E+DY	GEGENLAUF + KURZ + ENDE	umleiten; kurz oder direkt; Arbeitsschritt schließen	Gegenplatz; erster Grad; Bildeintrag schließen	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0936	gemeinsames Bad- und Beckenfeld
cpheey	CPH+EE+Y	GEGENLAUF + LANG + DIES	umleiten; länger oder gehalten; dieser Arbeitsgegenstand	Gegenplatz; zweiter Grad; dieser Bildplatz	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1896	zwei lokale Himmelsraeder
cphocthy	CPH+O+CTH+Y	GEGENLAUF + GANG + BEREIT + DIES	umleiten; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Gegenplatz; Reihe aufrufen; Bereitschaftsklasse; dieser Bildplatz	1	f68r1	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1979	mehrteiliger Sternatlas mit lokalen Zentren
cphy	CPH+Y	GEGENLAUF + DIES	umleiten; dieser Arbeitsgegenstand	Gegenplatz; dieser Bildplatz	1	f11r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0097	abgebildeter Pflanzenartikel f11r
cth	CTH	BEREIT	bis bereit führen	Bereitschaftsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0059	abgebildeter Pflanzenartikel f10r
cthaiin	CTH+AIIN	BEREIT + SOLLWERT	bis bereit führen; Sollmaß	Bereitschaftsklasse; verzeichneter Sollwert	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0047	abgebildeter Pflanzenartikel f10r
ctheol	CTH+E+OL	BEREIT + KURZ + WEITER	bis bereit führen; kurz oder direkt; im selben Arbeitsgang fortfahren	Bereitschaftsklasse; erster Grad; dieselbe Reihe fortführen	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E2369	drei Gefaesse mit Wurzel- und Blattreihen
cthey	CTH+E+Y	BEREIT + KURZ + DIES	bis bereit führen; kurz oder direkt; dieser Arbeitsgegenstand	Bereitschaftsklasse; erster Grad; dieser Bildplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2356	Fischrad mit Stern tragenden Figuren
cthoor	CTH+O+OR	BEREIT + GANG + EINTRAG	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	Bereitschaftsklasse; Reihe aufrufen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0010	abgebildeter Pflanzenartikel f10r
cthor	CTH+OR	BEREIT + EINTRAG	bis bereit führen; Ansatz oder Zubereitung	Bereitschaftsklasse; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0081	abgebildeter Pflanzenartikel f10r
cthyd	CTH+Y+D_ADDR	BEREIT + DIES + UNTER	bis bereit führen; dieser Arbeitsgegenstand; bezeichneter Teil	Bereitschaftsklasse; dieser Bildplatz; Unterplatz	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0087	abgebildeter Pflanzenartikel f10r
dackhy	DA+CKH+Y	ZWEIT + DURCHLASS + DIES	zweite Arbeitsstufe; durch einen Durchlass führen; dieser Arbeitsgegenstand	zweite Bildstufe; Verbindung oder Durchlass; dieser Bildplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0464	mehrstufige Becken-, Figuren- und Laufseite
dadaiin	DA+D_ADDR+AIIN	ZWEIT + UNTER + SOLLWERT	zweite Arbeitsstufe; bezeichneter Teil; Sollmaß	zweite Bildstufe; Unterplatz; verzeichneter Sollwert	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1875	zwei lokale Himmelsraeder
daii	DA+IIN	ZWEIT + STUFE	zweite Arbeitsstufe; Arbeitsstufe	zweite Bildstufe; Wertstufe	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2294	Fischrad mit Stern tragenden Figuren
daiial	DA+IIN+AL	ZWEIT + STUFE + ZIEL	zweite Arbeitsstufe; Arbeitsstufe; Ziel- oder Anschlussstelle	zweite Bildstufe; Wertstufe; Zielplatz	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2059	drei getrennte heterogene Himmelsraeder
daiidy	DA+IIN+DY	ZWEIT + STUFE + ENDE	zweite Arbeitsstufe; Arbeitsstufe; Arbeitsschritt schließen	zweite Bildstufe; Wertstufe; Bildeintrag schließen	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0945	gemeinsames Bad- und Beckenfeld
daiiin	DA+IIN	ZWEIT + STUFE	zweite Arbeitsstufe; Arbeitsstufe	zweite Bildstufe; Wertstufe	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1729	lokale Becken-, Figuren- und Verbindungsstationen
daiiny	D_ADDR+AIIN+Y	UNTER + SOLLWERT + DIES	bezeichneter Teil; Sollmaß; dieser Arbeitsgegenstand	Unterplatz; verzeichneter Sollwert; dieser Bildplatz	1	f55v	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0271	abgebildeter Pflanzenartikel f55v
daim	DA+IIN+M_LOCAL	ZWEIT + STUFE + M	zweite Arbeitsstufe; Arbeitsstufe; lokales Schreibzeichen	zweite Bildstufe; Wertstufe; lokales Bildzeichen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2360	Fischrad mit Stern tragenden Figuren
dainy	AIN+Y	EINHEIT + DIES	Portion; dieser Arbeitsgegenstand	Einheit oder Index; dieser Bildplatz	1	f75r	BIOLOGICAL	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E0857	mehrstufige Becken-, Figuren- und Laufseite
dairam	D_ADDR+AIR+A_ADDR+AM_ADDR	UNTER + LAUFWEG + ADRESSE + INNEN	bezeichneter Teil; Flüssigkeits- oder Stationslauf; lokale Arbeitsstelle; Innenstelle	Unterplatz; Ringlauf; lokale Bildadresse; Innenplatz	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0953	gemeinsames Bad- und Beckenfeld
dairchey	D_ADDR+AIR+CH+E+Y	UNTER + LAUFWEG + AUSWAHL + KURZ + DIES	bezeichneter Teil; Flüssigkeits- oder Stationslauf; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Unterplatz; Ringlauf; Klasse oder Figur kennzeichnen; erster Grad; dieser Bildplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1183	mehrere lokale Bad- und Leitungsstationen
dairydy	AIR+Y+DY	LAUFWEG + DIES + ENDE	Flüssigkeits- oder Stationslauf; dieser Arbeitsgegenstand; Arbeitsschritt schließen	Ringlauf; dieser Bildplatz; Bildeintrag schließen	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1693	lokale Becken-, Figuren- und Verbindungsstationen
dalalody	AL+AL+O+DY	ZIEL + ZIEL + GANG + ENDE	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle; Arbeitsgang ausführen; Arbeitsschritt schließen	Zielplatz; Zielplatz; Reihe aufrufen; Bildeintrag schließen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2144	Widderrad mit Stern tragenden Figuren
dalchdy	AL+CHD+DY	ZIEL + WECHSEL + ENDE	Ziel- oder Anschlussstelle; Arbeitsgut umsetzen; Arbeitsschritt schließen	Zielplatz; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1543	lokale Becken-, Figuren- und Verbindungsstationen
dam	DA+AM_ADDR	ZWEIT + INNEN	zweite Arbeitsstufe; Innenstelle	zweite Bildstufe; Innenplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1240	mehrere lokale Bad- und Leitungsstationen
dara	D_ADDR+AR+A_ADDR	UNTER + QUELLE + ADRESSE	bezeichneter Teil; Entnahmestelle; lokale Arbeitsstelle	Unterplatz; Quell- oder Bezugsstelle; lokale Bildadresse	1	f75r	BIOLOGICAL	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E0853	mehrstufige Becken-, Figuren- und Laufseite
daram	DA+R+A_ADDR+AM_ADDR	ZWEIT + MARKE + ADRESSE + INNEN	zweite Arbeitsstufe; Zustand kennzeichnen; lokale Arbeitsstelle; Innenstelle	zweite Bildstufe; Zustandsmarke; lokale Bildadresse; Innenplatz	1	f68r1	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1964	mehrteiliger Sternatlas mit lokalen Zentren
darary	DA+R+AR+Y	ZWEIT + MARKE + QUELLE + DIES	zweite Arbeitsstufe; Zustand kennzeichnen; Entnahmestelle; dieser Arbeitsgegenstand	zweite Bildstufe; Zustandsmarke; Quell- oder Bezugsstelle; dieser Bildplatz	1	f82r	BIOLOGICAL	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1396	mehrere lokale Bad- und Leitungsstationen
dardardy	D_ADDR+AR+D_ADDR+AR+DY	UNTER + QUELLE + UNTER + QUELLE + ENDE	bezeichneter Teil; Entnahmestelle; bezeichneter Teil; Entnahmestelle; Arbeitsschritt schließen	Unterplatz; Quell- oder Bezugsstelle; Unterplatz; Quell- oder Bezugsstelle; Bildeintrag schließen	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0770	mehrstufige Becken-, Figuren- und Laufseite
darol	DA+R+OL	ZWEIT + MARKE + WEITER	zweite Arbeitsstufe; Zustand kennzeichnen; im selben Arbeitsgang fortfahren	zweite Bildstufe; Zustandsmarke; dieselbe Reihe fortführen	1	f82r	BIOLOGICAL	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1393	mehrere lokale Bad- und Leitungsstationen
darolsy	DA+R+OL+S+Y	ZWEIT + MARKE + WEITER + WAHL + DIES	zweite Arbeitsstufe; Zustand kennzeichnen; im selben Arbeitsgang fortfahren; Arbeitsvariante auswählen; dieser Arbeitsgegenstand	zweite Bildstufe; Zustandsmarke; dieselbe Reihe fortführen; Bildklasse auswählen; dieser Bildplatz	1	f83r	BIOLOGICAL	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1732	lokale Becken-, Figuren- und Verbindungsstationen
darom	D_ADDR+AR+O+AM_ADDR	UNTER + QUELLE + GANG + INNEN	bezeichneter Teil; Entnahmestelle; Arbeitsgang ausführen; Innenstelle	Unterplatz; Quell- oder Bezugsstelle; Reihe aufrufen; Innenplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0745	mehrstufige Becken-, Figuren- und Laufseite
dateey	DA+T+EE+Y	ZWEIT + EINSTELLUNG + LANG + DIES	zweite Arbeitsstufe; Arbeitsgang einstellen; länger oder gehalten; dieser Arbeitsgegenstand	zweite Bildstufe; Platz oder Wert einstellen; zweiter Grad; dieser Bildplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2240	Fischrad mit Stern tragenden Figuren
dchdar	D_ADDR+CHD+AR	UNTER + WECHSEL + QUELLE	bezeichneter Teil; Arbeitsgut umsetzen; Entnahmestelle	Unterplatz; zu Gegen- oder Folgeplatz wechseln; Quell- oder Bezugsstelle	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1877	zwei lokale Himmelsraeder
dchdy	CHD+DY	WECHSEL + ENDE	Arbeitsgut umsetzen; Arbeitsschritt schließen	zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1081	gemeinsames Bad- und Beckenfeld
dcheokedy	D_ADDR+CHEO+K+E+D_ADDR+Y	UNTER + AUSZUG + ZUORDNUNG + KURZ + UNTER + DIES	bezeichneter Teil; Auszug; Material zugeben; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand	Unterplatz; lokaler Eintrag; Wert zuordnen; erster Grad; Unterplatz; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1554	lokale Becken-, Figuren- und Verbindungsstationen
dchetay	D_ADDR+CH+E+T+A_ADDR+Y	UNTER + AUSWAHL + KURZ + EINSTELLUNG + ADRESSE + DIES	bezeichneter Teil; bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; lokale Arbeitsstelle; dieser Arbeitsgegenstand	Unterplatz; Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; lokale Bildadresse; dieser Bildplatz	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1762	zwei lokale Himmelsraeder
dchg	D_ADDR+CH+LOCAL_CHAR_G	UNTER + AUSWAHL + GLOKAL	bezeichneter Teil; bezeichneten Anteil entnehmen; lokales Schreibzeichen	Unterplatz; Klasse oder Figur kennzeichnen; lokales Bildzeichen	1	f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0160	grosse abgebildete Pflanze mit Knollenwurzel
dchsed	D_ADDR+CH+S+E+D_ADDR	UNTER + AUSWAHL + WAHL + KURZ + UNTER	bezeichneter Teil; bezeichneten Anteil entnehmen; Arbeitsvariante auswählen; kurz oder direkt; bezeichneter Teil	Unterplatz; Klasse oder Figur kennzeichnen; Bildklasse auswählen; erster Grad; Unterplatz	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0975	gemeinsames Bad- und Beckenfeld
dedy	D_ADDR+E+DY	UNTER + KURZ + ENDE	bezeichneter Teil; kurz oder direkt; Arbeitsschritt schließen	Unterplatz; erster Grad; Bildeintrag schließen	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1034	gemeinsames Bad- und Beckenfeld
deeedy	D_ADDR+EEE+D_ADDR+Y	UNTER + VOLL + UNTER + DIES	bezeichneter Teil; vollständig; bezeichneter Teil; dieser Arbeitsgegenstand	Unterplatz; dritter oder voller Grad; Unterplatz; dieser Bildplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1215	mehrere lokale Bad- und Leitungsstationen
deey	D_ADDR+EE+Y	UNTER + LANG + DIES	bezeichneter Teil; länger oder gehalten; dieser Arbeitsgegenstand	Unterplatz; zweiter Grad; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1441	lokale Becken-, Figuren- und Verbindungsstationen
dkain	D_ADDR+K+AIN	UNTER + ZUORDNUNG + EINHEIT	bezeichneter Teil; Material zugeben; Portion	Unterplatz; Wert zuordnen; Einheit oder Index	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0935	gemeinsames Bad- und Beckenfeld
dky	D_ADDR+K+Y	UNTER + ZUORDNUNG + DIES	bezeichneter Teil; Material zugeben; dieser Arbeitsgegenstand	Unterplatz; Wert zuordnen; dieser Bildplatz	1	f11r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0128	abgebildeter Pflanzenartikel f11r
dlal	D_ADDR+L+AL	UNTER + VERBINDUNG + ZIEL	bezeichneter Teil; entlang des Arbeitswegs führen; Ziel- oder Anschlussstelle	Unterplatz; Bildverbindung; Zielplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2159	Widderrad mit Stern tragenden Figuren
doaiin	D_ADDR+O+AIIN	UNTER + GANG + SOLLWERT	bezeichneter Teil; Arbeitsgang ausführen; Sollmaß	Unterplatz; Reihe aufrufen; verzeichneter Sollwert	1	f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0211	grosse abgebildete Pflanze mit Knollenwurzel
doair	D_ADDR+O+AIR	UNTER + GANG + LAUFWEG	bezeichneter Teil; Arbeitsgang ausführen; Flüssigkeits- oder Stationslauf	Unterplatz; Reihe aufrufen; Ringlauf	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2082	drei getrennte heterogene Himmelsraeder
dod	D_ADDR+O+D_ADDR	UNTER + GANG + UNTER	bezeichneter Teil; Arbeitsgang ausführen; bezeichneter Teil	Unterplatz; Reihe aufrufen; Unterplatz	1	f11r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0119	abgebildeter Pflanzenartikel f11r
dodyd	D_ADDR+O+DY+D_LABEL	UNTER + GANG + ENDE + D	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsschritt schließen; lokales Schreibzeichen	Unterplatz; Reihe aufrufen; Bildeintrag schließen; lokales Bildzeichen	1	f55v	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0233	abgebildeter Pflanzenartikel f55v
dokan	D_ADDR+OK+AN	UNTER + START + ZUSATZ	bezeichneter Teil; Arbeitsgang ansetzen; weiteren Posten zugeben	Unterplatz; Bildplatz aktivieren; zusätzlicher Eintrag	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1829	zwei lokale Himmelsraeder
dolaram	D_ADDR+OL+AR+AM_ADDR	UNTER + WEITER + QUELLE + INNEN	bezeichneter Teil; im selben Arbeitsgang fortfahren; Entnahmestelle; Innenstelle	Unterplatz; dieselbe Reihe fortführen; Quell- oder Bezugsstelle; Innenplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2333	Fischrad mit Stern tragenden Figuren
dolchedy	D_ADDR+OL+CHD+Y	UNTER + WEITER + WECHSEL + DIES	bezeichneter Teil; im selben Arbeitsgang fortfahren; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Unterplatz; dieselbe Reihe fortführen; zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	1	f68r1	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1998	mehrteiliger Sternatlas mit lokalen Zentren
dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	UNTER + WEITER + AUSWAHL + STERNORT + GANG + ENDE	bezeichneter Teil; im selben Arbeitsgang fortfahren; bezeichneten Anteil entnehmen; bezeichnete s-Stelle; Arbeitsgang ausführen; Arbeitsschritt schließen	Unterplatz; dieselbe Reihe fortführen; Klasse oder Figur kennzeichnen; Stern- oder s-Stelle; Reihe aufrufen; Bildeintrag schließen	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1784	zwei lokale Himmelsraeder
doleeey	D_ADDR+OL+EEE+Y	UNTER + WEITER + VOLL + DIES	bezeichneter Teil; im selben Arbeitsgang fortfahren; vollständig; dieser Arbeitsgegenstand	Unterplatz; dieselbe Reihe fortführen; dritter oder voller Grad; dieser Bildplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E2404	drei Gefaesse mit Wurzel- und Blattreihen
dolol	D_ADDR+OL+OL	UNTER + WEITER + WEITER	bezeichneter Teil; im selben Arbeitsgang fortfahren; im selben Arbeitsgang fortfahren	Unterplatz; dieselbe Reihe fortführen; dieselbe Reihe fortführen	1	f82r	BIOLOGICAL	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1401	mehrere lokale Bad- und Leitungsstationen
dolshed	D_ADDR+OL+SHED	UNTER + WEITER + ABSETZEN	bezeichneter Teil; im selben Arbeitsgang fortfahren; absetzen lassen	Unterplatz; dieselbe Reihe fortführen; Absetzklasse	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1672	lokale Becken-, Figuren- und Verbindungsstationen
dorsheoy	D_ADDR+OR+SH+E+O+Y	UNTER + EINTRAG + HALT + KURZ + GANG + DIES	bezeichneter Teil; Ansatz oder Zubereitung; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsgang ausführen; dieser Arbeitsgegenstand	Unterplatz; Eintragsklasse; Bezug festhalten; erster Grad; Reihe aufrufen; dieser Bildplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E2368	drei Gefaesse mit Wurzel- und Blattreihen
dory	D_ADDR+OR+Y	UNTER + EINTRAG + DIES	bezeichneter Teil; Ansatz oder Zubereitung; dieser Arbeitsgegenstand	Unterplatz; Eintragsklasse; dieser Bildplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E2371	drei Gefaesse mit Wurzel- und Blattreihen
dosar	D_ADDR+O+S+AR	UNTER + GANG + WAHL + QUELLE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsvariante auswählen; Entnahmestelle	Unterplatz; Reihe aufrufen; Bildklasse auswählen; Quell- oder Bezugsstelle	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1825	zwei lokale Himmelsraeder
dpchy	D_ADDR+P+Y	UNTER + EINSATZ + DIES	bezeichneter Teil; Material einsetzen; dieser Arbeitsgegenstand	Unterplatz; Platz besetzen; dieser Bildplatz	1	f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0190	grosse abgebildete Pflanze mit Knollenwurzel
dsheckhy	D_ADDR+SH+E+CKH+Y	UNTER + HALT + KURZ + DURCHLASS + DIES	bezeichneter Teil; Arbeitsgegenstand halten; kurz oder direkt; durch einen Durchlass führen; dieser Arbeitsgegenstand	Unterplatz; Bezug festhalten; erster Grad; Verbindung oder Durchlass; dieser Bildplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0504	mehrstufige Becken-, Figuren- und Laufseite
dsholyd	D_ADDR+SH+OL+Y+D_ADDR	UNTER + HALT + WEITER + DIES + UNTER	bezeichneter Teil; Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand; bezeichneter Teil	Unterplatz; Bezug festhalten; dieselbe Reihe fortführen; dieser Bildplatz; Unterplatz	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0964	gemeinsames Bad- und Beckenfeld
dshor	D_ADDR+SH+OR	UNTER + HALT + EINTRAG	bezeichneter Teil; Arbeitsgegenstand halten; Ansatz oder Zubereitung	Unterplatz; Bezug festhalten; Eintragsklasse	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0518	mehrstufige Becken-, Figuren- und Laufseite
dykain	D_ADDR+Y+K+AIN	UNTER + DIES + ZUORDNUNG + EINHEIT	bezeichneter Teil; dieser Arbeitsgegenstand; Material zugeben; Portion	Unterplatz; dieser Bildplatz; Wert zuordnen; Einheit oder Index	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0885	gemeinsames Bad- und Beckenfeld
dypchy	D_ADDR+Y+P+Y	UNTER + DIES + EINSATZ + DIES	bezeichneter Teil; dieser Arbeitsgegenstand; Material einsetzen; dieser Arbeitsgegenstand	Unterplatz; dieser Bildplatz; Platz besetzen; dieser Bildplatz	1	f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0159	grosse abgebildete Pflanze mit Knollenwurzel
eckhear	E+CKH+E+AR	KURZ + DURCHLASS + KURZ + QUELLE	kurz oder direkt; durch einen Durchlass führen; kurz oder direkt; Entnahmestelle	erster Grad; Verbindung oder Durchlass; erster Grad; Quell- oder Bezugsstelle	1	f68r1	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1963	mehrteiliger Sternatlas mit lokalen Zentren
eesydy	EE+S+Y+D_ADDR+Y	LANG + WAHL + DIES + UNTER + DIES	länger oder gehalten; Arbeitsvariante auswählen; dieser Arbeitsgegenstand; bezeichneter Teil; dieser Arbeitsgegenstand	zweiter Grad; Bildklasse auswählen; dieser Bildplatz; Unterplatz; dieser Bildplatz	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1754	zwei lokale Himmelsraeder
es	E+S	KURZ + WAHL	kurz oder direkt; Arbeitsvariante auswählen	erster Grad; Bildklasse auswählen	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1862	zwei lokale Himmelsraeder
esedy	E+S+E+DY	KURZ + WAHL + KURZ + ENDE	kurz oder direkt; Arbeitsvariante auswählen; kurz oder direkt; Arbeitsschritt schließen	erster Grad; Bildklasse auswählen; erster Grad; Bildeintrag schließen	1	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0340	abgebildeter Pflanzenartikel f56r
etyd	E+T+Y	KURZ + EINSTELLUNG + DIES	kurz oder direkt; Arbeitsgang einstellen; dieser Arbeitsgegenstand	erster Grad; Platz oder Wert einstellen; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0018	abgebildeter Pflanzenartikel f10r
eykeody	E+Y+K+E+O+DY	KURZ + DIES + ZUORDNUNG + KURZ + GANG + ENDE	kurz oder direkt; dieser Arbeitsgegenstand; Material zugeben; kurz oder direkt; Arbeitsgang ausführen; Arbeitsschritt schließen	erster Grad; dieser Bildplatz; Wert zuordnen; erster Grad; Reihe aufrufen; Bildeintrag schließen	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2041	drei getrennte heterogene Himmelsraeder
g	G_LABEL	G	lokales Schreibzeichen	lokales Bildzeichen	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1887	zwei lokale Himmelsraeder
giin	LOCAL_CHAR_G+IIN	GLOKAL + STUFE	lokales Schreibzeichen; Arbeitsstufe	lokales Bildzeichen; Wertstufe	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1835	zwei lokale Himmelsraeder
iokeeor	OK+EE+OR	START + LANG + EINTRAG	Arbeitsgang ansetzen; länger oder gehalten; Ansatz oder Zubereitung	Bildplatz aktivieren; zweiter Grad; Eintragsklasse	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2049	drei getrennte heterogene Himmelsraeder
k	K	ZUORDNUNG	Material zugeben	Wert zuordnen	1	f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0215	grosse abgebildete Pflanze mit Knollenwurzel
