assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
76	OLD26_GDT407	G407-E2047	G407-S244	f76r	BIOLOGICAL	dalshedy	AL+SH+E+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
77	OLD26_GDT407	G407-E2062	G407-S246	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
78	OLD26_GDT407	G407-E2067	G407-S247	f76r	BIOLOGICAL	qolal	OL+AL	OL+AL	OL+AL	1	1	AL	AL	ZIELORT	2	2	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT	STATEMENT_INTERNAL	NO	FORTSETZEN · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F07
79	OLD26_GDT407	G407-E2069	G407-S247	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
80	OLD26_GDT407	G407-E2132	G407-S254	f76r	BIOLOGICAL	dalshedy	AL+SH+E+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
81	OLD26_GDT407	G407-E2151	G407-S259	f76r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
82	OLD26_GDT407	G407-E2158	G407-S259	f76r	BIOLOGICAL	qoolkal	OL+AL	OL+AL	OL+AL	1	1	AL	AL	ZIELORT	2	2	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT	STATEMENT_INTERNAL	NO	FORTSETZEN · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F07
83	OLD26_GDT407	G407-E2163	G407-S262	f76r	BIOLOGICAL	ollchy	OL+L+CH+Y	OL+L	OL+L+Y	1	1	L	L	VERBINDUNG	2	4	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	L+CH+Y	1	YES	NO	NONE	CH+Y	NONE	CH	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	FORTSETZEN · VERBINDUNG	FORTSETZEN · VERBINDUNG · POSTEN	STATEMENT_INITIAL	NO	FORTSETZEN · VERBINDUNG · NEHMEN · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
84	OLD26_GDT407	G407-E2175	G407-S263	f76r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
85	OLD26_GDT407	G407-E2201	G407-S266	f76r	BIOLOGICAL	polalchdy	P+OL+AL+CHD+DY	OL+AL+DY	OL+AL+DY	1	1	AL	AL	ZIELORT	3	5	OL	DY	OL>R<DY	CONTINUE_RELATION_THEN_CLOSE	AL+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT · ABSCHLIESSEN	FORTSETZEN · ZIELORT · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	EINSETZEN · FORTSETZEN · ZIELORT · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
86	OLD26_GDT407	G407-E2223	G407-S272	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
87	OLD26_GDT407	G407-E2236	G407-S275	f76r	BIOLOGICAL	qokchdyl	OK+CHD+DY+L	DY+L	DY+L	1	1	L	L	VERBINDUNG	4	4	DY	END	DY>R<END	POST_CLOSE_RELATION_TAIL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	ABSCHLIESSEN · VERBINDUNG	ABSCHLIESSEN · VERBINDUNG	STATEMENT_FINAL	YES	SETZEN · UMSETZEN · SCHLUSS · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
88	OLD26_GDT407	G407-E2242	G407-S276	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
89	OLD26_GDT407	G407-E2244	G407-S277	f76r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
90	OLD26_GDT407	G407-E2248	G407-S278	f76r	BIOLOGICAL	otalam	OT+AL+AM_ADDR	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+AM_ADDR	1	YES	NO	NONE	AM_ADDR	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT · HIER	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
91	OLD26_GDT407	G407-E2257	G407-S278	f76r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
92	OLD26_GDT407	G407-E2259	G407-S279	f76r	BIOLOGICAL	poleedaran	P+OL+EE+D_ADDR+AR+AN	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	5	6	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	EE+D_ADDR+AR+AN	3	NO	NO	EE+D_ADDR	AN	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INITIAL	NO	EINSETZEN · FORTSETZEN · GRAD II · HIER · AUSGANG · KLASSE	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
93	OLD26_GDT407	G407-E2263	G407-S279	f76r	BIOLOGICAL	alol	AL+OL	AL+OL	AL+OL	1	1	AL	AL	ZIELORT	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · FORTSETZEN	ZIELORT · FORTSETZEN	STATEMENT_INTERNAL	NO	ZIELORT · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
94	OLD26_GDT407	G407-E2289	G407-S286	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
95	OLD26_GDT407	G407-E2333	G407-S292	f76r	BIOLOGICAL	otal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
96	OLD26_GDT407	G407-E2345	G407-S295	f76r	BIOLOGICAL	rorol	L+OL+OL	L+OL+OL	L+OL+OL	1	1	L	L	VERBINDUNG	1	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
97	OLD26_GDT407	G407-E2350	G407-S299	f76r	BIOLOGICAL	lkedy	L+K+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+K+E	1	YES	NO	NONE	K+E	NONE	K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · GEBEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
98	OLD26_GDT407	G407-E2393	G407-S311	f77r	BIOLOGICAL	poldarais	P+OL+D_ADDR+AR+A_ADDR+IIN+S	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	4	7	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	D_ADDR+AR+A_ADDR+IIN+S	2	NO	NO	D_ADDR	A_ADDR+IIN+S	NONE	S	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INITIAL	NO	EINSETZEN · FORTSETZEN · HIER · AUSGANG · HIER · STUFE · WÄHLEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
99	OLD26_GDT407	G407-E2401	G407-S312	f77r	BIOLOGICAL	loly	L+OL+Y	L+OL	L+OL+Y	1	1	L	L	VERBINDUNG	1	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · POSTEN	STATEMENT_INITIAL	NO	VERBINDUNG · FORTSETZEN · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F09
100	OLD26_GDT407	G407-E2427	G407-S321	f77r	BIOLOGICAL	shealol	SH+E+AL+OL	AL+OL	AL+OL	1	1	AL	AL	ZIELORT	3	4	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	SH+E+AL	3	NO	YES	SH+E	NONE	SH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · FORTSETZEN	ZIELORT · FORTSETZEN	STATEMENT_INTERNAL	NO	HALTEN · GRAD I · ZIELORT · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
101	OLD26_GDT407	G407-E2437	G407-S325	f77r	BIOLOGICAL	qolal	OL+AL	OL+AL	OL+AL	1	1	AL	AL	ZIELORT	2	2	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT	STATEMENT_INITIAL	NO	FORTSETZEN · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F07
102	OLD26_GDT407	G407-E2455	G407-S332	f77r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
103	OLD26_GDT407	G407-E2456	G407-S333	f77r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INITIAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
104	OLD26_GDT407	G407-E2464	G407-S337	f77r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INITIAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
105	OLD26_GDT407	G407-E2473	G407-S341	f77r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INITIAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
106	OLD26_GDT407	G407-E2501	G407-S347	f77r	BIOLOGICAL	dalchedy	AL+CHD+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	ZIELORT · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
107	OLD26_GDT407	G407-E2512	G407-S352	f77r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
108	OLD26_GDT407	G407-E2523	G407-S354	f77r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
109	OLD26_GDT407	G407-E2547	G407-S361	f77r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
110	OLD26_GDT407	G407-E2565	G407-S368	f77r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INITIAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
111	OLD26_GDT407	G407-E2572	G407-S368	f77r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
112	OLD26_GDT407	G407-E2578	G407-S370	f77r	BIOLOGICAL	qotary	OT+AR+Y	OT+AR	OT+AR+Y	1	1	AR	AR	AUSGANG	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR+Y	1	YES	NO	NONE	Y	NONE	NONE	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG · POSTEN	STATEMENT_INITIAL	NO	DANACH · AUSGANG · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F08
113	OLD26_GDT407	G407-E2616	G407-S377	f77r	BIOLOGICAL	dolchl	D_ADDR+OL+CH+L	OL+L	OL+L	1	1	L	L	VERBINDUNG	4	4	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	CH+L	2	NO	YES	CH	NONE	CH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	FORTSETZEN · VERBINDUNG	FORTSETZEN · VERBINDUNG	STATEMENT_INTERNAL	NO	HIER · FORTSETZEN · NEHMEN · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
