unit_serial	record_id	page	statement_id	group_count	surface_sequence	atom_sequence	literal_card_reading_de	image_owner	owner_kind	owner_break_inside_statement	selected_concrete_reading_de	short_rival_de
90	B3	f83r	B3-S028	2	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	länger ansetzen; kurz ansetzen; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
91	B3	f83r	B3-S029	3	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	fortsetzen; ganzen Teilposten; kurz ansetzen; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Nach der ersten Spülung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
92	B3	f83r	B3-S030	4	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	aktuellen Posten ansetzen; Sollmaß; Wasser weiterleiten; nächsten Posten überführen; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ziehe die klare Flüssigkeit ab. Mische zu gleichen Teilen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
93	B3	f83r	B3-S031	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
94	B3	f83r	B3-S032	5	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	Portion umsetzen; laufenden Posten umsetzen; kurzes Folgemass; Folgemaß; kurze Folge; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Beginne die Spülung. Rühre, bis alles gleichmäßig vermischt ist. Das breite Gefäß. Für dieselbe Dauer wie zuvor. Lasse es bis zur Klarheit ziehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
95	B3	f83r	B3-S033	1	ldy	L+CLOSE	abziehen; Ende	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Ziehe es ab und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
96	B3	f83r	B3-S034	6	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	Sollstufe; bereit; Teil abtrennen; Folgemaß; untere Zielstelle; kurz absetzen lassen; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Bis es klar ist. Den örtlichen Prüfzustand der Charge feststellen. Gleichmäßig bearbeiten. Für dieselbe Dauer wie zuvor. Das untere Becken. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
97	B4	f83r	B4-S001	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
98	B4	f83r	B4-S002	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	diesen Posten weiterfuehren; länger ansetzen; kurz ansetzen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Fülle danach das Gefäß. Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
99	B4	f83r	B4-S003	7	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; danach dorthin; nächster Teilposten; länger ansetzen; aktuellen Posten ansetzen; fortsetzen; kurz absetzen lassen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Rühre, bis alles gleichmäßig vermischt ist. Zum unteren Ablauf hin. Einen recordlokalen Anteil auswählen. Die Charge für den vorgesehenen Gebrauch temperieren. Den gefilterten Waschposten an der äußeren Haut- oder Wundstelle gebrauchen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
100	B4	f83r	B4-S004	1	qokylddy	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
101	B4	f83r	B4-S005	3	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	Tuch; laufenden Posten umsetzen; länger ansetzen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Durch ein Tuch. Rühre, bis alles gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
102	B4	f83r	B4-S006	1	shckhedy	CKHE+CLOSE	seihen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
103	B4	f83r	B4-S007	1	shckhedy	CKHE+CLOSE	seihen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
104	B4	f83r	B4-S008	4	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	Sollmaß; länger erwärmen und offen halten; laenger ruhen; kurz ansetzen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Solange es noch warm ist. Die erste Öffnung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
105	B4	f83r	B4-S009	1	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
106	B4	f83r	B4-S010	1	oldy	OL+CLOSE	Fortsetzung abschließen	B4_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
107	B4	f83r	B4-S011	7	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	Sollmaß; kurz wärmen; länger fortführen; eine Portion zugeben; laufenden Posten umsetzen; fortsetzen; kurz abführen; Schluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
108	B4	f83r	B4-S012	1	lchedy	L+CHD+CLOSE	abführen; Schluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
109	B4	f83r	B4-S013	2	qokol shedy	OK+OL | SHED+E+CLOSE	Fortsetzung ansetzen; kurz absetzen lassen; Schluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Lasse die Mischung einlaufen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
110	B4	f83r	B4-S014	4	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	Ansatz; dieser Posten; kurzen Durchlauf ansetzen; Wasserlauf schliessen; Schluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Diese aktive Portion. Über der örtlich bezeichneten Stelle. Gebrauche sie sofort und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
111	B4	f83r	B4-S015	6	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	eine Portion zugeben; klarer Auszug; eine Portion; zur Zielstelle durchleiten; kurz sammeln; abführen; Schluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	YES	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Ein abgemessener Anteil. Für die angegebene Dauer. [[STATIONSWECHSEL: linke offene Fransen-/Unterlaufstation -> rechte S-Lauf-/Mehrarmknotenstation; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Öffne danach den oberen Lauf. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
112	B4	f83r	B4-S016	4	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	weitere Portion; dorthin; vom Ausgang ausgießen; kurz absetzen lassen; Schluss	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: rechte S-Lauf-/Mehrarmknotenstation]] Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Gieße das erwärmte Wasser ein. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
113	B5	f83r	B5-S001	1	otchdy	OT+CHD+CLOSE	Folgegang vollziehen; Schluss	B5_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Ziehe es ab und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
114	B5	f83r	B5-S002	1	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	B5_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Erwärme es einmal und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
115	B5	f83r	B5-S003	9	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	dort absetzen; dorthin; fortsetzen; von dort weiterfuehren; dort umsetzen; Sollmaß; fortsetzen; Öffnungsstufe; laufenden Posten umsetzen	B5_LEFT_OPEN_FRINGE_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Für einen Zeitabschnitt. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bis es warm ist. Mit der vorigen Mischung. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Die zweite Öffnung. Rühre, bis alles gleichmäßig vermischt ist.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
116	B6	f83r	B6-S001	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	länger sammeln; aktuellen Posten kurz bearbeiten; diesen Posten dorthin; fortsetzen; Sollmaß; fortsetzen; Tuch; dieser Posten; Endziel	B6_RIGHT_S_RUN_MULTIPORT_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: rechter S-Lauf-/Mehrarm-Endposten]] Richte die bezeichnete Beckenstation ein. Ohne Kochen. Die erste Öffnung. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Durch ein Tuch. Diese aktive Portion. An der bezeichneten Stelle.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
