rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	zl3b_line	v38_translation_de	v39_translation_de	status
69	f83r	f83r.28	oldy	fertiger, abgeseihter Auszug	fertiger, abgeseihter Auszug	PRODUCTIVE_COMPOUND	OL_MATERIAL+D_FINISHED+Y	fertig aufbereitetes Drogenmaterial	STRONG_PRACTICAL_OR_COMPOSITIONAL	saiin cheeky sheey qokedy shedy oldy	Samen/Saatgut, Typ/Charge III; trocken am Gradende, dann heiß am Gradanfang; feucht am Ende des Grades; heiß in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; [oldy:?]	Samen/Saatgut, Typ/Charge III; trocken am Gradende, dann heiß am Gradanfang; feucht am Ende des Grades; heiß in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; fertiger, abgeseihter Auszug	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
70	f83r	f83r.33	sheekchy	vollständig anfeuchten, dann heiß-trocken ansetzen	feuchte vollständig an, dann setze heiß-trocken an	PRODUCTIVE_COMPOUND	SHEE_MOIST_END+KCH_HOT_DRY+Y	Qualitäten ohne Handlungsfolge	MEDIUM_EXACT_WHOLE	sy s aiin sheekchy qokey sain	Saatgut in Grundform; Samen-/Saatgutposten; Menge III; [sheekchy:?]; heiß in der Mitte des Grades; Saatgut, Typ/Charge II	Saatgut in Grundform; Samen-/Saatgutposten; Menge III; feuchte vollständig an, dann setze heiß-trocken an; heiß in der Mitte des Grades; Saatgut, Typ/Charge II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
71	f85r2	f85r2.15	ypshedy	Eintrag: fertige Pulverpaste	Eintrag: fertige Pulverpaste	PRODUCTIVE_COMPOUND	Y_ENTRY+P_POWDER+SHEDY_MOIST_FINISHED	Y-Grenze vor Feuchtpulver	LOW_EXPLORATORY	ypshedy dar chedy or am	[ypshedy:?]; abgemessene Fraktion I; trocken in der Mitte des Grades, abgeschlossen; Drogenportion; Maßeinheit I.	Eintrag: fertige Pulverpaste; abgemessene Fraktion I; trocken in der Mitte des Grades, abgeschlossen; Drogenportion; Maßeinheit I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
72	f85r2	f85r2.2	opchdy	fertiges Trockenpulverpräparat	fertiges Trockenpulverpräparat	PRODUCTIVE_COMPOUND	O_PREP+P_POWDER+CHDY_DRY_FINISHED	Trockenansatz mit P-Kopf	STRONG_PRACTICAL_OR_COMPOSITIONAL	sain or or aiin opchdy	Saatgut, Typ/Charge II; Drogenportion; Drogenportion; Menge III; [opchdy:?]	Saatgut, Typ/Charge II; Drogenportion; Drogenportion; Menge III; fertiges Trockenpulverpräparat	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
73	f86v5	f86v5.11	taral	kalte Rohdrogenfraktion I	kalte Rohdrogenfraktion I	PRODUCTIVE_COMPOUND	T_COLD+AR_FRACTION_I+AL_RAW_I	kalte Rohstoffklasse I	MEDIUM_EXACT_WHOLE	taral okar octhey sal kaiin ytal chey otal aiiin olkam	[taral:?]; heiße Drogenfraktion I im Ansatz; CTH-Zubereitung/Ansatz, Form I; Saat-Rohstoff I; heiß, Grad III; hierzu: kalter Rohstoff I am Gradanfang; trocken in der Mitte des Grades; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Menge-/Klassenwert IV; heißes Material [terminal-M]	kalte Rohdrogenfraktion I; heiße Drogenfraktion I im Ansatz; CTH-Zubereitung/Ansatz, Form I; Saat-Rohstoff I; heiß, Grad III; Eintrag/Bezug: kalter Rohstoff I am Gradanfang; trocken in der Mitte des Grades; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Menge-/Klassenwert IV; heißes Material [terminal-M]	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
74	f86v6	f86v6.28	dytshy	danach kalt-feucht ansetzen	setze danach kalt-feucht an	HYBRID_EXACT	DY_SEQUENCE+T_COLD+SH_MOIST+Y	kalt-feuchter Abschluss	LOW_EXPLORATORY	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	heiß, Grad III; heiße Drogenfraktion I; heiße Drogenfraktion I im Ansatz; kalte Drogenfraktion I; Holzportion; heiß und trocken am Anfang des Grades, abgeschlossen; abgemessene Fraktion I; feucht in der Mitte des Grades; Dosis; hierzu: kalt und feucht in der Mitte des Grades, abgeschlossen; kaltes Material; [dytshy:?].	heiß, Grad III; heiße Drogenfraktion I; heiße Drogenfraktion I im Ansatz; kalte Drogenfraktion I; Holzportion; heiß und trocken am Anfang des Grades, abgeschlossen; abgemessene Fraktion I; feucht in der Mitte des Grades; Dosis; hierzu: kalt und feucht in der Mitte des Grades, abgeschlossen; kaltes Material; setze danach kalt-feucht an.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
75	f89v1	f89v1.20	choldy	fertig getrocknete Droge	fertig getrocknete Droge	PRODUCTIVE_COMPOUND	CHOL_DRY_MATERIAL+DY_FINISHED	Trockengut plus Abschluss	STRONG_PRACTICAL_OR_COMPOSITIONAL	sol chey okchol sair daiin okal choldy	Samenmaterial/Saatgut; trocken in der Mitte des Grades; heißer Ansatz aus Trockengut; Samenfraktion II; Grad-/Maßwert III; Rohstoffklasse I im Ansatz, heiß am Gradanfang; [choldy:?]	Samenmaterial/Saatgut; trocken in der Mitte des Grades; heißer Ansatz aus Trockengut; Samenfraktion II; Grad-/Maßwert III; Rohstoffklasse I im Ansatz, heiß am Gradanfang; fertig getrocknete Droge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
76	f93r	f93r.19	tchor	kalt-trockene Drogenportion	kalt-trockene Drogenportion	PRODUCTIVE_COMPOUND	T_COLD+CHOR_PLANT_PART	kalt-trockener Pflanzenteil	STRONG_PRACTICAL_OR_COMPOSITIONAL	tchor shol r sheoky	[tchor:?]; feucht; nominal feuchtes Gut/Material; Wurzel; feucht angesetzte heiße Zubereitung am Gradanfang	kalt-trockene Drogenportion; feucht; nominal feuchtes Gut/Material; Wurzel; feucht angesetzte heiße Zubereitung am Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
77	f93r	f93r.6	sheoees	vollständig eingeweichte Arzneimischung	vollständig eingeweichte Arzneimischung	PRODUCTIVE_COMPOUND	SHEO_MOIST_PREP+EE_END+S	feuchtes Material, Bindungsstufe II	LOW_EXPLORATORY	tar otor s cho s chol sheoees	kalte Drogenfraktion I; kalte Drogenportion im Ansatz; Samen-/Saatgutposten; Trockenansatz; Samen-/Saatgutposten; trocken; nominal trockenes Gut/Material; [sheoees:?]	kalte Drogenfraktion I; kalte Drogenportion im Ansatz; Samen-/Saatgutposten; Trockenansatz; Samen-/Saatgutposten; trocken; nominal trockenes Gut/Material; vollständig eingeweichte Arzneimischung	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
78	f99r	f99r.37	cheyet	getrocknete, abgekühlte Wurzel	getrocknete, abgekühlte Wurzel	LEARNED_WHOLE	LEARNED_LABEL_WHOLE	Pflanzenname im einzigen Labelkontext	LOW_EXPLORATORY	r cheyet	[Wurzelzeichen]; [cheyet:?]	[Wurzelzeichen]; getrocknete, abgekühlte Wurzel	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
