template_replay_ordinal	event_id	statement_id	physical_page	register	surface	recipe	state_marker_sequence	state_frame_role	sentence_prefix_de	sentence_suffix_de	base_mode	effective_action_roots	action_topology	generated_action_chain_de	effective_argument_roots	argument_topology	generated_argument_phrase_de	modifier_atoms	modifier_type_sequence	generated_modifier_phrase_de	outer_template_signature	structural_template_signature	generated_microphrase_de	source_microphrase_de	exact_replay	replay_status	written_atom_alignment	guard	outer_template_id	structural_template_id
933	G407-E2885	G407-S430	f81r	BIOLOGICAL	qokedy	OK+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Setze den Posten; auf Grad I; abschließen.	Setze den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
934	G407-E2886	G407-S431	f81r	BIOLOGICAL	olkedy	OL+K+E+DY	OL+DY	CONTINUE_THEN_CLOSE	Weiter	abschließen	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OL+DY || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: gib den Posten; auf Grad I; abschließen.	Weiter: gib den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:E=auf Grad I | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T107
935	G407-E2887	G407-S432	f81r	BIOLOGICAL	dol	D_ADDR+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	D_ADDR	LOCAL_OR_CLASS_SIGN	hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN	Weiter: gib den Posten; hier.	Weiter: gib den Posten; hier.	YES	EXACT_SOURCE_REPLAY	1:D_ADDR=hier | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T068
936	G407-E2889	G407-S432	f81r	BIOLOGICAL	qokesdy	OK+E+S+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK|S	A+A	setze den Posten und wähle den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A+A || SINGLE || GRADE	Setze den Posten und wähle den Posten; auf Grad I; abschließen.	Setze den Posten und wähle den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:E=auf Grad I | 3:S=wählen | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T034
937	G407-E2894	G407-S433	f81r	BIOLOGICAL	otey	OT+E+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	T	A	stelle den Posten ein	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: stelle den Posten ein; auf Grad I.	Danach: stelle den Posten ein; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
938	G407-E2897	G407-S433	f81r	BIOLOGICAL	sheedy	SH+EE+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte den Posten; auf Grad II; abschließen.	Halte den Posten; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
939	G407-E2903	G407-S434	f81r	BIOLOGICAL	olkaiin	OL+K+AIIN	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Wert.	Weiter: gib den Wert.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:AIIN=den Wert	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
940	G407-E2904	G407-S434	f81r	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Wert.	Weiter: gib den Wert.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
941	G407-E2906	G407-S434	f81r	BIOLOGICAL	shedy	SH+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Wert	AIIN	SINGLE	den Wert	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte den Wert; auf Grad I; abschließen.	Halte den Wert; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
942	G407-E2907	G407-S435	f81r	BIOLOGICAL	qokedy	OK+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Setze den Wert; auf Grad I; abschließen.	Setze den Wert; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
943	G407-E2909	G407-S436	f81r	BIOLOGICAL	olkar	OL+K+AR	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib die Einheit	OR	SINGLE	die Einheit	AR	RELATION	vom Ausgang	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || RELATION	Weiter: gib die Einheit; vom Ausgang.	Weiter: gib die Einheit; vom Ausgang.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:AR=vom Ausgang	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T073
944	G407-E2910	G407-S436	f81r	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib die Einheit	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib die Einheit.	Weiter: gib die Einheit.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
945	G407-E2912	G407-S436	f81r	BIOLOGICAL	olkshdy	OL+K+SH+D_ADDR+Y	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K|SH	A+A	gib den Posten und halte den Posten	Y	SINGLE	den Posten	D_ADDR	LOCAL_OR_CLASS_SIGN	hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A+A || SINGLE || LOCAL_OR_CLASS_SIGN	Weiter: gib den Posten und halte den Posten; hier.	Weiter: gib den Posten und halte den Posten; hier.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:SH=halten | 4:D_ADDR=hier | 5:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T090
946	G407-E2913	G407-S436	f81r	BIOLOGICAL	sol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte den Posten.	Weiter: halte den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
947	G407-E2914	G407-S436	f81r	BIOLOGICAL	shedy	SH+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte den Posten; auf Grad I; abschließen.	Halte den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
948	G407-E2915	G407-S437	f81r	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte den Posten.	Weiter: halte den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
949	G407-E2916	G407-S437	f81r	BIOLOGICAL	lchedy	L+CHD+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	CHD	A	bearbeite den Posten	Y	SINGLE	den Posten	L	RELATION	über die Verbindung	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || RELATION	Bearbeite den Posten; über die Verbindung; abschließen.	Bearbeite den Posten; über die Verbindung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:L=über die Verbindung | 2:CHD=bearbeiten | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T024
950	G407-E2917	G407-S438	f81r	BIOLOGICAL	shedy	SH+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte den Posten; auf Grad I; abschließen.	Halte den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
951	G407-E2919	G407-S439	f81r	BIOLOGICAL	olkedy	OL+K+E+DY	OL+DY	CONTINUE_THEN_CLOSE	Weiter	abschließen	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OL+DY || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: gib den Posten; auf Grad I; abschließen.	Weiter: gib den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:E=auf Grad I | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T107
952	G407-E2926	G407-S441	f81v	BIOLOGICAL	keedy	K+EE+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Gib den Posten; auf Grad II; abschließen.	Gib den Posten; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:K=geben | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
953	G407-E2930	G407-S442	f81v	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
954	G407-E2931	G407-S442	f81v	BIOLOGICAL	pchedy	P+CHD+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	P|CHD	A+A	setze den Posten ein und bearbeite den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	NO_PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	DY || ACTION_CHAIN || A+A || SINGLE || NONE	Setze den Posten ein und bearbeite den Posten; abschließen.	Setze den Posten ein und bearbeite den Posten; abschließen.	YES	EXACT_SOURCE_REPLAY	1:P=einsetzen | 2:CHD=bearbeiten | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O02	GDT565-T037
955	G407-E2935	G407-S443	f81v	BIOLOGICAL	qokedy	OK+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Setze den Posten; auf Grad I; abschließen.	Setze den Posten; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
956	G407-E2940	G407-S444	f81v	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	S	A	wähle den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: wähle den Wert.	Weiter: wähle den Wert.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
957	G407-E2942	G407-S444	f81v	BIOLOGICAL	olkain	OL+K+AIN	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Anteil.	Weiter: gib den Anteil.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:AIN=den Anteil	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
958	G407-E2944	G407-S444	f81v	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Anteil.	Weiter: gib den Anteil.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
959	G407-E2945	G407-S444	f81v	BIOLOGICAL	rol	R+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	R	A	markiere den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: markiere den Anteil.	Weiter: markiere den Anteil.	YES	EXACT_SOURCE_REPLAY	1:R=markieren | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
960	G407-E2949	G407-S444	f81v	BIOLOGICAL	olkeedy	OL+K+EE+DY	OL+DY	CONTINUE_THEN_CLOSE	Weiter	abschließen	ACTION_CHAIN	K	A	gib den Wert	AIIN	SINGLE	den Wert	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OL+DY || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: gib den Wert; auf Grad II; abschließen.	Weiter: gib den Wert; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:K=geben | 3:EE=auf Grad II | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T107
961	G407-E2950	G407-S445	f81v	BIOLOGICAL	okedy	OK+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Setze den Wert; auf Grad I; abschließen.	Setze den Wert; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
962	G407-E2955	G407-S446	f81v	BIOLOGICAL	oldy	OL+DY	OL+DY	CONTINUE_THEN_CLOSE	Weiter	abschließen	ACTION_CHAIN	CHD	A	bearbeite den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	OL+DY || ACTION_CHAIN || A || SINGLE || NONE	Weiter: bearbeite den Posten; abschließen.	Weiter: bearbeite den Posten; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O06	GDT565-T110
963	G407-E2960	G407-S447	f81v	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
964	G407-E2968	G407-S447	f81v	BIOLOGICAL	otain	OT+AIN	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	OK	A	setze den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || NONE	Danach: setze den Anteil.	Danach: setze den Anteil.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:AIN=den Anteil	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T139
965	G407-E2970	G407-S447	f81v	BIOLOGICAL	okeedy	OK+EE+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Setze den Posten; auf Grad II; abschließen.	Setze den Posten; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
966	G407-E2977	G407-S448	f81v	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
967	G407-E2985	G407-S448	f81v	BIOLOGICAL	daldy	AL+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	OK	A	setze den Anteil	AIN	SINGLE	den Anteil	AL	RELATION	zum Zielort	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || RELATION	Setze den Anteil; zum Zielort; abschließen.	Setze den Anteil; zum Zielort; abschließen.	YES	EXACT_SOURCE_REPLAY	1:AL=zum Zielort | 2:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T024
968	G407-E2986	G407-S449	f81v	BIOLOGICAL	olor	OL+OR	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze die Einheit	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: setze die Einheit.	Weiter: setze die Einheit.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:OR=die Einheit	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
969	G407-E2987	G407-S449	f81v	BIOLOGICAL	ol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze die Einheit	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: setze die Einheit.	Weiter: setze die Einheit.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
970	G407-E2993	G407-S449	f81v	BIOLOGICAL	schedy	CHD+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	CHD	A	bearbeite den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	NO_PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || NONE	Bearbeite den Posten; abschließen.	Bearbeite den Posten; abschließen.	YES	EXACT_SOURCE_REPLAY	1:CHD=bearbeiten | 2:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O02	GDT565-T023
971	G407-E2994	G407-S450	f81v	BIOLOGICAL	qol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	CHD	A	bearbeite den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: bearbeite den Posten.	Weiter: bearbeite den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
972	G407-E2995	G407-S450	f81v	BIOLOGICAL	ykol	Y+K+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_SOURCE_REPLAY	1:Y=den Posten | 2:K=geben | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
973	G407-E2997	G407-S450	f81v	BIOLOGICAL	shedy	SH+E+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte die Einheit	OR	SINGLE	die Einheit	E	GRADE	auf Grad I	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte die Einheit; auf Grad I; abschließen.	Halte die Einheit; auf Grad I; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
974	G407-E2998	G407-S451	f81v	BIOLOGICAL	sheedy	SH+EE+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte die Einheit	OR	SINGLE	die Einheit	EE	GRADE	auf Grad II	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte die Einheit; auf Grad II; abschließen.	Halte die Einheit; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
