unit_serial	register	page	unit_id	visible_owner	group_count	template_id	source_slot_order	latin_like_workshop_formula	german_source_order	compressed_surface_sequence	recovered_atom_sequence	recovered_literal_de	fluent_owner_reading_de
115	PROSE	f83r	B5-S003	B5	9	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B5; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	dort absetzen; dorthin; fortsetzen; von dort weiterfuehren; dort umsetzen; Sollmaß; fortsetzen; Öffnungsstufe; laufenden Posten umsetzen	Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, arbeite nach Sollmaß und setze weiter um.
116	PROSE	f83r	B6-S001	B6	9	P_COLLECT	OWNER > FLOW/OUTPUT > RECEIVER > MEASURE > CLOSE	Recipe fluxum de B6; collige in vase, mensura et serva.	Ausgabe oder Lauf des Besitzers auffangen; im Empfänger sammeln; bemessen und verwahren.	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	länger sammeln; aktuellen Posten kurz bearbeiten; diesen Posten dorthin; fortsetzen; Sollmaß; fortsetzen; Tuch; dieser Posten; Endziel	Sammle den aktuellen Posten länger, bearbeite ihn kurz, führe ihn zum Ziel, arbeite nach Sollmaß, führe weiter, lege den Abdeckträger ein und führe den Posten zum Endziel.
117	ASTRO	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	3	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_RIGHT_SECTOR_SLOT_01, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	ykshy s aram	YK | S | AR+AM	bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt	right sector slot 01: bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt
118	ASTRO	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_RIGHT_SECTOR_SLOT_02, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	ykecho ols eesydy	YK+HO | OL | EE+DY	bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten	right sector slot 02: bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten
119	ASTRO	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	3	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_RIGHT_SECTOR_SLOT_03, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ey shs okar	SEL+Y | SH+S | OK+AR	aktuelle Auswahl; Nebenwert halten; Quelle aktivieren	right sector slot 03: aktuelle Auswahl; Nebenwert halten; Quelle aktivieren
120	ASTRO	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	2	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_RIGHT_SECTOR_SLOT_04, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	shekchy sykos	SH+KCH+Y | YK+OS	aktuellen Posten beim Bearbeiten halten; Klassenfeld	right sector slot 04: aktuellen Posten beim Bearbeiten halten; Klassenfeld
121	ASTRO	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	2	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_RIGHT_SECTOR_SLOT_05, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ykeody okchy	YK+E+OD+Y | KCH	diesen Klassenposten kurz markieren; diesen Diagrammposten setzen	right sector slot 05: diesen Klassenposten kurz markieren; diesen Diagrammposten setzen
122	ASTRO	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_SECTOR_SLOT_06, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	dchetay	D+CH+T+A+Y	fester aktueller Hauptphasen-Zustand	right sector slot 06: fester aktueller Hauptphasen-Zustand
123	ASTRO	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	3	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_RIGHT_SECTOR_SLOT_07, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	ykchy kchey ykchys	YK+KCH | KCH | YK+KCH	bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH	right sector slot 07: bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH
124	ASTRO	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_SECTOR_SLOT_08, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	chkchdar	KCH+AR	Bearbeiten + Quelle	right sector slot 08: Bearbeiten + Quelle
125	ASTRO	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	2	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_RIGHT_SECTOR_SLOT_09, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	ykar ykaly	YK+AR | YK+AL	bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL	right sector slot 09: bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL
126	ASTRO	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	3	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_SECTOR_SLOT_10, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	lkshy kchy okar	SH+Y | KCH | OK+AR	aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren	right sector slot 10: aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren
127	ASTRO	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	3	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_RIGHT_SECTOR_SLOT_11, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	chky chykchs chy	CH+K+Y | KCH | NONE	aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten	right sector slot 11: aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten
128	ASTRO	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	2	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_RIGHT_SECTOR_SLOT_12, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	ykees ykchos	YK | YK+KCH	bezeichnete Klasse oder Haus; bezeichnete Klasse oder Haus + KCH	right sector slot 12: bezeichnete Klasse oder Haus; bezeichnete Klasse oder Haus + KCH
129	ASTRO	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	4	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_RIGHT_RING_BAND_01, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	opodchol s ain aldy	OP+OD+OL | S | AIN | AL	markiertes Paarfeld fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld	right ring band 01: markiertes Paarfeld fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld
130	ASTRO	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_RIGHT_RING_BAND_02, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	soeey doiin oldy	EE | IIN | OL	lange Tabellenstufe; Tabellenstufe; fortsetzen und den Eintrag schliessen	right ring band 02: lange Tabellenstufe; Tabellenstufe; fortsetzen und den Eintrag schliessen
131	ASTRO	f67r2	f67r2.15	A1_LEFT_LOCAL_FIELD_15	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_LOCAL_FIELD_15, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	dolchsody	OL	im selben Ring, Band oder Satz fortsetzen	left local field 15: im selben Ring, Band oder Satz fortsetzen
132	ASTRO	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	4	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_16, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	odaeiin okoes oekain y	OD+IIN | OK | AIN | NONE	Arbeits- oder Bedingungsstufe markieren; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten	left local field 16: Arbeits- oder Bedingungsstufe markieren; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten
133	ASTRO	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	3	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_LOCAL_FIELD_17, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otchey soraiir dy	OT | OR | NONE	naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten	left local field 17: naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten
134	ASTRO	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_18, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	qopchy daiin dal	OP+CH+Y | AIIN | AL	aktueller Zustand des Paarfelds; Sollwert; Ziel	left local field 18: aktueller Zustand des Paarfelds; Sollwert; Ziel
135	ASTRO	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	4	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_19, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ydchos ain ar amy	YD+HO | AIN | AR | AM+Y	Eingangsposten der aktiven Zeile; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspekt	left local field 19: Eingangsposten der aktiven Zeile; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspekt
136	ASTRO	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	2	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_LEFT_LOCAL_FIELD_20, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	chocfhy saral	HO | AR+AL	Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel	left local field 20: Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel
137	ASTRO	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_21, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	sain am ar	AIN | AM | AR	Portion; ASPEKT; Ausgangssektor, Ursprung oder Bezugswert	left local field 21: Portion; ASPEKT; Ausgangssektor, Ursprung oder Bezugswert
138	ASTRO	f67r2	f67r2.22	A1_LEFT_LOCAL_FIELD_22	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_LOCAL_FIELD_22, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okal	OK+AL	am Zielplatz setzen	left local field 22: am Zielplatz setzen
139	ASTRO	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	2	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_LEFT_LOCAL_FIELD_23, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	oparchy salsain	OP+AR | AL+AIN	Quelle des Paarfelds; Ziel + Portion	left local field 23: Quelle des Paarfelds; Ziel + Portion
140	ASTRO	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	3	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_LOCAL_FIELD_24, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	sodar ofar ar	AR | AR | AR	Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert	left local field 24: Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert
141	ASTRO	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_25, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ydam	YD+AM	Aspekt der aktiven Zeile	left local field 25: Aspekt der aktiven Zeile
142	ASTRO	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	3	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_LEFT_LOCAL_FIELD_26, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	yteoor yto ykor	YT+OR | YT | YK+OR	bezeichneter Platz oder Phase + OR; bezeichneter Platz oder Phase; bezeichnete Klasse oder Haus + OR	left local field 26: bezeichneter Platz oder Phase + OR; bezeichneter Platz oder Phase; bezeichnete Klasse oder Haus + OR
143	ASTRO	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	4	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_27, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	okeo r aiin am	OK | R | AIIN | AM	Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; ASPEKT	left local field 27: Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; ASPEKT
144	ASTRO	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	2	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_28, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	okain am	OK+AIN | AM	einen gezaehlten Teilwert zugeben; ASPEKT	left local field 28: einen gezaehlten Teilwert zugeben; ASPEKT
145	ASTRO	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	2	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_29, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ytody saiin	YT+OD+Y | AIIN	diesen Platz eintragen; Sollwert	left local field 29: diesen Platz eintragen; Sollwert
146	ASTRO	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	2	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_LOCAL_FIELD_30, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	ochol olol	HO | OL+OL	im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	left local field 30: im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen
147	ASTRO	f67r2	f67r2.31	A1_LEFT_LOCAL_FIELD_31	1	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_LEFT_LOCAL_FIELD_31, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	opcholdy	OP+OL+DY	Paarfeld fortsetzen und festhalten	left local field 31: Paarfeld fortsetzen und festhalten
148	ASTRO	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	4	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_LEFT_LOCAL_FIELD_32, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	dosar odas air alaiin	AR | OD | AIR | AL+AIIN	Ausgangssektor, Ursprung oder Bezugswert; Nebenwert markieren; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert	left local field 32: Ausgangssektor, Ursprung oder Bezugswert; Nebenwert markieren; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert
149	ASTRO	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	3	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_LEFT_LOCAL_FIELD_33, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	dokan oear odal	OK | AR | OD+AL	Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Ziel markieren	left local field 33: Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Ziel markieren
150	ASTRO	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	2	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_LOCAL_FIELD_34, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	ofar oeoldan	AR | OL	Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	left local field 34: Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden
151	ASTRO	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_35, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	chol giin okol	HO | G+IIN | OK+OL	im selben Ring oder Band fortsetzen; Gradstufe; Fortsetzung aktivieren	left local field 35: im selben Ring oder Band fortsetzen; Gradstufe; Fortsetzung aktivieren
152	ASTRO	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_36, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	ytor daiin or	YT+OR | AIIN | OR	bezeichneter Platz oder Phase + OR; Sollwert; Bedingungs- oder Tabellensatz	left local field 36: bezeichneter Platz oder Phase + OR; Sollwert; Bedingungs- oder Tabellensatz
153	ASTRO	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_37, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	ytoaiin	YT+AIIN	bezeichneter Platz oder Phase + AIIN	left local field 37: bezeichneter Platz oder Phase + AIIN
154	ASTRO	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	2	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_LOCAL_FIELD_38, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otoldos octhole	OT+OL | CTH+OL	als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen	left local field 38: als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen
155	ASTRO	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_39, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	sor chedaiin dy	OR | CHD+AIIN | NONE	Satz/Ansatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten	left local field 39: Satz/Ansatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten
156	ASTRO	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_40, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	yteos oiin og	YT | IIN | G	bezeichneter Platz oder Phase; Tabellenstufe; Grundgrad	left local field 40: bezeichneter Platz oder Phase; Tabellenstufe; Grundgrad
157	ASTRO	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	2	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_41, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ytoeopchey chekody	YT | CHK+OD+Y	bezeichneter Platz oder Phase; erwärmten/gehaltenen Posten markieren	left local field 41: bezeichneter Platz oder Phase; erwärmten/gehaltenen Posten markieren
158	ASTRO	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	3	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_LEFT_LOCAL_FIELD_42, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	sosho chos ockhy	OS+HO | HO | CKH	Feldeingang; Eingangsposten; durch Sektor, Ring oder Pruefweg fuehren	left local field 42: Feldeingang; Eingangsposten; durch Sektor, Ring oder Pruefweg fuehren
159	ASTRO	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	4	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_43, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	daiin aiin os qsg	AIIN | AIIN | OS | G	Sollwert; Sollwert oder Grad des bezeichneten Himmelsplatzes; FELD/RAHMEN; Nebengrad	left local field 43: Sollwert; Sollwert oder Grad des bezeichneten Himmelsplatzes; FELD/RAHMEN; Nebengrad
160	ASTRO	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	3	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_44, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ofydy sheody aiin	O+Y+DY | E+OD+Y | AIIN	aktuellen Grundwert festhalten; diesen gehaltenen Posten kurz markieren; Sollwert oder Grad des bezeichneten Himmelsplatzes	left local field 44: aktuellen Grundwert festhalten; diesen gehaltenen Posten kurz markieren; Sollwert oder Grad des bezeichneten Himmelsplatzes
161	ASTRO	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	3	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_LOCAL_FIELD_45, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ycheody es odaiiin	CHEO | SEL+S | OD+IIN	aktueller Ablesewert fest; ausgewählter Nebenwert; Stufe markieren	left local field 45: aktueller Ablesewert fest; ausgewählter Nebenwert; Stufe markieren
162	ASTRO	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	2	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_46, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	yekees oraly	EE | OR+AL	lange Tabellenstufe; Ansatz/Satz + Ziel	left local field 46: lange Tabellenstufe; Ansatz/Satz + Ziel
163	ASTRO	f67r2	f67r2.47	A1_LEFT_LOCAL_FIELD_47	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_47, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	yfain	AIN	gezaehlter Teil oder Unterabschnitt	left local field 47: gezaehlter Teil oder Unterabschnitt
164	ASTRO	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_48, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	todaiin dain dy	AIIN | AIN | NONE	Sollwert; Portion; dieser lokale Diagrammposten	left local field 48: Sollwert; Portion; dieser lokale Diagrammposten
