visible_surface	occurrences	pages	owners	namespaces	detected_literal_atoms	detected_cues	covered_characters	transfer_class	exact_prose_master_card_id	forward_prediction	representative_astro_reading_de
olor	1	f68r1	A2_STAR_STATION_12	F68_LOCAL_STAR_SLOT_NS	OL+OR	OL=ol@0-2|OR=or@2-4	4/4	EXACT_PROSE_SURFACE	MC157	NONE	Sternplatz A2_STAR_STATION_12: fortgesetzter Bedingungs- oder Tabellensatz.
ols	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	OL	OL=ol@0-2	2/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.
oly	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	OL	OL=ol@0-2	2/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.
oparchy	1	f67r2	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	AR	AR=ar@2-4	2/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_23: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest op/chy.
opcheeol	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	OL	OL=ol@6-8	2/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: lange oder volle Diagrammstufe + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch.
opcholdy	1	f67r2	A1_LEFT_LOCAL_FIELD_31	F67_LEFT_WHEEL_NS	HO	HO=cho@2-5	3/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_31: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch/dy.
opodchol	1	f67r2	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	HO	HO=cho@4-7	3/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.
or	1	f67r2	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	OR	OR=or@0-2	2/2	EXACT_PROSE_SURFACE	MC080	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.
oraly	1	f67r2	A1_LEFT_LOCAL_FIELD_46	F67_LEFT_WHEEL_NS	OR+AL	OR=or@0-2|AL=al@2-4	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.
oran	1	f67r2	A1_RIGHT_PHASE_STATION_08	F67_RIGHT_WHEEL_NS	OR	OR=or@0-2	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A1_RIGHT_PHASE_STATION_08: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest an.
os	2	f67r2	A1_LEFT_LOCAL_FIELD_43|A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	NONE	NONE	0/2	EXACT_PROSE_SURFACE	MC159	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld.
osar	1	f67r2	A1_RIGHT_PHASE_STATION_07	F67_RIGHT_WHEEL_NS	AR	AR=ar@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A1_RIGHT_PHASE_STATION_07: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest os.
osdaiin	1	f68r1	A2_STAR_STATION_26	F68_LOCAL_STAR_SLOT_NS	AIIN	AIIN=aiin@3-7	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_26: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest osd.
ot	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/2	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung.
otaldal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+AL+AL	OT=ot@0-2|AL=al@2-4|AL=al@5-7	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest d.
otar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_06	F67_LEFT_WHEEL_NS	OT+AR	OT=ot@0-2|AR=ar@2-4	4/4	EXACT_PROSE_SURFACE	MC121	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.
otaza	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest aza.
otchdy	1	f68r1	A2_STAR_STATION_15	F68_LOCAL_STAR_SLOT_NS	OT+CHD	OT=ot@0-2|CHD=chd@2-5	5/6	EXACT_PROSE_SURFACE	MC067	NONE	Sternplatz A2_STAR_STATION_15: den folgenden Platz uebertragen und den Eintrag schliessen.
otcheody	1	f68r1	A2_STAR_STATION_02	F68_LOCAL_STAR_SLOT_NS	OT+CHEO	OT=ot@0-2|CHEO=cheo@2-6	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.
otchey	1	f67r2	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/6	EXACT_PROSE_SURFACE	MC171	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.
otchl	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	OT	OT=ot@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_MIDDLE_PANEL_HEADER: naechster Platz oder folgende Bedingung; lokaler Namensrest chl.
otchy	1	f69v	A3_LEFT_RADIAL_SLOT_21	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_21: naechster Platz oder folgende Bedingung; lokaler Namensrest chy.
oteeal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+AL	OT=ot@0-2|AL=al@4-6	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld.
oteeo	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest o.
oteey	2	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT	OT=ot@0-2	2/5	EXACT_PROSE_SURFACE	MC063	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.
oteeys	1	f69v	A3_LEFT_RADIAL_SLOT_12	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_12: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ys.
oteoarar	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+AR+AR	OT=ot@0-2|AR=ar@4-6|AR=ar@6-8	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest eo.
oteody	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT	OT=ot@0-2	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest eody.
oteol	1	f69v	A3_LEFT_RADIAL_SLOT_13	F69_LEFT_WHEEL_NS	OT+OL	OT=ot@0-2|OL=ol@3-5	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.
otoar	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+AR	OT=ot@0-2|AR=ar@3-5	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.
otochedy	1	f68r1	A2_STAR_STATION_27	F68_LOCAL_STAR_SLOT_NS	OT+CHD	OT=ot@0-2|CHD=ched@3-7	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.
otody	1	f69v	A3_LEFT_RADIAL_SLOT_09	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_09: naechster Platz oder folgende Bedingung; lokaler Namensrest ody.
otokeeey	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OT+OK	OT=ot@0-2|OK=ok@2-4	4/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.
otol	1	f68r1	A2_STAR_STATION_17	F68_LOCAL_STAR_SLOT_NS	OT+OL	OT=ot@0-2|OL=ol@2-4	4/4	EXACT_PROSE_SURFACE	MC053	NONE	Sternplatz A2_STAR_STATION_17: danach im selben Ring oder Band fortsetzen.
otoldos	1	f67r2	A1_LEFT_LOCAL_FIELD_38	F67_LEFT_WHEEL_NS	OT+OL	OT=ot@0-2|OL=ol@2-4	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.
otolor	1	f67r2	A1_LEFT_OUTER_STAR_STATION_11	F67_LEFT_WHEEL_NS	OT+OL+OR	OT=ot@0-2|OL=ol@2-4|OR=or@4-6	6/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.
otoly	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+OL	OT=ot@0-2|OL=ol@2-4	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.
otor	2	f68r1	A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18	F68_LEFT_PANEL_HEADER_NS|F68_LOCAL_STAR_SLOT_NS	OT+OR	OT=ot@0-2|OR=or@2-4	4/4	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.
otshey	1	f68r1	A2_STAR_STATION_06	F68_LOCAL_STAR_SLOT_NS	OT	OT=ot@0-2	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_06: naechster Platz oder folgende Bedingung + abgelesener oder freigegebener Wert.
oty	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OT	OT=ot@0-2	2/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Teilsektor oder Untereintrag; lokaler Namensrest o.
otydy	1	f68r1	A2_STAR_STATION_07	F68_LOCAL_STAR_SLOT_NS	OT	OT=ot@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_07: Teilsektor oder Untereintrag; lokaler Namensrest o/dy.
otykchs	1	f68r1	A2_STAR_STATION_16	F68_LOCAL_STAR_SLOT_NS	OT+KCH	OT=ot@0-2|KCH=kch@3-6	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_16: Teilsektor oder Untereintrag + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/s.
otys	1	f68r1	A2_STAR_STATION_11	F68_LOCAL_STAR_SLOT_NS	OT	OT=ot@0-2	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_11: Teilsektor oder Untereintrag; lokaler Namensrest o/s.
oygy	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A2_CENTRAL_LEGEND_UNRESOLVED: aktueller Grundgrad.
qear	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	AR	AR=ar@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest qe.
qeykeey	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest qeyk/y.
qkoy	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_OUTER_RING_TEXT: neue Grundklasse.
qocheey	1	f68r1	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Wert; lokaler Namensrest qo.
qockhy	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	CKH	CKH=ckh@2-5	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest qo/y.
qofair	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	AIR	AIR=air@3-6	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest qof.
qokeeedy	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	OK	OK=ok@1-3	2/8	EXACT_PROSE_SURFACE	MC140	NONE	Sternplatz A2_MIDDLE_PANEL_HEADER: vollstaendig setzen und den Eintrag schliessen.
qokeeody	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	OK	OK=ok@1-3	2/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest q/ody.
qokeochy	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	OK	OK=ok@1-3	2/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest q/eochy.
qokoaiin	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	OK+AIIN	OK=ok@1-3|AIIN=aiin@4-8	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest q/o.
qopchy	1	f67r2	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_18: neuer Paarbezug.
qotair	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+AIR	OT=ot@1-3|AIR=air@3-6	5/6	FORWARD_PREDICTED_EXACT	NONE	OT+AIR	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.
qoteor	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OT+OR	OT=ot@1-3|OR=or@4-6	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.
qotoear	1	f67r2	A1_LEFT_OUTER_STAR_STATION_01	F67_LEFT_WHEEL_NS	OT+AR	OT=ot@1-3|AR=ar@5-7	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.
qsg	1	f67r2	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_43: neuer Nebengrad.
r	1	f67r2	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	NONE	NONE	0/1	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_27: Bezugswert.
ror	1	f68r1	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	OR	OR=or@1-3	2/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest r.
s	4	f67r2	A1_RIGHT_PHASE_STATION_01|A1_RIGHT_PHASE_STATION_06|A1_RIGHT_RING_BAND_01|A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	NONE	NONE	0/1	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.
saiin	1	f67r2	A1_LEFT_LOCAL_FIELD_29	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@1-5	4/5	EXACT_PROSE_SURFACE	MC039	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_29: Sollwert oder Grad des bezeichneten Himmelsplatzes.
saiir	1	f69v	A3_LEFT_RADIAL_SLOT_17	F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_RADIAL_SLOT_17: sekundärer Hauptindex.
sain	1	f67r2	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	AIN	AIN=ain@1-4	3/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_21: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s.
sal	1	f67r2	A1_LEFT_LOCAL_FIELD_50	F67_LEFT_WHEEL_NS	AL	AL=al@1-3	2/3	EXACT_PROSE_SURFACE	MC154	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.
saldal	1	f67r2	A1_LEFT_OUTER_STAR_STATION_03	F67_LEFT_WHEEL_NS	AL+AL	AL=al@1-3|AL=al@4-6	4/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s/d.
salsain	1	f67r2	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	AL+AIN	AL=al@1-3|AIN=ain@4-7	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.
sar	2	f69v	A3_LEFT_RADIAL_SLOT_01|A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	AR	AR=ar@1-3	2/3	EXACT_PROSE_SURFACE	MC055	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.
saral	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	AR+AL	AR=ar@1-3|AL=al@3-5	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.
sarydy	1	f69v	A3_LEFT_RADIAL_SLOT_20	F69_LEFT_WHEEL_NS	AR	AR=ar@1-3	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_20: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest s/ydy.
shees	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Position oder Bedingung halten + lange oder volle Diagrammstufe; lokaler Namensrest s.
sheey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/5	EXACT_PROSE_SURFACE	MC095	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.
shekchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@3-6	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.
sheody	1	f67r2	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.
shey	1	f68r1	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	NONE	NONE	0/4	EXACT_PROSE_SURFACE	MC119	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.
shokchy	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	HO+KCH	HO=sho@0-3|KCH=kch@3-6	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest s/y.
shs	1	f67r2	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.
sodar	1	f67r2	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	AR	AR=ar@3-5	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest sod.
soear	1	f67r2	A1_RIGHT_PHASE_STATION_02	F67_RIGHT_WHEEL_NS	AR	AR=ar@3-5	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A1_RIGHT_PHASE_STATION_02: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest soe.
soeey	1	f67r2	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.
sor	1	f67r2	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	OR	OR=or@1-3	2/3	EXACT_PROSE_SURFACE	MC080	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_39: Bedingungs- oder Tabellensatz.
soraiir	1	f67r2	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	OR	OR=or@1-3	2/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_17: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest s/aiir.
sosho	1	f67r2	A1_LEFT_LOCAL_FIELD_42	F67_LEFT_WHEEL_NS	HO	HO=sho@2-5	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest sos.
