card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source	pass458_note	exact_selection_layer	exact_selection_rule	wet_context_value_de	common_root_revision	previous_atomic_value_de	common_action_revision	template_slot_value_de	pass478_decision	pass478_reason	pass479_previous_value_de	pass479_value_de	pass479_revision	quantity_root	quantity_kind	pass480_value_de	pass480_revision
PROC115	5eff216ba51fbfb21f22	ls	1	E196	BIOLOGICAL	B2	LS	hinausfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	abfuehren	NO	abfuehren	YES	abfuehren	UNCHANGED_COMPOSITION	already built from productive components	abfuehren	abfuehren	NO	NONE	NONE	abfuehren	NO
PROC116	0ab57b7166de99db3a55	lchy	1	E202	BIOLOGICAL	B2	L+CH+Y	dies entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies abziehen	NO	dies abziehen	YES	dies abziehen	UNCHANGED_COMPOSITION	already built from productive components	dies abziehen	dies abziehen	NO	NONE	NONE	dies abziehen	NO
PROC117	6b89d6dd70635bc60fe0	qcthey|shcthey	2	E204|E258	BIOLOGICAL	B2|B3	CTH+E+Y	dies kurz bereithalten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz bereithalten	NO	dies kurz bereithalten	NO	dies kurz bereithalten	UNCHANGED_COMPOSITION	already built from productive components	dies kurz bereithalten	dies kurz bereithalten	NO	NONE	NONE	dies kurz bereithalten	NO
PROC118	5fca8fc3dee57e1d8c1f	lcheey	1	E206	BIOLOGICAL	B2	L+EE+Y	dies länger entnehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies länger abziehen	NO	dies länger abziehen	YES	dies länger abziehen	UNCHANGED_COMPOSITION	already built from productive components	dies länger abziehen	dies länger abziehen	NO	NONE	NONE	dies länger abziehen	NO
PROC119	d25110e0d8488927278f	qokeeedy	1	E209	BIOLOGICAL	B2	OK+EEE+DY	vollständig ansetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	vollständig ansetzen; Schluss	NO	vollständig ansetzen; Schluss	NO	vollständig ansetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	vollständig ansetzen; Schluss	vollständig ansetzen; Schluss	NO	NONE	NONE	vollständig ansetzen; Schluss	NO
PROC120	de7321bface5628e35d6	lchedy	8	E210|E235|E246|E262|E269|E282|E345|E357	BIOLOGICAL	B2|B3|B4	L+CHD+DY	hinausführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	hinausführen; Schluss	NO	hinausführen; Schluss	NO	hinausführen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	hinausführen; Schluss	hinausführen; Schluss	NO	NONE	NONE	hinausführen; Schluss	NO
PROC121	29e0eb222ef2fb99523a	lar	1	E211	BIOLOGICAL	B2	L+AR	von dort abführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	von dort abführen	NO	von dort abführen	NO	von dort abführen	UNCHANGED_COMPOSITION	already built from productive components	von dort abführen	von dort abführen	NO	NONE	NONE	von dort abführen	NO
PROC122	d4a31dbcf1ed6d9e5aa9	tshey	1	E212	BIOLOGICAL	B2	SH+E+Y	dies kurz halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz halten	NO	dies kurz halten	NO	dies kurz halten	UNCHANGED_COMPOSITION	already built from productive components	dies kurz halten	dies kurz halten	NO	NONE	NONE	dies kurz halten	NO
PROC123	0f15effeca7ab10bb026	lchedar	1	E215	BIOLOGICAL	B2	L+CHD+AR	von dort hinausführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	von dort hinausführen	NO	von dort hinausführen	NO	von dort hinausführen	UNCHANGED_COMPOSITION	already built from productive components	von dort hinausführen	von dort hinausführen	NO	NONE	NONE	von dort hinausführen	NO
PROC124	db729b598e89e11452e0	ches	1	E216	BIOLOGICAL	B2	WHOLE[ches]	teilen	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS	unchanged	UNIQUE_VALUE	write only card with this value	teilen	NO	teilen	NO	TEILEN	RETAIN	single PREPARE slot between MOVE and MEASURE	TEILEN	TEILEN	NO	NONE	NONE	TEILEN	NO
PROC125	65df3cd9e59060042d47	pchedy	1	E221	BIOLOGICAL	B2	P+CHD+DY	hineinführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	hineinführen; Schluss	NO	hineinführen; Schluss	NO	hineinführen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	hineinführen; Schluss	hineinführen; Schluss	NO	NONE	NONE	hineinführen; Schluss	NO
PROC126	98bdc4244c84cbef3321	rsheal	1	E222	BIOLOGICAL	B2	R+SH+E+AL	an der Stelle kurz senken	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle kurz abkuehlen	NO	an der Stelle kurz abkuehlen	YES	an der Stelle kurz abkuehlen	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle kurz abkuehlen	an der Stelle kurz abkuehlen	NO	NONE	NONE	an der Stelle kurz abkuehlen	NO
PROC127	78b3b3140714da19090d	daldy	1	E223	BIOLOGICAL	B2	AL+DY	an der Stelle schliessen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle schliessen	NO	an der Stelle schliessen	NO	an der Stelle schliessen	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle schliessen	an der Stelle schliessen	NO	NONE	NONE	an der Stelle schliessen	NO
PROC128	7f68f60279efe6b28cd7	rshedy	1	E225	BIOLOGICAL	B2	R+SHED+DY	senken und absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	abkuehlen und absetzen; Schluss	NO	abkuehlen und absetzen; Schluss	YES	abkuehlen und absetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	abkuehlen und absetzen; Schluss	abkuehlen und absetzen; Schluss	NO	NONE	NONE	abkuehlen und absetzen; Schluss	NO
PROC129	ff178343c18e287ce3b7	qoteedy	2	E226|E292	BIOLOGICAL	B2|B3	OT+EE+DY	nächsten Schritt länger halten; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	nächsten Schritt länger halten; Schluss	NO	nächsten Schritt länger halten; Schluss	NO	nächsten Schritt länger halten; Schluss	UNCHANGED_COMPOSITION	already built from productive components	nächsten Schritt länger halten; Schluss	nächsten Schritt länger halten; Schluss	NO	NONE	NONE	nächsten Schritt länger halten; Schluss	NO
PROC130	f2af6326898fb5b490a4	lochedy	1	E228	BIOLOGICAL	B2	L+O+CHD+DY	weiter hinausfuehren; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	weiter hinausfuehren; Schluss	NO	weiter hinausfuehren; Schluss	NO	weiter hinausfuehren; Schluss	UNCHANGED_COMPOSITION	already built from productive components	weiter hinausfuehren; Schluss	weiter hinausfuehren; Schluss	NO	NONE	NONE	weiter hinausfuehren; Schluss	NO
PROC131	90bcf0a9ec0ef56399e6	otal|qotal	3	E230|E237|E320	BIOLOGICAL	B3|B4	OT+AL	Folgestelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Folgestelle	NO	Folgestelle	NO	Folgestelle	UNCHANGED_COMPOSITION	already built from productive components	Folgestelle	Folgestelle	NO	NONE	NONE	Folgestelle	NO
PROC132	a84fbe3ad380df345b97	chkeedy	1	E231	BIOLOGICAL	B3	CHK+EE+DY	länger wärmen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger wärmen; Schluss	NO	länger wärmen; Schluss	NO	länger wärmen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	länger wärmen; Schluss	länger wärmen; Schluss	NO	NONE	NONE	länger wärmen; Schluss	NO
PROC133	5e8441397e7c0faf042b	chedchy	1	E240	BIOLOGICAL	B3	CHD+Y	dies umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	LOCAL_CONTEXT	CHEDCHY before target-setting; otherwise CHDY/CHEDY	dies umsetzen	NO	dies umsetzen	NO	dies umsetzen	UNCHANGED_COMPOSITION	already built from productive components	dies umsetzen	dies umsetzen	NO	NONE	NONE	dies umsetzen	NO
PROC134	ba540da978ea132f6da5	pchedal	1	E248	BIOLOGICAL	B3	P+CHD+AL	an der Stelle hineinführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle hineinführen	NO	an der Stelle hineinführen	NO	an der Stelle hineinführen	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle hineinführen	an der Stelle hineinführen	NO	NONE	NONE	an der Stelle hineinführen	NO
PROC135	c45ebac60774620561e2	otedy	2	E249|E307	BIOLOGICAL	B3	OT+E+DY	kurzer Folgeschritt; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurzer Folgeschritt; Schluss	NO	kurzer Folgeschritt; Schluss	NO	kurzer Folgeschritt; Schluss	UNCHANGED_COMPOSITION	already built from productive components	kurzer Folgeschritt; Schluss	kurzer Folgeschritt; Schluss	NO	NONE	NONE	kurzer Folgeschritt; Schluss	NO
PROC136	348e81ba084c5acdb32b	shecthedchy	1	E250	BIOLOGICAL	B3	SH+E+CTH+CHD+Y	dies kurz bereit umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz bereit umsetzen	NO	dies kurz bereit umsetzen	NO	dies kurz bereit umsetzen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz bereit umsetzen	dies kurz bereit umsetzen	NO	NONE	NONE	dies kurz bereit umsetzen	NO
PROC137	0bdc8b6db811b4e67a63	chary	1	E253	BIOLOGICAL	B3	AR+Y	dies aus der Quelle nehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies aus der Quelle nehmen	NO	dies aus der Quelle nehmen	NO	dies aus der Quelle nehmen	UNCHANGED_COMPOSITION	already built from productive components	dies aus der Quelle nehmen	dies aus der Quelle nehmen	NO	NONE	NONE	dies aus der Quelle nehmen	NO
PROC138	7d2404c835b10a2c06af	okair	1	E260	BIOLOGICAL	B3	OK+AIR	Lauf in Gang setzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Wasser in Gang setzen	YES	Lauf in Gang setzen	NO	Wasser in Gang setzen	UNCHANGED_COMPOSITION	already built from productive components	Wasser in Gang setzen	Wasser in Gang setzen	NO	NONE	NONE	Wasser in Gang setzen	NO
PROC139	03626ca94cb17800d767	sheedy	1	E261	BIOLOGICAL	B3	SH+EE+DY	länger absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger absetzen; Schluss	NO	länger absetzen; Schluss	NO	länger absetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	länger absetzen; Schluss	länger absetzen; Schluss	NO	NONE	NONE	länger absetzen; Schluss	NO
PROC140	2b7fa918d1b2f5c656e3	lo	1	E263	BIOLOGICAL	B3	L+O	hinausfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	hinausfuehren	NO	hinausfuehren	NO	hinausfuehren	UNCHANGED_COMPOSITION	already built from productive components	hinausfuehren	hinausfuehren	NO	NONE	NONE	hinausfuehren	NO
PROC141	db167f8e9b53eefb58f8	qokshedy	1	E267	BIOLOGICAL	B3	OK+SH+E+DY	kurz absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz absetzen; Schluss	NO	kurz absetzen; Schluss	NO	kurz absetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	kurz absetzen; Schluss	kurz absetzen; Schluss	NO	NONE	NONE	kurz absetzen; Schluss	NO
PROC142	abb23e5e6936b4147f76	shedal	2	E275|E364	BIOLOGICAL	B3|B5	SHED+AL	an der Stelle absetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle absetzen	NO	an der Stelle absetzen	NO	an der Stelle absetzen	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle absetzen	an der Stelle absetzen	NO	NONE	NONE	an der Stelle absetzen	NO
PROC143	cb57b696b815fdef9cb7	shecthy	1	E276	BIOLOGICAL	B3	SH+E+CTH+Y	dies kurz bereit halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz bereit halten	NO	dies kurz bereit halten	NO	dies kurz bereit halten	UNCHANGED_COMPOSITION	already built from productive components	dies kurz bereit halten	dies kurz bereit halten	NO	NONE	NONE	dies kurz bereit halten	NO
PROC144	2bc2ed2630dbdaaa6b59	dalchdy	1	E280	BIOLOGICAL	B3	AL+CHD+DY	an der Stelle überführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle überführen; Schluss	NO	an der Stelle überführen; Schluss	NO	an der Stelle überführen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle überführen; Schluss	an der Stelle überführen; Schluss	NO	NONE	NONE	an der Stelle überführen; Schluss	NO
PROC145	4de12cf322dfb76ded1e	otchedy|qotchedy	2	E281|E301	BIOLOGICAL	B3	OT+CHD+DY	danach umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	short OTCHDY in B5; expanded OTCHEDY in B3	danach umsetzen; Schluss	NO	danach umsetzen; Schluss	NO	danach umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	danach umsetzen; Schluss	danach umsetzen; Schluss	NO	NONE	NONE	danach umsetzen; Schluss	NO
PROC146	342c3f0777337648f4b3	cheedar	1	E285	BIOLOGICAL	B3	EE+AR	laenger aus der Quelle fuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	laenger aus der Quelle fuehren	NO	laenger aus der Quelle fuehren	NO	laenger aus der Quelle fuehren	UNCHANGED_COMPOSITION	already built from productive components	laenger aus der Quelle fuehren	laenger aus der Quelle fuehren	NO	NONE	NONE	laenger aus der Quelle fuehren	NO
PROC147	d72f71baff01cd0a0406	chldaiin	1	E286	BIOLOGICAL	B3	L+AIIN	Abfuehrmass	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Abfuehrmass	NO	Abfuehrmass	NO	Abfuehrmass	UNCHANGED_COMPOSITION	already built from productive components	Abfuehrmass	Abfuehrmass	NO	AIIN	SOLLMASS	Abführ-Sollmaß	YES
PROC148	d788d8d72d41b25a3c71	chealror	1	E290	BIOLOGICAL	B3	AL+R+OR	Ansatz an der Stelle senken	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Ansatz an der Stelle abkuehlen	NO	Ansatz an der Stelle abkuehlen	YES	Ansatz an der Stelle abkuehlen	UNCHANGED_COMPOSITION	already built from productive components	Ansatz an der Stelle abkuehlen	Ansatz an der Stelle abkuehlen	NO	NONE	NONE	Ansatz an der Stelle abkuehlen	NO
PROC149	9247e38d29c79a0d2fa5	cheeety	1	E296	BIOLOGICAL	B3	EEE+T+Y	dies vollstaendig eintragen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies vollstaendig fuellen	YES	dies vollstaendig eintragen	NO	dies vollstaendig fuellen	UNCHANGED_COMPOSITION	already built from productive components	dies vollstaendig fuellen	dies vollstaendig fuellen	NO	NONE	NONE	dies vollstaendig fuellen	NO
PROC150	b154ff779abe5f196c80	schedair	1	E300	BIOLOGICAL	B3	CHD+AIR	Lauf weiterfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Wasser weiterfuehren	YES	Lauf weiterfuehren	NO	Wasser weiterfuehren	UNCHANGED_COMPOSITION	already built from productive components	Wasser weiterfuehren	Wasser weiterfuehren	NO	NONE	NONE	Wasser weiterfuehren	NO
PROC151	d784b2abcaf1a3703de2	chedain	1	E303	BIOLOGICAL	B3	CHD+AIN	eine Portion überführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	eine Portion überführen	NO	eine Portion überführen	NO	eine Portion überführen	UNCHANGED_COMPOSITION	already built from productive components	eine Portion überführen	eine Portion überführen	NO	AIN	PORTION	eine Stoffportion überführen	YES
PROC152	1779decef17481ec2853	qotedaiin	1	E305	BIOLOGICAL	B3	OT+E+AIIN	kurzes Folgemaß	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurzes Folgemaß	NO	kurzes Folgemaß	NO	kurzes Folgemaß	UNCHANGED_COMPOSITION	already built from productive components	kurzes Folgemaß	kurzes Folgemaß	NO	AIIN	SOLLMASS	kurzes Folge-Sollmaß	YES
PROC153	7811a7daff25d476e28d	olsaly	1	E313	BIOLOGICAL	B3	OL+AL+Y	dies an der Stelle fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies an der Stelle fortsetzen	NO	dies an der Stelle fortsetzen	NO	dies an der Stelle fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	dies an der Stelle fortsetzen	dies an der Stelle fortsetzen	NO	NONE	NONE	dies an der Stelle fortsetzen	NO
PROC154	e2eb77ca9d9e1a8ba29a	qolchey	1	E316	BIOLOGICAL	B4	OL+Y	dies weiterführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies weiterführen	NO	dies weiterführen	NO	dies weiterführen	UNCHANGED_COMPOSITION	already built from productive components	dies weiterführen	dies weiterführen	NO	NONE	NONE	dies weiterführen	NO
PROC155	eb2e4bc143f623ee03ac	qokylddy	1	E326	BIOLOGICAL	B4	OK+Y+LDDY	dies befestigen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies befestigen; Schluss	NO	dies befestigen; Schluss	NO	dies befestigen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	dies befestigen; Schluss	dies befestigen; Schluss	NO	NONE	NONE	dies befestigen; Schluss	NO
PROC156	53cd0637c6820ba5e91f	dain	2	E327|E379	BIOLOGICAL	B4|B6	AIN	Portion	PRODUCTIVE_COMPOSITION	PASS458_WHOLE_REDUCTION	both DAIN occurrences are wrapper-d realizations of PAGE_HOST AIN	UNIQUE_VALUE	write only card with this value	Portion	NO	Portion	NO	Portion	UNCHANGED_COMPOSITION	already built from productive components	Portion	Portion	NO	AIN	PORTION	Stoffportion	YES
PROC157	92e43836d82f98bf02d3	sheey	1	E334	BIOLOGICAL	B4	SH+EE+Y	dies länger halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies länger halten	NO	dies länger halten	NO	dies länger halten	UNCHANGED_COMPOSITION	already built from productive components	dies länger halten	dies länger halten	NO	NONE	NONE	dies länger halten	NO
PROC158	daf32e6db9e04413ce7f	okeeol	1	E340	BIOLOGICAL	B4	OK+EE+OL	länger fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger fortsetzen	NO	länger fortsetzen	NO	länger fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	länger fortsetzen	länger fortsetzen	NO	NONE	NONE	länger fortsetzen	NO
PROC159	b958a512ca6a3559e86e	lkedy	1	E344	BIOLOGICAL	B4	L+K+E+DY	kurz abführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz abführen; Schluss	NO	kurz abführen; Schluss	NO	kurz abführen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	kurz abführen; Schluss	kurz abführen; Schluss	NO	NONE	NONE	kurz abführen; Schluss	NO
PROC160	232195d6ff2f326322f7	qokol	1	E346	BIOLOGICAL	B4	OK+OL	Fortsetzung einsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Fortsetzung einsetzen	NO	Fortsetzung einsetzen	NO	Fortsetzung einsetzen	UNCHANGED_COMPOSITION	already built from productive components	Fortsetzung einsetzen	Fortsetzung einsetzen	NO	NONE	NONE	Fortsetzung einsetzen	NO
PROC161	ecce30bc8dcc400bf2c8	qockhey	1	E350	BIOLOGICAL	B4	O+CKH+E+Y	dies kurz durchführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz durchführen	NO	dies kurz durchführen	NO	dies kurz durchführen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz durchführen	dies kurz durchführen	NO	NONE	NONE	dies kurz durchführen	NO
PROC162	8aedd154964a78e555d6	dairydy	1	E351	BIOLOGICAL	B4	AIR+Y+DY	Lauf schliessen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Wasserlauf schliessen	YES	Lauf schliessen	NO	Wasserlauf schliessen	UNCHANGED_COMPOSITION	already built from productive components	Wasserlauf schliessen	Wasserlauf schliessen	NO	NONE	NONE	Wasserlauf schliessen	NO
PROC163	21ed2873b71e57269c08	chckhal	1	E355	BIOLOGICAL	B4	CH+CKH+AL	Durchgangstelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Durchlassstelle	NO	Durchlassstelle	YES	Durchlassstelle	UNCHANGED_COMPOSITION	already built from productive components	Durchlassstelle	Durchlassstelle	NO	NONE	NONE	Durchlassstelle	NO
PROC164	42cdc187d5b9ffc60063	solkey	1	E356	BIOLOGICAL	B4	SOLK+E+Y	kurz auffangen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz auffangen	NO	kurz auffangen	NO	kurz auffangen	UNCHANGED_COMPOSITION	already built from productive components	kurz auffangen	kurz auffangen	NO	NONE	NONE	kurz auffangen	NO
PROC165	883a6708116c342cb10b	skar	1	E360	BIOLOGICAL	B4	K+AR	aus dem Vorrat zufuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	aus dem Vorrat zufuehren	NO	aus dem Vorrat zufuehren	NO	aus dem Vorrat zufuehren	UNCHANGED_COMPOSITION	already built from productive components	aus dem Vorrat zufuehren	aus dem Vorrat zufuehren	NO	NONE	NONE	aus dem Vorrat zufuehren	NO
PROC166	601b77449028deed39de	otchdy	1	E362	BIOLOGICAL	B5	OT+CHD+DY	danach umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	short OTCHDY in B5; expanded OTCHEDY in B3	danach umsetzen; Schluss	NO	danach umsetzen; Schluss	NO	danach umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	danach umsetzen; Schluss	danach umsetzen; Schluss	NO	NONE	NONE	danach umsetzen; Schluss	NO
PROC167	8c97dfde96fbc78e3355	lol	1	E367	BIOLOGICAL	B5	L+OL	weiterfuehren	PRODUCTIVE_COMPOSITION	PASS458_WHOLE_REDUCTION	L plus continue is sufficient; invisible warmth removed	RECORD_RENDERER	DL in B1; LOL in B5	weiterfuehren	NO	weiterfuehren	NO	weiterfuehren	UNCHANGED_COMPOSITION	already built from productive components	weiterfuehren	weiterfuehren	NO	NONE	NONE	weiterfuehren	NO
PROC168	00d8ebe3c68294eeac39	chdal	1	E368	BIOLOGICAL	B5	CHD+AL	an der Stelle umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle umsetzen	NO	an der Stelle umsetzen	NO	an der Stelle umsetzen	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle umsetzen	an der Stelle umsetzen	NO	NONE	NONE	an der Stelle umsetzen	NO
PROC169	fcc1deda9e24ec268eb0	daiiin	1	E371	BIOLOGICAL	B5	WHOLE[daiiin]	zweite Stufe	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS	unchanged	UNIQUE_VALUE	write only card with this value	zweite Stufe	NO	zweite Stufe	NO	STUFE II	RETAIN	single MEASURE slot between PREPARE and MOVE	STUFE II	STUFE II	NO	NONE	NONE	STUFE II	NO
PROC170	1bfd786e6b8b63734a59	solkeey	1	E373	BIOLOGICAL	B6	SOLK+EE+Y	laenger auffangen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	laenger auffangen	NO	laenger auffangen	NO	laenger auffangen	UNCHANGED_COMPOSITION	already built from productive components	laenger auffangen	laenger auffangen	NO	NONE	NONE	laenger auffangen	NO
PROC171	43eb9aa12959b4d5cdc9	qekey	1	E374	BIOLOGICAL	B6	E+K+E+Y	dies kurz zuführen	PRODUCTIVE_COMPOSITION	PASS458_WHOLE_REDUCTION	visible grade-supply-current sequence; invisible raw state removed	RECORD_RENDERER	KCHEY in H5; QEKY in B6	dies kurz zuführen	NO	dies kurz zuführen	NO	dies kurz zuführen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz zuführen	dies kurz zuführen	NO	NONE	NONE	dies kurz zuführen	NO
