family_atlas_ordinal	template_id	template_period	physical_folio	source_selector	array_id	locus	slot_index	slot_count	kluge_a_member	complete_label_surface	label_token_count	zl_boundary_family	it_boundary_family	rf_boundary_family	zl_member_sequence	it_member_sequence	rf_member_sequence	member_sequence_max_support	member_sequence_agreement	canonical_boundary_family	canonical_compact_family	boundary_reader_support	compact_reader_support	boundary_supporting_editions	compact_supporting_editions	agreement_class	zl_group_count	it_group_count	rf_group_count	transferred_prefix	strict_residual	zl_alternative_sites	it_alternative_sites	rf_alternative_sites	zl_nearest_eva	it_nearest_eva	rf_nearest_eva	source_family_semantics	component_export_credit
87	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.23	1	9	1	otal	1	AQAB	AQAB	AQAB	A1.Q2.A3.B2	A1.Q2.A3.B2	A1.Q2.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQAB	AQAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	EMPTY	0	0	0	otal	otal	otal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
88	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.24	2	9	2	ralal	1	CABAB	CABAB	CABAB	C1.A3.B2.A3.B2	C2.A3.B2.A3.B2	C2.A3.B2.A3.B2	2	MEMBER_SEQUENCE_2OF3	CABAB	CABAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	CABAB	0	0	0	ralal	salal	salal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
89	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.25	3	9	3	okam	1	AQAB	AQAB	AQAB	A1.Q1.A3.B3	A1.Q1.A3.B3	A1.Q1.A3.B3	3	ALL3_MEMBER_SEQUENCE	AQAB	AQAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	EMPTY	0	0	0	okam	okam	okam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
90	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.26	4	9	4	otalshy	1	AQABLA	AQABLA	AQABLA	A1.Q2.A3.B2.L1.A2	A1.Q2.A3.B2.L1.A2	A1.Q2.A3.B2.L1.A2	3	ALL3_MEMBER_SEQUENCE	AQABLA	AQABLA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	LA	0	0	0	otalshy	otalshy	otalshy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
91	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.27	5	9	5	okaldy	1	AQABBA	AQABBA	AQABBA	A1.Q1.A3.B2.B1.A2	A1.Q1.A3.B2.B1.A2	A1.Q1.A3.B2.B1.A2	3	ALL3_MEMBER_SEQUENCE	AQABBA	AQABBA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	BA	0	0	0	okaldy	okaldy	okaldy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
92	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.28	6	9	6	chosar	1	KACAC	KACAC	KACAC	K1.A1.C2.A3.C1	K1.A1.C2.A3.C1	K1.Aa.C2.A3.C1	2	MEMBER_SEQUENCE_2OF3	KACAC	KACAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	KACAC	0	0	0	chosar	chosar	chasar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
93	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.29	7	9	7	otam	1	AQAB	AQAB	AQAB	A1.Q2.A3.B3	A1.Q2.A3.B3	A1.Q2.A3.B3	3	ALL3_MEMBER_SEQUENCE	AQAB	AQAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	EMPTY	0	0	0	otam	otam	otam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
94	T30	30	f72	f72r2	SCARR028|f72r2|S0	f72r2.3	3	5	28	okaram	1	AQACAB	AQACAB	AQAC|AB	A1.Q1.A3.C1.A3.B3	A1.Q1.A3.C1.A3.B3	A1.Q1.A3.C1|A3.B3	2	MEMBER_SEQUENCE_2OF3	AQACAB	AQACAB	2	3	IT2a|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	1	1	2	AQAC	AB	0	0	0	okaram	okaram	okar am	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
95	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.30	8	9	8	ainaly	1	AFABA	AFABA	AFABA	A3.F1.A3.B2.A2	A3.F1.A3.B2.A2	A3.F1.A3.B2.A2	3	ALL3_MEMBER_SEQUENCE	AFABA	AFABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AFABA	0	0	0	ainaly	ainaly	ainaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
96	T30	30	f72	f72r2	SCARR030|f72r2|S2	f72r2.31	9	9	9	okarcham	1	AQACKAB	AQAC|KAB	AQACKAB	A1.Q1.A3.C1.K1.A3.B3	A1.Q1.A3.C1|K1.A3.B3	A1.Q1.A3.C1.K1.A3.B3	2	MEMBER_SEQUENCE_2OF3	AQACKAB	AQACKAB	2	3	RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	1	2	1	AQAC	KAB	0	0	0	okarcham	okar cham	okarcham	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
97	T30	30	f72	f72r2	SCARR028|f72r2|S0	f72r2.4	4	5	29	okairy	1	AQAFA	AQAFA	AQAFA	A1.Q1.A3.F3.A2	A1.Q1.A3.F3.A2	A1.Q1.A3.F3.A2	3	ALL3_MEMBER_SEQUENCE	AQAFA	AQAFA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQA	FA	0	0	0	okairy	okairy	okairy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
98	T30	30	f72	f72r2	SCARR028|f72r2|S0	f72r2.5	5	5	30	okealar	1	AQJABAC	AQJABAC	AQJABAC	A1.Q1.J1.A3.B2.A3.C1	A1.Q1.J1.A1.B2.A3.C1	A1.Q1.J1.A3.B2.A3.C1	2	MEMBER_SEQUENCE_2OF3	AQJABAC	AQJABAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQJABAC	0	0	0	okealar	okeolar	okealar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
99	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.7	1	16	10	otaraldy	1	AQACABBA	AQACABBA	AQACABBA	A1.Q2.A3.C1.A3.B2.B1.A2	A1.Q2.A3.C1.A3.B2.B1.A2	A1.Q2.A3.C1.A3.B2.B1.A2	3	ALL3_MEMBER_SEQUENCE	AQACABBA	AQACABBA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAC	ABBA	0	0	0	otaraldy	otaraldy	otaraldy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
100	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.8	2	16	11	okalar	1	AQABAC	AQABAC	AQABAC	A1.Q1.A3.B2.A3.C1	A1.Q1.A3.B2.A3.C1	A1.Q1.A3.B2.A3.C1	3	ALL3_MEMBER_SEQUENCE	AQABAC	AQABAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AC	0	0	0	okalar	okalar	okalar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
101	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.9	3	16	12	okal	1	AQAB	AQAB	AQAB	A1.Q1.A3.B2	A1.Q1.A3.B2	A1.Q1.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQAB	AQAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	EMPTY	0	0	0	okal	okal	okal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
