page	record_ordinal	field_serial_in_record	locus	visible_field	event_count	technical_primary_function	technical_secondary_functions	technical_card_expansion_German	complete_field_expansion_German	closure	coverage_status
f83r	1	32	f83r.20	sol cheeety qokedy	3	VORANSATZ ODER RÜCKLAUF	WASSERWEG, SPÜLUNG ODER ABLASS; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	arbeite mit dem vorigen Ansatz weiter | nach der ersten Spülung | spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	VORANSATZ ODER RÜCKLAUF: arbeite mit dem vorigen Ansatz weiter; nach der ersten Spülung; spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	33	f83r.20	qoky saiin	2	AUSZUFÜHRENDER ARBEITSGANG	MENGE ODER MASS; EINSATZ AM BECKEN ODER AN DER STATION	verwende die aktive Portion im laufenden Arbeitsgang | ein vorgeschriebenes Maß	AUSZUFÜHRENDER ARBEITSGANG: verwende die aktive Portion im laufenden Arbeitsgang; ein vorgeschriebenes Maß. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	34	f83r.22	schedair otchedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	ziehe die klare Flüssigkeit ab | mische zu gleichen Teilen; schließe die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: ziehe die klare Flüssigkeit ab; mische zu gleichen Teilen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	35	f83r.22	qokeedy	1	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	36	f83r.22	chedain chedy qotedaiin otaiin otedy	5	EINSATZ AM BECKEN ODER AN DER STATION		beginne die Spülung | rühre bis zur gleichmäßigen Mischung | das breite Gefäß | für denselben Zeitraum wie zuvor | lasse es bis zur Klärung ausziehen; schließe die Zelle	EINSATZ AM BECKEN ODER AN DER STATION: beginne die Spülung; rühre bis zur gleichmäßigen Mischung; das breite Gefäß; für denselben Zeitraum wie zuvor; lasse es bis zur Klärung ausziehen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	37	f83r.22	ldy	1	ANLAGEN- ODER DURCHLAUFDETAIL		ziehe die Flüssigkeit ab; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: ziehe die Flüssigkeit ab; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	38	f83r.24	soiiin checthy chety otaiin olsaly shedy	6	REIFE- ODER ENDZUSTAND	BEARBEITUNGSWEISE; WÄRME, KÜHLUNG ODER RUHE	bis zur Klarheit | sobald der Ansatz arbeitsbereit ist | bearbeite den Ansatz gleichmäßig | für denselben Zeitraum wie zuvor | das untere Becken | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	REIFE- ODER ENDZUSTAND: bis zur Klarheit; sobald der Ansatz arbeitsbereit ist; bearbeite den Ansatz gleichmäßig; für denselben Zeitraum wie zuvor; das untere Becken; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	1	f83r.25	qokeedy	1	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	2	f83r.25	qolchey qokeey qokedy	3	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	fülle dann das Gefäß | tempere die Arbeitsflüssigkeit und halte sie lauwarm | spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: fülle dann das Gefäß; tempere die Arbeitsflüssigkeit und halte sie lauwarm; spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	3	f83r.25	chedy otal	2	WASSERWEG, SPÜLUNG ODER ABLASS		rühre bis zur gleichmäßigen Mischung | zum unteren Auslass	WASSERWEG, SPÜLUNG ODER ABLASS: rühre bis zur gleichmäßigen Mischung; zum unteren Auslass. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	4	f83r.26	otchey qokeey qoky tol shedy	5	AUSWAHL DES BEZEICHNETEN ANTEILS	AUSZUFÜHRENDER ARBEITSGANG; VORANSATZ ODER RÜCKLAUF; WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	nimm den bezeichneten Anteil | tempere die Arbeitsflüssigkeit und halte sie lauwarm | verwende die aktive Portion im laufenden Arbeitsgang | arbeite mit dem vorigen Ansatz weiter | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	AUSWAHL DES BEZEICHNETEN ANTEILS: nimm den bezeichneten Anteil; tempere die Arbeitsflüssigkeit und halte sie lauwarm; verwende die aktive Portion im laufenden Arbeitsgang; arbeite mit dem vorigen Ansatz weiter; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	5	f83r.26	qokylddy	1	EINSATZ AM BECKEN ODER AN DER STATION	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	binde den Kräuterbeutel an der bezeichneten Station fest; schließe die Zelle	EINSATZ AM BECKEN ODER AN DER STATION: binde den Kräuterbeutel an der bezeichneten Station fest; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	6	f83r.27	dain chedy qokeedy	3	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	durch ein Tuch | rühre bis zur gleichmäßigen Mischung | bade oder tauche im temperierten warmen Wasser; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: durch ein Tuch; rühre bis zur gleichmäßigen Mischung; bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	7	f83r.27	shckhedy	1	WASSERWEG, SPÜLUNG ODER ABLASS		seihe es einmal durch Tuch; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: seihe es einmal durch Tuch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	8	f83r.27	shckhedy	1	WASSERWEG, SPÜLUNG ODER ABLASS		seihe es einmal durch Tuch; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: seihe es einmal durch Tuch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	9	f83r.28	saiin cheeky sheey qokedy	4	MENGE ODER MASS	WASSERWEG, SPÜLUNG ODER ABLASS; WÄRME, KÜHLUNG ODER RUHE; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	ein vorgeschriebenes Maß | solange es noch warm ist | die erste Öffnung | spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	MENGE ODER MASS: ein vorgeschriebenes Maß; solange es noch warm ist; die erste Öffnung; spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	10	f83r.28	shedy	1	WÄRME, KÜHLUNG ODER RUHE		lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	11	f83r.28	oldy	1	WÄRME, KÜHLUNG ODER RUHE	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	siede sanft; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: siede sanft; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	12	f83r.35	saiin cheky okeeol okain chdy	5	MENGE ODER MASS	WÄRME, KÜHLUNG ODER RUHE	ein vorgeschriebenes Maß | über sanfter Wärme | das breite Gefäß | gib eine gemessene Portion in das Gefäß | rühre bis zur gleichmäßigen Mischung	MENGE ODER MASS: ein vorgeschriebenes Maß; über sanfter Wärme; das breite Gefäß; gib eine gemessene Portion in das Gefäß; rühre bis zur gleichmäßigen Mischung. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	13	f83r.37	sol lkedy	2	VORANSATZ ODER RÜCKLAUF	WASSERWEG, SPÜLUNG ODER ABLASS	arbeite mit dem vorigen Ansatz weiter | spüle zweimal; schließe die Zelle	VORANSATZ ODER RÜCKLAUF: arbeite mit dem vorigen Ansatz weiter; spüle zweimal; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	14	f83r.37	lchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	15	f83r.37	qokol shedy	2	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION	lasse die Mischung einlaufen | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse die Mischung einlaufen; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	16	f83r.38	or chey qockhey dairydy	4	AKTUELLE ARBEITSFLÜSSIGKEIT	AKTIVER ARBEITSPOSTEN; EINSATZ AM BECKEN ODER AN DER STATION; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	die bereitete Arbeitsflüssigkeit | dieser aktive Arbeitsposten | über der bezeichneten Badestelle | verwende den Ansatz sofort; schließe die Zelle	AKTUELLE ARBEITSFLÜSSIGKEIT: die bereitete Arbeitsflüssigkeit; dieser aktive Arbeitsposten; über der bezeichneten Badestelle; verwende den Ansatz sofort; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	17	f83r.39	qokain shey kain chckhal	4	REIFE- ODER ENDZUSTAND	EINSATZ AM BECKEN ODER AN DER STATION	gib eine gemessene Portion in das Gefäß | bearbeite weiter, bis die Flüssigkeit klar abläuft | eine gemessene Portion | für die vorgeschriebene Dauer	REIFE- ODER ENDZUSTAND: gib eine gemessene Portion in das Gefäß; bearbeite weiter, bis die Flüssigkeit klar abläuft; eine gemessene Portion; für die vorgeschriebene Dauer. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	18	f83r.41	solkey lchedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	öffne als Nächstes den oberen Wasserlauf | lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: öffne als Nächstes den oberen Wasserlauf; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	19	f83r.41	qolkain dal	2	ZIELBECKEN ODER ARBEITSSTATION	ANLAGEN- ODER DURCHLAUFDETAIL	das untere Becken | führe den Arbeitsstrom zur bezeichneten Station	ZIELBECKEN ODER ARBEITSSTATION: das untere Becken; führe den Arbeitsstrom zur bezeichneten Station. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	2	20	f83r.44	skar shedy	2	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	gieße erwärmtes Wasser ein | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: gieße erwärmtes Wasser ein; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	3	1	f83r.47	otchdy	1	ANLAGEN- ODER DURCHLAUFDETAIL		ziehe die Flüssigkeit ab; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: ziehe die Flüssigkeit ab; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	3	2	f83r.47	qokchdy	1	WÄRME, KÜHLUNG ODER RUHE		erhitze einmal; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: erhitze einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	3	3	f83r.47	shedal	1	ANLAGEN- ODER DURCHLAUFDETAIL		für einen Arbeitszeitraum	ANLAGEN- ODER DURCHLAUFDETAIL: für einen Arbeitszeitraum. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	3	4	f83r.48	dal cheol lol chdal aiin	5	ZIELBECKEN ODER ARBEITSSTATION	VORANSATZ ODER RÜCKLAUF; MENGE ODER MASS; WÄRME, KÜHLUNG ODER RUHE	führe den Arbeitsstrom zur bezeichneten Station | arbeite mit dem vorigen Ansatz weiter | bis es warm ist | mit der vorigen Mischung | ein vorgeschriebenes Maß	ZIELBECKEN ODER ARBEITSSTATION: führe den Arbeitsstrom zur bezeichneten Station; arbeite mit dem vorigen Ansatz weiter; bis es warm ist; mit der vorigen Mischung; ein vorgeschriebenes Maß. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	3	5	f83r.49	sol daiiin chedy	3	VORANSATZ ODER RÜCKLAUF	ANLAGEN- ODER DURCHLAUFDETAIL	arbeite mit dem vorigen Ansatz weiter | die zweite Öffnung | rühre bis zur gleichmäßigen Mischung	VORANSATZ ODER RÜCKLAUF: arbeite mit dem vorigen Ansatz weiter; die zweite Öffnung; rühre bis zur gleichmäßigen Mischung. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	4	1	f83r.52	solkeey qekey raly ol	4	VORANSATZ ODER RÜCKLAUF	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	setze den Badenden an das Becken | ohne Sieden | die erste Öffnung | arbeite mit dem vorigen Ansatz weiter	VORANSATZ ODER RÜCKLAUF: setze den Badenden an das Becken; ohne Sieden; die erste Öffnung; arbeite mit dem vorigen Ansatz weiter. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	4	2	f83r.54	daiin ol dain chey ldalor	5	MENGE ODER MASS	VORANSATZ ODER RÜCKLAUF; AKTIVER ARBEITSPOSTEN; WASSERWEG, SPÜLUNG ODER ABLASS; EINSATZ AM BECKEN ODER AN DER STATION; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	ein vorgeschriebenes Maß | arbeite mit dem vorigen Ansatz weiter | durch ein Tuch | dieser aktive Arbeitsposten | an der bezeichneten Arbeitsstation	MENGE ODER MASS: ein vorgeschriebenes Maß; arbeite mit dem vorigen Ansatz weiter; durch ein Tuch; dieser aktive Arbeitsposten; an der bezeichneten Arbeitsstation. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
