surface	events	pages	kinds	component_recipe	portable_default_de	reading_class	source_surface	owner_bound_label_use	confidence
sorshy	1	f88v	P	S+OR+SH+Y	AUSWÄHLEN · ANSATZ · HALTEN · POSTEN	VISIBLE_NEW_COMPOSITION	korchy	NO	MEDIUM_HIGH
soteol	1	f88v	P	S+OT+E+OL	AUSWÄHLEN · DANACH · KURZ · FORTSETZEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	soteol	NO	MEDIUM_HIGH
soy	1	f17r	P	S+O+Y	AUSWÄHLEN · AUSFÜHREN · POSTEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	soy	NO	MEDIUM_HIGH
sqokeodaiin	1	f88v	P	S+OK+E+O+D_ADDR+AIIN	AUSWÄHLEN · SETZEN · KURZ · AUSFÜHREN · TEIL · MASS	VISIBLE_NEW_COMPOSITION	oteodaiin	NO	WORKING
sshedy	1	f77r	P	S+SH+E+DY	AUSWÄHLEN · HALTEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	sshedy	NO	HIGH
tain	1	f77r	P	T+AIN	STELLEN · PORTION	VISIBLE_NEW_COMPOSITION	ain	NO	MEDIUM_HIGH
tal	2	f77r|f71v	C|P	T+AL	STELLEN · ZIEL	EXACT_REGISTERED_SURFACE	tal	NO	HIGH
tcho	1	f17r	P	T+CH+O	STELLEN · NEHMEN · AUSFÜHREN	EXACT_REGISTERED_SURFACE	tcho	NO	HIGH
tedy	1	f77r	P	T+E+DY	STELLEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	tedy	NO	HIGH
teeey	1	f71v	C	T+EEE+Y	STELLEN · VOLL · POSTEN	VISIBLE_NEW_COMPOSITION	teey	NO	MEDIUM_HIGH
teeolain	1	f77r	P	T+EE+OL+AIN	STELLEN · LÄNGER · FORTSETZEN · PORTION	VISIBLE_NEW_COMPOSITION	teodaiin	NO	WORKING
teey	1	f71v	C	T+EE+Y	STELLEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	teey	NO	HIGH
teodal	1	f88v	P	T+E+O+D_ADDR+AL	STELLEN · KURZ · AUSFÜHREN · TEIL · ZIEL	VISIBLE_NEW_COMPOSITION	odal	NO	MEDIUM_HIGH
toairy	1	f88v	P	T+O+AIR+Y	STELLEN · AUSFÜHREN · LAUF · POSTEN	VISIBLE_ROOT_COMPOSITION_RESOLVED	toairy	NO	MEDIUM_HIGH
tol	1	f88v	P	T+OL	STELLEN · FORTSETZEN	EXACT_REGISTERED_SURFACE	tol	NO	HIGH
tolchd	1	f77r	P	T+OL+CHD	STELLEN · FORTSETZEN · UMSETZEN	VISIBLE_NEW_COMPOSITION	kolchdy	NO	MEDIUM_HIGH
tos	1	f88v	P	T+O+S	STELLEN · AUSFÜHREN · AUSWÄHLEN	VISIBLE_NEW_COMPOSITION	os	NO	MEDIUM_HIGH
tsho	1	f17r	P	T+SH+O	STELLEN · HALTEN · AUSFÜHREN	VISIBLE_ROOT_COMPOSITION_RECONCILED	tsho	NO	MEDIUM_HIGH
y	4	f17r|f77r|f88v	P	Y	POSTEN	EXACT_REGISTERED_SURFACE	y	NO	HIGH
ychekchy	1	f17r	P	Y+CHK+Y	POSTEN · BEHANDELN · POSTEN	VISIBLE_NEW_COMPOSITION	chedchy	NO	MEDIUM_HIGH
ychod	1	f17r	P	Y+CH+O+D_ADDR	POSTEN · NEHMEN · AUSFÜHREN · TEIL	VISIBLE_ROOT_COMPOSITION_RECONCILED	ychod	NO	MEDIUM_HIGH
ydair	1	f17r	P	Y+D_ADDR+AIR	POSTEN · TEIL · LAUF	VISIBLE_NEW_COMPOSITION	dair	NO	MEDIUM_HIGH
ydar	1	f17r	P	Y+D_ADDR+AR	POSTEN · TEIL · QUELLE	VISIBLE_NEW_COMPOSITION	dar	NO	MEDIUM_HIGH
yfolaiin	1	f88v	P	Y+LOCAL_CHAR_F+OL+AIIN	POSTEN · NEBENWEG · FORTSETZEN · MASS	VISIBLE_ROOT_COMPOSITION_RECONCILED	yfolaiin	NO	MEDIUM_HIGH
ykchey	1	f88v	P	Y+K+CH+E+Y	POSTEN · GEBEN · NEHMEN · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	ykchey	NO	HIGH
ykchy	1	f17r	P	Y+K+Y	POSTEN · GEBEN · POSTEN	EXACT_REGISTERED_SURFACE	ykchy	NO	HIGH
ykeeor	1	f88v	P	Y+K+EE+OR	POSTEN · GEBEN · LÄNGER · ANSATZ	VISIBLE_NEW_COMPOSITION	okeeor	NO	MEDIUM_HIGH
ykeey	1	f88v	P	Y+K+EE+Y	POSTEN · GEBEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	ykeey	NO	HIGH
ykeodain	1	f88v	P	Y+K+E+O+D_ADDR+AIN	POSTEN · GEBEN · KURZ · AUSFÜHREN · TEIL · PORTION	VISIBLE_NEW_COMPOSITION	chedain	NO	WORKING
ypaim	1	f17r	P	Y+P+AIR	POSTEN · EINSETZEN · LAUF	LICENSED_SCRIBAL_ALLOGRAPH	ypair	NO	MEDIUM_HIGH
ypchy	1	f17r	P	Y+P+CH+Y	POSTEN · EINSETZEN · NEHMEN · POSTEN	VISIBLE_NEW_COMPOSITION	dpchy	NO	MEDIUM_HIGH
ypod	1	f17r	P	Y+P+O+D_ADDR	POSTEN · EINSETZEN · AUSFÜHREN · TEIL	VISIBLE_NEW_COMPOSITION	chod	NO	MEDIUM_HIGH
ysheey	1	f77r	P	Y+SH+EE+Y	POSTEN · HALTEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	sheey	NO	MEDIUM_HIGH
ysheod	1	f88v	P	Y+SH+E+O+D_ADDR	POSTEN · HALTEN · KURZ · AUSFÜHREN · TEIL	VISIBLE_ROOT_COMPOSITION_RECONCILED	ysheod	NO	MEDIUM_HIGH
zepchy	1	f17r	P	S+E+P+CH+Y	AUSWÄHLEN · KURZ · EINSETZEN · NEHMEN · POSTEN	VISIBLE_ROOT_COMPOSITION_RESOLVED	zepchy	NO	MEDIUM_HIGH
