unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
62	f82r	B2-S022	PROSE_STATEMENT	den Randstationen des unteren Beckens	1	lochedy	L+CHD+CLOSE	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	Der Text gehört zu den Randstationen des unteren Beckens; der laufende Gegenstand ist Arbeitsposten B2-4; die geltende Zieladresse ist Zielstelle B2-12; ‚das Vorige‘ bezeichnet Vorposten B2-3. [[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
63	f83r	B3-S001	PROSE_STATEMENT	der oberen offenen Fächerstation	1	olkeedy	SOLK+EE+CLOSE	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	OWNER|ACTIVE	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
64	f83r	B3-S002	PROSE_STATEMENT	der oberen offenen Fächerstation	2	qotal chkeedy	OT+AL | CHK+EE+CLOSE	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
65	f83r	B3-S003	PROSE_STATEMENT	der oberen offenen Fächerstation	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
66	f83r	B3-S004	PROSE_STATEMENT	der oberen offenen Fächerstation	3	qokaiin qotal dar	OK+AIIN | OT+AL | AR	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Zum unteren Ablauf hin. Daraus, aus demselben Ansatz.	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Zum unteren Ablauf hin. Daraus, aus demselben Ansatz.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
67	f83r	B3-S005	PROSE_STATEMENT	der mittleren runden Gefäßstation	1	schedy	CHD+CLOSE	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
68	f83r	B3-S006	PROSE_STATEMENT	der mittleren runden Gefäßstation	3	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Gieße das erwärmte Wasser ein. Den aktiven Posten an der örtlich bezeichneten Station führen. Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-3; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Gieße das erwärmte Wasser ein. Den aktiven Posten an der örtlich bezeichneten Station führen. Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
69	f83r	B3-S007	PROSE_STATEMENT	der mittleren runden Gefäßstation	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Rühre, bis alles gleichmäßig vermischt ist. Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Rühre, bis alles gleichmäßig vermischt ist. Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
70	f83r	B3-S008	PROSE_STATEMENT	der mittleren runden Gefäßstation	1	lchedy	L+CHD+CLOSE	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
71	f83r	B3-S009	PROSE_STATEMENT	der mittleren runden Gefäßstation	1	qoky	OK+Y	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen.	Der Text gehört zu der mittleren runden Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
72	f83r	B3-S010	PROSE_STATEMENT	der unteren korbförmigen Gefäßstation	2	pchedal otedy	P+CHD+AL | OT+E+CLOSE	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Fülle danach das Gefäß. Lasse es bis zur Klarheit ziehen und beende den Schritt.	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Fülle danach das Gefäß. Lasse es bis zur Klarheit ziehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
73	f83r	B3-S011	PROSE_STATEMENT	der unteren korbförmigen Gefäßstation	4	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Wende es an der markierten Stelle an. Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Rühre, bis alles gleichmäßig vermischt ist. Und lasse es abkühlen.	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-4; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Wende es an der markierten Stelle an. Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Rühre, bis alles gleichmäßig vermischt ist. Und lasse es abkühlen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
74	f83r	B3-S012	PROSE_STATEMENT	der unteren korbförmigen Gefäßstation	2	sor shedy	OR | SHED+E+CLOSE	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-5; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
75	f83r	B3-S013	PROSE_STATEMENT	der unteren korbförmigen Gefäßstation	4	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ein abgemessener Anteil. Unter derselben Einstellung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-5; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ein abgemessener Anteil. Unter derselben Einstellung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
76	f83r	B3-S014	PROSE_STATEMENT	der unteren korbförmigen Gefäßstation	2	okair sheedy	OK+AIR | SHED+EE+CLOSE	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Öffne danach den oberen Lauf. Wasche einmal und beende den Schritt.	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-6; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Öffne danach den oberen Lauf. Wasche einmal und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
77	f83r	B3-S015	PROSE_STATEMENT	der unteren korbförmigen Gefäßstation	1	lchedy	L+CHD+CLOSE	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der unteren korbförmigen Gefäßstation; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-7; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
78	f83r	B3-S016	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	2	lo qokchedy	L | OK+CHD+CLOSE	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Schließe den unteren Ablauf. [[STATIONSWECHSEL: untere korbartige Gefäß-Randstation -> ungelöster Zwischenposten zwischen Randstapel und Hauptpaar; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse es abkühlen und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-7; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Schließe den unteren Ablauf. [[STATIONSWECHSEL: untere korbartige Gefäß-Randstation -> ungelöster Zwischenposten zwischen Randstapel und Hauptpaar; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse es abkühlen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
79	f83r	B3-S017	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	qokeedy	OK+EE+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
80	f83r	B3-S018	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	shedy	SHED+E+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
81	f83r	B3-S019	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	qokshedy	OK+SHED+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
82	f83r	B3-S020	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	2	dal lchedy	AL | L+CHD+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
83	f83r	B3-S021	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den örtlichen Prüfzustand der Charge feststellen. Den aktiven Posten an der örtlich bezeichneten Station führen. Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Für einen Zeitabschnitt. Warmes Wasser. Diese aktive Portion. Den aktiven Posten an der örtlich bezeichneten Station führen. Den örtlichen Prüfzustand der Charge feststellen. Behalte den Rückstand und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-9; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den örtlichen Prüfzustand der Charge feststellen. Den aktiven Posten an der örtlich bezeichneten Station führen. Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Für einen Zeitabschnitt. Warmes Wasser. Diese aktive Portion. Den aktiven Posten an der örtlich bezeichneten Station führen. Den örtlichen Prüfzustand der Charge feststellen. Behalte den Rückstand und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
84	f83r	B3-S022	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	qotchedy	OT+CHD+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Mische zu gleichen Teilen und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-10; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Mische zu gleichen Teilen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
85	f83r	B3-S023	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	lchedy	L+CHD+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-10; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
86	f83r	B3-S024	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	tchedy	CHD+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-10; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
87	f83r	B3-S025	PROSE_STATEMENT	der Lücke zwischen Randstation und Hauptbogen	1	qokchdy	OK+CHD+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme es einmal und beende den Schritt.	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-11; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme es einmal und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
88	f83r	B3-S026	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Richte die bezeichnete Beckenstation ein. Nach dem Absetzen. Rühre, bis alles gleichmäßig vermischt ist. Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Bis der Strom klar wird. [[STATIONSWECHSEL: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar -> Hauptpaar am sichtbaren ungerichteten Bogen; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-11; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Richte die bezeichnete Beckenstation ein. Nach dem Absetzen. Rühre, bis alles gleichmäßig vermischt ist. Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Bis der Strom klar wird. [[STATIONSWECHSEL: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar -> Hauptpaar am sichtbaren ungerichteten Bogen; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
89	f83r	B3-S027	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	qoteedy	OT+EE+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-12; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
90	f83r	B3-S028	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	2	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-12; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
91	f83r	B3-S029	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	3	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Nach der ersten Spülung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-13; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Nach der ersten Spülung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
92	f83r	B3-S030	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	4	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ziehe die klare Flüssigkeit ab. Mische zu gleichen Teilen und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-14; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ziehe die klare Flüssigkeit ab. Mische zu gleichen Teilen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
93	f83r	B3-S031	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	qokeedy	OK+EE+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-14; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
