event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_previous_context_de	direction_revision_source	direction_revision_strength	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_previous_context_de	quantity_revision_source	quantity_revision_strength	workshop_slots	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_previous_context_de	state_endpoint_revision_family	state_endpoint_revision_strength	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_previous_context_de	filtration_revision_family	filtration_revision_strength	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_previous_context_de	application_revision_family	application_revision_strength	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_previous_context_de	r3_revision_family	r3_revision_strength	r3_revision_note	selected_previous_segmentation	selected_previous_nucleus_de	selected_previous_gloss_de	selected_previous_context_de	selected_medium_family	selected_medium_rationale	r3_thermal_previous_segmentation	r3_thermal_previous_nucleus_de	r3_thermal_previous_gloss_de	r3_thermal_previous_context_de	r3_thermal_family	r3_thermal_status	r3_thermal_note	selected_thermal_previous_segmentation	selected_thermal_previous_nucleus_de	selected_thermal_previous_gloss_de	selected_thermal_previous_context_de	selected_thermal_source	selected_thermal_family	selected_thermal_reason
288	E288	B3	f83r	f83r.16	F098	B3-S026	1645e612504fcef59ced	qokain	OK+AIN_PORTION	OK=in Arbeit setzen; AIN=Portion	eine Portion zugeben	Eine Portion zugeben	CONTINUES_ACROSS_LINE	ok=geben + ain=Portion	geben + Portion	Portion geben	Gib einen abgemessenen Anteil in das Gefäß	OK_PARADIGM	CLOSED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+AIN	OK=in den laufenden Arbeitsgang setzen; abgegrenzte Portion	eine Portion einsetzen oder zugeben	Eine Portion einsetzen oder zugeben	QUANTITY_COMPOSITION	SELECTED_PRODUCTIVE	QUANTITY+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+AIN_PORTION	OK=in Arbeit setzen; AIN=Portion	eine Portion zugeben	Eine Portion zugeben	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+AIN_PORTION	OK=in Arbeit setzen; AIN=Portion	eine Portion zugeben	Eine Portion zugeben	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+AIN_PORTION	OK=in Arbeit setzen; AIN=Portion	eine Portion zugeben	Eine Portion zugeben	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+AIN_PORTION	OK=in Arbeit setzen; AIN=Portion	eine Portion zugeben	Eine Portion zugeben	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
289	E289	B3	f83r	f83r.16	F098	B3-S026	e0b630cb1b5df5e7105b	checthy	CTH_READY+Y_CURRENT	CTH=bereit; Y=Posten	bereit	Bereit	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	STATE_GRADE	cthy=bereit	bereit	bereit	Den örtlichen Prüfzustand der Charge feststellen	CTH_READY_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	CTH_GRID	REVISED_R3	Ungraded ready state; CTHOOR and CTHAIIN remain exact whole-card counterexamples.	CTH_READY+Y_OPEN	CTH=bereit; Y=offen	gebrauchsfertig	Gebrauchsfertig	FOUR_ROLE_LEXICAL_REPAIR	READY_ATOM	R1/R2 use the smaller state BEREIT; 'gebrauchsfertig' adds an unsupported use context.
290	E290	B3	f83r	f83r.16	F098	B3-S026	d788d8d72d41b25a3c71	chealror	CHEALROR_CLEAR_ENDPOINT_WHOLE_CARD	CHEALROR=Klarpunkt	Klarpunkt	Klarpunkt	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	STATE_GRADE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	chealror=bis klar	bis klar	bis klar	Bis der Strom klar wird	UNCHANGED	UNCHANGED	NOT_APPLICABLE	chealror=bis klar	bis klar	bis klar	Bis der Strom klar wird	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	chealror=bis klar	bis klar	bis klar	Bis der Strom klar wird	UNCHANGED	UNCHANGED	NOT_APPLICABLE	chealror=bis klar	bis klar	bis klar	Bis der Strom klar wird	FOUR_ROLE_LEXICAL_REPAIR	RESULT_ENDPOINT	A compact endpoint replaces the clause 'bis klar'.
291	E291	B3	f83r	f83r.20	F099	B3-S026	3b70942557b3a40e8030	solkeedy	SOLK_COLLECT+GRADE_2+DY_CLOSE	SOLK=auffangen; EE=Stufe II; DY=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED	olkee=absetzen + dy=Ende	absetzen + Ende	absetzen; Ende	Lasse die Flüssigkeit sich setzen und beende den Schritt	HOLD_CORES	SELECTED_LOCAL_STATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	TARGET+STATE_GRADE+CLOSE	OLK~SOLK_COLLECTION_STATION+GRADE_2+DY_TERMINAL	gelernte lokale Sammelstellenfamilie; längerer Grad; Schluss	an der Sammelstelle stehen oder absetzen lassen; Schluss	An der Sammelstelle stehen oder absetzen lassen; Schluss	SOLK_STATE_GRID	SELECTED_LOCAL_RECURRENT	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	an der Auffangstelle länger halten; Schluss	An der Auffangstelle länger halten; Schluss	SOLK_COLLECTION	SELECTED_LOCAL_GRADED_FAMILY					UNCHANGED	UNCHANGED	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	SOLK_GRID	REVISED_R3	Second committed collection grade.	SOLK_COLLECT+GRADE_2+DY_CLOSE	SOLK=auffangen; EE=Stufe II; DY=Schluss	länger auffangen; Schluss	Länger auffangen; Schluss	R3_STRUCTURAL_BASE	SOLK_GRID	R3 retained after four-role comparison.
292	E292	B3	f83r	f83r.20	F100	B3-S027	ff178343c18e287ce3b7	qoteedy	OT_FOLLOW+GRADE_2+DY_CLOSE	OT=Folge; EE=Stufe II; DY=Schluss	längerer Folgeschritt; Schluss	Längerer Folgeschritt; Schluss	CONTINUES_ACROSS_LINE	qotee=warmes Tuch auflegen + dy=Ende	warmes Tuch auflegen + Ende	warmes Tuch auflegen; Ende	Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt	E_GRADE_PARADIGM	SELECTED_PROVISIONAL_COMPOSITION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+STATE_GRADE+CLOSE	OT+EE+DY	E-Grad=SUSTAINED_HOLD; Zustand=CLOSED	danach anhaltend einwirken lassen und abschließen	Danach anhaltend einwirken lassen und abschließen	OT_STATE_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT_NEXT+GRADE_2+DY_CLOSE	OT=danach; EE=anhaltend; Endkarte=Schluss	danach länger einwirken lassen; Schluss	Danach länger einwirken lassen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT_NEXT+GRADE_2+DY_CLOSE	OT=danach; EE=anhaltend; Endkarte=Schluss	danach länger einwirken lassen; Schluss	Danach länger einwirken lassen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OT_NEXT+GRADE_2+DY_CLOSE	OT=danach; EE=anhaltend; Endkarte=Schluss	danach länger einwirken lassen; Schluss	Danach länger einwirken lassen; Schluss	OT_GRADE_GRID	REVISED_R3	Committed second-grade successor.	OT_FOLLOW+GRADE_2+DY_CLOSE	OT=Folge; EE=Stufe II; DY=Schluss	längerer Folgeschritt; Schluss	Längerer Folgeschritt; Schluss	R3_STRUCTURAL_BASE	OT_GRADE_GRID	R3 retained after four-role comparison.
293	E293	B3	f83r	f83r.20	F101	B3-S028	0275fbf14e07935b0a45	qokeey	OK_SET+GRADE_2+Y_OPEN	OK=ansetzen; EE=Stufe II; Y=offen	länger ansetzen	Länger ansetzen	CONTINUES_ACROSS_LINE	ok=geben + eey=warm	geben + warm	Wärme geben	Die Charge für den vorgesehenen Gebrauch temperieren	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	OK+EE+Y	E-Grad=SUSTAINED_CONTACT; Zustand=OPEN_ACTIVE	aktiven Ansatz anhaltend in Kontakt halten	Aktiven Ansatz anhaltend in Kontakt halten	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM+OPERATION+STATE_GRADE	OK+E_GRADE_2+Y_REFERENT	OK=in Arbeit setzen; EE=anhaltender Kontakt; Y=laufender Posten	den laufenden Posten anhaltend in Kontakt halten	Den laufenden Posten anhaltend in Kontakt halten	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED	OK+GRADE_2+Y_CURRENT_ITEM	OK=einsetzen; EE=anhaltend; Y=aktueller Posten	den laufenden Posten länger einwirken lassen	Den laufenden Posten länger einwirken lassen	CONTACT_GRID	SELECTED_RECURRENT_GRID	OK+GRADE_2+Y_REFERENT	OK=ansetzen; EE=länger; Y=laufender Posten	länger halten	Länger halten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_2+Y_REFERENT	OK=ansetzen; EE=länger; Y=laufender Posten	länger halten	Länger halten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_2+Y_REFERENT	OK=ansetzen; EE=länger; Y=laufender Posten	länger halten	Länger halten	OK_GRID	REVISED_R3	Second ranked open OK state.	OK_SET+GRADE_2+Y_OPEN	OK=ansetzen; EE=Stufe II; Y=offen	länger ansetzen	Länger ansetzen	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
294	E294	B3	f83r	f83r.20	F101	B3-S028	7db18b2f0fb7ed0fcfd3	qokedy	OK_SET+GRADE_1+DY_CLOSE	OK=ansetzen; E=Stufe I; DY=Schluss	kurz ansetzen; Schluss	Kurz ansetzen; Schluss	CONTINUES_ACROSS_LINE	oke=spülen + dy=Ende	spülen + Ende	spülen; Ende	Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	OK+E+DY	E-Grad=BRIEF_DIRECT_CONTACT; Zustand=CLOSED	kurz spülen oder benetzen und den Schritt abschließen	Kurz spülen oder benetzen und den Schritt abschließen	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	OK_GRID	REVISED_R3	First ranked committed OK state; wetting is only a local realization.	OK_SET+GRADE_1+DY_CLOSE	OK=ansetzen; E=Stufe I; DY=Schluss	kurz ansetzen; Schluss	Kurz ansetzen; Schluss	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
295	E295	B3	f83r	f83r.20	F102	B3-S029	dcda95c81a5460feb191	sol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
296	E296	B3	f83r	f83r.20	F102	B3-S029	9247e38d29c79a0d2fa5	cheeety	cheeety=erste Spülung	erste Spülung	erste Spülung	Nach der ersten Spülung	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	cheeety=erste Spülung	erste Spülung	erste Spülung	Nach der ersten Spülung	UNCHANGED	UNCHANGED	NOT_APPLICABLE	cheeety=erste Spülung	erste Spülung	erste Spülung	Nach der ersten Spülung	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	cheeety=erste Spülung	erste Spülung	erste Spülung	Nach der ersten Spülung	UNCHANGED	UNCHANGED	NOT_APPLICABLE	cheeety=erste Spülung	erste Spülung	erste Spülung	Nach der ersten Spülung	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
297	E297	B3	f83r	f83r.20	F102	B3-S029	7db18b2f0fb7ed0fcfd3	qokedy	OK_SET+GRADE_1+DY_CLOSE	OK=ansetzen; E=Stufe I; DY=Schluss	kurz ansetzen; Schluss	Kurz ansetzen; Schluss	CONTINUES_ACROSS_LINE	oke=spülen + dy=Ende	spülen + Ende	spülen; Ende	Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	OK+E+DY	E-Grad=BRIEF_DIRECT_CONTACT; Zustand=CLOSED	kurz spülen oder benetzen und den Schritt abschließen	Kurz spülen oder benetzen und den Schritt abschließen	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	OK_GRID	REVISED_R3	First ranked committed OK state; wetting is only a local realization.	OK_SET+GRADE_1+DY_CLOSE	OK=ansetzen; E=Stufe I; DY=Schluss	kurz ansetzen; Schluss	Kurz ansetzen; Schluss	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
298	E298	B3	f83r	f83r.20	F103	B3-S030	276a7c2d74d1143446f4	qoky	OK_SET+Y_OPEN	OK=ansetzen; Y=offener Posten	Posten ansetzen	Posten ansetzen	CONTINUES_ACROSS_LINE	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	OK+Y	E-Grad=UNMARKED; Zustand=OPEN_ACTIVE	aktiven Ansatz einsetzen oder anwenden	Aktiven Ansatz einsetzen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM+OPERATION	OK+Y_REFERENT	OK=in Arbeit setzen; Y=laufender Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	OK_STATE_GRID	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+Y_CURRENT_ITEM	OK=in Arbeit setzen; Y=aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+Y_CURRENT_ITEM	OK=in Arbeit setzen; Y=aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+Y_CURRENT_ITEM	OK=in Arbeit setzen; Y=aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	OK_GRID	REVISED_R3	Ungraded open base of the OK grid.	OK_SET+Y_OPEN	OK=ansetzen; Y=offener Posten	Posten ansetzen	Posten ansetzen	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
299	E299	B3	f83r	f83r.20	F103	B3-S030	2f1c5e56e8f0ff459065	saiin	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Den aktiven Posten nach der örtlichen Vorschrift bemessen	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	AIIN_MEASURE	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
300	E300	B3	f83r	f83r.22	F104	B3-S030	b154ff779abe5f196c80	schedair	S_RENDERER+CHED_LEAD+AIR_WATER	CHED=führen; AIR=Wasser	Wasser weiterführen	Wasser weiterführen	CONTINUES_ACROSS_LINE	air=fließende Flüssigkeit	fließende Flüssigkeit	klare Flüssigkeit abziehen	Ziehe die klare Flüssigkeit ab	CHED_PARADIGM	MEDIUM					UNCHANGED	UNCHANGED	RENDERER_S+CHED+AIR	CHD~CHED=umsetzen/in einen Arbeitsgang führen; S ohne nachgewiesene Semantik; AIR=fließende Flüssigkeit	Flüssigkeitsstrom führen oder abziehen	Flüssigkeitsstrom führen oder abziehen	DIRECTION_WORKSHOP	SELECTED_COMPOSITIONAL					UNCHANGED	UNCHANGED	MEDIUM+OPERATION+FLOW_TRANSFER					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	S_RENDERER+CHED+AIR_FLOW	CHED=führen; AIR=fließende Flüssigkeit im Lauf	fließende Flüssigkeit durch den Lauf führen	Fließende Flüssigkeit durch den Lauf führen	AIR_WATER	SELECTED_SINGLETON_COMPOSITION	CHED supplies conduct; AIR supplies the water being conducted.	S_RENDERER+CHED_CONDUCT+AIR_WATER	CHED=führen; AIR=Wasser	Wasser weiterführen	Führe das Wasser weiter	AIR_WATER	CHED supplies transfer while AIR stays water.	S_RENDERER+CHED_LEAD+AIR_WATER	CHED=führen; AIR=Wasser	Wasser weiterführen	Wasser weiterführen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	S_RENDERER+CHED_LEAD+AIR_WATER	CHED=führen; AIR=Wasser	Wasser weiterführen	Wasser weiterführen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
301	E301	B3	f83r	f83r.22	F104	B3-S030	4de12cf322dfb76ded1e	otchedy	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	OT=Folge; CHED=umsetzen; Endkarte=Schluss	Folgeumsetzung; Schluss	Folgeumsetzung; Schluss	CONTINUES_ACROSS_LINE	otche=gleichteilig mischen + dy=Ende	gleichteilig mischen + Ende	gleichteilig mischen; Ende	Mische zu gleichen Teilen und beende den Schritt	CHED_PARADIGM	MEDIUM_HIGH					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION+CLOSE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+CHED+TERMINAL_Y / RENDERER_Q+OT+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; OT=danach oder nächster; Q ohne Semantik; OT=danach oder nächster; umhüllte DY-Abschlusskonstruktion	danach oder erneut umsetzen; Schluss	Danach oder erneut umsetzen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT+CHED+TERMINAL_Y / RENDERER_Q+OT+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; OT=danach oder nächster; Q ohne Semantik; OT=danach oder nächster; umhüllte DY-Abschlusskonstruktion	danach oder erneut umsetzen; Schluss	Danach oder erneut umsetzen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OT+CHED+TERMINAL_Y / RENDERER_Q+OT+CHED+TERMINAL_Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; OT=danach oder nächster; Q ohne Semantik; OT=danach oder nächster; umhüllte DY-Abschlusskonstruktion	danach oder erneut umsetzen; Schluss	Danach oder erneut umsetzen; Schluss	ORDER_GRID	REVISED_R3	OT is succession, not an ambiguous free repetition word.	OT_FOLLOW+CHED_TRANSFER+DY_CLOSE	OT=Folge; CHED=umsetzen; DY=Schluss	danach umsetzen; Schluss	Danach umsetzen; Schluss	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OT	The compact compound avoids making one card an entire temporal clause.
302	E302	B3	f83r	f83r.22	F105	B3-S031	7d25241b0e56c836372a	qokeedy	OK_SET+GRADE_2+DY_CLOSE	OK=ansetzen; EE=Stufe II; DY=Schluss	länger ansetzen; Schluss	Länger ansetzen; Schluss	CONTINUES_ACROSS_LINE	okee=baden + dy=Ende	baden + Ende	baden; Ende	Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	OK+EE+DY	E-Grad=SUSTAINED_CONTACT; Zustand=CLOSED	eintauchen oder einweichen und den Schritt abschließen	Eintauchen oder einweichen und den Schritt abschließen	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED	OK+GRADE_2+DY_CLOSE	OK=einsetzen; EE=anhaltend; Endkarte=Schluss	länger einweichen; Schluss	Länger einweichen; Schluss	CONTACT_GRID	SELECTED_RECURRENT_GRID	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_2+DY_CLOSE	OK=ansetzen; EE=länger; Endkarte=Schluss	länger einwirken; Schluss	Länger einwirken; Schluss	OK_GRID	REVISED_R3	Second ranked committed OK state.	OK_SET+GRADE_2+DY_CLOSE	OK=ansetzen; EE=Stufe II; DY=Schluss	länger ansetzen; Schluss	Länger ansetzen; Schluss	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
303	E303	B3	f83r	f83r.22	F106	B3-S032	d784b2abcaf1a3703de2	chedain	CHED+AIN_PORTION	CHED=umsetzen; AIN=Portion	eine Portion umsetzen	Eine Portion umsetzen	CONTINUES_ACROSS_LINE	chedain=Spülung beginnen	Spülung beginnen	Spülung beginnen	Beginne die Spülung	CHED_PARADIGM	MEDIUM_STRUCTURE__LOW_MEANING					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CHED+AIN	CHD~CHED=umsetzen/in einen Arbeitsgang führen; NONE; AIN=Portion	eine Portion in Arbeit nehmen	Eine Portion in Arbeit nehmen	QUANTITY_COMPOSITION	SELECTED_SINGLETON_PREDICTION	QUANTITY+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CHED+AIN_PORTION	CHED=umsetzen; AIN=Portion	eine Portion umsetzen	Eine Portion umsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CHED+AIN_PORTION	CHED=umsetzen; AIN=Portion	eine Portion umsetzen	Eine Portion umsetzen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	CHED+AIN_PORTION	CHED=umsetzen; AIN=Portion	eine Portion umsetzen	Eine Portion umsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CHED+AIN_PORTION	CHED=umsetzen; AIN=Portion	eine Portion umsetzen	Eine Portion umsetzen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
