transition_ordinal	event_id	statement_id	physical_page	register	surface	recipe	left_control	right_control	last_argument	last_argument_value_de	argument_sequence	current_carrier_reading_de	next_event_id	next_recipe	next_explicit_arguments	next_inherited_argument	successor_outcome	transition_reading_de	statement_final	guard
134	G407-E1957	G407-S219	f76r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1958	AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
135	G407-E1984	G407-S224	f76r	BIOLOGICAL	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1985	OT+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
136	G407-E1985	G407-S224	f76r	BIOLOGICAL	qotain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E1986	CH+K+AIR	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
137	G407-E2000	G407-S228	f76r	BIOLOGICAL	qolchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2001	OK+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
138	G407-E2015	G407-S235	f76r	BIOLOGICAL	qolchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2016	OT+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
139	G407-E2016	G407-S235	f76r	BIOLOGICAL	qotain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2017	CH+K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
140	G407-E2026	G407-S238	f76r	BIOLOGICAL	olain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2027	OT	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
141	G407-E2029	G407-S239	f76r	BIOLOGICAL	qotaly	OT+AL+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2030	D_ADDR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
142	G407-E2040	G407-S243	f76r	BIOLOGICAL	olchy	OL+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2041	L	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
143	G407-E2044	G407-S244	f76r	BIOLOGICAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E2045	CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
144	G407-E2053	G407-S246	f76r	BIOLOGICAL	alolor	OL+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E2054	OL+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
145	G407-E2054	G407-S246	f76r	BIOLOGICAL	olain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2055	CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
146	G407-E2077	G407-S249	f76r	BIOLOGICAL	qolain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2078	AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
147	G407-E2085	G407-S249	f76r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2086	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
148	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2116	SH+CH+T+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
149	G407-E2123	G407-S253	f76r	BIOLOGICAL	olky	OL+K+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2124	S+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
150	G407-E2163	G407-S262	f76r	BIOLOGICAL	ollchy	OL+L+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2164	D_ADDR+Y+L+CH+E+S	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
151	G407-E2167	G407-S262	f76r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2168	S+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
152	G407-E2194	G407-S264	f76r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
153	G407-E2195	G407-S265	f76r	BIOLOGICAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2196	L+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
154	G407-E2207	G407-S270	f76r	BIOLOGICAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2208	L+SH+E	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
155	G407-E2211	G407-S271	f76r	BIOLOGICAL	qolchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2212	SH+CH+K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
156	G407-E2221	G407-S272	f76r	BIOLOGICAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2222	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
157	G407-E2243	G407-S277	f76r	BIOLOGICAL	qolain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2244	OT+AL	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
158	G407-E2255	G407-S278	f76r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2256	CH+AL+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
159	G407-E2261	G407-S279	f76r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2262	Y+K+AR	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
160	G407-E2267	G407-S280	f76r	BIOLOGICAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2268	OK+AR	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
161	G407-E2270	G407-S280	f76r	BIOLOGICAL	kolpy	K+OL+P+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
162	G407-E2293	G407-S287	f76r	BIOLOGICAL	otarain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2294	AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
163	G407-E2303	G407-S288	f76r	BIOLOGICAL	olain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2304	OK+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
164	G407-E2316	G407-S290	f76r	BIOLOGICAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E2317	OK+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
165	G407-E2354	G407-S301	f76r	BIOLOGICAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2355	S+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
166	G407-E2369	G407-S305	f76r	BIOLOGICAL	qolaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E2370	OK+AL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
167	G407-E2374	G407-S307	f76r	BIOLOGICAL	choly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2375	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
168	G407-E2382	G407-S307	f76r	BIOLOGICAL	solshey	OL+SH+E+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
169	G407-E2401	G407-S312	f77r	BIOLOGICAL	loly	L+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2402	T+OL+CHD	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
170	G407-E2405	G407-S312	f77r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E2406	OT+E+DY	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
171	G407-E2458	G407-S334	f77r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E2459	CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
172	G407-E2484	G407-S342	f77r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E2485	OK+EE+DY	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
173	G407-E2494	G407-S345	f77r	BIOLOGICAL	qotain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2495	SH+E+AL	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
174	G407-E2497	G407-S346	f77r	BIOLOGICAL	qoteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2498	OK+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
175	G407-E2509	G407-S351	f77r	BIOLOGICAL	olaiiny	OL+AIIN+Y	OL	END	Y	POSTEN	AIIN+Y	weiter mit dem Posten als aktuellem Träger	G407-E2510	OT+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
176	G407-E2534	G407-S357	f77r	BIOLOGICAL	qolchy	OL+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2535	OT+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
177	G407-E2549	G407-S362	f77r	BIOLOGICAL	solchedy	S+OL+CHD+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2550	OK+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
178	G407-E2555	G407-S365	f77r	BIOLOGICAL	olchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2556	OT+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
179	G407-E2556	G407-S365	f77r	BIOLOGICAL	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2557	OK+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
180	G407-E2570	G407-S368	f77r	BIOLOGICAL	qolkain	OL+K+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2571	CH+K+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
181	G407-E2578	G407-S370	f77r	BIOLOGICAL	qotary	OT+AR+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2579	OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
182	G407-E2604	G407-S374	f77r	BIOLOGICAL	solkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2605	OK+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
183	G407-E2614	G407-S377	f77r	BIOLOGICAL	qotain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2615	CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
184	G407-E2619	G407-S378	f77r	BIOLOGICAL	olchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2620	T+EE+OL+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
185	G407-E2620	G407-S378	f77r	BIOLOGICAL	teeolain	T+EE+OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2621	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
186	G407-E2636	G407-S382	f77r	BIOLOGICAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E2637	SH+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
187	G407-E2648	G407-S384	f77r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E2649	SH+O+DY	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
188	G407-E2650	G407-S385	f77r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2651	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
189	G407-E2653	G407-S385	f77r	BIOLOGICAL	qolchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2654	OT+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
190	G407-E2673	G407-S390	f77r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E2674	OT+EE+DY	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
191	G407-E2683	G407-S392	f77r	BIOLOGICAL	loly	L+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2684	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
192	G407-E2702	G407-S392	f77r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2703	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
193	G407-E2713	G407-S392	f77r	BIOLOGICAL	oloky	OL+OK+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
194	G407-E2714	G407-S393	f81r	BIOLOGICAL	polchoy	P+OL+CH+O+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2715	OK+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
195	G407-E2720	G407-S396	f81r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2721	CH+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
196	G407-E2729	G407-S396	f81r	BIOLOGICAL	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2730	L	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
197	G407-E2749	G407-S397	f81r	BIOLOGICAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E2750	OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
198	G407-E2756	G407-S397	f81r	BIOLOGICAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2757	SH+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
199	G407-E2763	G407-S397	f81r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2764	OK+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
