identity	surface	component_recipe	semantic_root_reading_de	renderer_skeleton	renderer_rules	attested_surface_family	allograph_choices	renderability	exact_surface_rule
PROC121	lar	L+AR	LEITEN · QUELLE	l-ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL | L_PATH_ONSET	lar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC122	tshey	SH+E+Y	HALTEN · KURZ · POSTEN	sh-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	tshey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC123	lchedar	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	l-chd/ched-ar	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL | L_PATH_ONSET	lchedar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC124	ches	CH+E+S	ENTNEHMEN · KURZ · PROBE	ch-e-s	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH	ches	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC125	pchedy	P+CHD+DY	EINBRINGEN · UMSETZEN · SCHLIESSEN	p-chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	pchedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC126	rsheal	R+SH+E+AL	KUEHL · HALTEN · KURZ · ZIELSTELLE	r-sh-e-al	ROOT_ORDER_COPY | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL | R_STATE_ONSET	rsheal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC127	daldy	AL+DY	ZIELSTELLE · SCHLIESSEN	al-dy	ROOT_ORDER_COPY | DY_CLOSED_ENDPOINT	daldy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC128	rshedy	R+SHED+DY	KUEHL · RUHEN · SCHLIESSEN	r-shed-dy	ROOT_ORDER_COPY | R_STATE_ONSET | DY_CLOSED_ENDPOINT	rshedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC129	qoteedy	OT+EE+DY	DANACH · LANG · SCHLIESSEN	qot/ot-ee-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	qoteedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC130	lochedy	L+O+CHD+DY	LEITEN · ARBEITSGANG · UMSETZEN · SCHLIESSEN	l-o-chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | L_PATH_ONSET | DY_CLOSED_ENDPOINT	lochedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC131	qotal	OT+AL	DANACH · ZIELSTELLE	qot/ot-al	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	qotal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG · SCHLIESSEN	chk/chek-ee-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	chkeedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC133	chedchy	CHD+Y	UMSETZEN · POSTEN	chd/ched-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | Y_OPEN_ENDPOINT	chdy | chedy | chedchy	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC134	pchedal	P+CHD+AL	EINBRINGEN · UMSETZEN · ZIELSTELLE	p-chd/ched-al	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	pchedal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC135	otedy	OT+E+DY	DANACH · KURZ · SCHLIESSEN	qot/ot-e-dy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	otedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · POSTEN	sh-e-cth-chd/ched-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	shecthedchy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC137	chary	AR+Y	QUELLE · POSTEN	ar-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	chary	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC138	okair	OK+AIR	ANSETZEN · LAUF	qok/ok/chok-air	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	okair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC139	sheedy	SH+EE+DY	HALTEN · LANG · SCHLIESSEN	sh-ee-dy	ROOT_ORDER_COPY | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	sheedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC140	lo	L+O	LEITEN · ARBEITSGANG	l-o	ROOT_ORDER_COPY | L_PATH_ONSET	lo	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLIESSEN	qok/ok/chok-sh-e-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | DY_CLOSED_ENDPOINT	qokshedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC142	shedal	SHED+AL	RUHEN · ZIELSTELLE	shed-al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	shedal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · POSTEN	sh-e-cth-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	shecthy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLIESSEN	al-chd/ched-dy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	dalchdy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC145	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLIESSEN	qot/ot-chd/ched-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	qotchedy | otchdy	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC146	cheedar	EE+AR	LANG · QUELLE	ee-ar	ROOT_ORDER_COPY | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	cheedar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC147	chldaiin	L+AIIN	LEITEN · MASS	l-aiin	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL | L_PATH_ONSET	chldaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHL · ANSATZ	al-r-or	ROOT_ORDER_COPY | R_STATE_ONSET	chealror	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC149	cheeety	EEE+T+Y	VOLLSTAENDIG · BEARBEITEN · POSTEN	eee-t-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	cheeety	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC150	schedair	CHD+AIR	UMSETZEN · LAUF	chd/ched-air	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	schedair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	chd/ched-ain	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	chedain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · MASS	qot/ot-e-aiin	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	qotedaiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIELSTELLE · POSTEN	ol/chol/qol/ls/sol-al-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	olsaly	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC154	qolchey	OL+Y	FORTSETZEN · POSTEN	ol/chol/qol/ls/sol-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OL_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	choly | qolchey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · POSTEN · FESTBINDEN · SCHLIESSEN	qok/ok/chok-y/chy/chey/dy/shy/sy-ldd-dy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | DY_CLOSED_ENDPOINT	qokylddy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC156	dain	AIN	PORTION	ain	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	dain	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC157	sheey	SH+EE+Y	HALTEN · LANG · POSTEN	sh-ee-y/chy/chey/dy/shy/sy	MEMORIZED_WHOLE_FORM | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	sheey | cheey	2	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	qok/ok/chok-ee-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | OL_FRAME_ALLOGRAPH | E_GRADE_LENGTH	okeeol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC159	lkedy	L+K+E+DY	LEITEN · ZUGEBEN · KURZ · SCHLIESSEN	l-k-e-dy	ROOT_ORDER_COPY | E_GRADE_LENGTH | L_PATH_ONSET | DY_CLOSED_ENDPOINT	lkedy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	qok/ok/chok-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | OL_FRAME_ALLOGRAPH	okchol | qokol	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC161	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	o-ckh-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	qockhey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC162	dairydy	AIR+Y+DY	LAUF · POSTEN · SCHLIESSEN	air-y/chy/chey/dy/shy/sy-dy	ROOT_ORDER_COPY | DY_CLOSED_ENDPOINT	dairydy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC163	chckhal	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	ch-ckh-al	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	chckhal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC164	solkey	SOLK+E+Y	SAMMELN · KURZ · POSTEN	solk/qolk-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	solkey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC165	skar	K+AR	ZUGEBEN · QUELLE	k-ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	skar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLIESSEN	qot/ot-chd/ched-dy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	qotchedy | otchdy	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC167	lol	L+OL	LEITEN · FORTSETZEN	l-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | L_PATH_ONSET	lol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	chd/ched-al	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	chdal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC169	daiiin	DA+IIN	ZWEITE · STUFE	da-iin	ROOT_ORDER_COPY	daiiin	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC170	solkeey	SOLK+EE+Y	SAMMELN · LANG · POSTEN	solk/qolk-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	solkeey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC171	qekey	E+K+E+Y	KURZ · ZUGEBEN · KURZ · POSTEN	e-k-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | E_GRADE_LENGTH | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	qekey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC172	raly	R+AL+Y	KUEHL · ZIELSTELLE · POSTEN	r-al-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | R_STATE_ONSET | Y_OPEN_ENDPOINT	raly	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC173	ldalor	L+AL+OR	LEITEN · ZIELSTELLE · ANSATZ	l-al-or	ROOT_ORDER_COPY | L_PATH_ONSET	ldalor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
