visible_surface	occurrences	pages	owners	detected_literal_atoms	residual_string	residual_family	new_local_core	new_local_core_value_de	revised_short_reading_de	decision
osdaiin	1	f68r1	A2_STAR_STATION_26	AIIN	osd	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_26: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest osd.	KEEP_LOCAL
ot	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OT	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung.	KEEP_LOCAL
otaldal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+AL+AL	d	RENDERER_FRAME	NONE	KEIN SACHWERT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest d.	KEEP_RENDERER
otar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_06	OT+AR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.	KEEP_LOCAL
otaza	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OT	aza	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest aza.	KEEP_LOCAL
otchdy	1	f68r1	A2_STAR_STATION_15	OT+CHD	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_15: den folgenden Platz uebertragen und den Eintrag schliessen.	KEEP_BOUND_OR_LOCAL
otcheody	1	f68r1	A2_STAR_STATION_02	OT+CHEO	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.	KEEP_BOUND_OR_LOCAL
otchey	1	f67r2	A1_LEFT_LOCAL_FIELD_17	OT	chey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.	KEEP_BOUND_OR_LOCAL
otchl	1	f68r1	A2_MIDDLE_PANEL_HEADER	OT	chl	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_MIDDLE_PANEL_HEADER: naechster Platz oder folgende Bedingung; lokaler Namensrest chl.	KEEP_LOCAL
otchy	1	f69v	A3_LEFT_RADIAL_SLOT_21	OT	chy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_21: naechster Platz oder folgende Bedingung; lokaler Namensrest chy.	KEEP_BOUND_OR_LOCAL
oteeal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+AL	ee	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld.	KEEP_BOUND_OR_LOCAL
oteeo	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OT	eeo	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest o.	KEEP_BOUND_OR_LOCAL
oteey	2	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT	eey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.	KEEP_BOUND_OR_LOCAL
oteeys	1	f69v	A3_LEFT_RADIAL_SLOT_12	OT	eeys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_12: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ys.	KEEP_BOUND_OR_LOCAL
oteoarar	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+AR+AR	eo	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest eo.	KEEP_BOUND_OR_LOCAL
oteody	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT	eody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest eody.	KEEP_BOUND_OR_LOCAL
oteol	1	f69v	A3_LEFT_RADIAL_SLOT_13	OT+OL	e	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.	KEEP_BOUND_OR_LOCAL
otoar	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+AR	o	RENDERER_FRAME	NONE	KEIN SACHWERT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.	KEEP_RENDERER
otochedy	1	f68r1	A2_STAR_STATION_27	OT+CHD	oy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.	KEEP_BOUND_OR_LOCAL
otody	1	f69v	A3_LEFT_RADIAL_SLOT_09	OT	ody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_09: naechster Platz oder folgende Bedingung; lokaler Namensrest ody.	KEEP_BOUND_OR_LOCAL
otokeeey	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OT+OK	eeey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.	KEEP_BOUND_OR_LOCAL
otol	1	f68r1	A2_STAR_STATION_17	OT+OL	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_STAR_STATION_17: danach im selben Ring oder Band fortsetzen.	KEEP_LOCAL
otoldos	1	f67r2	A1_LEFT_LOCAL_FIELD_38	OT+OL	dos	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.	KEEP_LOCAL
otolor	1	f67r2	A1_LEFT_OUTER_STAR_STATION_11	OT+OL+OR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.	KEEP_LOCAL
otoly	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+OL	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.	KEEP_BOUND_OR_LOCAL
otor	2	f68r1	A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18	OT+OR	NONE	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.	KEEP_LOCAL
otshey	1	f68r1	A2_STAR_STATION_06	OT	shey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_06: naechster Platz oder folgende Bedingung + abgelesener oder freigegebener Wert.	KEEP_BOUND_OR_LOCAL
oty	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OT	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: Teilsektor oder Untereintrag; lokaler Namensrest o.	KEEP_BOUND_OR_LOCAL
otydy	1	f68r1	A2_STAR_STATION_07	OT	ydy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_07: Teilsektor oder Untereintrag; lokaler Namensrest o/dy.	KEEP_BOUND_OR_LOCAL
otykchs	1	f68r1	A2_STAR_STATION_16	OT+KCH	ys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_16: Teilsektor oder Untereintrag + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/s.	KEEP_BOUND_OR_LOCAL
otys	1	f68r1	A2_STAR_STATION_11	OT	ys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_11: Teilsektor oder Untereintrag; lokaler Namensrest o/s.	KEEP_BOUND_OR_LOCAL
oygy	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	NONE	oygy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A2_CENTRAL_LEGEND_UNRESOLVED: aktueller Grundgrad.	KEEP_LOCAL
qear	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	AR	qe	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest qe.	KEEP_BOUND_OR_LOCAL
qeykeey	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	NONE	qeykeey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest qeyk/y.	KEEP_LOCAL
qkoy	1	f67r2	A1_LEFT_OUTER_RING_TEXT	NONE	qkoy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_OUTER_RING_TEXT: neue Grundklasse.	KEEP_LOCAL
qocheey	1	f68r1	A2_RIGHT_PANEL_HEADER	NONE	qocheey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Wert; lokaler Namensrest qo.	KEEP_LOCAL
qockhy	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	CKH	qoy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest qo/y.	KEEP_BOUND_OR_LOCAL
qofair	1	f67r2	A1_LEFT_OUTER_RING_TEXT	AIR	qof	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest qof.	KEEP_LOCAL
qokeeedy	1	f68r1	A2_MIDDLE_PANEL_HEADER	OK	qeeedy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_MIDDLE_PANEL_HEADER: vollstaendig setzen und den Eintrag schliessen.	KEEP_BOUND_OR_LOCAL
qokeeody	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	OK	qeeody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest q/ody.	KEEP_BOUND_OR_LOCAL
qokeochy	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	OK	qeochy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest q/eochy.	KEEP_BOUND_OR_LOCAL
qokoaiin	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	OK+AIIN	qo	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest q/o.	KEEP_LOCAL
qopchy	1	f67r2	A1_LEFT_LOCAL_FIELD_18	NONE	qopchy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_18: neuer Paarbezug.	KEEP_LOCAL
qotair	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+AIR	q	RENDERER_FRAME	NONE	KEIN SACHWERT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.	KEEP_RENDERER
qoteor	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+OR	qe	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.	KEEP_BOUND_OR_LOCAL
qotoear	1	f67r2	A1_LEFT_OUTER_STAR_STATION_01	OT+AR	qoe	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.	KEEP_BOUND_OR_LOCAL
qsg	1	f67r2	A1_LEFT_LOCAL_FIELD_43	NONE	qsg	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_43: neuer Nebengrad.	KEEP_LOCAL
r	1	f67r2	A1_LEFT_LOCAL_FIELD_27	NONE	r	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_27: Bezugswert.	KEEP_LOCAL
ror	1	f68r1	A2_RIGHT_PANEL_HEADER	OR	r	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A2_RIGHT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest r.	KEEP_LOCAL
s	4	f67r2	A1_RIGHT_PHASE_STATION_01|A1_RIGHT_PHASE_STATION_06|A1_RIGHT_RING_BAND_01|A1_RIGHT_SECTOR_SLOT_01	NONE	s	RENDERER_FRAME	NONE	KEIN SACHWERT	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	KEEP_RENDERER
saiin	1	f67r2	A1_LEFT_LOCAL_FIELD_29	AIIN	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_29: Sollwert oder Grad des bezeichneten Himmelsplatzes.	KEEP_RENDERER
saiir	1	f69v	A3_LEFT_RADIAL_SLOT_17	NONE	saiir	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_RADIAL_SLOT_17: sekundärer Hauptindex.	KEEP_LOCAL
sain	1	f67r2	A1_LEFT_LOCAL_FIELD_21	AIN	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_21: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s.	KEEP_RENDERER
sal	1	f67r2	A1_LEFT_LOCAL_FIELD_50	AL	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.	KEEP_RENDERER
saldal	1	f67r2	A1_LEFT_OUTER_STAR_STATION_03	AL+AL	sd	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s/d.	KEEP_LOCAL
salsain	1	f67r2	A1_LEFT_LOCAL_FIELD_23	AL+AIN	ss	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.	KEEP_LOCAL
sar	2	f69v	A3_LEFT_RADIAL_SLOT_01|A3_LEFT_WHEEL_RING_TEXT	AR	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.	KEEP_RENDERER
saral	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	AR+AL	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.	KEEP_RENDERER
sarydy	1	f69v	A3_LEFT_RADIAL_SLOT_20	AR	sydy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_RADIAL_SLOT_20: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest s/ydy.	KEEP_BOUND_OR_LOCAL
shees	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	NONE	shees	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Position oder Bedingung halten + lange oder volle Diagrammstufe; lokaler Namensrest s.	KEEP_LOCAL
sheey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	sheey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.	KEEP_LOCAL
shekchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_04	KCH	shey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	KEEP_BOUND_OR_LOCAL
sheody	1	f67r2	A1_LEFT_LOCAL_FIELD_44	NONE	sheody	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.	KEEP_LOCAL
shey	1	f68r1	A2_RIGHT_PANEL_HEADER	NONE	shey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.	KEEP_LOCAL
shokchy	1	f68r1	A2_LEFT_PANEL_HEADER	HO+KCH	y	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest s/y.	KEEP_BOUND_OR_LOCAL
shs	1	f67r2	A1_RIGHT_SECTOR_SLOT_03	NONE	shs	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	KEEP_LOCAL
sodar	1	f67r2	A1_LEFT_LOCAL_FIELD_24	AR	sod	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest sod.	KEEP_LOCAL
soear	1	f67r2	A1_RIGHT_PHASE_STATION_02	AR	soe	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A1_RIGHT_PHASE_STATION_02: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest soe.	KEEP_BOUND_OR_LOCAL
soeey	1	f67r2	A1_RIGHT_RING_BAND_02	NONE	soeey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.	KEEP_LOCAL
sor	1	f67r2	A1_LEFT_LOCAL_FIELD_39	OR	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_39: Bedingungs- oder Tabellensatz.	KEEP_RENDERER
soraiir	1	f67r2	A1_LEFT_LOCAL_FIELD_17	OR	saiir	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_17: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest s/aiir.	KEEP_LOCAL
sosho	1	f67r2	A1_LEFT_LOCAL_FIELD_42	HO	so	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest sos.	KEEP_LOCAL
sshey	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	NONE	sshey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: abgelesener oder freigegebener Wert; lokaler Namensrest s.	KEEP_LOCAL
sy	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	NONE	sy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: dieser lokale Diagrammposten.	KEEP_LOCAL
sykos	1	f67r2	A1_RIGHT_SECTOR_SLOT_04	NONE	sykos	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	KEEP_LOCAL
teeo	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	teeo	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A3_LEFT_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest t/o.	KEEP_LOCAL
tey	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	tey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_WHEEL_RING_TEXT: aktueller Phasenwert.	KEEP_LOCAL
tochso	1	f68r1	A2_MIDDLE_PANEL_HEADER	NONE	tochso	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A2_MIDDLE_PANEL_HEADER: Grundzustand dieses Platzes.	KEEP_LOCAL
todaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_48	AIIN	tod	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_48: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest tod.	KEEP_LOCAL
tol	1	f67r2	A1_LEFT_OUTER_STAR_STATION_05	OL	t	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.	KEEP_RENDERER
y	9	f67r2|f69v	A1_LEFT_LOCAL_FIELD_16|A1_LEFT_OUTER_STAR_STATION_03|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	NONE	y	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_16: dieser lokale Diagrammposten.	KEEP_LOCAL
ycheody	1	f67r2	A1_LEFT_LOCAL_FIELD_45	CHEO	ydy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.	KEEP_BOUND_OR_LOCAL
ychey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	ychey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_MIDDLE_WHEEL_RING_TEXT: aktueller Ablesewert.	KEEP_LOCAL
ydaiin	2	f67r2	A1_LEFT_OUTER_RING_TEXT	AIIN	yd	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yd.	KEEP_BOUND_OR_LOCAL
ydam	1	f67r2	A1_LEFT_LOCAL_FIELD_25	NONE	ydam	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_25: festgelegter Aspektwert.	KEEP_LOCAL
ydchos	1	f67r2	A1_LEFT_LOCAL_FIELD_19	HO	yds	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_19: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ydc/s.	KEEP_BOUND_OR_LOCAL
ydoly	1	f67r2	A1_LEFT_OUTER_RING_TEXT	OL	ydy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest yd/y.	KEEP_BOUND_OR_LOCAL
yekees	1	f67r2	A1_LEFT_LOCAL_FIELD_46	NONE	yekees	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_46: lange oder volle Diagrammstufe; lokaler Namensrest yek/s.	KEEP_LOCAL
yetey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	yetey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_MIDDLE_WHEEL_RING_TEXT: ausgewählter Phasenwert.	KEEP_LOCAL
