statement_id	record_unit_id	free_fluent_german	source_event_ids	setting_routes	identity_routes	reconstructed_surfaces	reconstructed_tuple_ids	pair_placard_events	nomenclator_events	exact_statement
B4-S008	B4	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Arbeite nach dem vorgeschriebenen Maß; dann halte den Posten länger warm; dann halte ihn lange; dann lass ihn kurz einwirken.	E332|E333|E334|E335	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER	saiin cheeky sheey qokedy	2f1c5e56e8f0ff459065|2c1a5fd92b9e3c762242|92e43836d82f98bf02d3|7db18b2f0fb7ed0fcfd3	1	0	YES
B4-S009	B4	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn kurz absetzen.	E336	DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	shedy	bc4f1f5c006c74a4d26d	0	0	YES
B4-S010	B4	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Führe fort und schließe.	E337	DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	oldy	1b1ffdd869fb1429ad03	0	0	YES
B4-S011	B4	Bei OFFENE_LINKSSTATION: Arbeite nach dem vorgeschriebenen Maß; dann wärme ihn kurz; dann setze den Gang lange fort; dann gib einen Anteil zu; dann setze den laufenden Posten um; dann führe den laufenden Gang fort; dann ziehe kurz ab und schließe.	E338|E339|E340|E341|E342|E343|E344	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	saiin cheky okeeol okain chdy sol lkedy	2f1c5e56e8f0ff459065|d904bf7b044dd3922781|daf32e6db9e04413ce7f|1645e612504fcef59ced|6f7ff8287eddf4da9fdb|dcda95c81a5460feb191|b958a512ca6a3559e86e	0	0	YES
B4-S012	B4	Bei OFFENE_LINKSSTATION: Führe ihn ab.	E345	CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	lchedy	de7321bface5628e35d6	0	0	YES
B4-S013	B4	Bei OFFENE_LINKSSTATION: Setze den verbleibenden Posten erneut ein; dann lass ihn kurz absetzen.	E346|E347	CONTRAST_COMPOSITION → DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD	qokol shedy	232195d6ff2f326322f7|bc4f1f5c006c74a4d26d	1	0	YES
B4-S014	B4	Bei OFFENE_LINKSSTATION: Verwende den Ansatz; dann halte diesen Posten aktiv; dann führe ihn kurz hindurch; dann schließe den Lauf ab.	E348|E349|E350|E351	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	sor sy qockhey dairydy	7a4bb8136330ee4e6e56|b921a237be883a820352|ecce30bc8dcc400bf2c8|8aedd154964a78e555d6	0	0	YES
B4-S015	B4	Bei OFFENE_LINKSSTATION: Gib einen Anteil zu; dann nimm den Klarauszug; dann nimm eine Portion; dann führe ihn durch die Zielpassage. Neuer lokaler Posten: Bei S_FOERMIGER_MEHRPORT: Sammle ihn kurz; dann führe ihn ab.	E352|E353|E354|E355|E356|E357	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	okain shey kain chckhal solkey lchedy	1645e612504fcef59ced|b5df9126607030b95175|9da1b6ac2c929daea697|21ed2873b71e57269c08|42cdc187d5b9ffc60063|de7321bface5628e35d6	0	0	YES
B4-S016	B4	Bei S_FOERMIGER_MEHRPORT: Nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann gieße ihn von der Quellseite zu; dann lass ihn kurz absetzen.	E358|E359|E360|E361	DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	olkain sal skar shedy	94df4847b7b16c98394a|dd0ecaf5e27d81befffc|883a6708116c342cb10b|bc4f1f5c006c74a4d26d	0	1	YES
B5-S001	B5	Bei LINKER_NACHTRAGSPOSTEN: Führe ihn danach über.	E362	DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	otchdy	601b77449028deed39de	0	0	YES
B5-S002	B5	Bei LINKER_NACHTRAGSPOSTEN: Setze einen neuen Posten ein.	E363	CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	qokchdy	87411f84689b4f93a303	0	0	YES
B5-S003	B5	Bei LINKER_NACHTRAGSPOSTEN: Lass ihn am Ziel absetzen; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann ziehe ihn weiter ab; dann führe ihn zum Ziel über; dann arbeite nach dem vorgeschriebenen Maß; dann führe den laufenden Gang fort; dann stelle die Endstufe ein; dann setze den laufenden Posten um.	E364|E365|E366|E367|E368|E369|E370|E371|E372	DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	shedal cheal cheol lol chdal chaiin cheol daiiin chedy	abb23e5e6936b4147f76|dd0ecaf5e27d81befffc|dcda95c81a5460feb191|8c97dfde96fbc78e3355|00d8ebe3c68294eeac39|2f1c5e56e8f0ff459065|dcda95c81a5460feb191|fcc1deda9e24ec268eb0|6f7ff8287eddf4da9fdb	1	1	YES
B6-S001	B6	Bei RECHTER_NACHTRAGSPOSTEN: Sammle ihn lange; dann bearbeite ihn kurz; dann nimm den Endposten; dann führe den laufenden Gang fort; dann arbeite nach dem vorgeschriebenen Maß; dann führe den laufenden Gang fort; dann lege die Einlage ein; dann halte diesen Posten aktiv; dann führe bis zum Endziel.	E373|E374|E375|E376|E377|E378|E379|E380|E381	DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	solkeey qekey raly cheol chaiin cheol dain chey ldalor	1bfd786e6b8b63734a59|43eb9aa12959b4d5cdc9|3e9c7f217843b588489d|dcda95c81a5460feb191|2f1c5e56e8f0ff459065|dcda95c81a5460feb191|53cd0637c6820ba5e91f|b921a237be883a820352|97ddca78c9ebcc956d04	1	0	YES
