unified_serial	register	page	unit_or_locus	source_group_identity	visible_identity	owner_or_namespace	construction_or_address	current_short_reading	content_layer
209	BIOLOGICAL_PROSE	f82r	B2-S012	E209	qokeeedy	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: vollständig ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
210	BIOLOGICAL_PROSE	f82r	B2-S013	E210	lchedy	B2_LOWER_GREEN_MULTI_FIGURE_POOL	C01	Setze die gelernte Fachkarte: abführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
211	BIOLOGICAL_PROSE	f82r	B2-S014	E211	lar	B2_LOWER_GREEN_MULTI_FIGURE_POOL	C01	Setze die gelernte Fachkarte: von dort abfuehren.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
212	BIOLOGICAL_PROSE	f82r	B2-S015	E212	tshey	B2_LOWER_POOL_EDGE_STATIONS	C01	Setze die gelernte Fachkarte: Klarlauf zugeben.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
213	BIOLOGICAL_PROSE	f82r	B2-S015	E213	qokeedy	B2_LOWER_POOL_EDGE_STATIONS	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
214	BIOLOGICAL_PROSE	f82r	B2-S016	E214	cheal	B2_LOWER_POOL_EDGE_STATIONS	C11	Setze die bezeichnete Zielstelle: dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
215	BIOLOGICAL_PROSE	f82r	B2-S016	E215	lchedar	B2_LOWER_POOL_EDGE_STATIONS	C01	Setze die gelernte Fachkarte: von dort abführen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
216	BIOLOGICAL_PROSE	f82r	B2-S016	E216	ches	B2_LOWER_POOL_EDGE_STATIONS	C08	Führe die Handlung aus; schließe nur bei Endkarte: teilen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
217	BIOLOGICAL_PROSE	f82r	B2-S016	E217	aiin	B2_LOWER_POOL_EDGE_STATIONS	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
218	BIOLOGICAL_PROSE	f82r	B2-S016	E218	oteey	B2_LOWER_POOL_EDGE_STATIONS	C02	Danach oder in demselben Gang: langer Folgeposten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
219	BIOLOGICAL_PROSE	f82r	B2-S016	E219	qokaiin	B2_LOWER_POOL_EDGE_STATIONS	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
220	BIOLOGICAL_PROSE	f82r	B2-S016	E220	okey	B2_LOWER_POOL_EDGE_STATIONS	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
221	BIOLOGICAL_PROSE	f82r	B2-S016	E221	pchedy	B2_LOWER_POOL_EDGE_STATIONS	C01	Setze die gelernte Fachkarte: einführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
222	BIOLOGICAL_PROSE	f82r	B2-S017	E222	rsheal	B2_LOWER_POOL_EDGE_STATIONS	C03	Führe aus und beachte Dauer oder Endpunkt: kurz am Ziel ruhen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
223	BIOLOGICAL_PROSE	f82r	B2-S017	E223	daldy	B2_LOWER_POOL_EDGE_STATIONS	C11	Setze die bezeichnete Zielstelle: Nebenoeffnung; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
224	BIOLOGICAL_PROSE	f82r	B2-S018	E224	qokeedy	B2_LOWER_POOL_EDGE_STATIONS	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
225	BIOLOGICAL_PROSE	f82r	B2-S019	E225	rshedy	B2_LOWER_POOL_EDGE_STATIONS	C08	Führe die Handlung aus; schließe nur bei Endkarte: Waschgang abschließen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
226	BIOLOGICAL_PROSE	f82r	B2-S020	E226	qoteedy	B2_LOWER_POOL_EDGE_STATIONS	C02	Danach oder in demselben Gang: lange Folge; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
227	BIOLOGICAL_PROSE	f82r	B2-S021	E227	qokeedy	B2_LOWER_POOL_EDGE_STATIONS	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
228	BIOLOGICAL_PROSE	f82r	B2-S022	E228	lochedy	B2_LOWER_POOL_EDGE_STATIONS	C01	Setze die gelernte Fachkarte: Rest abfuehren; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
229	BIOLOGICAL_PROSE	f83r	B3-S001	E229	olkeedy	B3_UPPER_MARGIN_OPEN_FAN_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
230	BIOLOGICAL_PROSE	f83r	B3-S002	E230	qotal	B3_UPPER_MARGIN_OPEN_FAN_STATION	C02	Danach oder in demselben Gang: danach dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
231	BIOLOGICAL_PROSE	f83r	B3-S002	E231	chkeedy	B3_UPPER_MARGIN_OPEN_FAN_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: länger wärmen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
232	BIOLOGICAL_PROSE	f83r	B3-S003	E232	chey	B3_UPPER_MARGIN_OPEN_FAN_STATION	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
233	BIOLOGICAL_PROSE	f83r	B3-S003	E233	daiin	B3_UPPER_MARGIN_OPEN_FAN_STATION	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
234	BIOLOGICAL_PROSE	f83r	B3-S003	E234	chey	B3_UPPER_MARGIN_OPEN_FAN_STATION	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
235	BIOLOGICAL_PROSE	f83r	B3-S003	E235	lchedy	B3_UPPER_MARGIN_OPEN_FAN_STATION	C01	Setze die gelernte Fachkarte: abführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
236	BIOLOGICAL_PROSE	f83r	B3-S004	E236	qokaiin	B3_UPPER_MARGIN_OPEN_FAN_STATION	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
237	BIOLOGICAL_PROSE	f83r	B3-S004	E237	qotal	B3_UPPER_MARGIN_OPEN_FAN_STATION	C02	Danach oder in demselben Gang: danach dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
238	BIOLOGICAL_PROSE	f83r	B3-S004	E238	dar	B3_UPPER_MARGIN_OPEN_FAN_STATION	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
239	BIOLOGICAL_PROSE	f83r	B3-S005	E239	schedy	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C08	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
240	BIOLOGICAL_PROSE	f83r	B3-S006	E240	chedchy	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C07	Führe es mit diesem laufenden Posten aus: diesen Posten überführen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
241	BIOLOGICAL_PROSE	f83r	B3-S006	E241	qokal	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
242	BIOLOGICAL_PROSE	f83r	B3-S006	E242	olchedy	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C02	Danach oder in demselben Gang: weiterüberführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
243	BIOLOGICAL_PROSE	f83r	B3-S007	E243	qokaiin	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
244	BIOLOGICAL_PROSE	f83r	B3-S007	E244	chedy	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
245	BIOLOGICAL_PROSE	f83r	B3-S007	E245	qokeedy	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
246	BIOLOGICAL_PROSE	f83r	B3-S008	E246	lchedy	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C01	Setze die gelernte Fachkarte: abführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
247	BIOLOGICAL_PROSE	f83r	B3-S009	E247	qoky	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
248	BIOLOGICAL_PROSE	f83r	B3-S010	E248	pchedal	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C01	Setze die gelernte Fachkarte: Einlass.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
249	BIOLOGICAL_PROSE	f83r	B3-S010	E249	otedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C02	Danach oder in demselben Gang: kurze Folge; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
250	BIOLOGICAL_PROSE	f83r	B3-S011	E250	shecthedchy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C07	Führe es mit diesem laufenden Posten aus: bereiten Posten umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
251	BIOLOGICAL_PROSE	f83r	B3-S011	E251	qoky	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
252	BIOLOGICAL_PROSE	f83r	B3-S011	E252	chedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
253	BIOLOGICAL_PROSE	f83r	B3-S011	E253	chary	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus diesem Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
254	BIOLOGICAL_PROSE	f83r	B3-S012	E254	sor	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
255	BIOLOGICAL_PROSE	f83r	B3-S012	E255	shedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
256	BIOLOGICAL_PROSE	f83r	B3-S013	E256	qokaiin	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
257	BIOLOGICAL_PROSE	f83r	B3-S013	E257	chkain	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C10	Setze Maß, Portion oder Stufe: eine Portion.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
258	BIOLOGICAL_PROSE	f83r	B3-S013	E258	shcthey	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
259	BIOLOGICAL_PROSE	f83r	B3-S013	E259	qokedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
260	BIOLOGICAL_PROSE	f83r	B3-S014	E260	okair	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C05	Führe es aus dem Vorrat oder am Ansatz aus: Wasser einlassen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
261	BIOLOGICAL_PROSE	f83r	B3-S014	E261	sheedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C03	Führe aus und beachte Dauer oder Endpunkt: länger absetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
262	BIOLOGICAL_PROSE	f83r	B3-S015	E262	lchedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	C01	Setze die gelernte Fachkarte: abführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
263	BIOLOGICAL_PROSE	f83r	B3-S016	E263	lo	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C01	Setze die gelernte Fachkarte: abfuehren.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
264	BIOLOGICAL_PROSE	f83r	B3-S016	E264	qokchedy	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C08	Führe die Handlung aus; schließe nur bei Endkarte: angesetzten Inhalt überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
265	BIOLOGICAL_PROSE	f83r	B3-S017	E265	qokeedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
266	BIOLOGICAL_PROSE	f83r	B3-S018	E266	shedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
267	BIOLOGICAL_PROSE	f83r	B3-S019	E267	qokshedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C08	Führe die Handlung aus; schließe nur bei Endkarte: Absetzgang ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
268	BIOLOGICAL_PROSE	f83r	B3-S020	E268	dal	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C11	Setze die bezeichnete Zielstelle: dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
269	BIOLOGICAL_PROSE	f83r	B3-S020	E269	lchedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C01	Setze die gelernte Fachkarte: abführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
270	BIOLOGICAL_PROSE	f83r	B3-S021	E270	qokaiin	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
271	BIOLOGICAL_PROSE	f83r	B3-S021	E271	shcthy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
272	BIOLOGICAL_PROSE	f83r	B3-S021	E272	dal	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C11	Setze die bezeichnete Zielstelle: dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
273	BIOLOGICAL_PROSE	f83r	B3-S021	E273	sy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
274	BIOLOGICAL_PROSE	f83r	B3-S021	E274	saiin	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
275	BIOLOGICAL_PROSE	f83r	B3-S021	E275	shedal	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C04	Führe es an der bezeichneten Stelle aus: dort absetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
276	BIOLOGICAL_PROSE	f83r	B3-S021	E276	shecthy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C03	Führe aus und beachte Dauer oder Endpunkt: kurz bereit halten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
277	BIOLOGICAL_PROSE	f83r	B3-S021	E277	chey	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C12	Nimm diesen Posten wieder auf: dieser Posten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
278	BIOLOGICAL_PROSE	f83r	B3-S021	E278	tal	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C11	Setze die bezeichnete Zielstelle: dorthin.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
279	BIOLOGICAL_PROSE	f83r	B3-S021	E279	shcthy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
280	BIOLOGICAL_PROSE	f83r	B3-S021	E280	dalchdy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C04	Führe es an der bezeichneten Stelle aus: dorthin umsetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
281	BIOLOGICAL_PROSE	f83r	B3-S022	E281	qotchedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C02	Danach oder in demselben Gang: nächsten Posten überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
282	BIOLOGICAL_PROSE	f83r	B3-S023	E282	lchedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C01	Setze die gelernte Fachkarte: abführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
283	BIOLOGICAL_PROSE	f83r	B3-S024	E283	tchedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C08	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
284	BIOLOGICAL_PROSE	f83r	B3-S025	E284	qokchdy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	C08	Führe die Handlung aus; schließe nur bei Endkarte: Umsetzung ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
285	BIOLOGICAL_PROSE	f83r	B3-S026	E285	cheedar	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C05	Führe es aus dem Vorrat oder am Ansatz aus: von dort umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
286	BIOLOGICAL_PROSE	f83r	B3-S026	E286	chldaiin	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C06	Führe es in der angegebenen Portion oder Stufe aus: Absetzmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
287	BIOLOGICAL_PROSE	f83r	B3-S026	E287	chedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
288	BIOLOGICAL_PROSE	f83r	B3-S026	E288	qokain	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C06	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
289	BIOLOGICAL_PROSE	f83r	B3-S026	E289	checthy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C07	Führe es mit diesem laufenden Posten aus: bereit.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
290	BIOLOGICAL_PROSE	f83r	B3-S026	E290	chealror	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz von dort zur Zielstelle.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
291	BIOLOGICAL_PROSE	f83r	B3-S026	E291	solkeedy	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	C03	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
292	BIOLOGICAL_PROSE	f83r	B3-S027	E292	qoteedy	B3_MAIN_ARCH_LINKED_PAIR	C02	Danach oder in demselben Gang: lange Folge; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
293	BIOLOGICAL_PROSE	f83r	B3-S028	E293	qokeey	B3_MAIN_ARCH_LINKED_PAIR	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
294	BIOLOGICAL_PROSE	f83r	B3-S028	E294	qokedy	B3_MAIN_ARCH_LINKED_PAIR	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
295	BIOLOGICAL_PROSE	f83r	B3-S029	E295	sol	B3_MAIN_ARCH_LINKED_PAIR	C02	Danach oder in demselben Gang: fortsetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
296	BIOLOGICAL_PROSE	f83r	B3-S029	E296	cheeety	B3_MAIN_ARCH_LINKED_PAIR	C10	Setze Maß, Portion oder Stufe: ganzen Teilposten.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
297	BIOLOGICAL_PROSE	f83r	B3-S029	E297	qokedy	B3_MAIN_ARCH_LINKED_PAIR	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
298	BIOLOGICAL_PROSE	f83r	B3-S030	E298	qoky	B3_MAIN_ARCH_LINKED_PAIR	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
299	BIOLOGICAL_PROSE	f83r	B3-S030	E299	saiin	B3_MAIN_ARCH_LINKED_PAIR	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_LOCAL_STATION_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ACTION
