type_template_ordinal	ordered_type_signature	event_count	recipe_count	physical_page_count	register_count	slot_count	typed_slot_template_de	example_recipes	example_default_phrases_de	composition_rule	historical_status
109	ACTION_HEAD+FORMAL_CONTROL+ACTION_HEAD+LOCAL_OR_CLASS_SIGN+ACTION_HEAD+STATE_CONTROL	1	1	1	1	6	HANDLUNG → FORMSTEUERUNG → HANDLUNG → LOKAL-/KLASSENZEICHEN → HANDLUNG → ZUSTANDSSTEUERUNG	P+O+R+A_ADDR+CH+OL	einsetzen; zur Ausführung; markieren; hier; nehmen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
110	ACTION_HEAD+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	4	HANDLUNG → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	T+O+CH+OL	einstellen; zur Ausführung; nehmen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
111	ACTION_HEAD+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL+STATE_CONTROL	1	1	1	1	5	HANDLUNG → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	K+O+SH+OL+DY	geben; zur Ausführung; halten; weiter; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
112	ACTION_HEAD+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	4	HANDLUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	SH+O+LOCAL_CHAR_F+OL	halten; zur Ausführung; hier; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
113	ACTION_HEAD+GRADE+ACTION_HEAD+ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	6	HANDLUNG → GRAD → HANDLUNG → HANDLUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	CH+EE+CH+K+O+DY	nehmen; auf Grad II; nehmen; geben; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
114	ACTION_HEAD+GRADE+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	1	1	1	1	5	HANDLUNG → GRAD → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	SH+E+P+CH+OL	halten; auf Grad I; einsetzen; nehmen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
115	ACTION_HEAD+GRADE+ACTION_HEAD+ARGUMENT+STATE_CONTROL	1	1	1	1	5	HANDLUNG → GRAD → HANDLUNG → ARGUMENT → ZUSTANDSSTEUERUNG	SH+E+K+Y+DY	halten; auf Grad I; geben; den Posten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
116	ACTION_HEAD+GRADE+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	5	HANDLUNG → GRAD → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	CH+E+O+R+OL	nehmen; auf Grad I; zur Ausführung; markieren; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
117	ACTION_HEAD+GRADE+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	4	HANDLUNG → GRAD → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	OK+E+D_ADDR+OL	setzen; auf Grad I; hier; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
118	ACTION_HEAD+GRADE+RELATION+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	5	HANDLUNG → GRAD → RELATION → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	SH+EE+AL+O+DY	halten; auf Grad II; zum Zielort; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
119	ACTION_HEAD+GRADE+RELATION+STATE_CONTROL	1	1	1	1	4	HANDLUNG → GRAD → RELATION → ZUSTANDSSTEUERUNG	SH+E+AL+OL	halten; auf Grad I; zum Zielort; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
120	ACTION_HEAD+GRADE+STATE_CONTROL+ACTION_HEAD	1	1	1	1	4	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → HANDLUNG	OK+EE+OL+S	setzen; auf Grad II; weiter; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
121	ACTION_HEAD+GRADE+STATE_CONTROL+ACTION_HEAD+RELATION	1	1	1	1	5	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → HANDLUNG → RELATION	CH+E+OL+T+AR	nehmen; auf Grad I; weiter; einstellen; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
122	ACTION_HEAD+GRADE+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	1	1	1	1	5	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → LOKAL-/KLASSENZEICHEN	SH+E+OL+D_ADDR+LOCAL_CHAR_G	halten; auf Grad I; weiter; hier; als Variante	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
123	ACTION_HEAD+GRADE+STATE_CONTROL+STATE_CONTROL	1	1	1	1	4	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	OK+EE+DY+OL	setzen; auf Grad II; abschließen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
124	ACTION_HEAD+LOCAL_OR_CLASS_SIGN+ACTION_HEAD+RELATION+STATE_CONTROL	1	1	1	1	5	HANDLUNG → LOKAL-/KLASSENZEICHEN → HANDLUNG → RELATION → ZUSTANDSSTEUERUNG	P+D_ADDR+R+AIR+DY	einsetzen; hier; markieren; entlang der Bahn; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
125	ACTION_HEAD+LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	5	HANDLUNG → LOKAL-/KLASSENZEICHEN → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	S+A_ADDR+IIN+S+OL	wählen; hier; auf der Stufe; wählen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
126	ACTION_HEAD+LOCAL_OR_CLASS_SIGN+STATE_CONTROL+STATE_CONTROL	1	1	1	1	4	HANDLUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	CH+LOCAL_CHAR_F+OL+DY	nehmen; hier; weiter; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
127	ACTION_HEAD+RELATION+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	4	HANDLUNG → RELATION → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	OK+AL+O+DY	setzen; zum Zielort; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
128	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+ARGUMENT	1	1	1	1	5	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → ARGUMENT	P+OT+CH+OK+OR	einsetzen; danach; nehmen; setzen; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
129	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+RELATION	1	1	1	1	5	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → RELATION	S+OL+CH+K+AL	wählen; weiter; nehmen; geben; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
130	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+FORMAL_CONTROL+ARGUMENT	1	1	1	1	5	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → FORMSTEUERUNG → ARGUMENT	P+OL+CH+O+Y	einsetzen; weiter; nehmen; zur Ausführung; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
131	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+GRADE	1	1	1	1	4	HANDLUNG → ZUSTANDSSTEUERUNG → HANDLUNG → GRAD	S+OL+SH+E	wählen; weiter; halten; auf Grad I	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
132	ACTION_HEAD+STATE_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	1	4	HANDLUNG → ZUSTANDSSTEUERUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN	CH+OT+O+M_LOCAL	nehmen; danach; zur Ausführung; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
133	ACTION_HEAD+STATE_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN	1	1	1	1	5	HANDLUNG → ZUSTANDSSTEUERUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → LOKAL-/KLASSENZEICHEN	S+OT+O+D_ADDR+AN	wählen; danach; zur Ausführung; hier; als Klasse	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
134	ACTION_HEAD+STATE_CONTROL+GRADE+LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN	1	1	1	1	6	HANDLUNG → ZUSTANDSSTEUERUNG → GRAD → LOKAL-/KLASSENZEICHEN → RELATION → LOKAL-/KLASSENZEICHEN	P+OL+EE+D_ADDR+AR+AN	einsetzen; weiter; auf Grad II; hier; vom Ausgang; als Klasse	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
135	ACTION_HEAD+STATE_CONTROL+GRADE+STATE_CONTROL	1	1	1	1	4	HANDLUNG → ZUSTANDSSTEUERUNG → GRAD → ZUSTANDSSTEUERUNG	S+OT+E+OL	wählen; danach; auf Grad I; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
136	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT+LOCAL_OR_CLASS_SIGN+ARGUMENT	1	1	1	1	6	HANDLUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT → LOKAL-/KLASSENZEICHEN → ARGUMENT	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	halten; weiter; hier; die Einheit; hier; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
137	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+ACTION_HEAD	1	1	1	1	7	HANDLUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → RELATION → LOKAL-/KLASSENZEICHEN → FORMSTEUERUNG → HANDLUNG	P+OL+D_ADDR+AR+A_ADDR+IIN+S	einsetzen; weiter; hier; vom Ausgang; hier; auf der Stufe; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
138	ACTION_HEAD+STATE_CONTROL+RELATION+ACTION_HEAD+STATE_CONTROL	1	1	1	1	5	HANDLUNG → ZUSTANDSSTEUERUNG → RELATION → HANDLUNG → ZUSTANDSSTEUERUNG	P+OL+AL+CHD+DY	einsetzen; weiter; zum Zielort; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
139	ACTION_HEAD+STATE_CONTROL+RELATION+STATE_CONTROL	1	1	1	1	4	HANDLUNG → ZUSTANDSSTEUERUNG → RELATION → ZUSTANDSSTEUERUNG	S+OL+AR+OL	wählen; weiter; vom Ausgang; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
140	ACTION_HEAD+STATE_CONTROL+STATE_CONTROL+ARGUMENT	1	1	1	1	4	HANDLUNG → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG → ARGUMENT	R+OL+OT+Y	markieren; weiter; danach; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
141	ARGUMENT+ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	4	ARGUMENT → HANDLUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	Y+T+O+DY	den Posten; einstellen; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
142	ARGUMENT+ACTION_HEAD+GRADE+STATE_CONTROL+STATE_CONTROL	1	1	1	1	5	ARGUMENT → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	Y+K+E+OL+OL	den Posten; geben; auf Grad I; weiter; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
143	ARGUMENT+ACTION_HEAD+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	4	ARGUMENT → HANDLUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	Y+K+A_ADDR+DY	den Posten; geben; hier; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
144	ARGUMENT+ACTION_HEAD+RELATION+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	5	ARGUMENT → HANDLUNG → RELATION → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	Y+T+AR+O+DY	den Posten; einstellen; vom Ausgang; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
145	ARGUMENT+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	3	ARGUMENT → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	Y+O+DY	den Posten; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
146	ARGUMENT+STATE_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	1	3	ARGUMENT → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN	Y+DY+D_LABEL	den Posten; abschließen; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
147	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+ARGUMENT+STATE_CONTROL	1	1	1	1	5	FORMSTEUERUNG → HANDLUNG → HANDLUNG → ARGUMENT → ZUSTANDSSTEUERUNG	O+P+CH+OR+DY	zur Ausführung; einsetzen; nehmen; die Einheit; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
148	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	5	FORMSTEUERUNG → HANDLUNG → HANDLUNG → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	O+P+SH+O+DY	zur Ausführung; einsetzen; halten; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
149	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL+RELATION+RELATION	1	1	1	1	7	FORMSTEUERUNG → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → RELATION → RELATION	O+CH+T+E+OL+AR+L	zur Ausführung; nehmen; einstellen; auf Grad I; weiter; vom Ausgang; über die Verbindung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
150	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+GRADE	1	1	1	1	5	FORMSTEUERUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → GRAD	O+CH+T+OL+E	zur Ausführung; nehmen; einstellen; weiter; auf Grad I	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
151	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+RELATION+ARGUMENT	1	1	1	1	6	FORMSTEUERUNG → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → RELATION → ARGUMENT	O+P+CH+OL+AL+AIIN	zur Ausführung; einsetzen; nehmen; weiter; zum Zielort; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
152	FORMAL_CONTROL+ACTION_HEAD+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	1	1	1	1	5	FORMSTEUERUNG → HANDLUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG	O+P+O+D_ADDR+OL	zur Ausführung; einsetzen; zur Ausführung; hier; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
153	FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	3	FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	O+P+OL	zur Ausführung; einsetzen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
154	FORMAL_CONTROL+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	4	FORMSTEUERUNG → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	CARRIER_Q+O+P+OL	am Beginn; zur Ausführung; einsetzen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
155	FORMAL_CONTROL+GRADE+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	5	FORMSTEUERUNG → GRAD → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	O+E+K+E+OL	zur Ausführung; auf Grad I; geben; auf Grad I; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
156	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT+STATE_CONTROL	1	1	1	1	4	FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT → ZUSTANDSSTEUERUNG	O+LOCAL_CHAR_F+Y+DY	zur Ausführung; hier; den Posten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
157	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+GRADE+STATE_CONTROL	1	1	1	1	4	FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → GRAD → ZUSTANDSSTEUERUNG	O+D_ADDR+EE+DY	zur Ausführung; hier; auf Grad II; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
158	FORMAL_CONTROL+STATE_CONTROL+ARGUMENT	1	1	1	1	3	FORMSTEUERUNG → ZUSTANDSSTEUERUNG → ARGUMENT	O+OT+OR	zur Ausführung; danach; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
159	GRADE+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	4	GRAD → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	E+S+E+DY	auf Grad I; wählen; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
160	LOCAL_OR_CLASS_SIGN+ACTION_HEAD+STATE_CONTROL+ARGUMENT+LOCAL_OR_CLASS_SIGN	1	1	1	1	5	LOKAL-/KLASSENZEICHEN → HANDLUNG → ZUSTANDSSTEUERUNG → ARGUMENT → LOKAL-/KLASSENZEICHEN	D_ADDR+SH+OL+Y+D_ADDR	hier; halten; weiter; den Posten; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
161	LOCAL_OR_CLASS_SIGN+ACTION_HEAD+STATE_CONTROL+FORMAL_CONTROL+FORMAL_CONTROL+ACTION_HEAD	1	1	1	1	6	LOKAL-/KLASSENZEICHEN → HANDLUNG → ZUSTANDSSTEUERUNG → FORMSTEUERUNG → FORMSTEUERUNG → HANDLUNG	D_ADDR+SH+OL+DA+IIN+R	hier; halten; weiter; auf der zweiten Stufe; auf der Stufe; markieren	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
162	LOCAL_OR_CLASS_SIGN+ARGUMENT+RELATION+STATE_CONTROL	1	1	1	1	4	LOKAL-/KLASSENZEICHEN → ARGUMENT → RELATION → ZUSTANDSSTEUERUNG	D_ADDR+AIN+AL+DY	hier; den Anteil; zum Zielort; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
163	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	3	LOKAL-/KLASSENZEICHEN → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	D_ADDR+O+DY	hier; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
164	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+STATE_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	1	4	LOKAL-/KLASSENZEICHEN → FORMSTEUERUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN	D_ADDR+O+DY+D_LABEL	hier; zur Ausführung; abschließen; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
165	LOCAL_OR_CLASS_SIGN+GRADE+STATE_CONTROL	1	1	1	1	3	LOKAL-/KLASSENZEICHEN → GRAD → ZUSTANDSSTEUERUNG	D_ADDR+E+DY	hier; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
166	LOCAL_OR_CLASS_SIGN+RELATION+FORMAL_CONTROL+STATE_CONTROL	1	1	1	1	4	LOKAL-/KLASSENZEICHEN → RELATION → FORMSTEUERUNG → ZUSTANDSSTEUERUNG	D_ADDR+AIR+O+DY	hier; entlang der Bahn; zur Ausführung; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
