left_free_group	right_free_group	joined_form	candidate_segmentation	editions_present	split_loci_count	joined_loci_count	separator_states	representative_split_loci	representative_joined_loci	claim_state
dshedy	tedy	dshedytedy	dshedy | tedy ↔ dshedytedy	RF1b	1	1	DEFINITE_SPACE	f43v.13	f108v.41	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dy	kar	dykar	dy | kar ↔ dykar	RF1b	1	1	DEFINITE_SPACE	f50r.2	f89v2.13	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dy	tey	dytey	dy | tey ↔ dytey	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	f86v5.28	f76v.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
dy	toly	dytoly	dy | toly ↔ dytoly	IT2a	1	1	DEFINITE_SPACE	f73v.5	f101v.14	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
k	eodar	keodar	k | eodar ↔ keodar	ZL3b	1	2	UNCERTAIN_SMALL_SPACE	f40r.1	f72r3.1;f86v6.23	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
l	dar	ldar	l | dar ↔ ldar	ZL3b	1	5	UNCERTAIN_SMALL_SPACE	f70r2.16	f111v.27;f115v.34;f50v.1;f83r.13;f95r1.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
lol	shedy	lolshedy	lol | shedy ↔ lolshedy	RF1b	1	1	DEFINITE_SPACE	f103v.12	f103r.11	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okar	dy	okardy	okar | dy ↔ okardy	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	f33v.3	f68r1.37	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	kchdar	okchdar	o | kchdar ↔ okchdar	ZL3b	1	2	UNCERTAIN_SMALL_SPACE	f114r.35	f113r.14;f115r.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
okol	ar	okolar	okol | ar ↔ okolar	ZL3b	1	4	DEFINITE_SPACE	f67r2.73	f69v.21;f71v.4;f72v1.1;fRos.124	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	lkeedy	olkeedy	o | lkeedy ↔ olkeedy	ZL3b	1	44	UNCERTAIN_SMALL_SPACE	f78v.9	f104r.11;f105r.29;f105r.4;f105v.5;f106r.21;f106v.28;f107r.16;f107v.36;f107v.6;f108v.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	keeedy	olkeeedy	ol | keeedy ↔ olkeeedy	ZL3b	1	2	DEFINITE_SPACE	fRos.122	f106r.4;f111r.13	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	koldy	olkoldy	ol | koldy ↔ olkoldy	RF1b	1	1	DEFINITE_SPACE	f84v.18	f54r.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ols	ar	olsar	ols | ar ↔ olsar	RF1b	1	1	DEFINITE_SPACE	f99r.52	f23v.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	lshedy	olshedy	o | lshedy ↔ olshedy	ZL3b	1	20	UNCERTAIN_SMALL_SPACE	f40r.6	f103r.7;f103v.13;f103v.36;f112r.29;f75r.12;f75r.13;f75r.14;f75v.47;f77r.23;f77v.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	lsheedy	olsheedy	o | lsheedy ↔ olsheedy	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	f104r.8	f75r.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	sy	olsy	ol | sy ↔ olsy	IT2a	1	2	DEFINITE_SPACE	f112r.21	f5r.1;f99v.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
ol	teeedy	olteeedy	ol | teeedy ↔ olteeedy	ZL3b	1	1	DEFINITE_SPACE	f115r.1	f106r.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
orar	ol	orarol	orar | ol ↔ orarol	ZL3b	1	2	DEFINITE_SPACE	f106r.8	f89v1.8;fRos.17	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otar	dar	otardar	otar | dar ↔ otardar	RF1b	1	1	DEFINITE_SPACE	f75r.36	f67r1.5	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otar	dy	otardy	otar | dy ↔ otardy	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	f67r2.57	f95v1.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otchod	ar	otchodar	otchod | ar ↔ otchodar	RF1b	1	1	UNCERTAIN_SMALL_SPACE	f106r.24	f49v.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otedy	l	otedyl	otedy | l ↔ otedyl	ZL3b	1	1	DEFINITE_SPACE	f78r.39	f76r.19	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	teedy	oteedy	o | teedy ↔ oteedy	ZL3b	1	102	UNCERTAIN_SMALL_SPACE	f70r2.15	f103r.10;f103r.16;f103r.26;f103r.41;f103r.45;f103v.14;f103v.17;f103v.18;f103v.21;f103v.25	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteeo	cthey	oteeocthey	oteeo | cthey ↔ oteeocthey	RF1b	1	1	DEFINITE_SPACE	f72r1.1	f70v2.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
o	teeody	oteeody	o | teeody ↔ oteeody	ZL3b	1	12	UNCERTAIN_SMALL_SPACE	f106r.38	f102r1.9;f106v.11;f108r.11;f108r.4;f113r.2;f57v.5;f68r3.1;f70v1.1;f70v2.1;f72v3.20	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteo	dy	oteody	oteo | dy ↔ oteody	RF1b	1	37	UNCERTAIN_SMALL_SPACE	f111r.15	f102v1.22;f104r.37;f105v.6;f106v.28;f111r.18;f112r.42;f112v.31;f113v.4;f115v.6;f41v.6	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteol	ain	oteolain	oteol | ain ↔ oteolain	IT2a	1	1	DEFINITE_SPACE	f31v.10	f73v.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
oteor	ar	oteorar	oteor | ar ↔ oteorar	IT2a	1	1	DEFINITE_SPACE	f73r.5	f72r1.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otes	ar	otesar	otes | ar ↔ otesar	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	fRos.62	f70r2.17	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otey	dy	oteydy	otey | dy ↔ oteydy	RF1b	1	1	UNCERTAIN_SMALL_SPACE	f68v2.6	f73v.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otod	ar	otodar	otod | ar ↔ otodar	RF1b	1	5	DEFINITE_SPACE	f37r.1	f86v3.26;f93r.5;fRos.102;fRos.87;fRos.94	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
otoldy	l	otoldyl	otoldy | l ↔ otoldyl	RF1b	1	1	DEFINITE_SPACE	f79r.28	f86v4.4	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
pol	ar	polar	pol | ar ↔ polar	ZL3b	1	2	UNCERTAIN_SMALL_SPACE	f112r.42	f111v.26;f111v.34	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
polar	ar	polarar	polar | ar ↔ polarar	ZL3b	1	2	UNCERTAIN_SMALL_SPACE	f111v.26	f103r.48;f76v.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qo	dar	qodar	qo | dar ↔ qodar	RF1b	1	10	UNCERTAIN_SMALL_SPACE	f86v6.25	f101r.9;f17r.2;f24r.5;f3v.4;f41r.8;f85r2.10;f86v6.10;f90r1.8;f90v2.5;f94v.10	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qokeed	ar	qokeedar	qokeed | ar ↔ qokeedar	RF1b	1	4	UNCERTAIN_SMALL_SPACE	f108v.48	f108v.1;f108v.2;f39r.3;f66r.51	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	ar	qolar	qol | ar ↔ qolar	RF1b	1	2	UNCERTAIN_SMALL_SPACE	f79v.19	f104r.18;f77r.18	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qo	ldy	qoldy	qo | ldy ↔ qoldy	ZL3b	1	1	UNCERTAIN_SMALL_SPACE	f28r.1	f81v.20	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qol	tedy	qoltedy	qol | tedy ↔ qoltedy	ZL3b	1	1	DEFINITE_SPACE	f84v.16	f79v.12	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qotar	dy	qotardy	qotar | dy ↔ qotardy	IT2a	1	1	DEFINITE_SPACE	f80v.16	f75r.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qoteed	ar	qoteedar	qoteed | ar ↔ qoteedar	RF1b	1	2	UNCERTAIN_SMALL_SPACE	f108v.8	f113v.13;f26r.8	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
qoteeo	dy	qoteeody	qoteeo | dy ↔ qoteeody	RF1b	1	6	UNCERTAIN_SMALL_SPACE	f106v.41	f114v.38;f20r.11;f57r.4;f68v2.3;f72r2.22;f86v3.27	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sar	dy	sardy	sar | dy ↔ sardy	ZL3b	1	1	DEFINITE_SPACE	f42v.4	f72v2.20	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
sheol	shody	sheolshody	sheol | shody ↔ sheolshody	IT2a	1	1	DEFINITE_SPACE	f103r.40	f106v.7	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
s	olchedy	solchedy	s | olchedy ↔ solchedy	RF1b	1	7	UNCERTAIN_SMALL_SPACE	f79v.7	f113v.12;f75v.58;f76r.6;f77r.27;f80r.16;f83r.21;f83r.29	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tcheo	dar	tcheodar	tcheo | dar ↔ tcheodar	IT2a	1	1	DEFINITE_SPACE	f104v.42	f106v.40	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tcho	dar	tchodar	tcho | dar ↔ tchodar	ZL3b	1	2	DEFINITE_SPACE	f1v.9	f24v.1;f28r.3	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
te	ar	tear	te | ar ↔ tear	IT2a	1	2	DRAWING_INTERRUPTION	f9v.5	f111r.32;f72v1.22	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
tee	or	teeor	tee | or ↔ teeor	RF1b	1	3	UNCERTAIN_SMALL_SPACE	f72v3.20	f105r.12;f17v.2;f30r.2	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
teo	dy	teody	teo | dy ↔ teody	ZL3b	1	10	UNCERTAIN_SMALL_SPACE	f86v5.28	f102v1.9;f102v2.35;f111v.34;f113v.7;f116r.7;f1r.10;f68v1.1;f72v3.1;f86v5.13;f86v5.32	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
y	tedar	ytedar	y | tedar ↔ ytedar	ZL3b	1	5	UNCERTAIN_SMALL_SPACE	f75v.57	f104v.37;f73v.5;f85r2.14;fRos.13;fRos.73	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
y	tedy	ytedy	y | tedy ↔ ytedy	IT2a	1	19	DEFINITE_SPACE	f48v.4	f105r.36;f26r.2;f26r.4;f26v.3;f34r.4;f41r.4;f43r.1;f43r.2;f46r.5;f46v.1	MANUAL_GROUP_SPLIT_JOIN_ANALOGY_NOT_MORPHEME
