page	locus	section	language	hand	zl3b_line	unknown_before	applied_ordinals	applied_surfaces	unknown_after	remaining_unknown_ordinals	remaining_unknown_surfaces	overlay_glosses_de
f88r	f88r.21	P	A	1	teol chor olsheody qokeol shoy ol sheeol sheoldg	4	5	shoy	3	3|7|8	olsheody|sheeol|sheoldg	Drogenstoff auf mittlerer Kühlstufe | Pflanzen-/Reproduktionsteil | [olsheody:?] | erhitze den Drogenstoff bis zur Mittelstufe | Feuchtansatz leicht abschließen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [sheeol:?] | [sheoldg:?]
f88v	f88v.24	P	A	1	daiin sheor sheedy daiin shoy qokeody doy dair	3	5	shoy	2	6|7	qokeody|doy	Grad-/Maßwert III | feuchter Drogenteil | feucht am Ende des Grades, abgeschlossen | Grad-/Maßwert III | Feuchtansatz leicht abschließen | [qokeody:?] | [doy:?] | abgemessene Fraktion II
f89r1	f89r1.19	P	A	1	pshol sheo qoay cheocphy s sheyr qokair ydam daly	5	1	pshol	4	3|4|6|8	qoay|cheocphy|sheyr|ydam	eingeweichter Pulverstoff | Feuchtzubereitung | [qoay:?] | [cheocphy:?] | Samen-/Saatgutposten | [sheyr:?] | erhitze die zweite Fraktion | [ydam:?] | abgemessene Rohstoffmenge I, Grundform
f89r1	f89r1.6	P	A	1	qoar shar qopcholy qokod chepy dar sheey okor sheeos oldain	4	10	oldain	3	3|5|9	qopcholy|chepy|sheeos	Drogenfraktion I | angefeuchtete Drogenfraktion I | [qopcholy:?] | erhitze den Ansatz und schließe ab | [chepy:?] | abgemessene Fraktion I | feucht am Ende des Grades | heiße Drogenportion im Ansatz | [sheeos:?] | zwei Dosen Holzdroge im Ansatz abmessen
f89v1	f89v1.11	P	A	1	osheokaiin s ain ol shodain qokar ain chekal daiin dar	2	5	shodain	1	1	osheokaiin	[osheokaiin:?] | Samen-/Saatgutposten | Menge-/Klassenwert II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zwei Dosen Feuchtansatz | heiße Drogenfraktion I | Menge-/Klassenwert II | Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang | Grad-/Maßwert III | abgemessene Fraktion I
f89v1	f89v1.13	P	A	1	tosheo fcheody shekey or shos oiir cphey qokeody cheody daldy	7	5|7	shos|cphey	5	1|2|3|6|8	tosheo|fcheody|shekey|oiir|qokeody	[tosheo:?] | [fcheody:?] | [shekey:?] | Drogenportion | Charge Feuchtansatz | [oiir:?] | Kompositum auf Mittelstufe, abgeschlossen | [qokeody:?] | getrockneter Ansatz | abgemessene Rohstoffmenge I, abgeschlossen
f89v1	f89v1.15	P	A	1	dcheo daiin cthol daiin daldy okeor ytey keor cheyty ochy	3	1	dcheo	2	9|10	cheyty|ochy	Dosis bis Mittelstufe trocknen und ansetzen | Grad-/Maßwert III | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Qualitätsgrad III | abgemessene Rohstoffmenge I, abgeschlossen | eine Portion Ansatz bis zur Mittelstufe erhitzen | kühle hiervon bis zur Mittelstufe ab und schließe ab | heiße Drogenportion | [cheyty:?] | [ochy:?]
f89v1	f89v1.9	P	A	1	too cthor okol chekaiin os aiin ol cheokchey qokoiiin du	6	5	os	5	1|4|8|9|10	too|chekaiin|cheokchey|qokoiiin|du	[too:?] | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | heißer Ansatzstoff | [chekaiin:?] | Ansatzcharge | Menge III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [cheokchey:?] | [qokoiiin:?] | [du:?]
f8r	f8r.1	H	A	1	pshol chor otshal chopy cphol chody shy cfhodar shor	3	1	pshol	2	4|8	chopy|cfhodar	eingeweichter Pulverstoff | Pflanzen-/Reproduktionsteil | Ansatz aus kalt-feuchtem Rohstoff Klasse I am Gradanfang | [chopy:?] | zusammengesetzter Drogenstoff | Trockenansatz, abgeschlossen | feucht am Anfang des Grades | [cfhodar:?] | Blüten-/Fruchtstand; reproduktiver Teil
f8r	f8r.18	H	A	1	okar cfhaiin chaiin daiin chor cha rchealcham	3	2|6	cfhaiin|cha	1	7	rchealcham	heiße Drogenfraktion I im Ansatz | Blütendroge, Menge III | trocken, Grad III | Grad-/Maßwert III | Pflanzen-/Reproduktionsteil | ein Teil Trockendroge | [rchealcham:?]
f93r	f93r.15	H	A	1	ochol shodal dol cheodam	3	1	ochol	2	2|4	shodal|cheodam	Ansatz aus Trockendroge | [shodal:?] | Materialmaß | [cheodam:?]
f93r	f93r.5	H	A	1	ol chody cfhol dol qokol otodar chodain	2	3|7	cfhol|chodain	0	NONE	NONE	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Trockenansatz, abgeschlossen | Blütendrogenstoff oder Blütenauszug | Materialmaß | erhitzen | Kaltansatz erneut ansetzen und die erste Fraktion abmessen | zwei Dosen Trockenansatz
f93r	f93r.8	H	A	1	lor sheeody chodaiin s odar	2	5	odar	1	2	sheeody	Holzportion | [sheeody:?] | Trockenansatz, Dosis III | Samen-/Saatgutposten | erste Ansatzfraktion abmessen
f93v	f93v.7	H	A	1	oees ckheody qkcheey koldy tchodaiin ctheos shodain qokeeam	5	7	shodain	4	3|5|6|8	qkcheey|tchodaiin|ctheos|qokeeam	Ansatzcharge auf Endstufe | fertiger Ansatz eines Arzneikompositums | [qkcheey:?] | erhitzten Drogenstoff fertigstellen | [tchodaiin:?] | [ctheos:?] | zwei Dosen Feuchtansatz | [qokeeam:?]
f93v	f93v.9	H	A	1	odeeeodl cheodar oksho chody okchey cthol oly ytchol sar dar	3	3	oksho	2	1|8	odeeeodl|ytchol	[odeeeodl:?] | die erste Fraktion des mitteltrockenen Ansatzes abmessen | Ansatz erhitzen, einweichen und erneut ansetzen | Trockenansatz, abgeschlossen | heiß-trockener Ansatz in der Mitte des Grades | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | abseihen | [ytchol:?] | Samenfraktion I | abgemessene Fraktion I
f95r2	f95r2.1	H	B	3	kshedy or chdy dalfchy qodaiin chckhyfchy daraiin dalal	4	7	daraiin	3	4|6|8	dalfchy|chckhyfchy|dalal	heiß und feucht in der Mitte des Grades, abgeschlossen | Drogenportion | trocken am Anfang des Grades, abgeschlossen | [dalfchy:?] | Qualitätsgrad III | [chckhyfchy:?] | drei Teile der ersten Fraktion abmessen | [dalal:?]
f95v2	f95v2.5	H	B	3	tar fcheey shos aiin okar olkaiin otalain okaiin ar	3	3	shos	2	2|7	fcheey|otalain	kalte Drogenfraktion I | [fcheey:?] | Charge Feuchtansatz | Menge III | heiße Drogenfraktion I im Ansatz | heiße Drogenbasis, Stufe III | [otalain:?] | heiß, Grad III, im Ansatzrahmen | Drogenfraktion I
f96v	f96v.1	H	A	1	psheessheeor qoepsheody odar ocpheeo opar ysar osoj	7	3	odar	6	1|2|4|5|6|7	psheessheeor|qoepsheody|ocpheeo|opar|ysar|osoj	[psheessheeor:?] | [qoepsheody:?] | erste Ansatzfraktion abmessen | [ocpheeo:?] | [opar:?] | [ysar:?] | [osoj:?]
f96v	f96v.11	H	A	1	sar os checkhey so	2	2	os	1	4	so	Samenfraktion I | Ansatzcharge | trockenes Arzneikompositum in der Gradmitte | [so:?]
f99r	f99r.39	P	A	1	sory	1	1	sory	0	NONE	NONE	Samenportion, abgeschlossen
f9r	f9r.6	H	A	1	pshoain cthoaiin okaiir odoral shar sy shydal chdy	5	3	okaiir	4	1|2|4|7	pshoain|cthoaiin|odoral|shydal	[pshoain:?] | [cthoaiin:?] | dritte erhitzte Ansatzfraktion | [odoral:?] | angefeuchtete Drogenfraktion I | Saatgut in Grundform | [shydal:?] | trocken am Anfang des Grades, abgeschlossen
f9v	f9v.1	H	A	1	fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin	6	9	cfhol	5	1|2|3|6|7	fochor|oporody|opy|qopchypcho|qofol	[fochor:?] | [oporody:?] | [opy:?] | Blüten-/Fruchtstand; reproduktiver Teil | Menge/Portion III | [qopchypcho:?] | [qofol:?] | feucht; nominal feuchtes Gut/Material | Blütendrogenstoff oder Blütenauszug | Qualitätsgrad III
