component_recipe	portable_core_de	default_surface	default_surface_events	allowed_observed_surfaces	variant_count	encode_instruction_de
L+K+Y	LEITEN · GEBEN · DIES	lky	2	lky	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+O	LEITEN · AUSFÜHREN	lo	5	lo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+O+CHD+DY	LEITEN · AUSFÜHREN · UMSETZEN · SCHLIESSEN	lochedy	1	lochedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+OL	LEITEN · FORTSETZEN	lol	3	lol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+OL+CHD+DY	LEITEN · FORTSETZEN · UMSETZEN · SCHLIESSEN	lolchedy	1	lolchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+OL+OL	LEITEN · FORTSETZEN · FORTSETZEN	lolol	1	lolol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+OR	LEITEN · SATZ	lor	3	lor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+P+CHD+Y	LEITEN · EINSETZEN · UMSETZEN · DIES	lpchedy	1	lpchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+R	LEITEN · MARKIEREN	lr	1	lr	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+SH+E+D_ADDR+AR+Y	LEITEN · HALTEN · KURZ · TEIL · QUELLE · DIES	lshedary	1	lshedary	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+SH+E+Y	LEITEN · HALTEN · KURZ · DIES	lshey	1	lshey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+SHED	LEITEN · ABSETZEN	lshed	1	lshed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+T+AIN	LEITEN · EINSTELLEN · EINHEIT	ltain	1	ltain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+T+AR+Y	LEITEN · EINSTELLEN · QUELLE · DIES	ltary	1	ltary	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+T+E+DY	LEITEN · EINSTELLEN · KURZ · SCHLIESSEN	ltedy	2	ltedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+T+EE+D_ADDR+Y	LEITEN · EINSTELLEN · LÄNGER · TEIL · DIES	lteedy	1	lteedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
L+Y	LEITEN · DIES	lchey	3	lchey|ly	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
LOCAL_CHAR_G+IIN	EINMAL · STUFE	giin	1	giin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
LSH+E+DY	SPÜLEN · KURZ · SCHLIESSEN	lshedy	6	lshedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
LSH+E+T+Y	SPÜLEN · KURZ · EINSTELLEN · DIES	lshety	1	lshety	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
LSH+EE+D_ADDR+Y	SPÜLEN · LÄNGER · TEIL · DIES	lsheedy	2	lsheedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
LSH+O	SPÜLEN · AUSFÜHREN	lsho	1	lsho	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O	AUSFÜHREN	o	8	o|qo	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+AIIN	AUSFÜHREN · SOLLWERT	oaiin	2	oaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+AIN	AUSFÜHREN · EINHEIT	oain	1	oain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+AL+CH+E+G_LABEL	AUSFÜHREN · ZIEL · NEHMEN · KURZ · PRÜFEN	oalcheg	1	oalcheg	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+AM_ADDR	AUSFÜHREN · INNEN	om	2	om	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+AR	AUSFÜHREN · QUELLE	oar	1	oar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+AR+AM_ADDR	AUSFÜHREN · QUELLE · INNEN	oaram	1	oaram	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CH+O+Y+K	AUSFÜHREN · NEHMEN · AUSFÜHREN · DIES · GEBEN	ochoyk	1	ochoyk	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CHD+Y	AUSFÜHREN · UMSETZEN · DIES	ochedy	1	ochedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	qockhey	3	qockhey|ockhey	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CKH+Y	AUSFÜHREN · DURCHLASS · DIES	ockhy	3	ockhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CPH+Y	AUSFÜHREN · UMLEITEN · DIES	ocphy	1	ocphy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CTH+E+OL	AUSFÜHREN · BEREIT · KURZ · FORTSETZEN	octheol	1	octheol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CTH+E+Y	AUSFÜHREN · BEREIT · KURZ · DIES	octhey	1	octhey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CTH+O+D_ADDR+Y	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · DIES	octhody	1	octhody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CTH+OL+E	AUSFÜHREN · BEREIT · FORTSETZEN · KURZ	octhole	1	octhole	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+CTH+Y+S	AUSFÜHREN · BEREIT · DIES · AUSWÄHLEN	octhys	1	octhys	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+DA+E+IIN	AUSFÜHREN · ZWEIT · KURZ · STUFE	odaeiin	1	odaeiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+DA+L	AUSFÜHREN · ZWEIT · LEITEN	odal	1	odal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+DA+LOCAL_CHAR_I+IIN	AUSFÜHREN · ZWEIT · UNTERSTUFE · STUFE	odaiiin	1	odaiiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+DA+S	AUSFÜHREN · ZWEIT · AUSWÄHLEN	odas	1	odas	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+DY	AUSFÜHREN · SCHLIESSEN	ody	6	ody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+AIIN	AUSFÜHREN · TEIL · SOLLWERT	odaiin	1	odaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+AIN	AUSFÜHREN · TEIL · EINHEIT	odain	1	odain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+AIR	AUSFÜHREN · TEIL · LAUF	odair	1	odair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+AR	AUSFÜHREN · TEIL · QUELLE	odar	1	odar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+CH+E+CTH+Y	AUSFÜHREN · TEIL · NEHMEN · KURZ · BEREIT · DIES	odchecthy	1	odchecthy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+L	AUSFÜHREN · TEIL · LEITEN	odl	1	odl	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+D_ADDR+Y	AUSFÜHREN · TEIL · DIES	qodchy	1	qodchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+E+AR	AUSFÜHREN · KURZ · QUELLE	oear	1	oear	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+E+D_ADDR+AIN	AUSFÜHREN · KURZ · TEIL · EINHEIT	oedain	1	oedain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+E+K+AIN	AUSFÜHREN · KURZ · GEBEN · EINHEIT	oekain	1	oekain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+E+OL+D_ADDR+AN	AUSFÜHREN · KURZ · FORTSETZEN · TEIL · ZUSATZ	oeoldan	1	oeoldan	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+E+P+CH+O+D_ADDR	AUSFÜHREN · KURZ · EINSETZEN · NEHMEN · AUSFÜHREN · TEIL	oepchod	1	oepchod	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+EE+O+D_ADDR+Y	AUSFÜHREN · LÄNGER · AUSFÜHREN · TEIL · DIES	oeeody	1	oeeody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+EE+O+S	AUSFÜHREN · LÄNGER · AUSFÜHREN · AUSWÄHLEN	oeeos	1	oeeos	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+EE+S+Y	AUSFÜHREN · LÄNGER · AUSWÄHLEN · DIES	oeesy	1	oeesy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+EE+Y	AUSFÜHREN · LÄNGER · DIES	oeey	1	oeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+EEE+D_ADDR	AUSFÜHREN · VOLL · TEIL	oeeed	1	oeeed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+EEE+S	AUSFÜHREN · VOLL · AUSWÄHLEN	oeees	1	oeees	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+G_LABEL	AUSFÜHREN · PRÜFEN	og	1	og	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+IIN	AUSFÜHREN · STUFE	oiin	4	oiin|oiiin	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+IIN+AR	AUSFÜHREN · STUFE · QUELLE	oiinar	1	oiinar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+AL	AUSFÜHREN · NEBENWEG · ZIEL	ofal	1	ofal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+AL+D_ADDR+O	AUSFÜHREN · NEBENWEG · ZIEL · TEIL · AUSFÜHREN	ofaldo	1	ofaldo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+AR	AUSFÜHREN · NEBENWEG · QUELLE	ofar	2	ofar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+A_ADDR+LSH+E+K+Y	AUSFÜHREN · NEBENWEG · ORT · SPÜLEN · KURZ · GEBEN · DIES	ofalsheky	1	ofalsheky	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+CHEO+R	AUSFÜHREN · NEBENWEG · AUSZUG · MARKIEREN	ofcheor	1	ofcheor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+Y+DY	AUSFÜHREN · NEBENWEG · DIES · SCHLIESSEN	ofydy	1	ofydy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LOCAL_CHAR_F+Y+S+K+Y+DA+L	AUSFÜHREN · NEBENWEG · DIES · AUSWÄHLEN · GEBEN · DIES · ZWEIT · LEITEN	ofyskydal	1	ofyskydal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+LSH+E+O+D_ADDR+Y	AUSFÜHREN · SPÜLEN · KURZ · AUSFÜHREN · TEIL · DIES	olsheody	1	olsheody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+OK+AIN	AUSFÜHREN · SETZEN · EINHEIT	oqokain	1	oqokain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+OL	AUSFÜHREN · FORTSETZEN	ochol	1	ochol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+OT+OR	AUSFÜHREN · DANACH · SATZ	oqotor	1	oqotor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+AR+CH+Y	AUSFÜHREN · EINSETZEN · QUELLE · NEHMEN · DIES	oparchy	1	oparchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+CH+E+OL+D_ADDR+AIR	AUSFÜHREN · EINSETZEN · NEHMEN · KURZ · FORTSETZEN · TEIL · LAUF	opcheoldair	1	opcheoldair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+CH+EE+OL	AUSFÜHREN · EINSETZEN · NEHMEN · LÄNGER · FORTSETZEN	opcheeol	1	opcheeol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+CH+OR	AUSFÜHREN · EINSETZEN · NEHMEN · SATZ	opchor	1	opchor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+E+DY	AUSFÜHREN · EINSETZEN · KURZ · SCHLIESSEN	opedy	1	opedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+O+D_ADDR+OL	AUSFÜHREN · EINSETZEN · AUSFÜHREN · TEIL · FORTSETZEN	opodchol	1	opodchol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+O+T+E+Y	AUSFÜHREN · EINSETZEN · AUSFÜHREN · EINSTELLEN · KURZ · DIES	opotey	1	opotey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+OL+D_ADDR+Y	AUSFÜHREN · EINSETZEN · FORTSETZEN · TEIL · DIES	opcholdy	1	opcholdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+SHED+Y	AUSFÜHREN · EINSETZEN · ABSETZEN · DIES	opshedy	1	opshedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+Y	AUSFÜHREN · EINSETZEN · DIES	qopchy	3	qopchy|opchey|opchy	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+P+Y+S_ADDR+AM_ADDR	AUSFÜHREN · EINSETZEN · DIES · STERNORT · INNEN	opysam	1	opysam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+S+AIN	AUSFÜHREN · AUSWÄHLEN · EINHEIT	osain	1	osain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+S+AL	AUSFÜHREN · AUSWÄHLEN · ZIEL	osal	1	osal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+S+AR	AUSFÜHREN · AUSWÄHLEN · QUELLE	osar	1	osar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+S+D_ADDR+AIIN	AUSFÜHREN · AUSWÄHLEN · TEIL · SOLLWERT	osdaiin	1	osdaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+SHED+Y	AUSFÜHREN · ABSETZEN · DIES	oshedy	1	oshedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+Y	AUSFÜHREN · DIES	ochy	1	ochy|qoy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+Y+G_LABEL+Y	AUSFÜHREN · DIES · PRÜFEN · DIES	oygy	1	oygy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
O+Y+K+CH+OR	AUSFÜHREN · DIES · GEBEN · NEHMEN · SATZ	oykchor	1	oykchor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK	SETZEN	chok	1	chok|ok	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AIIN	SETZEN · SOLLWERT	qokaiin	18	qokaiin|okaiin	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AIN	SETZEN · EINHEIT	qokain	30	qokain|okain|chokain	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AIR	SETZEN · LAUF	okair	1	okair|qokair	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AIR+A_ADDR+D_ADDR+Y	SETZEN · LAUF · ORT · TEIL · DIES	okairady	1	okairady	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AL	SETZEN · ZIEL	qokal	16	qokal|okal|chokal	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AL+AL	SETZEN · ZIEL · ZIEL	okalal	1	okalal|okaldal	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AL+A_ADDR	SETZEN · ZIEL · ORT	okala	1	okala	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AL+DY	SETZEN · ZIEL · SCHLIESSEN	okaldy	2	okaldy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AL+Y	SETZEN · ZIEL · DIES	qokaly	1	qokaly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AM_ADDR	SETZEN · INNEN	qokam	1	qokam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AN	SETZEN · ZUSATZ	qokan	1	qokan	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AR	SETZEN · QUELLE	okar	13	okar|qokar	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AR+AM_ADDR	SETZEN · QUELLE · INNEN	okaram	1	okaram	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AR+CHD+Y	SETZEN · QUELLE · UMSETZEN · DIES	okarchedy	1	okarchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AR+DY	SETZEN · QUELLE · SCHLIESSEN	qokardy	1	qokardy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+AR+D_ADDR+Y	SETZEN · QUELLE · TEIL · DIES	okardy	1	okardy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+A_ADDR+LOCAL_CHAR_I+IIN	SETZEN · ORT · UNTERSTUFE · STUFE	okaiiin	1	okaiiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+AL	SETZEN · NEHMEN · ZIEL	okchal	1	okchal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+E+Y	SETZEN · NEHMEN · KURZ · DIES	chokchey	1	chokchey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+E+Y+S	SETZEN · NEHMEN · KURZ · DIES · AUSWÄHLEN	okcheys	1	okcheys	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+EE+Y	SETZEN · NEHMEN · LÄNGER · DIES	qokcheey	1	qokcheey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+O+AL	SETZEN · NEHMEN · AUSFÜHREN · ZIEL	okchoal	1	okchoal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+OR	SETZEN · NEHMEN · SATZ	okchor	2	okchor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+OT+EEE+S_ADDR	SETZEN · NEHMEN · DANACH · VOLL · STERNORT	okchoteees	1	okchoteees	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CH+Y	SETZEN · NEHMEN · DIES	chokchy	1	chokchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CHD	SETZEN · UMSETZEN	okchd	1	okchd	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CHD+DY	SETZEN · UMSETZEN · SCHLIESSEN	qokchdy	5	qokchdy|okchdy|okchedy	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CHD+Y	SETZEN · UMSETZEN · DIES	qokchedy	3	qokchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+CHEO	SETZEN · AUSZUG	chokcheo	1	chokcheo|okcheo	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+AL	SETZEN · KURZ · ZIEL	okeal	1	okeal|qokeal	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+AL+AR	SETZEN · KURZ · ZIEL · QUELLE	okealar	1	okealar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+AR	SETZEN · KURZ · QUELLE	chokear	1	chokear|okear	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+CHD+DY	SETZEN · KURZ · UMSETZEN · SCHLIESSEN	qokechdy	1	qokechdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+DY	SETZEN · KURZ · SCHLIESSEN	qokedy	38	qokedy|okedy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+D_ADDR	SETZEN · KURZ · TEIL	qoked	1	qoked	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+D_ADDR+OL	SETZEN · KURZ · TEIL · FORTSETZEN	qokedol	1	qokedol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O	SETZEN · KURZ · AUSFÜHREN	okeo	2	okeo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O+AL	SETZEN · KURZ · AUSFÜHREN · ZIEL	okeodal	2	okeodal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O+AM_ADDR	SETZEN · KURZ · AUSFÜHREN · INNEN	okeom	1	okeom	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O+CH+Y	SETZEN · KURZ · AUSFÜHREN · NEHMEN · DIES	qokeochy	1	qokeochy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O+D_ADDR	SETZEN · KURZ · AUSFÜHREN · TEIL	okeod	4	okeod	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · DIES	okeody	2	okeody|qokeody	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+O+Y	SETZEN · KURZ · AUSFÜHREN · DIES	qokeoy	1	qokeoy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+OL	SETZEN · KURZ · FORTSETZEN	qokeol	3	qokeol|okeol	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+OL+OL	SETZEN · KURZ · FORTSETZEN · FORTSETZEN	okeolol	1	okeolol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+OL+Y	SETZEN · KURZ · FORTSETZEN · DIES	okeoly	1	okeoly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+OR	SETZEN · KURZ · SATZ	qokeor	1	qokeor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+E+Y	SETZEN · KURZ · DIES	qokey	9	qokey|okey	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+AL	SETZEN · LÄNGER · ZIEL	qokeedal	1	qokeedal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+AR	SETZEN · LÄNGER · QUELLE	okeear	1	okeear	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	qokeedy	38	qokeedy|okeedy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+DY+OL	SETZEN · LÄNGER · SCHLIESSEN · FORTSETZEN	okeedyqol	1	okeedyqol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+D_ADDR	SETZEN · LÄNGER · TEIL	qokeed	1	qokeed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+O	SETZEN · LÄNGER · AUSFÜHREN	okeeo	1	okeeo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+O+DA+L	SETZEN · LÄNGER · AUSFÜHREN · ZWEIT · LEITEN	okeeodal	1	okeeodal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+O+D_ADDR+Y	SETZEN · LÄNGER · AUSFÜHREN · TEIL · DIES	okeeody	2	okeeody|qokeeody	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+O+S	SETZEN · LÄNGER · AUSFÜHREN · AUSWÄHLEN	okeeos	1	okeeos	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	okeeol	2	okeeol|qokeeol	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+OR	SETZEN · LÄNGER · SATZ	iokeeor	1	iokeeor|okeeor	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+S_LABEL	SETZEN · LÄNGER · RAHMEN	okees	1	okees	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EE+Y	SETZEN · LÄNGER · DIES	qokeey	20	qokeey|okeey|chokeey	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EEE+DY	SETZEN · VOLL · SCHLIESSEN	qokeeedy	2	qokeeedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+EEE+Y	SETZEN · VOLL · DIES	qokeeey	3	qokeeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+O+AIIN	SETZEN · AUSFÜHREN · SOLLWERT	qokoaiin	1	qokoaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+O+AL+Y	SETZEN · AUSFÜHREN · ZIEL · DIES	okoaly	1	okoaly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+O+DA+L+Y	SETZEN · AUSFÜHREN · ZWEIT · LEITEN · DIES	okodaly	1	okodaly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+O+DA+R	SETZEN · AUSFÜHREN · ZWEIT · MARKIEREN	okodar	2	okodar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+O+D_ADDR+CH+Y	SETZEN · AUSFÜHREN · TEIL · NEHMEN · DIES	okodchy	1	okodchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
OK+O+E+S	SETZEN · AUSFÜHREN · KURZ · AUSWÄHLEN	okoes	1	okoes	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
