group_serial	page	locus	event_index	opaque_local_id	condition_shelf	surface	selected_component_parse	portable_relative_components	relative_condition_reading_de	full_workshop_default_de	reading_status	external_celestial_or_calendar_name
234	f68r1	f68r1.20	1	A2:G044	C3	olor	OL+OR	OL	WEITER · LOKALER_BEDINGUNGSKERN	weiterer Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
235	f68r1	f68r1.21	1	A2:G045	C3	ockhy	O+CKH+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Durchlass + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
236	f68r1	f68r1.22	1	A2:G046	C3	ofcheor	O+F_ADDR+CHEO+R	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang + Aussenbezug + Auszug + abkuehlen	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
237	f68r1	f68r1.23	1	A2:G047	C3	otchdy	OT+CHD+DY	OT+DY	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	danach umsetzen; Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
238	f68r1	f68r1.24	1	A2:G048	C3	otykchs	OT+Y+K+CH+S_LABEL	OT+Y	FOLGEND · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + dies + zufuehren + abziehen + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
239	f68r1	f68r1.25	1	A2:G049	C3	otol	OT+OL	OT+OL	FOLGEND · WEITER	danach fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
240	f68r1	f68r1.26	1	A2:G050	C3	otor	OT+OR	OT	FOLGEND · LOKALER_BEDINGUNGSKERN	danach + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
241	f68r1	f68r1.27	1	A2:G051	C3	oiinar	O+IIN+AR	IIN+AR	STUFE · VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Sollstufe + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
242	f68r1	f68r1.28	1	A2:G052	C3	okoldy	OK+OL+DY	OL+DY	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	ansetzen + fortsetzen + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
243	f68r1	f68r1.29	1	A2:G053	C3	ykchdy	Y+K+CHD+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + umsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
244	f68r1	f68r1.30	1	A2:G054	C3	oeeody	O+EE+O+DY	EE+DY	LAENGER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	Arbeitsgang + laenger + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
245	f68r1	f68r1.31	1	A2:G055	C3	ocphy	O+CPH_CLASS+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Sternfigur + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
246	f68r1	f68r1.32	1	A2:G056	C3	okeeodal	OK+EE+O+AL	EE+AL	LAENGER · AN · LOKALER_BEDINGUNGSKERN	ansetzen + laenger + Arbeitsgang + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
247	f68r1	f68r1.33	1	A2:G057	C3	okshor	OK+OR	NONE	LOKALE_BEDINGUNGSKARTE	ansetzen + Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
248	f68r1	f68r1.34	1	A2:G058	C3	osdaiin	O+S_ADDR+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Sternbezug + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
249	f68r1	f68r1.35	1	A2:G059	C3	otochedy	OT+O+CHD+Y	OT+Y	FOLGEND · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + Arbeitsgang + umsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
250	f68r1	f68r1.36	1	A2:G060	C3	dolchedy	D_ADDR+OL+CHD+Y	OL+Y	WEITER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Teiladresse + fortsetzen + umsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
251	f68r1	f68r1.37	1	A2:G061	C3	oky	OK+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	verwende dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
252	f68r1	f68r1.37	2	A2:G062	C3	okchdy	OK+CHD+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + umsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
253	f68r1	f68r1.37	3	A2:G063	C3	okardy	OK+AR+Y	AR+Y	VON · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + von dort + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
254	f68r1	f68r1.37	4	A2:G064	C3	qear	E+AR	E+AR	KURZ · VON	kurz + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
255	f68r1	f68r1.37	5	A2:G065	C3	oygy	O+Y+G_ADDR+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + dies + Strahlmarke + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
256	f69v	f69v.1	1	A3:G001	C4	dair	D_ADDR+AIR	NONE	LOKALE_BEDINGUNGSKARTE	Teiladresse + Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
257	f69v	f69v.1	2	A3:G002	C4	cheyky	Y+K+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
258	f69v	f69v.1	3	A3:G003	C4	otaza	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
259	f69v	f69v.1	4	A3:G004	C4	sar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
260	f69v	f69v.1	5	A3:G005	C4	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
261	f69v	f69v.1	6	A3:G006	C4	chykar	Y+K+AR	Y+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	dies + zufuehren + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
262	f69v	f69v.1	7	A3:G007	C4	okoirsh	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
263	f69v	f69v.1	8	A3:G008	C4	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
264	f69v	f69v.1	9	A3:G009	C4	chetody	CH+E+T+O+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	abziehen + kurz + eintragen + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
265	f69v	f69v.1	10	A3:G010	C4	okeeos	OK+EE+O+S_LABEL	EE	LAENGER · LOKALER_BEDINGUNGSKERN	ansetzen + laenger + Arbeitsgang + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
266	f69v	f69v.1	11	A3:G011	C4	o	O	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
267	f69v	f69v.1	12	A3:G012	C4	tey	T+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	eintragen + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
268	f69v	f69v.1	13	A3:G013	C4	otokeeey	OT+OK+EEE+Y	OT+EEE+Y	FOLGEND · VOLL · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + ansetzen + vollstaendig + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
269	f69v	f69v.1	14	A3:G014	C4	okeeody	OK+EE+O+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + laenger + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
270	f69v	f69v.1	15	A3:G015	C4	okeey	OK+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	länger ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
271	f69v	f69v.1	16	A3:G016	C4	doiir	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
272	f69v	f69v.1	17	A3:G017	C4	teeo	T+EE+O	EE	LAENGER · LOKALER_BEDINGUNGSKERN	eintragen + laenger + Arbeitsgang	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
273	f69v	f69v.1	18	A3:G018	C4	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
274	f69v	f69v.1	19	A3:G019	C4	chey	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
275	f69v	f69v.1	20	A3:G020	C4	ot	OT	OT	FOLGEND	danach	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
276	f69v	f69v.1	21	A3:G021	C4	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
277	f69v	f69v.1	22	A3:G022	C4	okedy	OK+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
278	f69v	f69v.1	23	A3:G023	C4	chsdy	CH+S_ADDR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	abziehen + Sternbezug + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
279	f69v	f69v.1	24	A3:G024	C4	okeod	OK+E+O+D_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + Platzetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
280	f69v	f69v.1	25	A3:G025	C4	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
281	f69v	f69v.1	26	A3:G026	C4	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
282	f69v	f69v.1	27	A3:G027	C4	choaiin	HO+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	Gabe + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
283	f69v	f69v.1	28	A3:G028	C4	okar	OK+AR	AR	VON · LOKALER_BEDINGUNGSKERN	ansetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
284	f69v	f69v.1	29	A3:G029	C4	okar	OK+AR	AR	VON · LOKALER_BEDINGUNGSKERN	ansetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
285	f69v	f69v.1	30	A3:G030	C4	chol	OL	OL	WEITER	fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
286	f69v	f69v.1	31	A3:G031	C4	chees	CH+EE+S_LABEL	EE	LAENGER · LOKALER_BEDINGUNGSKERN	abziehen + laenger + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
287	f69v	f69v.1	32	A3:G032	C4	yto	Y+T+O	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
288	f69v	f69v.1	33	A3:G033	C4	odair	O+D_ADDR+AIR	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang + Teiladresse + Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
289	f69v	f69v.1	34	A3:G034	C4	oty	OT+Y	OT+Y	FOLGEND · DIESER_EINTRAG	danach + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
290	f69v	f69v.1	35	A3:G035	C4	oteeo	OT+EE+O	OT+EE	FOLGEND · LAENGER · LOKALER_BEDINGUNGSKERN	danach + laenger + Arbeitsgang	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
291	f69v	f69v.1	36	A3:G036	C4	dar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
292	f69v	f69v.1	37	A3:G037	C4	o	O	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
293	f69v	f69v.1	38	A3:G038	C4	eykeody	E+Y+K+E+O+Y	E+Y+E+Y	KURZ · DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	kurz + dies + zufuehren + kurz + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
294	f69v	f69v.1	39	A3:G039	C4	dchor	D_ADDR+OR	NONE	LOKALE_BEDINGUNGSKARTE	Teiladresse + Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
295	f69v	f69v.1	40	A3:G040	C4	char	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
296	f69v	f69v.2	1	A3:G041	C5	yka	Y+K+A_ADDR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Nebenadresse	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
297	f69v	f69v.2	2	A3:G042	C5	chol	OL	OL	WEITER	fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
298	f69v	f69v.2	3	A3:G043	C5	ykar	Y+K+AR	Y+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	dies + zufuehren + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
299	f69v	f69v.2	4	A3:G044	C5	dal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
300	f69v	f69v.2	5	A3:G045	C5	ykady	Y+K+A_ADDR+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Nebenadresse + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
301	f69v	f69v.2	6	A3:G046	C5	iokeeor	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
302	f69v	f69v.2	7	A3:G047	C5	cheey	WHOLE[cheey|shey]	NONE	LOKALE_BEDINGUNGSKARTE	Ergebnis	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
303	f69v	f69v.2	8	A3:G048	C5	choly	OL+Y	OL+Y	WEITER · DIESER_EINTRAG	fortsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
304	f69v	f69v.2	9	A3:G049	C5	ykeeal	Y+K+EE+AL	Y+EE+AL	DIESER_EINTRAG · LAENGER · AN · LOKALER_BEDINGUNGSKERN	dies + zufuehren + laenger + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
305	f69v	f69v.2	10	A3:G050	C5	cheo	CHEO	NONE	LOKALE_BEDINGUNGSKARTE	Auszug	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
306	f69v	f69v.2	11	A3:G051	C5	oaram	O+AR+AM_ADDR	AR	VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + von dort + Gegenfeld	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
307	f69v	f69v.2	12	A3:G052	C5	ockhy	O+CKH+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Durchlass + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
308	f69v	f69v.2	13	A3:G053	C5	sheey	SH+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies länger halten	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
309	f69v	f69v.2	14	A3:G054	C5	aiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
310	f69v	f69v.2	15	A3:G055	C5	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
311	f69v	f69v.2	16	A3:G056	C5	daiial	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
312	f69v	f69v.2	17	A3:G057	C5	cheody	CHEO+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Auszug + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
313	f69v	f69v.2	18	A3:G058	C5	cheal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
314	f69v	f69v.2	19	A3:G059	C5	yetey	Y+E+T+E+Y	Y+E+E+Y	DIESER_EINTRAG · KURZ · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + kurz + eintragen + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
315	f69v	f69v.2	20	A3:G060	C5	chear	CH+E+AR	E+AR	KURZ · VON · LOKALER_BEDINGUNGSKERN	abziehen + kurz + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
316	f69v	f69v.2	21	A3:G061	C5	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
317	f69v	f69v.2	22	A3:G062	C5	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
318	f69v	f69v.2	23	A3:G063	C5	ykey	Y+K+E+Y	Y+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + kurz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
319	f69v	f69v.2	24	A3:G064	C5	ch	CH	NONE	LOKALE_BEDINGUNGSKARTE	abziehen	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
320	f69v	f69v.2	25	A3:G065	C5	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
321	f69v	f69v.2	26	A3:G066	C5	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
322	f69v	f69v.2	27	A3:G067	C5	chol	OL	OL	WEITER	fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
323	f69v	f69v.2	28	A3:G068	C5	ykar	Y+K+AR	Y+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	dies + zufuehren + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
324	f69v	f69v.2	29	A3:G069	C5	ol	OL	OL	WEITER	fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
325	f69v	f69v.2	30	A3:G070	C5	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
326	f69v	f69v.2	31	A3:G071	C5	ykeeody	Y+K+EE+O+Y	Y+EE+Y	DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + laenger + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
327	f69v	f69v.2	32	A3:G072	C5	chey	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
328	f69v	f69v.2	33	A3:G073	C5	dal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
329	f69v	f69v.2	34	A3:G074	C5	ody	O+DY	DY	LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	Arbeitsgang abschließen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
330	f69v	f69v.2	35	A3:G075	C5	airchy	AIR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Lauf + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
331	f69v	f69v.2	36	A3:G076	C5	choky	OK+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	verwende dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
332	f69v	f69v.2	37	A3:G077	C5	ychey	Y+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG	dies + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
333	f69v	f69v.2	38	A3:G078	C5	chey	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
334	f69v	f69v.3	1	A3:G079	C6	doair	D_ADDR+O+AIR	NONE	LOKALE_BEDINGUNGSKARTE	Teiladresse + Arbeitsgang + Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
335	f69v	f69v.3	2	A3:G080	C6	otaldal	OT+AL+AL	OT+AL+AL	FOLGEND · AN · AN	danach + Stelle + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
336	f69v	f69v.3	3	A3:G081	C6	dair	D_ADDR+AIR	NONE	LOKALE_BEDINGUNGSKARTE	Teiladresse + Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
337	f69v	f69v.3	4	A3:G082	C6	chdy	CHD+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies umsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
338	f69v	f69v.3	5	A3:G083	C6	otoar	OT+O+AR	OT+AR	FOLGEND · VON · LOKALER_BEDINGUNGSKERN	danach + Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
339	f69v	f69v.3	6	A3:G084	C6	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
340	f69v	f69v.3	7	A3:G085	C6	chy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
341	f69v	f69v.3	8	A3:G086	C6	qoteor	OT+E+OR	OT+E	FOLGEND · KURZ · LOKALER_BEDINGUNGSKERN	danach + kurz + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
342	f69v	f69v.3	9	A3:G087	C6	cho	HO	NONE	LOKALE_BEDINGUNGSKARTE	Gabe	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
343	f69v	f69v.3	10	A3:G088	C6	qotair	OT+AIR	OT	FOLGEND · LOKALER_BEDINGUNGSKERN	danach + Lauf	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
344	f69v	f69v.3	11	A3:G089	C6	chda	CHD+A_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	umsetzen + Nebenadresse	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
345	f69v	f69v.3	12	A3:G090	C6	oteeal	OT+EE+AL	OT+EE+AL	FOLGEND · LAENGER · AN	danach + laenger + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
346	f69v	f69v.3	13	A3:G091	C6	cheor	CHEO+R	NONE	LOKALE_BEDINGUNGSKARTE	Auszug + abkuehlen	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
347	f69v	f69v.3	14	A3:G092	C6	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
348	f69v	f69v.3	15	A3:G093	C6	air	AIR	NONE	LOKALE_BEDINGUNGSKARTE	Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
349	f69v	f69v.3	16	A3:G094	C6	oteody	OT+E+O+Y	OT+E+Y	FOLGEND · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + kurz + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
350	f69v	f69v.3	17	A3:G095	C6	ytyd	Y+T+Y+D_LABEL	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + dies + Platzetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
351	f69v	f69v.3	18	A3:G096	C6	a	A_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Nebenadresse	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
352	f69v	f69v.3	19	A3:G097	C6	dchy	D_ADDR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Teiladresse + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
353	f69v	f69v.3	20	A3:G098	C6	otoly	OT+OL+Y	OT+OL+Y	FOLGEND · WEITER · DIESER_EINTRAG	danach + fortsetzen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
354	f69v	f69v.3	21	A3:G099	C6	okeodal	OK+E+O+AL	E+AL	KURZ · AN · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
355	f69v	f69v.3	22	A3:G100	C6	oteoarar	OT+E+O+AR+AR	OT+E+AR+AR	FOLGEND · KURZ · VON · VON · LOKALER_BEDINGUNGSKERN	danach + kurz + Arbeitsgang + von dort + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
356	f69v	f69v.3	23	A3:G101	C6	cheteeser	CH+E+T+EE+S_ADDR+E+R	E+EE+E	KURZ · LAENGER · KURZ · LOKALER_BEDINGUNGSKERN	abziehen + kurz + eintragen + laenger + Sternbezug + kurz + abkuehlen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
357	f69v	f69v.3	24	A3:G102	C6	dair	D_ADDR+AIR	NONE	LOKALE_BEDINGUNGSKARTE	Teiladresse + Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
358	f69v	f69v.3	25	A3:G103	C6	chey	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
