transition_serial	statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	entry_boundary_class	exit_boundary_class	pre_state	selected_mnemonic_triggers	observed_triggers	inferred_missing_slots	silent_register_demand	owner_operation	active_item_preparation_operation	target_station_operation	previous_item_operation	operation_trace	post_state	backward_reconstructable_from_post_state_only	backward_reconstructability	irreducible_ambiguity_codes	complete_creative_reading	strongest_source_alternative	source_boundary_triggers	anonymous_id_contract	card_binding_contract	source_lineage
37	B1-S018	B1	f81v	18	F040|F041	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T015;PREVIOUS_ITEM=B1:I004	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F040:OPEN > F041:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B1-LB06:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB06:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB06:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T015) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T016;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	fülle danach das Gefäß || wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt	SEGMENTATION=NEXT_PARALLEL_CELL: F041 kann eine neue Zielzelle nach dem Füllen sein.; NONMEDICAL=weitergeben [Ganzfeldexemplar B1, Feld 20/24] || weitergeben [Ganzfeldexemplar B1, Feld 21/24]	FROM:B1-LB06:CONTINUE_SAME_CLAUSE | TO:B1-LB06:CONTINUE_SAME_CLAUSE | INTERNAL:B1-LB06:CONTINUE_SAME_CLAUSE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
38	B1-S019	B1	f81v	19	F042	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F042:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T016) -> PREVIOUS_ITEM:CARRY(B1:I004)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	lasse es bis zur Bereitschaft stehen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=weitergeben [Ganzfeldexemplar B1, Feld 22/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
39	B1-S020	B1	f81v	20	F043	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F043:TERMINAL | LOCAL_TARGET_FILLER:CLOTH	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T016) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T017;LOCAL_CLOTH)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T017;PREVIOUS_ITEM=B1:I004	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=weitergeben [Ganzfeldexemplar B1, Feld 23/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
40	B1-S021	B1	f81v	21	F044	WITHIN_LOCUS_FIELD_BOUNDARY	RECORD_END	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T017;PREVIOUS_ITEM=B1:I004	ZIEL?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F044:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T017) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T018;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T018;PREVIOUS_ITEM=B1:I004	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET | OPEN_RECORD_END	An die bezeichnete Zielstelle führen	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=weitergeben [Ganzfeldexemplar B1, Feld 24/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
41	B2-S001	B2	f82r	1	F045	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:RECORD_START | CLOSURE:F045:TERMINAL | LOCAL_TARGET_FILLER:VESSEL_OR_RUN	ACTIVE_ITEM/PREPARATION	NONE	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(B2:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B2:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(B2:T001;LOCAL_VESSEL_OR_RUN)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T001;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Einzelbecken füllen [Ganzfeldexemplar B2, Feld 1/26]	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
42	B2-S002	B2	f82r	2	F046	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T001;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F046:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(B2:T002;LOCAL_COVERED_CATCH_VESSEL)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Einzelbecken füllen [Ganzfeldexemplar B2, Feld 2/26]	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
43	B2-S003	B2	f82r	3	F047	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F047:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T002) -> PREVIOUS_ITEM:CARRY(UNSET)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Einzelbecken füllen [Ganzfeldexemplar B2, Feld 3/26]	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
44	B2-S004	B2	f82r	4	F048|F049	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	TEMPERIEREN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F048:OPEN > F049:TERMINAL | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:TWO_SHARES | SOURCE_FROM:B2-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB01:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	INTRODUCE	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T002) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_DERIVED(B2:I002;LOCAL_TWO_SHARES) -> TARGET/STATION:INTRODUCE(B2:T003;LOCAL_SECOND_OPENING)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T003;PREVIOUS_ITEM=B2:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|TWO_INPUTS_ORDER_AMBIGUOUS	TWO_INPUTS_ORDER_AMBIGUOUS | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	mische beide Anteile zusammen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter || temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; seihe es klar und beende den Schritt	SEGMENTATION=RESUME_ACTIVE_ITEM: F049 kann eine neue Klausel am zweiten Becken sein.; NONMEDICAL=Einzelbecken füllen [Ganzfeldexemplar B2, Feld 4/26] || Einzelbecken füllen [Ganzfeldexemplar B2, Feld 5/26]	FROM:B2-LB01:CONTINUE_SAME_CLAUSE | TO:B2-LB01:CONTINUE_SAME_CLAUSE | INTERNAL:B2-LB01:CONTINUE_SAME_CLAUSE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
45	B2-S005	B2	f82r	5	F050|F051	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T003;PREVIOUS_ITEM=B2:I002	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F050:OPEN > F051:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:SAME_SETTING | SOURCE_FROM:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B2-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B2-LB02:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	INTRODUCE	RESUME	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T003) -> PREVIOUS_ITEM:CARRY(B2:I002) -> PREVIOUS_ITEM:RESUME(B2:I002;LOCAL_FILLER) -> TARGET/STATION:INTRODUCE(B2:T004;LOCAL_CLOTH) -> TARGET/STATION:INTRODUCE(B2:T005;LOCAL_CONNECTED_RUNS) -> TARGET/STATION:INTRODUCE(B2:T006;LOCAL_BROAD_VESSEL)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T006;PREVIOUS_ITEM=B2:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|PREVIOUS_REFERENT_CLASS_AMBIGUOUS|MULTIPLE_TARGETS_ONE_SLOT	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; beginne den nächsten abgemessenen Posten || beginne den nächsten abgemessenen Posten ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt	SEGMENTATION=RESUME_ACTIVE_ITEM: der doppelte Postenbeginn kann absichtliche Wiederaufnahme statt echter Satzfortsetzung sein.; NONMEDICAL=Einzelbecken füllen [Ganzfeldexemplar B2, Feld 6/26] || Einzelbecken füllen [Ganzfeldexemplar B2, Feld 7/26]	FROM:B2-LB02:CONTINUE_SAME_CLAUSE | TO:B2-LB02:CONTINUE_SAME_CLAUSE | INTERNAL:B2-LB02:CONTINUE_SAME_CLAUSE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
46	B2-S006	B2	f82r	6	F052	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T006;PREVIOUS_ITEM=B2:I002	ANWENDEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F052:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:TWO_SHARES | SOURCE_FROM:B2-LB03:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T006) -> PREVIOUS_ITEM:CARRY(B2:I002) -> TARGET/STATION:INTRODUCE(B2:T007;LOCAL_MARKED_TARGET)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T007;PREVIOUS_ITEM=B2:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|TWO_INPUTS_ORDER_AMBIGUOUS	TWO_INPUTS_ORDER_AMBIGUOUS | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	das bereitete Öl ; mische beide Anteile zusammen ; über der örtlich bezeichneten Stelle ; Die aktive Portion verwenden	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Fluss bewegen [Ganzfeldexemplar B2, Feld 8/26]	FROM:B2-LB03:START_NEW_CLAUSE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
47	B2-S007	B2	f82r	7	F053	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T007;PREVIOUS_ITEM=B2:I002	NONE	BOUNDARY:START_NEW_CLAUSE | CLOSURE:F053:TERMINAL | SOURCE_TO:B2-LB03:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B2:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B2:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B2:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B2:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|TARGET_RESET_DISCARDS_PRIOR_TARGET	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	gib sauberes Wasser hinzu und beende den Schritt	SEGMENTATION=NEXT_PARALLEL_CELL: Anwendung und Nachfüllen können benachbarte eigenständige Workcells sein.; NONMEDICAL=Fluss bewegen [Ganzfeldexemplar B2, Feld 9/26]	TO:B2-LB03:START_NEW_CLAUSE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
48	B2-S008	B2	f82r	8	F054	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B2:I001	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F054:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:SAME_DURATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	INTRODUCE	RESUME	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I003) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B2:I001) -> PREVIOUS_ITEM:RESUME(B2:I001;LOCAL_FILLER) -> TARGET/STATION:INTRODUCE(B2:T008;LOCAL_MARKED_TARGET)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I003;TARGET/STATION=B2:T008;PREVIOUS_ITEM=B2:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_REFERENT_CLASS_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	für dieselbe Dauer wie zuvor ; über der örtlich bezeichneten Stelle ; lasse es bis zur Bereitschaft stehen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Fluss bewegen [Ganzfeldexemplar B2, Feld 10/26]	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
49	B2-S009	B2	f82r	9	F055	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I003;TARGET/STATION=B2:T008;PREVIOUS_ITEM=B2:I001	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F055:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I003) -> TARGET/STATION:CARRY(B2:T008) -> PREVIOUS_ITEM:CARRY(B2:I001)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I003;TARGET/STATION=B2:T008;PREVIOUS_ITEM=B2:I001	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	halte es warm und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Fluss bewegen [Ganzfeldexemplar B2, Feld 11/26]	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
