error_serial	error_id	statement_id	record_unit_id	severity	error_code	evidence	four_register_resolution	strongest_alternative	irreducible_with_four_registers	impacts_post_state_backward_reconstruction	source_lineage
94	ERR094	B4-S003	B4	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANTEIL? | EXACT_SELECTED:TEMPERIEREN? | EXACT_SELECTED:ANWENDEN? | CLOSURE:F111:OPEN > F112:TERMINAL | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B4-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB01:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
95	ERR095	B4-S003	B4	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANTEIL? | EXACT_SELECTED:TEMPERIEREN? | EXACT_SELECTED:ANWENDEN? | CLOSURE:F111:OPEN > F112:TERMINAL | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B4-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB01:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
96	ERR096	B4-S005	B4	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F114:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | SOURCE_TO:B4-LB02:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
97	ERR097	B4-S005	B4	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F114:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | SOURCE_TO:B4-LB02:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
98	ERR098	B4-S006	B4	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F115:TERMINAL | LOCAL_TARGET_FILLER:CLOTH	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
99	ERR099	B4-S007	B4	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F116:TERMINAL | LOCAL_TARGET_FILLER:CLOTH | SOURCE_FROM:B4-LB03:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
100	ERR100	B4-S008	B4	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:MASS? | EXACT_SELECTED:SPÜLEN? | CLOSURE:F117:TERMINAL | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:B4-LB03:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
101	ERR101	B4-S008	B4	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:MASS? | EXACT_SELECTED:SPÜLEN? | CLOSURE:F117:TERMINAL | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:B4-LB03:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
102	ERR102	B4-S008	B4	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:MASS? | EXACT_SELECTED:SPÜLEN? | CLOSURE:F117:TERMINAL | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:B4-LB03:NEXT_PARALLEL_CELL	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
103	ERR103	B4-S008	B4	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:MASS? | EXACT_SELECTED:SPÜLEN? | CLOSURE:F117:TERMINAL | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:B4-LB03:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
104	ERR104	B4-S011	B4	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:MASS? | CLOSURE:F120:OPEN > F121:TERMINAL | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:B4-LB04:START_NEW_CLAUSE | SOURCE_FROM:B4-LB05:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB05:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB05:CONTINUE_SAME_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
105	ERR105	B4-S011	B4	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:MASS? | CLOSURE:F120:OPEN > F121:TERMINAL | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:B4-LB04:START_NEW_CLAUSE | SOURCE_FROM:B4-LB05:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB05:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB05:CONTINUE_SAME_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
106	ERR106	B4-S011	B4	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:MASS? | CLOSURE:F120:OPEN > F121:TERMINAL | LOCAL_TARGET_FILLER:BROAD_VESSEL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:B4-LB04:START_NEW_CLAUSE | SOURCE_FROM:B4-LB05:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB05:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB05:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
107	ERR107	B4-S014	B4	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:ANSATZ? | CLOSURE:F124:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:B4-LB06:START_NEW_CLAUSE | SOURCE_FROM:B4-LB07:START_NEW_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
108	ERR108	B4-S014	B4	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:ANSATZ? | CLOSURE:F124:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:B4-LB06:START_NEW_CLAUSE | SOURCE_FROM:B4-LB07:START_NEW_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
109	ERR109	B4-S015	B4	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:KLAR? | EXACT_SELECTED:ABLASSEN? | CLOSURE:F125:OPEN > F126:TERMINAL | LOCAL_TARGET_FILLER:UPPER_RUN | SOURCE_TO:B4-LB07:START_NEW_CLAUSE | SOURCE_FROM:B4-LB08:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB08:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB08:CONTINUE_SAME_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
110	ERR110	B4-S015	B4	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | EXACT_SELECTED:KLAR? | EXACT_SELECTED:ABLASSEN? | CLOSURE:F125:OPEN > F126:TERMINAL | LOCAL_TARGET_FILLER:UPPER_RUN | SOURCE_TO:B4-LB07:START_NEW_CLAUSE | SOURCE_FROM:B4-LB08:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB08:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB08:CONTINUE_SAME_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
111	ERR111	B4-S016	B4	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F127:OPEN > F128:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B4-LB09:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB09:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB09:CONTINUE_SAME_CLAUSE	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
112	ERR112	B4-S016	B4	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F127:OPEN > F128:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B4-LB09:CONTINUE_SAME_CLAUSE | SOURCE_TO:B4-LB09:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B4-LB09:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
113	ERR113	B5-S003	B5	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:MASS? | CLOSURE:F131:OPEN > F132:OPEN > F133:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_MIXTURE | SOURCE_FROM:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB02:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
114	ERR114	B5-S003	B5	HIGH	INFERRED_PREVIOUS_IDENTITY	A previous-item cue occurs before a uniquely stored previous item is available. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:MASS? | CLOSURE:F131:OPEN > F132:OPEN > F133:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_MIXTURE | SOURCE_FROM:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB02:CONTINUE_SAME_CLAUSE	Introduce one anonymous record-local previous item.	Leave the reading unresolved or import a deeper history.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
115	ERR115	B5-S003	B5	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:MASS? | CLOSURE:F131:OPEN > F132:OPEN > F133:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_MIXTURE | SOURCE_FROM:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB02:CONTINUE_SAME_CLAUSE	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
116	ERR116	B5-S003	B5	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:MASS? | CLOSURE:F131:OPEN > F132:OPEN > F133:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_MIXTURE | SOURCE_FROM:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB02:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
117	ERR117	B5-S003	B5	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:MASS? | CLOSURE:F131:OPEN > F132:OPEN > F133:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:SECOND_OPENING | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_MIXTURE | SOURCE_FROM:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B5-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B5-LB02:CONTINUE_SAME_CLAUSE	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
118	ERR118	B6-S001	B6	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F134:OPEN > F135:OPEN | LOCAL_TARGET_FILLER:PERSON_AT_BASIN | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B6-LB01:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
119	ERR119	B6-S001	B6	HIGH	INFERRED_PREVIOUS_IDENTITY	A previous-item cue occurs before a uniquely stored previous item is available. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F134:OPEN > F135:OPEN | LOCAL_TARGET_FILLER:PERSON_AT_BASIN | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B6-LB01:CONTINUE_SAME_CLAUSE	Introduce one anonymous record-local previous item.	Leave the reading unresolved or import a deeper history.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
120	ERR120	B6-S001	B6	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F134:OPEN > F135:OPEN | LOCAL_TARGET_FILLER:PERSON_AT_BASIN | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B6-LB01:CONTINUE_SAME_CLAUSE	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
121	ERR121	B6-S001	B6	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F134:OPEN > F135:OPEN | LOCAL_TARGET_FILLER:PERSON_AT_BASIN | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B6-LB01:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
122	ERR122	B6-S001	B6	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F134:OPEN > F135:OPEN | LOCAL_TARGET_FILLER:PERSON_AT_BASIN | LOCAL_TARGET_FILLER:FIRST_OPENING | LOCAL_TARGET_FILLER:CLOTH | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B6-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B6-LB01:CONTINUE_SAME_CLAUSE	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
