context_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	owner_de	locus	surface	content_role	gdt516_context_recipe	final_context_recipe	recipe_source	recipe_changed_after_gdt516	controlled_order_reading_de	gdt538_neutral_phrase_de	explicit_action_roots	inherited_action_root	inherited_action_source_event_id	explicit_argument_roots	inherited_argument_root	inherited_argument_source_event_id	ellipsis_status	contextual_clause_de	exact_recipe_roundtrip	same_statement_inheritance_only	cross_statement_inheritance	guard
277	G515-E0323	G515-S036	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.52	okcho	ORDERED_INSTRUCTION_CARD	OK+CH+O	OK+CH+O	GDT516_CONTEXT_REPLAY	NO	setzen → nehmen → [Ausführung].	NOT_IN_GDT538_159	OK|CH	NONE	NONE	NONE	Y	G515-E0320	INHERITED_ARGUMENT_ONLY	Trage den laufenden Eintrag [wie zuvor] ein und entnimm den laufenden Eintrag [wie zuvor]; zur Ausführung.	OK+CH+O	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
278	G515-E0324	G515-S036	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.52	dy	COORDINATE_OR_CATALOGUE_CARD	Y	Y	GDT516_CONTEXT_REPLAY	NO	Posten.	NOT_IN_GDT538_159	NONE	CH	G515-E0323	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz entnimm den laufenden Eintrag.	Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
279	G515-E0325	G515-S036	6	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.52	chekeey	ORDERED_INSTRUCTION_CARD	CH+K+EE+Y	CH+K+EE+Y	GDT538_FINAL_SURFACE	NO	nehmen → geben → [Grad II] → Posten.	Den Posten nehmen und geben; auf Grad II.	CH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	CH+K+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
280	G515-E0326	G515-S036	7	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.52	chedy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den laufenden Eintrag.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
281	G515-E0327	G515-S036	8	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.52	chckhy	ORDERED_INSTRUCTION_CARD	CH+K+Y	CH+K+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → geben → Posten.	NOT_IN_GDT538_159	CH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	CH+K+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
282	G515-E0328	G515-S036	9	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	shdy	ORDERED_INSTRUCTION_CARD	SH+D_ADDR+Y	SH+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	halten → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den laufenden Eintrag fest; an der bezeichneten Stelle.	SH+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
283	G515-E0329	G515-S036	10	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	qotedy	ITINERARY_OR_ADDRESS_CARD	OT+E+DY	OT+E+DY	GDT516_CONTEXT_REPLAY	NO	danach → [Grad I] → [Schluss].	NOT_IN_GDT538_159	NONE	SH	G515-E0328	NONE	Y	G515-E0328	INHERITED_ACTION_AND_ARGUMENT	Danach: im laufenden Satz halte den laufenden Eintrag [wie zuvor] fest; auf Grad I; schließe den Schritt.	OT+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
284	G515-E0330	G515-S037	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	chdy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den laufenden Eintrag.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
285	G515-E0331	G515-S037	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	chedy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den laufenden Eintrag.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
286	G515-E0332	G515-S037	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	qotedal	ITINERARY_OR_ADDRESS_CARD	OT+E+AL	OT+E+AL	GDT538_FINAL_SURFACE	NO	danach → [Grad I] → Zielort.	Danach; auf Grad I; am Zielort.	NONE	CHD	G515-E0331	NONE	Y	G515-E0331	INHERITED_ACTION_AND_ARGUMENT	Danach: im laufenden Satz bearbeite den laufenden Eintrag [wie zuvor]; zur Zielspalte; auf Grad I.	OT+E+AL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
287	G515-E0333	G515-S037	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	chcpheor	ORDERED_INSTRUCTION_CARD	CH+CH+P+E+OR	CH+CH+P+E+OR	GDT538_FINAL_SURFACE	NO	nehmen → nehmen → einsetzen → [Grad I] → Einheit.	Die Einheit nehmen, erneut nehmen und einsetzen; auf Grad I.	CH|CH|P	NONE	NONE	OR	NONE	NONE	NO_INHERITANCE	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	CH+CH+P+E+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
288	G515-E0334	G515-S037	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	ykady	ORDERED_INSTRUCTION_CARD	Y+K+A_ADDR+DY	Y+K+A_ADDR+DY	GDT516_CONTEXT_REPLAY	NO	Posten → geben → [hier: A-Adresse] → [Schluss].	NOT_IN_GDT538_159	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu; an der bezeichneten Stelle; schließe den Schritt.	Y+K+A_ADDR+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
289	G515-E0335	G515-S038	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	dar	COORDINATE_OR_CATALOGUE_CARD	D_ADDR+AR	D_ADDR+AR	GDT516_CONTEXT_REPLAY	NO	[hier: D-Adresse] → Ausgang.	NOT_IN_GDT538_159	NONE	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Von der Ausgangszeile; an der bezeichneten Stelle.	D_ADDR+AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
290	G515-E0336	G515-S038	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	qotey	ITINERARY_OR_ADDRESS_CARD	OT+E+Y	OT+E+Y	GDT516_CONTEXT_REPLAY	NO	danach → [Grad I] → Posten.	NOT_IN_GDT538_159	NONE	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Danach: Bezug: den laufenden Eintrag; auf Grad I.	OT+E+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
291	G515-E0337	G515-S038	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	kol	ORDERED_INSTRUCTION_CARD	K+OL	K+OL	GDT516_CONTEXT_REPLAY	NO	geben → fortsetzen.	NOT_IN_GDT538_159	K	NONE	NONE	NONE	Y	G515-E0336	INHERITED_ARGUMENT_ONLY	Ordne den laufenden Eintrag [wie zuvor] zu; führe fort.	K+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
292	G515-E0338	G515-S038	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.53	ar	COORDINATE_OR_CATALOGUE_CARD	AR	AR	GDT516_CONTEXT_REPLAY	NO	Ausgang.	NOT_IN_GDT538_159	NONE	K	G515-E0337	NONE	Y	G515-E0336	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
293	G515-E0339	G515-S038	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	qokeeody	ORDERED_INSTRUCTION_CARD	OK+EE+O+D_ADDR+Y	OK+EE+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad II] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	OK+EE+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
294	G515-E0340	G515-S038	6	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	qokeody	ORDERED_INSTRUCTION_CARD	OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
295	G515-E0341	G515-S038	7	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	qokeody	ORDERED_INSTRUCTION_CARD	OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
296	G515-E0342	G515-S038	8	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	qokar	ORDERED_INSTRUCTION_CARD	OK+AR	OK+AR	GDT516_CONTEXT_REPLAY	NO	setzen → Ausgang.	NOT_IN_GDT538_159	OK	NONE	NONE	NONE	Y	G515-E0341	INHERITED_ARGUMENT_ONLY	Trage den laufenden Eintrag [wie zuvor] ein; von der Ausgangszeile.	OK+AR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
297	G515-E0343	G515-S038	9	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	sheky	ORDERED_INSTRUCTION_CARD	SH+E+K+Y	SH+E+K+Y	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → geben → Posten.	NOT_IN_GDT538_159	SH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	SH+E+K+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
298	G515-E0344	G515-S038	10	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	qokeeody	ORDERED_INSTRUCTION_CARD	OK+EE+O+D_ADDR+Y	OK+EE+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad II] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	OK+EE+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
299	G515-E0345	G515-S038	11	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	okedy	ORDERED_INSTRUCTION_CARD	OK+E+DY	OK+E+DY	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Schluss].	NOT_IN_GDT538_159	OK	NONE	NONE	NONE	Y	G515-E0344	INHERITED_ARGUMENT_ONLY	Trage den laufenden Eintrag [wie zuvor] ein; auf Grad I; schließe den Schritt.	OK+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
300	G515-E0346	G515-S039	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.54	kodary	ORDERED_INSTRUCTION_CARD	K+O+D_ADDR+AR+Y	K+O+D_ADDR+AR+Y	GDT538_FINAL_SURFACE	NO	geben → [Ausführung] → [hier: D-Adresse] → Ausgang → Posten.	Den Posten geben; zur Ausführung; hier; vom Ausgang.	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle.	K+O+D_ADDR+AR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
301	G515-E0347	G515-S039	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	ykeeody	ORDERED_INSTRUCTION_CARD	Y+K+EE+O+DY	Y+K+EE+O+DY	GDT516_CONTEXT_REPLAY	NO	Posten → geben → [Grad II] → [Ausführung] → [Schluss].	NOT_IN_GDT538_159	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu; auf Grad II und zur Ausführung; schließe den Schritt.	Y+K+EE+O+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
302	G515-E0348	G515-S040	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	choekeey	ORDERED_INSTRUCTION_CARD	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y	GDT538_FINAL_SURFACE	NO	nehmen → [Ausführung] → [Grad I] → geben → [Grad II] → Posten.	Den Posten nehmen und geben; zur Ausführung; auf Grad I; auf Grad II.	CH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Ausführung, auf Grad I und auf Grad II.	CH+O+E+K+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
303	G515-E0349	G515-S040	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	okeody	ORDERED_INSTRUCTION_CARD	OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
304	G515-E0350	G515-S040	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	chekeody	ORDERED_INSTRUCTION_CARD	CH+K+E+O+DY	CH+K+E+O+DY	GDT538_FINAL_SURFACE	NO	nehmen → geben → [Grad I] → [Ausführung] → [Schluss].	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	CH|K	NONE	NONE	NONE	Y	G515-E0349	INHERITED_ARGUMENT_ONLY	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und zur Ausführung; schließe den Schritt.	CH+K+E+O+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
305	G515-E0351	G515-S041	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	qokeey	ORDERED_INSTRUCTION_CARD	OK+EE+Y	OK+EE+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad II] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad II.	OK+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
306	G515-E0352	G515-S041	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	dyky	ORDERED_INSTRUCTION_CARD	D_ADDR+Y+K+Y	D_ADDR+Y+K+Y	GDT538_FINAL_SURFACE	NO	[hier: D-Adresse] → Posten → geben → Posten.	Hier; beide Posten geben.	K	NONE	NONE	Y|Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag [außen] und den laufenden Eintrag [innen] zu; an der bezeichneten Stelle.	D_ADDR+Y+K+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
307	G515-E0353	G515-S041	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	chctho	ORDERED_INSTRUCTION_CARD	CH+CH+T+O	CH+CH+T+O	GDT538_FINAL_SURFACE	NO	nehmen → nehmen → einstellen → [Ausführung].	Nehmen, erneut nehmen und einstellen; zur Ausführung.	CH|CH|T	NONE	NONE	NONE	Y	G515-E0352	INHERITED_ARGUMENT_ONLY	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	CH+CH+T+O	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
308	G515-E0354	G515-S041	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.55	rotaiin	ORDERED_INSTRUCTION_CARD	R+OT+AIIN	R+OT+AIIN	GDT538_FINAL_SURFACE	NO	markieren → danach → Wert.	Den Wert markieren; danach.	R	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Danach: kennzeichne den Kennwert.	R+OT+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
309	G515-E0355	G515-S041	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.56	dsheol	ORDERED_INSTRUCTION_CARD	SH+E+OL	SH+E+OL	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	AIIN	G515-E0354	INHERITED_ARGUMENT_ONLY	Halte den Kennwert [wie zuvor] fest; auf Grad I; führe fort.	SH+E+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
310	G515-E0356	G515-S041	6	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.56	okaiin	ORDERED_INSTRUCTION_CARD	OK+AIIN	OK+AIIN	GDT516_CONTEXT_REPLAY	NO	setzen → Wert.	NOT_IN_GDT538_159	OK	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Trage den Kennwert ein.	OK+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
311	G515-E0357	G515-S041	7	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_01	sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer	f66r.56	sheodaiin	ORDERED_INSTRUCTION_CARD	SH+E+O+D_ADDR+AIIN	SH+E+O+D_ADDR+AIIN	GDT538_FINAL_SURFACE	NO	halten → [Grad I] → [Ausführung] → [hier: D-Adresse] → Wert.	Den Wert halten; auf Grad I; zur Ausführung; hier.	SH	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Halte den Kennwert fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	SH+E+O+D_ADDR+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
312	G515-E0358	G515-S042	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer	f66r.57	tocpheey	ORDERED_INSTRUCTION_CARD	T+O+CH+P+EE+Y	T+O+CH+P+EE+Y	GDT538_FINAL_SURFACE	NO	einstellen → [Ausführung] → nehmen → einsetzen → [Grad II] → Posten.	Den Posten einstellen, nehmen und einsetzen; zur Ausführung; auf Grad II.	T|CH|P	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Lege den laufenden Eintrag fest, entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Ausführung und auf Grad II.	T+O+CH+P+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
313	G515-E0359	G515-S042	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer	f66r.57	dol	ITINERARY_OR_ADDRESS_CARD	D_ADDR+OL	D_ADDR+OL	GDT516_CONTEXT_REPLAY	NO	[hier: D-Adresse] → fortsetzen.	NOT_IN_GDT538_159	NONE	P	G515-E0358	NONE	Y	G515-E0358	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz setze den laufenden Eintrag [wie zuvor] ein; an der bezeichneten Stelle; führe fort.	D_ADDR+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
314	G515-E0360	G515-S042	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer	f66r.57	kchody	ORDERED_INSTRUCTION_CARD	K+CH+O+D_ADDR+Y	K+CH+O+D_ADDR+Y	GDT538_FINAL_SURFACE	NO	geben → nehmen → [Ausführung] → [hier: D-Adresse] → Posten.	Den Posten geben und nehmen; zur Ausführung; hier.	K|CH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; zur Ausführung; an der bezeichneten Stelle.	K+CH+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
315	G515-E0361	G515-S042	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer	f66r.57	qokeody	ORDERED_INSTRUCTION_CARD	OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
316	G515-E0362	G515-S042	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer	f66r.57	qokshy	ORDERED_INSTRUCTION_CARD	OK+SH+Y	OK+SH+Y	GDT516_CONTEXT_REPLAY	NO	setzen → halten → Posten.	NOT_IN_GDT538_159	OK|SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein und halte den laufenden Eintrag fest.	OK+SH+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
