surface	events	running_events	pages	transfer_class	source_surface	edit_distance	component_recipe	portable_default_de	confidence
opcheol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	opcheeol	1	O+P+CH+EE+OL	AUSFÜHREN · EINSETZEN · NEHMEN · LÄNGER · FORTSETZEN	MEDIUM_HIGH
opcheor	2	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	opchor	1	O+P+CH+OR	AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ	MEDIUM_HIGH
opchey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	pchey	1	P+Y	EINSETZEN · POSTEN	MEDIUM_HIGH
opcholalaiin	1	1	f72r	VISIBLE_NEW_COMPOSITION	chldaiin	5	O+P+CH+OL+AL+AIIN	AUSFÜHREN · EINSETZEN · NEHMEN · FORTSETZEN · ZIEL · MASS	WORKING_COMPOSITION
opchoroiin	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
opchosam	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
opoeey	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
opoiiinoin	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oporain	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
opshdy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qopshdy	1	CARRIER_Q+O+P+SH+D_ADDR+Y	BEGINN · AUSFÜHREN · EINSETZEN · HALTEN · TEIL · POSTEN	MEDIUM_HIGH
opshey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	opshedy	1	O+P+SHED+Y	AUSFÜHREN · EINSETZEN · ABSETZEN · POSTEN	MEDIUM_HIGH
or	11	11	f18r|f76r|f89r	EXACT_REGISTERED_SURFACE	or	0	OR	ANSATZ	HIGH
oraiin	1	1	f72r	EXACT_REGISTERED_SURFACE	oraiin	0	OR+AIIN	ANSATZ · MASS	HIGH
oraiinam	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oraiiral	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oral	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oraly	1	OR+AL+Y	ANSATZ · ZIEL · POSTEN	MEDIUM_HIGH
oralkam	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
orara	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
orary	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ory	1	0	f72r	LOCAL_OWNER_ADDRESS	ory	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
os	1	1	f72r	EXACT_REGISTERED_SURFACE	os	0	OS	DAZU	HIGH
osarsheeeo	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oshodady	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oshor	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	shor	1	SH+OR	HALTEN · ANSATZ	MEDIUM_HIGH
ot	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	oty	1	OT+Y	DANACH · POSTEN	MEDIUM_HIGH
otaiin	7	6	f72r	EXACT_REGISTERED_SURFACE	otaiin	0	OT+AIIN	DANACH · MASS	HIGH
otain	3	2	f72r|f76r	EXACT_REGISTERED_SURFACE	otain	0	OT+AIN	DANACH · PORTION	HIGH
otainy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otair	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otal	2	1	f72r|f76r	EXACT_REGISTERED_SURFACE	otal	0	OT+AL	DANACH · ZIEL	HIGH
otalam	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	talam	1	T+AL+AM_ADDR	STELLEN · ZIEL · INNEN	MEDIUM_HIGH
otalef	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otalshy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otalsy	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otaly	1	1	f72r	EXACT_REGISTERED_SURFACE	otaly	0	OT+AL+Y	DANACH · ZIEL · POSTEN	HIGH
otam	3	2	f72r	EXACT_REGISTERED_SURFACE	otam	0	OT+AM_ADDR	DANACH · INNEN	HIGH
otar	5	4	f72r|f76r	EXACT_REGISTERED_SURFACE	otar	0	OT+AR	DANACH · QUELLE	HIGH
otarain	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	otain	2	OT+AIN	DANACH · PORTION	WORKING
otaraldy	2	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otcham	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	otam	2	OT+AM_ADDR	DANACH · INNEN	WORKING
otchdal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otchey	2	2	f72r	EXACT_REGISTERED_SURFACE	otchey	0	OT+Y	DANACH · POSTEN	HIGH
otchol	1	1	f89r	EXACT_REGISTERED_SURFACE	otchol	0	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	HIGH
otchoshy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otchy	1	1	f76r	EXACT_REGISTERED_SURFACE	otchy	0	OT+CH+Y	DANACH · NEHMEN · POSTEN	HIGH
otear	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	otar	1	OT+AR	DANACH · QUELLE	MEDIUM_HIGH
otedar	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteodar	1	OT+E+O+D_ADDR+AR	DANACH · KURZ · AUSFÜHREN · TEIL · QUELLE	MEDIUM_HIGH
otedy	4	4	f76r	EXACT_REGISTERED_SURFACE	otedy	0	OT+E+DY	DANACH · KURZ · SCHLUSS	HIGH
otedyl	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	otedy	1	OT+E+DY	DANACH · KURZ · SCHLUSS	MEDIUM_HIGH
oteeary	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oteedy	5	5	f72r|f76r	EXACT_REGISTERED_SURFACE	oteedy	0	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	HIGH
oteees	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteeos	1	OT+EE+O+S_ADDR	DANACH · LÄNGER · AUSFÜHREN · SONDERORT	MEDIUM_HIGH
oteeo	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteey	1	OT+EE+Y	DANACH · LÄNGER · POSTEN	MEDIUM_HIGH
oteeor	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteor	1	OT+E+OR	DANACH · KURZ · ANSATZ	MEDIUM_HIGH
otees	3	3	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteey	1	OT+EE+Y	DANACH · LÄNGER · POSTEN	MEDIUM_HIGH
oteey	7	6	f72r|f76r	EXACT_REGISTERED_SURFACE	oteey	0	OT+EE+Y	DANACH · LÄNGER · POSTEN	HIGH
oteeykeey	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	oteokeey	2	OT+E+O+K+EE+Y	DANACH · KURZ · AUSFÜHREN · GEBEN · LÄNGER · POSTEN	WORKING
oteo	3	3	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oto	1	OT+O	DANACH · AUSFÜHREN	MEDIUM_HIGH
oteodar	2	2	f72r	EXACT_REGISTERED_SURFACE	oteodar	0	OT+E+O+D_ADDR+AR	DANACH · KURZ · AUSFÜHREN · TEIL · QUELLE	HIGH
oteody	2	2	f72r	EXACT_REGISTERED_SURFACE	oteody	0	OT+E+O+Y	DANACH · KURZ · AUSFÜHREN · POSTEN	HIGH
oteol	2	2	f72r	EXACT_REGISTERED_SURFACE	oteol	0	OT+E+OL	DANACH · KURZ · FORTSETZEN	HIGH
oteos	6	6	f72r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteeos	1	OT+EE+O+S_ADDR	DANACH · LÄNGER · AUSFÜHREN · SONDERORT	MEDIUM_HIGH
otey	5	5	f72r|f76r	EXACT_REGISTERED_SURFACE	otey	0	OT+E+Y	DANACH · KURZ · POSTEN	HIGH
oto	1	0	f72r	LOCAL_OWNER_ADDRESS	oto	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otoar	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	otar	1	OT+AR	DANACH · QUELLE	MEDIUM_HIGH
otochedy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	otchedy	1	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	MEDIUM_HIGH
otoees	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	oteey	2	OT+EE+Y	DANACH · LÄNGER · POSTEN	WORKING
otois	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	oto	2	OT+O	DANACH · AUSFÜHREN	WORKING
otol	1	1	f89r	EXACT_REGISTERED_SURFACE	otol	0	OT+OL	DANACH · FORTSETZEN	HIGH
otolam	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otolarol	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otold	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otoldy	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otolpchy	1	1	f89r	VISIBLE_NEW_COMPOSITION	olchy	3	OT+OL+P+CH+Y	DANACH · FORTSETZEN · EINSETZEN · NEHMEN · POSTEN	WORKING_COMPOSITION
otorain	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
otos	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oto	1	OT+O	DANACH · AUSFÜHREN	MEDIUM_HIGH
otshol	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	otchol	1	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	MEDIUM_HIGH
oty	3	3	f76r	EXACT_REGISTERED_SURFACE	oty	0	OT+Y	DANACH · POSTEN	HIGH
pchedy	2	2	f76r	EXACT_REGISTERED_SURFACE	pchedy	0	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLUSS	HIGH
pdrairdy	1	1	f18r	VISIBLE_NEW_COMPOSITION	daiidy	3	P+D_ADDR+R+AIR+DY	EINSETZEN · TEIL · MERKEN · LAUF · SCHLUSS	WORKING_COMPOSITION
polalchdy	1	1	f76r	VISIBLE_NEW_COMPOSITION	dalchdy	3	P+OL+AL+CHD+DY	EINSETZEN · FORTSETZEN · ZIEL · UMSETZEN · SCHLUSS	WORKING_COMPOSITION
poleedaran	1	1	f76r	VISIBLE_NEW_COMPOSITION	poeear	4	P+OL+EE+D_ADDR+AR+AN	EINSETZEN · FORTSETZEN · LÄNGER · TEIL · QUELLE · ZUSATZ	WORKING_COMPOSITION
porachol	1	1	f89r	VISIBLE_NEW_COMPOSITION	ochol	3	P+O+R+A_ADDR+CH+OL	EINSETZEN · AUSFÜHREN · MERKEN · ORT · NEHMEN · FORTSETZEN	WORKING_COMPOSITION
potchokor	1	1	f76r	VISIBLE_NEW_COMPOSITION	chokor	3	P+OT+CH+OK+OR	EINSETZEN · DANACH · NEHMEN · SETZEN · ANSATZ	WORKING_COMPOSITION
pshedy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	shedy	1	SHED+DY	ABSETZEN · SCHLUSS	MEDIUM_HIGH
pshol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	shol	1	SH+OL	HALTEN · FORTSETZEN	MEDIUM_HIGH
q	1	0	f76r	LOCAL_SECTION_MARKER	OWNER_COPY		SECTION_MARKER	ABSCHNITT	OWNER_BOUND
qa	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qo	1	O	AUSFÜHREN	MEDIUM_HIGH
qctheed	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	qcthey	2	CTH+E+Y	BEREIT · KURZ · POSTEN	WORKING
qeaiin	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qoaiin	1	CARRIER_Q+O+AIIN	BEGINN · AUSFÜHREN · MASS	MEDIUM_HIGH
qeeey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qeey	1	CARRIER_Q+EE+Y	BEGINN · LÄNGER · POSTEN	MEDIUM_HIGH
qkol	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
qkor	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qor	1	OR	ANSATZ	MEDIUM_HIGH
qo	6	6	f76r|f89r	EXACT_REGISTERED_SURFACE	qo	0	O	AUSFÜHREN	HIGH
qoaiin	2	2	f76r|f89r	EXACT_REGISTERED_SURFACE	qoaiin	0	CARRIER_Q+O+AIIN	BEGINN · AUSFÜHREN · MASS	HIGH
qoaiis	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qoaiin	1	CARRIER_Q+O+AIIN	BEGINN · AUSFÜHREN · MASS	MEDIUM_HIGH
qoar	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qodar	1	O+D_ADDR+AR	AUSFÜHREN · TEIL · QUELLE	MEDIUM_HIGH
qoay	2	2	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	koay	1	K+O+A_ADDR+Y	GEBEN · AUSFÜHREN · ORT · POSTEN	MEDIUM_HIGH
qocheey	1	1	f89r	EXACT_REGISTERED_SURFACE	qocheey	0	CARRIER_Q+O+CH+EE+Y	BEGINN · AUSFÜHREN · NEHMEN · LÄNGER · POSTEN	HIGH
qochy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qopchy	1	O+P+Y	AUSFÜHREN · EINSETZEN · POSTEN	MEDIUM_HIGH
qockhedy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qockhey	1	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · POSTEN	MEDIUM_HIGH
qockhey	2	2	f76r|f89r	EXACT_REGISTERED_SURFACE	qockhey	0	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · POSTEN	HIGH
qocphey	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	cphey	2	CPH+E+Y	UMLEITEN · KURZ · POSTEN	WORKING
qocthy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qodcthy	1	O+D_ADDR+CTH+Y	AUSFÜHREN · TEIL · BEREIT · POSTEN	MEDIUM_HIGH
qodaiin	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qoaiin	1	CARRIER_Q+O+AIIN	BEGINN · AUSFÜHREN · MASS	MEDIUM_HIGH
qody	1	1	f89r	EXACT_REGISTERED_SURFACE	qody	0	CARRIER_Q+O+DY	BEGINN · AUSFÜHREN · SCHLUSS	HIGH
qoeair	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qofair	1	CARRIER_Q+O+LOCAL_CHAR_F+AIR	BEGINN · AUSFÜHREN · NEBENWEG · LAUF	MEDIUM_HIGH
qoeeeo	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	qoeey	2	O+EE+Y	AUSFÜHREN · LÄNGER · POSTEN	WORKING
qoeey	1	1	f89r	EXACT_REGISTERED_SURFACE	qoeey	0	O+EE+Y	AUSFÜHREN · LÄNGER · POSTEN	HIGH
qofshy	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	qopshdy	2	CARRIER_Q+O+P+SH+D_ADDR+Y	BEGINN · AUSFÜHREN · EINSETZEN · HALTEN · TEIL · POSTEN	WORKING
qokaiin	6	6	f76r	EXACT_REGISTERED_SURFACE	qokaiin	0	OK+AIIN	SETZEN · MASS	HIGH
qokain	4	4	f76r|f89r	EXACT_REGISTERED_SURFACE	qokain	0	OK+AIN	SETZEN · PORTION	HIGH
qokair	1	1	f89r	EXACT_REGISTERED_SURFACE	qokair	0	OK+AIR	SETZEN · LAUF	HIGH
qokal	7	7	f76r|f89r	EXACT_REGISTERED_SURFACE	qokal	0	OK+AL	SETZEN · ZIEL	HIGH
qokalchey	1	1	f76r	VISIBLE_NEW_COMPOSITION	qolchey	2	OK+AL+CH+E+Y	SETZEN · ZIEL · NEHMEN · KURZ · POSTEN	WORKING_COMPOSITION
qokaldy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokaly	1	OK+AL+Y	SETZEN · ZIEL · POSTEN	MEDIUM_HIGH
qokaloro	1	1	f76r	VISIBLE_NEW_COMPOSITION	okalar	3	OK+AL+OR+O	SETZEN · ZIEL · ANSATZ · AUSFÜHREN	WORKING_COMPOSITION
qokar	6	6	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	qokar	0	OK+AR	SETZEN · QUELLE	HIGH
qokas	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokal	1	OK+AL	SETZEN · ZIEL	MEDIUM_HIGH
qokchdy	1	1	f76r	EXACT_REGISTERED_SURFACE	qokchdy	0	OK+CHD+DY	SETZEN · UMSETZEN · SCHLUSS	HIGH
qokchdyl	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokchdy	1	OK+CHD+DY	SETZEN · UMSETZEN · SCHLUSS	MEDIUM_HIGH
qokcheody	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	qokcheor	2	OK+CHEO+R	SETZEN · AUSZUG · MERKEN	WORKING
qokchol	3	3	f18r	EXACT_REGISTERED_SURFACE	qokchol	0	OK+OL	SETZEN · FORTSETZEN	HIGH
qokchor	2	2	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	okchor	1	OK+CH+OR	SETZEN · NEHMEN · ANSATZ	MEDIUM_HIGH
qokchsdy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokchdy	1	OK+CHD+DY	SETZEN · UMSETZEN · SCHLUSS	MEDIUM_HIGH
qokchy	2	2	f18r|f89r	EXACT_REGISTERED_SURFACE	qokchy	0	OK+Y	SETZEN · POSTEN	HIGH
qokechy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokchy	1	OK+Y	SETZEN · POSTEN	MEDIUM_HIGH
qoked	2	2	f76r	EXACT_REGISTERED_SURFACE	qoked	0	OK+E+D_ADDR	SETZEN · KURZ · TEIL	HIGH
qokedar	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokear	1	OK+E+AR	SETZEN · KURZ · QUELLE	MEDIUM_HIGH
qokedy	8	8	f76r|f89r	EXACT_REGISTERED_SURFACE	qokedy	0	OK+E+DY	SETZEN · KURZ · SCHLUSS	HIGH
qokeed	1	1	f76r	EXACT_REGISTERED_SURFACE	qokeed	0	OK+EE+D_ADDR	SETZEN · LÄNGER · TEIL	HIGH
qokeedy	6	6	f76r	EXACT_REGISTERED_SURFACE	qokeedy	0	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	HIGH
qokeeo	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokeey	1	OK+EE+Y	SETZEN · LÄNGER · POSTEN	MEDIUM_HIGH
qokeeol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokeol	1	OK+E+OL	SETZEN · KURZ · FORTSETZEN	MEDIUM_HIGH
qokeey	15	15	f76r|f89r	EXACT_REGISTERED_SURFACE	qokeey	0	OK+EE+Y	SETZEN · LÄNGER · POSTEN	HIGH
qokeeyl	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokeey	1	OK+EE+Y	SETZEN · LÄNGER · POSTEN	MEDIUM_HIGH
qokeodal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokeedal	1	OK+EE+AL	SETZEN · LÄNGER · ZIEL	MEDIUM_HIGH
qokeody	2	2	f89r	EXACT_REGISTERED_SURFACE	qokeody	0	OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN	HIGH
qokeoefy	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	qokeody	2	OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN	WORKING
qokeol	5	5	f89r	EXACT_REGISTERED_SURFACE	qokeol	0	OK+E+OL	SETZEN · KURZ · FORTSETZEN	HIGH
qokeor	2	2	f76r	EXACT_REGISTERED_SURFACE	qokeor	0	OK+E+OR	SETZEN · KURZ · ANSATZ	HIGH
qokey	10	10	f76r|f89r	EXACT_REGISTERED_SURFACE	qokey	0	OK+E+Y	SETZEN · KURZ · POSTEN	HIGH
qokod	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokody	1	OK+O+DY	SETZEN · AUSFÜHREN · SCHLUSS	MEDIUM_HIGH
qokol	2	2	f89r	EXACT_REGISTERED_SURFACE	qokol	0	OK+OL	SETZEN · FORTSETZEN	HIGH
qoky	2	2	f76r	EXACT_REGISTERED_SURFACE	qoky	0	OK+Y	SETZEN · POSTEN	HIGH
qol	5	5	f76r|f89r	EXACT_REGISTERED_SURFACE	qol	0	OL	FORTSETZEN	HIGH
qolaiin	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	olaiin	1	OL+AIIN	FORTSETZEN · MASS	MEDIUM_HIGH
qolain	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokain	1	OK+AIN	SETZEN · PORTION	MEDIUM_HIGH
qolair	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	oldair	2	OL+D_ADDR+AIR	FORTSETZEN · TEIL · LAUF	WORKING
qolal	1	1	f76r	EXACT_REGISTERED_SURFACE	qolal	0	OL+AL	FORTSETZEN · ZIEL	HIGH
qolchedy	2	2	f76r	EXACT_REGISTERED_SURFACE	qolchedy	0	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	HIGH
qolchey	3	3	f76r	EXACT_REGISTERED_SURFACE	qolchey	0	OL+Y	FORTSETZEN · POSTEN	HIGH
qoloin	1	1	f76r	VISIBLE_NEW_COMPOSITION	qoaiin	2	OL+O+IIN	FORTSETZEN · AUSFÜHREN · STUFE	WORKING_COMPOSITION
qolp	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qol	1	OL	FORTSETZEN	MEDIUM_HIGH
qool	1	1	f76r	EXACT_REGISTERED_SURFACE	qool	0	CARRIER_Q+O+OL	BEGINN · AUSFÜHREN · FORTSETZEN	HIGH
qoolkal	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	qolal	2	OL+AL	FORTSETZEN · ZIEL	WORKING
qoor	1	1	f89r	EXACT_REGISTERED_SURFACE	qoor	0	CARRIER_Q+O+OR	BEGINN · AUSFÜHREN · ANSATZ	HIGH
qopchedy	2	2	f76r	EXACT_REGISTERED_SURFACE	qopchedy	0	CARRIER_Q+O+P+CHD+Y	BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN	HIGH
qopchey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qopchy	1	O+P+Y	AUSFÜHREN · EINSETZEN · POSTEN	MEDIUM_HIGH
qopcholy	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	qoctholy	2	CARRIER_Q+O+CTH+OL+Y	BEGINN · AUSFÜHREN · BEREIT · FORTSETZEN · POSTEN	WORKING
qorain	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	orain	1	OR+AIN	ANSATZ · PORTION	MEDIUM_HIGH
qotain	2	2	f76r	EXACT_REGISTERED_SURFACE	qotain	0	OT+AIN	DANACH · PORTION	HIGH
qotal	1	1	f76r	EXACT_REGISTERED_SURFACE	qotal	0	OT+AL	DANACH · ZIEL	HIGH
qotaly	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qotal	1	OT+AL	DANACH · ZIEL	MEDIUM_HIGH
qotddyar	1	1	f76r	VISIBLE_NEW_COMPOSITION	qodar	3	OT+D_ADDR+D_ADDR+Y+AR	DANACH · TEIL · TEIL · POSTEN · QUELLE	WORKING_COMPOSITION
qotedshedy	1	1	f76r	VISIBLE_NEW_COMPOSITION	qoesedy	3	OT+E+D_ADDR+SHED+DY	DANACH · KURZ · TEIL · ABSETZEN · SCHLUSS	WORKING_COMPOSITION
qotedy	1	1	f76r	EXACT_REGISTERED_SURFACE	qotedy	0	OT+E+DY	DANACH · KURZ · SCHLUSS	HIGH
qoteedy	1	1	f76r	EXACT_REGISTERED_SURFACE	qoteedy	0	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	HIGH
qoteeody	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	qoteedy	1	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	MEDIUM_HIGH
qoteol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteol	1	OT+E+OL	DANACH · KURZ · FORTSETZEN	MEDIUM_HIGH
qotes	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qotey	1	OT+E+Y	DANACH · KURZ · POSTEN	MEDIUM_HIGH
qotey	2	2	f76r|f89r	EXACT_REGISTERED_SURFACE	qotey	0	OT+E+Y	DANACH · KURZ · POSTEN	HIGH
qotol	1	1	f89r	EXACT_REGISTERED_SURFACE	qotol	0	OT+OL	DANACH · FORTSETZEN	HIGH
qoty	2	2	f76r	EXACT_REGISTERED_SURFACE	qoty	0	OT+Y	DANACH · POSTEN	HIGH
r	7	6	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	r	0	R	MERKEN	HIGH
raiiin	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	raiin	1	R+AIIN	MERKEN · MASS	MEDIUM_HIGH
raiin	1	1	f76r	EXACT_REGISTERED_SURFACE	raiin	0	R+AIIN	MERKEN · MASS	HIGH
rain	1	1	f76r	EXACT_REGISTERED_SURFACE	rain	0	R+AIN	MERKEN · PORTION	HIGH
