group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display	namespace_id	local_image_owner	local_content_class	bridge_class	matched_component_ids	matched_component_values_de	matched_character_fraction	residual_local_segments	astro_working_reading_de	orientation_rule	crosspage_rule
94	A1	f67r2	f67r2.38	2	A1:G094	octhole	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_38	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen	2/7	octh/e	Sternplatz A1_LEFT_LOCAL_FIELD_38: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest octh/e.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
95	A1	f67r2	f67r2.39	1	A1:G095	sor	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_39	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Ansatz	Bedingungs- oder Tabellensatz	3/3	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_39: Bedingungs- oder Tabellensatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
96	A1	f67r2	f67r2.39	2	A1:G096	chedaiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_39	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B16_TRANSFER|B01_AIIN_VALUE	Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes	8/8	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
97	A1	f67r2	f67r2.39	3	A1:G097	dy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_39	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_39: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
98	A1	f67r2	f67r2.40	1	A1:G098	yteos	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/5	yteos	Sternplatz A1_LEFT_LOCAL_FIELD_40: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest yteos.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
99	A1	f67r2	f67r2.40	2	A1:G099	oiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B04_IIN_STAGE	Grad- oder Bedingungsstufe	3/4	o	Sternplatz A1_LEFT_LOCAL_FIELD_40: Grad- oder Bedingungsstufe; lokaler Namensrest o.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
100	A1	f67r2	f67r2.40	3	A1:G100	og	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/2	og	Sternplatz A1_LEFT_LOCAL_FIELD_40: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest og.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
101	A1	f67r2	f67r2.41	1	A1:G101	ytoeopchey	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_41	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/10	ytoeopchey	Sternplatz A1_LEFT_LOCAL_FIELD_41: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ytoeopchey.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
102	A1	f67r2	f67r2.41	2	A1:G102	chekody	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_41	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/7	chekody	Sternplatz A1_LEFT_LOCAL_FIELD_41: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest chekody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
103	A1	f67r2	f67r2.42	1	A1:G103	sosho	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_42	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/5	sos	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest sos.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
104	A1	f67r2	f67r2.42	2	A1:G104	chos	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_42	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/4	c/s	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
105	A1	f67r2	f67r2.42	3	A1:G105	ockhy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_42	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B17_PASS	durch Sektor, Ring oder Pruefweg fuehren	3/5	o/y	Sternplatz A1_LEFT_LOCAL_FIELD_42: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
106	A1	f67r2	f67r2.43	1	A1:G106	daiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_43	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	5/5	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
107	A1	f67r2	f67r2.43	2	A1:G107	aiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_43	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
108	A1	f67r2	f67r2.43	3	A1:G108	os	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_43	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Gefaess	umschliessendes Diagrammfeld	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
109	A1	f67r2	f67r2.43	4	A1:G109	qsg	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_43	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/3	qsg	Sternplatz A1_LEFT_LOCAL_FIELD_43: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest qsg.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
110	A1	f67r2	f67r2.44	1	A1:G110	ofydy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_44	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/5	ofydy	Sternplatz A1_LEFT_LOCAL_FIELD_44: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ofydy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
111	A1	f67r2	f67r2.44	2	A1:G111	sheody	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_44	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B15_HOLD	Position oder Bedingung halten	2/6	eody	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
112	A1	f67r2	f67r2.44	3	A1:G112	aiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_44	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_44: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
113	A1	f67r2	f67r2.45	1	A1:G113	ycheody	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/7	ycheody	Sternplatz A1_LEFT_LOCAL_FIELD_45: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ycheody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
114	A1	f67r2	f67r2.45	2	A1:G114	es	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/2	es	Sternplatz A1_LEFT_LOCAL_FIELD_45: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest es.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
115	A1	f67r2	f67r2.45	3	A1:G115	odaiiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_45	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B04_IIN_STAGE	Grad- oder Bedingungsstufe	3/7	odai	Sternplatz A1_LEFT_LOCAL_FIELD_45: Grad- oder Bedingungsstufe; lokaler Namensrest odai.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
116	A1	f67r2	f67r2.46	1	A1:G116	yekees	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_46	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B13_GRADE	lange oder volle Diagrammstufe	2/6	yek/s	Sternplatz A1_LEFT_LOCAL_FIELD_46: lange oder volle Diagrammstufe; lokaler Namensrest yek/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
117	A1	f67r2	f67r2.46	2	A1:G117	oraly	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_46	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B08_OR_WORKSET|B09_AL_TARGET	Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld	4/5	y	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
118	A1	f67r2	f67r2.47	1	A1:G118	yfain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_47	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B03_AIN_PART	gezaehlter Teil oder Unterabschnitt	3/5	yf	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
119	A1	f67r2	f67r2.48	1	A1:G119	todaiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_48	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B01_AIIN_VALUE	Sollwert oder Grad eines Diagrammplatzes	4/7	tod	Sternplatz A1_LEFT_LOCAL_FIELD_48: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest tod.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
120	A1	f67r2	f67r2.48	2	A1:G120	dain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_48	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Tuch	Band-, Schleier- oder Abdecktraeger	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
121	A1	f67r2	f67r2.48	3	A1:G121	dy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_48	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_48: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
122	A1	f67r2	f67r2.49	1	A1:G122	os	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_49	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Gefaess	umschliessendes Diagrammfeld	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_49: umschliessendes Diagrammfeld.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
123	A1	f67r2	f67r2.49	2	A1:G123	choer	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_49	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/5	c/er	Sternplatz A1_LEFT_LOCAL_FIELD_49: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/er.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
124	A1	f67r2	f67r2.49	3	A1:G124	aiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_49	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_49: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
125	A1	f67r2	f67r2.50	1	A1:G125	choeea	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_50	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B11_HO_INPUT|B13_GRADE	Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe	4/6	c/a	Sternplatz A1_LEFT_LOCAL_FIELD_50: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/a.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
126	A1	f67r2	f67r2.50	2	A1:G126	sal	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_50	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dorthin	zum bezeichneten Zielplatz	3/3	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
127	A1	f67r2	f67r2.51	1	A1:G127	dadaiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_51	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B01_AIIN_VALUE	Sollwert oder Grad eines Diagrammplatzes	4/7	dad	Sternplatz A1_LEFT_LOCAL_FIELD_51: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest dad.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
128	A1	f67r2	f67r2.52	1	A1:G128	qotoear	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_01	LEFT_WHEEL_OUTER_STAR_POSITION	COMPOSED_COMPONENT_BRIDGE	B06_OT_NEXT|B10_AR_SOURCE	naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert	4/7	q/oe	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
129	A1	f67r2	f67r2.53	1	A1:G129	dchdar	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_02	LEFT_WHEEL_OUTER_STAR_POSITION	COMPOSED_COMPONENT_BRIDGE	B16_TRANSFER|B10_AR_SOURCE	Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert	5/6	d	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
130	A1	f67r2	f67r2.54	1	A1:G130	y	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_03	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	1/1	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
131	A1	f67r2	f67r2.54	2	A1:G131	saldal	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_03	LEFT_WHEEL_OUTER_STAR_POSITION	COMPOSED_COMPONENT_BRIDGE	B09_AL_TARGET|B09_AL_TARGET	Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	4/6	s/d	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s/d.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
132	A1	f67r2	f67r2.55	1	A1:G132	ytodal	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_04	LEFT_WHEEL_OUTER_STAR_POSITION	SINGLE_COMPONENT_BRIDGE	B09_AL_TARGET	Zielsektor, Zielstern oder Zielfeld	2/6	ytod	Sternplatz A1_LEFT_OUTER_STAR_STATION_04: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ytod.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
133	A1	f67r2	f67r2.56	1	A1:G133	tol	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_05	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:fortsetzen	im selben Ring oder Band fortsetzen	3/3	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
134	A1	f67r2	f67r2.56	2	A1:G134	daiin	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_05	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	5/5	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
135	A1	f67r2	f67r2.57	1	A1:G135	otar	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_06	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:danach von dort	danach vom bezeichneten Ausgangsplatz	4/4	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
136	A1	f67r2	f67r2.57	2	A1:G136	dy	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_06	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dieser Posten	dieser lokale Diagrammposten	2/2	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
137	A1	f67r2	f67r2.58	1	A1:G137	cho	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_07	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Zutat	Eingangsobjekt oder Eingangsbedingung	3/3	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
138	A1	f67r2	f67r2.58	2	A1:G138	dal	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_07	LEFT_WHEEL_OUTER_STAR_POSITION	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dorthin	zum bezeichneten Zielplatz	3/3	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: zum bezeichneten Zielplatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
139	A1	f67r2	f67r2.58	3	A1:G139	g	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_07	LEFT_WHEEL_OUTER_STAR_POSITION	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/1	g	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest g.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
140	A1	f67r2	f67r2.59	1	A1:G140	ytchodly	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_STAR_STATION_08	LEFT_WHEEL_OUTER_STAR_POSITION	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/8	ytc/dly	Sternplatz A1_LEFT_OUTER_STAR_STATION_08: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dly.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
