stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
2711	G407-E2711	P1009-S382	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	dalo	D_ADDR+AL+O	T0_EXACT_OBSERVED	HIER · ZIELORT · AUSFÜHRUNG	Im laufenden Gang markiere den Stationsposten [wie zuvor]; zur Zielstation; als Ausführung; an der bezeichneten Stelle.	Kernfolge: HIER · ZIELORT · AUSFÜHRUNG. Im laufenden Gang markiere den Stationsposten [wie zuvor]; zur Zielstation; als Ausführung; an der bezeichneten Stelle.	YES
2712	G407-E2712	P1009-S382	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	sodar	S+O+DA+R	T0_EXACT_OBSERVED	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	Wähle den Stationsposten [wie zuvor] und markiere den Stationsposten [wie zuvor]; als Ausführung und auf der zweiten Stufe.	Kernfolge: WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN. Wähle den Stationsposten [wie zuvor] und markiere den Stationsposten [wie zuvor]; als Ausführung und auf der zweiten Stufe.	YES
2713	G407-E2713	P1009-S382	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	oloky	OL+OK+Y	T0_EXACT_OBSERVED	FORTSETZEN · SETZEN · POSTEN	Weiter setze den Stationsposten im Stationsgang an.	Kernfolge: FORTSETZEN · SETZEN · POSTEN. Weiter setze den Stationsposten im Stationsgang an.	YES
2714	G407-E2714	G404-S011	f81r	BIOLOGICAL	F81R_UPPER_POOL	polchoy	P+OL+CH+O+Y	T0_EXACT_OBSERVED	EINSETZEN · FORTSETZEN · NEHMEN · AUSFÜHRUNG · POSTEN	Weiter setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	Kernfolge: EINSETZEN · FORTSETZEN · NEHMEN · AUSFÜHRUNG · POSTEN. Weiter setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	YES
2715	G407-E2715	G404-S011	f81r	BIOLOGICAL	F81R_UPPER_POOL	qokedy	OK+E+DY	T0_EXACT_OBSERVED	SETZEN · GRAD I · SCHLUSS	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	Kernfolge: SETZEN · GRAD I · SCHLUSS. Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES
2716	G407-E2716	G404-S012	f81r	BIOLOGICAL	F81R_UPPER_POOL	shol	SH+OL	T0_EXACT_OBSERVED	HALTEN · FORTSETZEN	Weiter halte den Stationsposten [wie zuvor].	Kernfolge: HALTEN · FORTSETZEN. Weiter halte den Stationsposten [wie zuvor].	YES
2717	G407-E2717	G404-S012	f81r	BIOLOGICAL	F81R_UPPER_POOL	opchedy	O+P+CHD+DY	T0_EXACT_OBSERVED	AUSFÜHRUNG · EINSETZEN · BEARBEITEN · SCHLUSS	Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; als Ausführung; schließe den Schritt.	Kernfolge: AUSFÜHRUNG · EINSETZEN · BEARBEITEN · SCHLUSS. Setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; als Ausführung; schließe den Schritt.	YES
2718	G407-E2718	G404-S013	f81r	BIOLOGICAL	F81R_UPPER_POOL	olpchedy	OL+P+CHD+DY	T0_EXACT_OBSERVED	FORTSETZEN · EINSETZEN · BEARBEITEN · SCHLUSS	Weiter setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	Kernfolge: FORTSETZEN · EINSETZEN · BEARBEITEN · SCHLUSS. Weiter setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	YES
2719	G407-E2719	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER · HALTEN · HIER · POSTEN	Halte den Stationsposten; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Kernfolge: AUSFÜHRUNG · HIER · HALTEN · HIER · POSTEN. Halte den Stationsposten; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES
2720	G407-E2720	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	oly	OL+Y	T0_EXACT_OBSERVED	FORTSETZEN · POSTEN	Weiter im laufenden Gang halte den Stationsposten.	Kernfolge: FORTSETZEN · POSTEN. Weiter im laufenden Gang halte den Stationsposten.	YES
2721	G407-E2721	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	dchey	CH+E+Y	T0_EXACT_OBSERVED	NEHMEN · GRAD I · POSTEN	Entnimm den Stationsposten; auf Grad I.	Kernfolge: NEHMEN · GRAD I · POSTEN. Entnimm den Stationsposten; auf Grad I.	YES
2722	G407-E2722	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	lshl	L+SH+L	T0_EXACT_OBSERVED	VERBINDUNG · HALTEN · VERBINDUNG	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	Kernfolge: VERBINDUNG · HALTEN · VERBINDUNG. Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	YES
2723	G407-E2723	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	alched	AL+CHD	T0_EXACT_OBSERVED	ZIELORT · BEARBEITEN	Bearbeite den Stationsposten [wie zuvor]; zur Zielstation.	Kernfolge: ZIELORT · BEARBEITEN. Bearbeite den Stationsposten [wie zuvor]; zur Zielstation.	YES
2724	G407-E2724	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	qokol	OK+OL	T0_EXACT_OBSERVED	SETZEN · FORTSETZEN	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an.	Kernfolge: SETZEN · FORTSETZEN. Weiter setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
2725	G407-E2725	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	chol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
2726	G407-E2726	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	otar	OT+AR	T0_EXACT_OBSERVED	DANACH · AUSGANG	Danach im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	Kernfolge: DANACH · AUSGANG. Danach im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	YES
2727	G407-E2727	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	chedy	CHD+Y	T0_EXACT_OBSERVED	BEARBEITEN · POSTEN	Bearbeite den Stationsposten.	Kernfolge: BEARBEITEN · POSTEN. Bearbeite den Stationsposten.	YES
2728	G407-E2728	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	oky	OK+Y	T0_EXACT_OBSERVED	SETZEN · POSTEN	Setze den Stationsposten im Stationsgang an.	Kernfolge: SETZEN · POSTEN. Setze den Stationsposten im Stationsgang an.	YES
2729	G407-E2729	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	qotey	OT+E+Y	T0_EXACT_OBSERVED	DANACH · GRAD I · POSTEN	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad I.	Kernfolge: DANACH · GRAD I · POSTEN. Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad I.	YES
2730	G407-E2730	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	l	L	T0_EXACT_OBSERVED	VERBINDUNG	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung.	Kernfolge: VERBINDUNG. Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; über die sichtbare Verbindung.	YES
2731	G407-E2731	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	chees	SH+EE+S_ADDR	T0_EXACT_OBSERVED	HALTEN · GRAD II · HIER	Halte den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	Kernfolge: HALTEN · GRAD II · HIER. Halte den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	YES
2732	G407-E2732	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	olkal	OL+K+AL	T0_EXACT_OBSERVED	FORTSETZEN · GEBEN · ZIELORT	Weiter führe den Stationsposten [wie zuvor] zu; zur Zielstation.	Kernfolge: FORTSETZEN · GEBEN · ZIELORT. Weiter führe den Stationsposten [wie zuvor] zu; zur Zielstation.	YES
2733	G407-E2733	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu.	YES
2734	G407-E2734	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	chedy	CHD+Y	T0_EXACT_OBSERVED	BEARBEITEN · POSTEN	Bearbeite den Stationsposten.	Kernfolge: BEARBEITEN · POSTEN. Bearbeite den Stationsposten.	YES
2735	G407-E2735	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	okar	OK+AR	T0_EXACT_OBSERVED	SETZEN · AUSGANG	Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	Kernfolge: SETZEN · AUSGANG. Setze den Stationsposten [wie zuvor] im Stationsgang an; von der Ausgangsstation.	YES
2736	G407-E2736	G404-S014	f81r	BIOLOGICAL	F81R_UPPER_POOL	shedy	SH+E+DY	T0_EXACT_OBSERVED	HALTEN · GRAD I · SCHLUSS	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	Kernfolge: HALTEN · GRAD I · SCHLUSS. Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES
2737	G407-E2737	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	dchedy	D_ADDR+CHD+Y	T0_EXACT_OBSERVED	HIER · BEARBEITEN · POSTEN	Bearbeite den Stationsposten; an der bezeichneten Stelle.	Kernfolge: HIER · BEARBEITEN · POSTEN. Bearbeite den Stationsposten; an der bezeichneten Stelle.	YES
2738	G407-E2738	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	qokain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Stationsanteil im Stationsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Stationsanteil im Stationsgang an.	YES
2739	G407-E2739	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an.	YES
2740	G407-E2740	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an.	YES
2741	G407-E2741	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	chcthy	CH+CH+T+Y	T0_EXACT_OBSERVED	NEHMEN · NEHMEN · EINSTELLEN · POSTEN	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Kernfolge: NEHMEN · NEHMEN · EINSTELLEN · POSTEN. Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	YES
2742	G407-E2742	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ykeedy	Y+K+EE+D_ADDR+Y	T0_EXACT_OBSERVED	POSTEN · GEBEN · GRAD II · HIER · POSTEN	Führe den Stationsposten [außen] und den Stationsposten [innen] zu; auf Grad II; an der bezeichneten Stelle.	Kernfolge: POSTEN · GEBEN · GRAD II · HIER · POSTEN. Führe den Stationsposten [außen] und den Stationsposten [innen] zu; auf Grad II; an der bezeichneten Stelle.	YES
2743	G407-E2743	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	al	AL	T0_EXACT_OBSERVED	ZIELORT	Im laufenden Gang führe den Stationsposten [wie zuvor] zu; zur Zielstation.	Kernfolge: ZIELORT. Im laufenden Gang führe den Stationsposten [wie zuvor] zu; zur Zielstation.	YES
2744	G407-E2744	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	qol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu.	YES
2745	G407-E2745	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	cheol	CH+E+O+L	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG. Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	YES
2746	G407-E2746	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	okeey	OK+EE+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · POSTEN	Setze den Stationsposten im Stationsgang an; auf Grad II.	Kernfolge: SETZEN · GRAD II · POSTEN. Setze den Stationsposten im Stationsgang an; auf Grad II.	YES
2747	G407-E2747	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
2748	G407-E2748	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
2749	G407-E2749	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	olaiin	OL+AIIN	T0_EXACT_OBSERVED	FORTSETZEN · WERT	Weiter im laufenden Gang setze den Stationswert im Stationsgang an.	Kernfolge: FORTSETZEN · WERT. Weiter im laufenden Gang setze den Stationswert im Stationsgang an.	YES
2750	G407-E2750	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationswert [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationswert [wie zuvor] im Stationsgang an.	YES
2751	G407-E2751	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang setze die Stationseinheit im Stationsgang an.	Kernfolge: EINHEIT. Im laufenden Gang setze die Stationseinheit im Stationsgang an.	YES
2752	G407-E2752	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang setze den Stationsanteil im Stationsgang an.	Kernfolge: ANTEIL. Im laufenden Gang setze den Stationsanteil im Stationsgang an.	YES
2753	G407-E2753	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	sar	S+AR	T0_EXACT_OBSERVED	WÄHLEN · AUSGANG	Wähle den Stationsanteil [wie zuvor]; von der Ausgangsstation.	Kernfolge: WÄHLEN · AUSGANG. Wähle den Stationsanteil [wie zuvor]; von der Ausgangsstation.	YES
2754	G407-E2754	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang wähle den Stationsanteil [wie zuvor].	Kernfolge: FORTSETZEN. Weiter im laufenden Gang wähle den Stationsanteil [wie zuvor].	YES
2755	G407-E2755	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	eses	E+S+E+S	T0_EXACT_OBSERVED	GRAD I · WÄHLEN · GRAD I · WÄHLEN	Wähle den Stationsanteil [wie zuvor] und wähle den Stationsanteil [wie zuvor]; auf Grad I und auf Grad I.	Kernfolge: GRAD I · WÄHLEN · GRAD I · WÄHLEN. Wähle den Stationsanteil [wie zuvor] und wähle den Stationsanteil [wie zuvor]; auf Grad I und auf Grad I.	YES
2756	G407-E2756	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	oteey	OT+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · POSTEN	Danach im laufenden Gang wähle den Stationsposten; auf Grad II.	Kernfolge: DANACH · GRAD II · POSTEN. Danach im laufenden Gang wähle den Stationsposten; auf Grad II.	YES
2757	G407-E2757	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	shor	SH+OR	T0_EXACT_OBSERVED	HALTEN · EINHEIT	Halte die Stationseinheit.	Kernfolge: HALTEN · EINHEIT. Halte die Stationseinheit.	YES
2758	G407-E2758	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	qokeey	OK+EE+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · POSTEN	Setze den Stationsposten im Stationsgang an; auf Grad II.	Kernfolge: SETZEN · GRAD II · POSTEN. Setze den Stationsposten im Stationsgang an; auf Grad II.	YES
2759	G407-E2759	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	ol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
2760	G407-E2760	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	dshees	D_ADDR+SH+EE+S	T0_EXACT_OBSERVED	HIER · HALTEN · GRAD II · WÄHLEN	Halte den Stationsposten [wie zuvor] und wähle den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	Kernfolge: HIER · HALTEN · GRAD II · WÄHLEN. Halte den Stationsposten [wie zuvor] und wähle den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	YES
2761	G407-E2761	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	okain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Stationsanteil im Stationsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Stationsanteil im Stationsgang an.	YES
2762	G407-E2762	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	chcthy	CH+CH+T+Y	T0_EXACT_OBSERVED	NEHMEN · NEHMEN · EINSTELLEN · POSTEN	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Kernfolge: NEHMEN · NEHMEN · EINSTELLEN · POSTEN. Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	YES
2763	G407-E2763	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	otey	OT+E+Y	T0_EXACT_OBSERVED	DANACH · GRAD I · POSTEN	Danach im laufenden Gang stelle den Stationsposten ein; auf Grad I.	Kernfolge: DANACH · GRAD I · POSTEN. Danach im laufenden Gang stelle den Stationsposten ein; auf Grad I.	YES
2764	G407-E2764	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	okain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Stationsanteil im Stationsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Stationsanteil im Stationsgang an.	YES
2765	G407-E2765	G404-S015	f81r	BIOLOGICAL	F81R_UPPER_POOL	pchedy	P+CHD+DY	T0_EXACT_OBSERVED	EINSETZEN · BEARBEITEN · SCHLUSS	Setze den Stationsanteil [wie zuvor] ein und bearbeite den Stationsanteil [wie zuvor]; schließe den Schritt.	Kernfolge: EINSETZEN · BEARBEITEN · SCHLUSS. Setze den Stationsanteil [wie zuvor] ein und bearbeite den Stationsanteil [wie zuvor]; schließe den Schritt.	YES
2766	G407-E2766	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	qokeey	OK+EE+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · POSTEN	Setze den Stationsposten im Stationsgang an; auf Grad II.	Kernfolge: SETZEN · GRAD II · POSTEN. Setze den Stationsposten im Stationsgang an; auf Grad II.	YES
2767	G407-E2767	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	oty	OT+Y	T0_EXACT_OBSERVED	DANACH · POSTEN	Danach im laufenden Gang setze den Stationsposten im Stationsgang an.	Kernfolge: DANACH · POSTEN. Danach im laufenden Gang setze den Stationsposten im Stationsgang an.	YES
2768	G407-E2768	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	qotey	OT+E+Y	T0_EXACT_OBSERVED	DANACH · GRAD I · POSTEN	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad I.	Kernfolge: DANACH · GRAD I · POSTEN. Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad I.	YES
2769	G407-E2769	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	oteey	OT+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · POSTEN	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	Kernfolge: DANACH · GRAD II · POSTEN. Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	YES
2770	G407-E2770	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	oly	OL+Y	T0_EXACT_OBSERVED	FORTSETZEN · POSTEN	Weiter im laufenden Gang setze den Stationsposten im Stationsgang an.	Kernfolge: FORTSETZEN · POSTEN. Weiter im laufenden Gang setze den Stationsposten im Stationsgang an.	YES
2771	G407-E2771	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	qoteesy	OT+EE+S+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · WÄHLEN · POSTEN	Danach wähle den Stationsposten; auf Grad II.	Kernfolge: DANACH · GRAD II · WÄHLEN · POSTEN. Danach wähle den Stationsposten; auf Grad II.	YES
2772	G407-E2772	G404-S016	f81r	BIOLOGICAL	F81R_UPPER_POOL	qotedy	OT+E+DY	T0_EXACT_OBSERVED	DANACH · GRAD I · SCHLUSS	Danach im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	Kernfolge: DANACH · GRAD I · SCHLUSS. Danach im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES
2773	G407-E2773	G404-S017	f81r	BIOLOGICAL	F81R_UPPER_POOL	qokeedy	OK+EE+DY	T0_EXACT_OBSERVED	SETZEN · GRAD II · SCHLUSS	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	Kernfolge: SETZEN · GRAD II · SCHLUSS. Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES
2774	G407-E2774	G404-S018	f81r	BIOLOGICAL	F81R_UPPER_POOL	chcphey	CH+CH+P+E+Y	T0_EXACT_OBSERVED	NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Kernfolge: NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN. Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	YES
2775	G407-E2775	G404-S018	f81r	BIOLOGICAL	F81R_UPPER_POOL	chol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] ein.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang setze den Stationsposten [wie zuvor] ein.	YES
2776	G407-E2776	G404-S018	f81r	BIOLOGICAL	F81R_UPPER_POOL	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang setze den Stationsanteil ein.	Kernfolge: ANTEIL. Im laufenden Gang setze den Stationsanteil ein.	YES
2777	G407-E2777	G404-S018	f81r	BIOLOGICAL	F81R_UPPER_POOL	otedy	OT+E+DY	T0_EXACT_OBSERVED	DANACH · GRAD I · SCHLUSS	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	Kernfolge: DANACH · GRAD I · SCHLUSS. Danach im laufenden Gang setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	YES
2778	G407-E2778	G404-S019	f81r	BIOLOGICAL	F81R_UPPER_POOL	cheey	SH+EE+Y	T0_EXACT_OBSERVED	HALTEN · GRAD II · POSTEN	Halte den Stationsposten; auf Grad II.	Kernfolge: HALTEN · GRAD II · POSTEN. Halte den Stationsposten; auf Grad II.	YES
2779	G407-E2779	G404-S019	f81r	BIOLOGICAL	F81R_UPPER_POOL	qotain	OT+AIN	T0_EXACT_OBSERVED	DANACH · ANTEIL	Danach im laufenden Gang halte den Stationsanteil.	Kernfolge: DANACH · ANTEIL. Danach im laufenden Gang halte den Stationsanteil.	YES
2780	G407-E2780	G404-S019	f81r	BIOLOGICAL	F81R_UPPER_POOL	ly	L+Y	T0_EXACT_OBSERVED	VERBINDUNG · POSTEN	Über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	Kernfolge: VERBINDUNG · POSTEN. Über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	YES
2781	G407-E2781	G404-S019	f81r	BIOLOGICAL	F81R_UPPER_POOL	olsheol	OL+K+E+OL	T0_EXACT_OBSERVED	FORTSETZEN · GEBEN · GRAD I · FORTSETZEN	Weiter und weiter führe den Stationsposten [wie zuvor] zu; auf Grad I.	Kernfolge: FORTSETZEN · GEBEN · GRAD I · FORTSETZEN. Weiter und weiter führe den Stationsposten [wie zuvor] zu; auf Grad I.	YES
2782	G407-E2782	G404-S019	f81r	BIOLOGICAL	F81R_UPPER_POOL	olkedy	OL+K+E+DY	T0_EXACT_OBSERVED	FORTSETZEN · GEBEN · GRAD I · SCHLUSS	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	Kernfolge: FORTSETZEN · GEBEN · GRAD I · SCHLUSS. Weiter führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	YES
2783	G407-E2783	G404-S020	f81r	BIOLOGICAL	F81R_UPPER_POOL	sheckhedy	SH+E+CH+K+E+DY	T0_EXACT_OBSERVED	HALTEN · GRAD I · NEHMEN · GEBEN · GRAD I · SCHLUSS	Halte den Stationsposten [wie zuvor], entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; auf Grad I und auf Grad I; schließe den Schritt.	Kernfolge: HALTEN · GRAD I · NEHMEN · GEBEN · GRAD I · SCHLUSS. Halte den Stationsposten [wie zuvor], entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; auf Grad I und auf Grad I; schließe den Schritt.	YES
